"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,187.4,0.66,0.2617,0.7292,1245.7,6041.3,209.2,179.8,0.0196,0.0596,0.0298,0.36,0.63,23.99,325.8,0.0349,202.39,609,417.06,935,0.3153,0.3154,8970.6,2.03,3,14.73,9.6,2.98,0.12,0.045,533.31,9150.4,0.3984,1.27,24.45,0.145,0.085,0.1636,0.122,0.904,0.441,4419.5,5796.8,0.5785,0.3665,241.6,0.0801,-41.1,-0.0136,0.9162,4.65,2,0.202,1.92,-116.24,-0.2787,3014.7,0.0944,0.1939,834.6,31.05,3353.6,1008202,2988.6,220.9,26.24,2988.6,0.95,1.99
"2",2010-12-31,200.1,0.94,0.342,0.60610637826516,1955.8,6395.8,277.6,258.7,0.029579236222273,0.082717825739409,0.040448419275149,-0.6615,0.69444444444444,23.215297450425,344.3,0.0325,186.4362,601.2,390.7379,945.5,0.35007,0.35007890583903,8487.3,1.8032762503718,2.7610852662741,14.117265469062,8.9765203595981,2.7137649880096,0.15,0.07,458.0995,8746,0.39386785077707,1.35,22.814814814815,0.145,0.0559,0.19160978857999,0.108,NA,0.42882829356765,4706.6,5736.5,0.52462302797873,0.34410016007318,247.1,0.079008792965628,38.6,0.012342126298961,0.75449716713881,2.9330708661417,1.547686496695,0.19223021582734,1.8342126298961,-67.3615,-0.17239570364506,3127.5,0.083019146730124,0.12634216177523,927.9,30.8,3009.5,2200078,3073.9,253,22.673913043478,3073.9,0.95,1.7614242845347
"3",2009-12-31,203.5,1,0.3565,0.60297798957889,2141.1,6846.8,312.8,446.7,0.054023655757928,0.14822803291744,0.065242156920021,-0.2682,0.66619915848527,25.084,319.1,0.03,150.504,548.9,342.2776,868,0.37643,0.37655860349127,7821.9,1.5813958190126,2.522786647315,14.25013663691,9.0114055299539,2.595533581099,0.14,0.06,348.8457,8268.6,0.37509493486008,1.19,21.016806722689,0.145,-0.0214,0.17678645187939,0.109,0.8791,0.43429047146112,4946.2,5016.8,0.64818210811673,0.39327092857316,200,0.066365808335546,-9.3,-0.0030860100876029,0.75252,2.3430946709635,1.7917142857143,0.1821409609769,1.6647199362888,-6.5682,-0.019189613327697,3013.6,0.069200107759492,0.093409929475503,874.4,25.01,3251.8,2343881,3100.5,230.6,21.755420641804,3100.5,0.95,1.5332381464518
"4",2008-12-31,201.9,1,0.3442,0.64273399258834,1802.8,6356.9,386.7,278.4,0.034803480348035,0.091126313377631,0.043794931491765,-0.0675,0.44160371876816,31.288815789474,290.7,0,0,500.1,299.3149,790.8,0.40149,NA,7720.8,1.6193971936154,2.5684630738523,15.438512297541,9.763277693475,2.5271840528952,0.145,0.05,203.3824,7999.2,0.37546602903931,1.05,21.67619047619,0.29,0.1122,0.30909090909091,0.115,0.9479,0.45556796551778,4767.7,4755.9,0.68195294266069,0.40545304530453,152,0.049752872246408,4.2,0.0013747504173349,0,2.6380630130908,2.1578493647913,0.16369349612124,1.5567084547151,95.9325,0.32050698264387,3055.1,0.062779715795876,0.084313290437098,882.4,22.76,3243.3,1606254,3006,167.8,28.342669845054,3006,0.95,1.5852242325757
"5",2007-12-31,200.7,0.74,0.2434,0.64527727838473,1795.5,6307.9,386.4,125.6,0.017304804287624,0.046007326007326,0.01991153949809,2.8271,0.59161873459326,26.073807968648,249.3,0,0,449.2,310.204,698.5,0.30943,NA,7132.5,1.4449666740949,2.4204221528438,15.878227960819,10.21116678597,2.6126373626374,0.135,0.095,170.2769,7258.1,0.370329269646,0.78,31.705128205128,NA,0.1524,0.39848812095032,0.114,0.9473,0.40810729402812,4936.1,3991.9,0.81820686890954,0.45000757774073,153.1,0.056080586080586,-35.6,-0.013040293040293,0,2.2232804232804,1.9313931828628,0.16454212454212,1.4622344322344,139.9271,0.45108095215914,2730,0.062843954539008,0.08526872737399,771.4,24.73,3266.2,3304856,2946.8,143.5,27.818118466899,2946.8,0.9,1.4339253610447
"6",2006-12-31,199.1,0.36,0.1864,0.6321025082305,1553.3,5209.5,382,45.4,0.0044676684478296,0.019316682976641,0.0087148478740762,-6.5572,0.7725321888412,58.131109387122,208.4,0,0,397.6,231.276,606,0.41832,NA,10116.5,2.4221275169392,3.8724927269943,25.443913480885,16.693894389439,4.3043441262817,0.215,0.105,64.2332,10161.9,0.38683174968807,0.88,39.818181818182,NA,0.1218,0.21596244131455,0.116,0.9289,0.41560610423265,4176.7,7493.1,0.35616767426032,0.2626280518407,128.9,0.054844062460112,58.8,0.025018082797941,0,4.8239876392197,2.7037725296336,0.16916989320512,3.1881461941029,167.0428,0.72226596625318,2350.3,0.055372894390308,0.082984613403721,670.1,35.04,2668.8,401500,2612.4,154.8,48.40503875969,2612.4,0.9,2.4068354610265
"7",2005-12-31,131.7,0.28,0.1853,0.64864726246955,1370.1,4766.1,272.1,53.4,0.0066304928169661,0.025695313251853,0.011204129162208,6.2318,0.8,48.543936731107,186.9,0,0,386.8,226.8234,573.7,0.41359,NA,8000.3,2.0801071214997,3.5099811345589,20.683298862461,13.945093254314,3.8496294870561,0.165,0.09,135.3916,8053.7,0.37374373177231,1.06,39,NA,0.1273,0.13828977416899,0.136,0.8945,0.44871068588573,3846.1,5524.3,0.45786796517206,0.3140668264276,113.8,0.054758925993648,-64.4,-0.030988355307478,0,4.032041456828,2.9420567715823,0.18612260610143,2.6582138388991,91.4318,0.40309669588541,2078.2,0.058974906528691,0.083059630683892,566.2,41.34,2529.4,211600,2279.3,120.9,45.693134822167,2279.3,1.05,2.0653160661623
"8",2004-12-31,129.8,0.76,0.2281,0.6703457230969,NA,4442.4,232,31.9,0.0039609615575643,0.015801466217555,0.0071808031694579,-0.7527,0.66637439719421,59.188959660297,163.6,0,0,343.8739,200.3856,507.4739,0.41727,NA,8021.7,2.1889104155865,3.9734991083812,23.327445128726,15.807117733262,4.4133472711268,0.2,0.105,132.7384,8053.6,0.37137583288313,0.99,42.606060606061,NA,0.1971,0.25686411149826,0.16,0.9116,0.50198091121916,3664.7,5575.6,0.44443647320468,0.30768848713619,94.2,0.051826584507042,-6.8,-0.0037411971830986,0,4.5754144099787,2.9594479830149,0.1891911971831,3.0675616197183,67.6473,0.33758540758169,1817.6,0.054679959997162,0.077301821762678,486.2,42.18,2478,197100,2018.8,94.2,59.188959660297,2018.8,0.95,2.1786506519504
"9",2003-12-31,128.4,0.67,0.2211,0.6621989860583,NA,3892.1,204.5,74.7,0.012387648834201,0.042759015455066,NA,-11.7998,0.60606060606061,46.575650118203,130.9,0,0,436.8783,251.1788,567.7783,0.42506,NA,5955.5,1.9327881089151,3.4089868345736,13.631942808787,10.489129295713,3.966895357357,0.31,0.1,189.3786,6030.2,0.3834176922484,0.67,45.059701492537,NA,0.1317,0.15636842972483,0.15,0.8463,0.48629274684618,3081.3,3940.3,0.53039108697307,0.34657225299327,84.6,0.056351162325984,-72.1,-0.048025044961034,0,3.6959947472095,1.5024403263937,0.291,2.6245920202491,61.8002,0.24604084437612,1501.3,0.081517155032616,0.079354657161617,383.6,30.19,2089.9,116600,1747,84.6,46.575650118203,1747,0.9,1.9107097591888
"10",2002-12-31,85.1,0.49,0.235,0.64703025775121,NA,3230.7,197,56.3,0.011008994915917,0.042700037921881,NA,-16.1,0.4577,50.476119402985,109.8,0,0,254.1,149.6725,363.9,0.41097,NA,5057.7,NA,NA,19.904368358914,13.898598516076,3.8359499431172,0.61,0.115,62.4725,5114,0.38357012412171,1.01,39.554455445545,NA,0.1159,0.14688866939467,0.15,0.8321,0.47822453338286,2620.7,3381.9,0.51216771637245,0.33869769260853,67,0.050815320439894,-47.5,-0.036025786879029,0,3.5791089004127,0.82747736726205,0.19271899886234,2.564960182025,87.2,0.58260526549686,1318.5,0.057111658335559,0.070906974282993,332.3,39.95,1732.1,357588,1433.4,74.2,45.578167115903,1433.4,0.9,1.9299042240623
