"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-11-30,46.5,1.01,0.2553,0.2068,1212.5,1944.6,76.8,110.1,0.0701,0.1748,0.0566,-0.99,0.8,16.37,76.9,0.0074,9.3,138,82.78,215,0.3993,0.3992,1460.4,1.03,2.25,10.6,6.8,2.32,0.05,0.01,83.87,1570.5,0.7054,1.73,15.98,-0.105,NA,0.1166,0.718,0.5684,0.153,1418.6,1254.3,0.2521,0.2013,76.6,0.1216,-32.1,-0.051,0.1352,1.03,3.27,0.2188,1.99,-1.09,-0.0132,629.7,0.0584,0.0632,98.8,27.65,316.2,94834,649.2,68.8,18.23,649.2,0.95,1.03
"2",2010-11-30,47.9,1.11,0.3002,0.20508871777703,1187.2,1878.7,105.9,84.2,0.056317303190422,0.13046172916021,0.044818225368606,0.5839,0.74950033311126,16.218281036835,74.5,0.0071,8.4405,131,102.1368,205.5,0.22033,0.22021276595745,1410.9,1.0011353154048,2.2437977099237,10.770229007634,6.8656934306569,2.1860861481252,0.03,0.01,70.1529,1495.1,0.73284718156172,1.84,13.777173913043,0.03,-0.0596,0.23358778625954,0.698,0.5582,0.1583009527865,1409.3,1188.8,0.25765477792732,0.20486923951575,73.3,0.11357297799814,-22.7,-0.035171986365045,0.11514979536153,1.0013477088949,5.406093678945,0.20297489928726,1.8419584753641,31.9839,0.31314731191969,645.4,0.072473405236642,0.061741913746631,102.7,25.35,306.3,159277,628.8,76.4,15.560209424084,628.8,0.9,1.0010713090057
"3",2009-11-30,48.4,1.1,0.3212,0.23356878573831,1139.3,1908.9,113.7,158.8,0.099237595300587,0.22908251586844,0.083189271308083,2.7382,0.70049813200498,13.754116355653,72.9,0.0061,7.6433,164.6,106.7925,237.5,0.3512,0.3511396011396,1441.4,1.0856368155457,2.1965864065834,8.7569866342649,6.069052631579,2.0793421811887,0.01,0.015,63.2543,1600.2,0.70909948137671,1.57,16.668789808917,0.03,-0.1137,0.16423494201272,0.697,0.5491,0.15579653203416,1327.7,1253,0.27709497206704,0.2169728783902,91.1,0.13141950375072,-51.3,-0.07400461627236,0.083900109769484,1.0997981216537,13.754116355653,0.23744950952106,1.8075591459896,43.5382,0.40768948152601,693.2,0.080434194471643,0.079961379794611,103.8,26.17,347.2,147966,656.2,77.3,16.20957309185,656.2,0.9,1.07648839556
"4",2008-11-30,48.7,1.1,0.2825,0.33500349568865,1141.4,2180.8,107,219.1,0.11167176350663,0.27829289978407,0.10046771826853,10.7942,0.50973451327434,9.9640804597701,70.9,0.0049,6.7963,238.1,152.4792,309,0.3596,NA,1742.9,1.1640285847859,2.5016506387254,7.320033599328,5.6404530744337,2.2137685761463,0.015,0.04,105.585,1962,0.61041819515774,1.87,15.213903743315,0.095,0.0525,0.32128428662556,0.697,0.5314,0.13646368305209,1497.3,1387,0.41456380677722,0.29306829765545,139.2,0.17680680807824,-93.8,-0.11914136923663,0.048823994252874,1.2151743472928,6.6427203065134,0.30242601295567,1.7617172615267,46.8942,0.30754487006125,787.3,0.10183613170373,0.1219554932539,109.4,28.45,575,233819,696.7,115.4,12.019064124783,696.7,0.9,1.1430901887672
"5",2007-11-30,53.2,0.93,0.2175,0.24567226343876,1159.1,1982.1,96.1,96.6,0.056823529411765,0.1182953710507,0.048736188890571,3.4086,0.62528735632184,8.7063857801185,80.2,0.0048272211720227,6.384,254.9,158.558,335.1,0.37796,NA,1603.4,1.1134722222222,1.918860698899,6.290309925461,4.7848403461653,1.9635072250796,0.04,0.06,139.2494,1700,0.65748448615105,2.7,10.640740740741,0.145,0.0265,0.36620363303312,0.6659,0.5069,0.15024468997528,1440,1322.5,0.28544423440454,0.22205882352941,151.9,0.18601518491305,-146.5,-0.17940240019593,0.042027649769585,1.1409714433612,2.1765964450296,0.3121479304433,1.6195199608131,19.3086,0.1217765492175,816.6,0.11010971944444,0.13104995254939,119,28.73,377.5,175620,835.6,161.6,8.1837871287129,835.6,0.85,1.1063386697905
"6",2006-11-30,53.4,0.69,0.1579,0.24166228991597,1155.1,1922.1,110.4,137.7,0.054300248432509,0.17246993987976,0.071640393319806,2.9403,0.8,12.48732718894,56.8,0.002463326875173,5.34,286.3,177.8238,343.1,0.37889,NA,2398.2,1.7309274630097,2.9371708511941,8.3765281173594,6.9897988924512,3.0037575150301,0.05,0.07,121.2834,2535.9,0.60210186774882,3.03,13.287128712871,0.175,0.0777,0.14041844488394,0.644,0.5063,0.12944175641226,1385.5,2167.8,0.16980348740659,0.14515556607122,173.6,0.21743486973948,-129.7,-0.1624498997996,0.030760368663594,1.8767206302485,2.497465437788,0.35859218436874,2.7151803607214,56.5403,0.31795713179042,798.4,0.12834629592205,0.15029001818024,106.5,40.26,368.1,241462,816.5,162.4,13.348522167488,816.5,0.8,1.6648503151261
"7",2005-11-30,53.3,0.63,0.1825,0.26188786373314,1040,1797.1,248.9,139,0.045052344990763,0.18781245777598,0.077346836570029,6.825,0.56986301369863,17.04077791719,50.9,0.0015697824246217,4.264,265.3,160.3102,316.2,0.39574,NA,2946.3,2.3199212598425,3.772471190781,11.105540897098,9.3178368121442,3.9809485204702,0.085,0.065,-44.5148,3085.3,0.65589004507262,3.22,15.850931677019,0.185,0.1414,0.11092935282691,0.62,0.497,0.13855656335207,1270,2716.3,0.13584655597688,0.11959939065893,159.4,0.21537630049993,-123.5,-0.16686934198081,0.026750313676286,2.6118269230769,2.0047974020223,0.35846507228753,3.6701797054452,204.825,1.2776790509647,740.1,0.12622848661417,0.15326923076923,96,51.04,369,125769,781,166.6,16.304321728692,781,0.65,2.1897090134847
"8",2004-11-30,53.3,-0.15,0.1629,0.29940405244339,NA,1619.5,135.2,276,0.093963844346849,0.37571467465287,0.17042297005248,-15.8914,-0.1841620626151,19.726502311248,44.4,0.0012526096033403,3.198,228.3886,137.7046,272.7886,0.39706,NA,2661.3,2.7087022900763,3.6227879117887,11.652509070287,9.7559069371599,4.108212411238,0.105,0.08,62.7961,2937.3,0.59839456622414,3.15,15.206349206349,0.17,0.124,0.16306747288607,0.601,0.8109,0.15331892559432,982.5,2560.5,0.14715875805507,0.12828107445613,129.8,0.2003704847175,-118.6,-0.18308119790059,0.024637904468413,2.9040489962572,1.8787145058332,0.3525603272615,3.9526088298858,74.9086,0.54397998578936,647.8,0.14015736430046,0.14721560621527,90.3,47.9,376.8,92522,734.6,157.3,16.277813095995,734.6,0.75,2.3339690107271
"9",2003-11-30,53.2,0.04,0.1753,0.29786411520247,NA,1303.8,72.6,224.2,0.071041541240217,0.37485370339408,NA,-3.7314,0.04563605248146,26.197792088317,44.2,0.001122754491018,3.192,238.6277,145.508,282.8277,0.39023,NA,2931.7,3.6171499074645,4.9016886808226,12.285667649998,10.36567676463,5.0924092409241,0.11,0.08,120.8394,3155.9,0.6784782942169,2.63,20.319391634981,0.195,0.0452,0.14437721677446,0.595,0.8263,0.070946464181623,810.5,2847.7,0.10822769252379,0.097658354193732,108.7,0.18881361820393,-95.9,-0.16657981587632,0.029365225390984,3.9197522367515,2.3816174625742,0.4145,4.9464999131492,24.6686,0.16953442526988,575.7,0.17952866396114,0.14962147281487,85.8,53.44,308.2,78651,598.1,108.7,26.197792088317,598.1,0.7,3.0500628201411
"10",2002-11-30,53.2,0.53,0.2471,0.33635491095233,NA,1156,53.5,109.5,0.040561564676248,0.19887395568471,NA,85.9,0.4691,22.428974600188,41.2,0.0013388138578978,3.192,194.2,119.2427,235.4,0.38598,NA,2590.1,NA,NA,13.33728115345,11.002973661852,4.7041409371595,0.11,0.06,106.9427,2699.6,0.7431660899654,2.24,19.803571428571,NA,0.0413,0.13756097560976,NA,0.8269,0.080017301038062,828.2,2384.2,0.13228755976848,0.11683212327752,106.3,0.19306211405739,-91.5,-0.16618234653106,0.03002822201317,3.8312710911136,2.0389976909262,0.35270613875772,4.3301852524519,12.3,0.10315098241163,550.6,0.14397812605651,0.1708179334726,80.3,44.36,315.4,82465,582.8,NA,NA,582.8,0.65,3.1273846896885
"11",2001-11-30,NA,0.43,0.3329,0.2845,NA,1702.2,98.4,71.2,0.029981472123968,0.13472090823084,NA,-2.4111,0.2271,22.409817351598,54.5,0.0016,3.141,223.9878,130.5849,278.4878,0.417,NA,2303.6,NA,NA,10.28448870876,8.2718165750887,4.3587511825922,0.155,NA,89.096,2374.8,0.50276113265186,2.24,16.620535714286,0.18,0.1996,0.18642755773449,0,0.7451,0.39725061684878,1375.9301,1963.1,0.20971932148133,0.17336196732356,87.6,0.16575212866604,-90.44,-0.17112582781457,0.035855707762557,1.8959822290902,1.445794667845,0.24708587965941,3.7144749290445,41.4889,0.31771593808488,NA,0.094906628905058,0.084604983581225,80,37.23,411.7,138400,528.5,99.2,19.789314516129,542.6,0.75,1.7259597707762
"12",2000-11-30,NA,0.85,0.4115,0.25006570993008,NA,1665.4,132.7,50.8,0.019568567026194,0.11534968210718,NA,-227.4261,0.61968408262454,39.264814814815,51.2,0.0015026175541197,3.186,173.42952,96.2274,224.6295,0.44515,NA,2545.2,NA,NA,14.675702267988,11.330656807707,5.7792915531335,0.21,NA,61.9652,2596,0.47730275009007,NA,18.952380952381,NA,0.4738,0.22448979591837,0.643,0.743,NA,1375.8,2120.3,0.22435504409753,0.18324345146379,54,0.12261580381471,-99.7,-0.2263851044505,0.059,2.2297823114944,186.97530864198,0.21849993,4.8144868301544,34.2621,0.3560540030847,NA,0.069942847195813,0.056788305815543,75.0001,39.8,475.7,NA,440.4,65.1,32.569892473118,487.7,NA,1.819711201458
"13",1999-11-30,NA,0.8,0.4221,0.35595518447156,NA,1599.1,126.6,38.5,0.025247557216867,0.091189009947892,NA,NA,0.28429282160625,18.128975265018,25.1,0.0031049605301627,3.186,121,71.8909,96.9909,0.40586,NA,1486.4,NA,NA,12.284297520661,15.325142740136,3.5206063477025,0.18,NA,6.6926,1524.9,0.4112938527922,NA,27.950310559006,NA,0.2826,0.28486646884273,NA,0.6551,NA,1362.8,1026.1,0.48611246467206,0.32710341661748,NA,0.12316437707248,NA,-0.20795831359545,0.056289752650177,1.1369529085873,1.007165292501,0.2865940312648,2.4303647560398,NA,1.4118607991494,NA,0.052752377458174,0.057617728531856,57.1,NA,NA,NA,NA,52,19.732692307692,422.2,NA,1.0882038107472
