"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,65.3,5.63,1.853,0.548,198.2,472.6,2.3,425.1,0.482,16.6055,0.8995,-2.58,0.76,NA,1.9,0,0,-2,-1.9,0,0,NA,456.9,34.1,15.38,NA,NA,17.85,NA,0.28,882,0.0049,NA,NA,-0.11,0.4133,NA,NA,0.0408,13.4,641.7,0.3745,0.2724,-154.8,-6.0469,-16.1,-0.6289,NA,3.24,-0.0742,25.07,-2.18,NA,25.6,-0.1418,-0.781,92.7,9.69,240.3,788680,29.7,-188.4,NA,29.7,1.15,2.01
"2",2010-12-31,56.6,2.87,1.8339,0.46410624551328,149.3,305.1,0.3,295.1,0.31537886074597,1.1380640185114,0.96722386102917,-0.0074,0.15676972572114,6.5882352941177,2.4,0,0,130,129.9194,132.4,0.00062,0,640.6,NA,2.4695451040863,4.9276923076923,4.8383685800604,2.4704974932511,NA,132.0268,935.7,0.0039331366764995,NA,NA,3.3927,0.65790317409426,NA,NA,0,-16.5,806.4,0.16034226190476,0.13818531580635,122.4,0.47204010798303,-19.3,-0.074431160817586,0,5.4012056262559,0.50134978789047,3.1099112996529,-2.1074,-0.016221158010903,259.3,NA,0.81982585398526,59.6,12.6,129.3,1260615,259.4,95.9,8.4087591240876,259.4,1.15,NA
"3",2009-12-31,46.7,1.52,1.4825,NA,-105.8,114.7,0.4,86.9,0.040242659998148,1.7843942505134,0.75762859633827,13.7281,0.17706576728499,NA,8.6,0,0,-100.117,-100.117,-91.517,0,NA,2072.5,NA,85.288065843621,NA,NA,42.556468172485,NA,-105.6452,2159.4,0.029642545771578,NA,NA,-0.1475,0.71141868512111,NA,0.7823,0,-67.2,2033.9,0.061704115246571,0.058117995739557,-108.4,-2.2258726899384,-27.4,-0.56262833675565,NA,NA,-2.05579137577,41.76386036961,5.5281,NA,48.7,NA,NA,52.7,36.4,125.5,1369701,24.3,-104.6,NA,24.3,1.05,NA
"4",2008-12-31,39.3,0.13,0.594,NA,-124.9,172.2,2,137.2,0.17749029754204,2.8464730290456,0.79674796747968,-1.1793,0.24242424242424,NA,5.8,0,0,-95.7219,-95.7219,-89.9219,0,NA,635.8,NA,12.818548387097,NA,NA,13.190871369295,0.15,-90.7427,773,0.038327526132404,NA,NA,-0.2836,0.37652987760979,NA,0.9779,0.0011614401858304,-92.1,603,0.28192371475954,0.21992238033635,-97.8,-2.0290456431535,-40.6,-0.84232365145228,NA,NA,-1.9859319502075,12.510373443983,-4.9793,NA,48.2,NA,NA,30.3,13.04,170,542375,49.6,-119.9,NA,49.6,0.9,NA
"5",2007-12-31,39,1.31,0.5642,NA,-30.9,262.4,2.4,235.3,0.41831111111111,3.527736131934,0.89672256097561,-5.1142,0.29776674937965,NA,4.8,0,0,-96.6192,-96.6192,-91.8192,0,NA,327.2,NA,6.5049701789264,NA,NA,4.9055472263868,NA,-89.105,562.5,0.030868902439024,-2.4,NA,-0.355,0.3694614860259,NA,NA,0.0026676829268293,-96.2,392.5,0.43312101910828,0.30222222222222,-94.6,-1.4182908545727,-20.8,-0.31184407796102,NA,NA,-1.448564017991,5.8845577211394,-7.5142,NA,66.7,NA,NA,43.3,10.58,170,351585,50.3,-89.6,NA,50.3,1.05,NA
"6",2006-12-31,34.3,3.07,0.489,NA,-39.8,257.6,4.4,214.6,0.3102949681897,2.363436123348,0.83307453416149,-1.9289,0.44171779141104,NA,3.8,0,0,-77.5114,-77.5114,-73.7114,0,NA,477,NA,6.2028608582575,NA,NA,5.2533039647577,NA,-76.1826,691.6,0.035714285714286,-2.63,NA,-0.2187,0.46370725854829,NA,NA,0.0046583850931677,-84.4,521.6,0.32592024539877,0.24580682475419,-69,-0.75991189427313,-12.6,-0.13876651982379,NA,NA,-0.85365022026432,5.7444933920705,-1.3289,NA,90.8,NA,NA,40.4,13.38,170,1008658,76.9,-84.8,NA,76.9,1.35,NA
"7",2005-12-31,32.6,2.99,0.4304,0.84241823587711,31.8,263.5,2.1,215.5,0.1783940397351,1.9502262443439,0.81783681214421,-2.8887,0.50185873605948,NA,7.4,0,0,-56.1084,-56.1084,-48.7084,0,NA,992.5,NA,9.925,NA,NA,8.9819004524887,NA,-47.9197,1208,0.027703984819734,-1.98,NA,-0.2683,0.37696100403407,NA,0.871,0.0064516129032258,-13.7,1038,0.16377649325626,0.14072847682119,-57.6,-0.52126696832579,-30.4,-0.27511312217195,NA,32.641509433962,-0.50776832579186,9.393665158371,-8.1887,NA,110.5,NA,-1.811320754717,48.9,30.75,170,914675,100,-69,NA,100,1.35,NA
"8",2004-12-31,32.6,0.44,0.521,0.83826429980276,NA,266,1.3,183,0.25576519916143,1.2508544087491,0.68796992481203,0.4077,0.16890595009597,NA,7,0,0,-47.3925,-47.3925,-40.3925,0,NA,532.5,26.893939393939,3.6397812713602,NA,NA,3.5264900662252,NA,-42.1002,715.5,0.031203007518797,NA,NA,-0.0426,0.30989956958393,NA,0.8251,0.071052631578947,19.8,545.5,0.31164069660862,0.23759608665269,-56.4,-0.37350993377483,-13.1,-0.086754966887417,NA,16.631097560976,-0.31385761589404,3.6125827814569,-5.2923,0.11166854788477,151,-2.3935606060606,-1.719512195122,76.2,16.8,170,116844,146.3,-81.2,NA,146.3,1.5,3.5281065088757
"9",2003-12-31,31.8,0.32,0.538,0.63026981450253,NA,288.5,1.5,216.1,0.37003424657534,1.4282881692003,NA,0.258,0.11895910780669,NA,7.3,0,0,-83.6609,-83.6609,-76.3609,0,NA,367.9,17.436018957346,2.4315928618638,NA,NA,2.3874107722258,NA,-78.1189,584,0.033275563258232,-1.47,NA,0.37,0.45246478873239,NA,0.8405,0.076256499133449,21.1,434.5,0.34407364787112,0.25599315068493,-97,-0.62946138870863,-14.2,-0.09214795587281,NA,4.9543899657925,-0.5429,2.8195976638546,-5.542,0.066243446890849,154.1,-3.9649710900474,-1.1060433295325,80.6,13.27,149.5,151595,151.3,-58,NA,151.3,1.5,2.4620573355818
"10",2002-12-31,31.7,1.02,0.6335,0.45003010234798,NA,384.9,5.2,316.4,0.34980652294085,2.825,NA,-62.3,0.3542,NA,6.6,0,0,-141.9408,-141.9408,-135.3408,0,NA,588.1,NA,NA,NA,NA,5.2508928571429,NA,-140.5408,904.5,0.028059236165238,-3.11,NA,1.516,0.31812946325731,NA,0.6358,0.078721745908028,15.8,755,0.19801324503311,0.16528468767275,-144.3,-1.2883928571429,-30.7,-0.27410714285714,NA,4.1324575807334,-1.2673285714286,6.7410714285714,-1.4,NA,112,-8.9835949367088,-0.78981937602627,96.5,23.64,149.5,336676,153.6,-99.3,NA,153.6,1.5,37.221518987342
