"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,93.5,1.16,0.2827,0.0086,694,3671,103,690,0.3261,0.3256,0.188,11.26,0.8,18.03,74,0.016,33.66,254,123.31,328,0.5145,0.5145,1425.9,142.59,0.64,5.61,4.35,0.67,-0.13,-0.155,83.05,2115.9,0.0883,1.81,12.96,0.025,0.02,0.2051,0.017,0.9345,0.1629,10,2109.9,0.0028,0.0028,117,0.0552,240,0.1133,0.4332,3.04,NA,0.1199,1,40.26,0.3265,2119,12.3312,0.1686,401,23.46,6,928014,2218.4,77.7,27.15,2218.4,NA,3.02
"2",2010-12-31,91.8,1.05,0.269,0.23253833049404,4505,12438,328,1032,0.20591404285885,0.093860845839018,0.08297153883261,45.922,NA,4.4636474908201,297,0,0,1489,1190.3215,1786,0.20059,0.20058708414873,3979.8,0.82261264985531,0.33729977116705,2.6728005372733,2.2283314669653,0.36196452933151,0.075,0.025,1113.3995,5011.8,0.096880527415983,10.12,1.9100790513834,0.12,0.0039,0.58671129292178,NA,0.8368,0.40545103714424,4838,3646.8,0.3743007568279,0.27235723692087,817,0.074306502955889,628,0.057116871305139,0,0.80950055493896,0.59515299877601,0.13542519326967,0.33167803547067,76.922,0.064622847840319,10995,0.24603585985945,0.18135405105438,1837,19.33,1365,1034144,11799,913.8,3.9908076165463,11799,NA,0.85379897785349
"3",2009-12-31,182.9,1.09,0.3001,0.279675340354,3878.3,11129.1,271.6,1215.6,0.10976072234763,0.11147691320097,0.10922716122598,-0.7697,0.8,13.764672036824,292.6,0.0192,183.7286,1226.2,966.9445,1518.8,0.21143,0.21143375680581,9859.4,2.3652153052657,0.90555397375019,8.0406132767901,6.4915722939163,0.9041588335091,0.07,0.04,988.7142,11075,0.09443710632486,4.45,11.710112359551,0.135,-0.0732,0.1593362654938,0.0092,0.7891,0.39382339991554,4168.5,9569.2,0.1573590268779,0.13596388261851,695.2,0.063753496263011,499.6,0.045815947544592,0.26428170310702,2.4673697238481,1.9663817195463,0.11244898894952,0.87754596726122,-21.7697,-0.022513915900319,10904.5,0.23196462372556,0.17925379676663,1834.5,52.11,1505.8,1359908,10887.7,746.5,12.818754186202,10887.7,1,2.0569825969057
"4",2008-12-31,181.8,1.1,0.2853,0.41232618882999,3059.9,10480.2,248.7,964.9,0.086043463140154,0.082506755139036,0.092068853647831,-45.7192,0.56081317910971,12.238088810906,278.3,0.017,154.1424,1239.5,883.5404,1517.8,0.28718,NA,10249.2,2.4161814281336,0.9334596258584,8.2688180718031,6.7526683357491,0.87638950644731,0.075,0.05,958.8596,11214.1,0.094835976412664,3.94,12.624365482234,0.145,0.2973,0.28135898301271,0.0095,0.8109,0.42440029770424,4241.9,9067.2,0.23677651314629,0.19144648255321,740.9,0.063352943188426,747.8,0.063942949002976,0.2080475097854,2.9632340926174,1.6317451747874,0.10598727639635,0.77531894517221,-75.3192,-0.085247046303257,11694.8,0.20828883047691,0.24213209582012,1967.8,49.74,2146.9,1618879,10979.8,666.3,13.608284556506,10979.8,1,2.1537412614274
"5",2007-12-31,181.6,1.27,0.257,0.47478297917665,3944.8,11552.7,239.3,1840,0.15864393919799,0.20436950895783,0.15927012732954,-181.0648,0.59143968871595,12.364993842365,185.4,0.01582610211272,127.12,1066.8,751.6246,1252.2,0.29544,NA,9758.3,1.7207977710376,0.86521257259387,9.1472628421447,7.7929244529628,1.0838581409039,0.14,0.105,878.7894,11598.3,0.084854622728886,4.66,9.8690987124464,0.135,0.1545,0.33480091883614,0.007,0.7909,0.39494663585136,5670.8,8032.3,0.44395752150692,0.30745885172827,649.6,0.072151322292937,716.5,0.079581931069719,0.19568965517241,2.0361742040154,0.88321384588318,0.11848988704142,0.89215065587063,-127.1648,-0.16918659689469,9003.3,0.13254295831276,0.16467248022713,1525,45.99,3566,1205436,11278.5,758.8,10.585529783869,11278.5,0.95,1.544216328487
"6",2006-12-31,181.8,1.19,0.1625,0.276967341376,2864.8,7430,177.1,937.1,0.072438449348742,0.12001946746244,0.12612382234186,-22.8208,0.8,22.195538057743,194.5,0.0085993023118311,101.808,901.8,619.5546,1096.3,0.31298,NA,11999.4,3.9666126739612,1.407422177391,13.306054557552,10.945361671075,1.5368280843761,0.135,0.08,659.7755,12936.5,0.1121130551817,3.86,16.533678756477,0.13,0.0677,0.13211037459534,0.008,0.7758,0.31450874831763,3025.1,11839.1,0.092692856720528,0.084829745294322,533.4,0.068315424121723,248.2,0.031788316961027,0.19086614173228,4.1326096062552,1.6441139302032,0.11549840546114,1.5162975960245,-40.2208,-0.064918944043413,7807.9,0.20480467951473,0.1861910080983,1336.8,63.82,1097.4,1564100,8525.8,596.1,19.860929374266,8525.8,1,3.2649790520418
"7",2005-12-31,184.6,1.26,0.1559,0.31763173060059,2723.4,7063.4,179.2,451,0.03843629886566,0.060721931253618,0.063850270408019,-32.9647,0.8,21.066827697263,196.6,0.0077607490922989,81.224,788.6,621.3774,985.2,0.21205,NA,11282.7,3.1871133583797,1.4271962557713,14.307253360386,11.452192448234,1.5190849972399,0.14,0.08,671.742,11733.7,0.11906447319987,3.36,16.910714285714,0.155,0.0977,0.12866339963486,0.001,0.7205,0.31909561967325,3540.1,10466,0.12112554939805,0.10803923741019,496.8,0.06688837127893,512,0.068934875392134,0.16349436392915,3.8429903796725,1.5047734069473,0.10617586471531,1.4091257926837,-50.3647,-0.081053253375672,7427.3,0.17552537216463,0.18241903502974,1248.8,56.82,1267.7,780200,7905.5,540.1,19.377892982781,7905.5,0.85,2.9399664252963
"8",2004-12-31,92.3,0.79,0.1792,0.35186721991701,NA,7276.7,165.1,262.9,0.024017686664657,0.035183276902694,0.036129014525815,36.6135,0.88169642857143,22.112228571429,198.6,0.0069855438051809,66.456,672.6161,482.407,871.2161,0.28279,NA,10683.2,3.1870170937621,1.4297070513764,15.883057687232,12.262399931829,1.5793971112195,0.15,0.1,479.2935,10946.1,0.13480011543694,5.99,17.207011686144,0.155,0.2019,0.1811984942517,0.013,0.8318,0.37852323168469,3352.1,9674.1,0.13148509938909,0.11620577191877,437.5,0.064679706095415,349.7,0.051699413077867,0.15189942857143,4.1289372599232,1.4741485714286,0.099439109415887,1.4302124451147,3.1135,0.0064541444858411,6764.1,0.1439118697941,0.18672641912078,1625.1,103.07,1272,412200,7472.3,437.5,22.112228571429,7472.3,0.95,3.0279668049793
"9",2003-12-31,92.3,0.56,0.2085,0.24586751561161,NA,5937.6,153.6,414.2,0.049127051902458,0.065189335515754,NA,18.8954,0.53717026378897,21.507692307692,188,0.0081730769230769,62.764,747.2125,504.9886,935.2125,0.32417,NA,8017,3.9378161992239,1.2617646133023,10.729210518539,8.5723834651993,1.424839156862,0.1,0.08,520.4932,8431.2,0.15044799245486,4.9,16.979591836735,0.155,0.1232,0.12237106063547,0.018,0.799,0.28696779843708,2035.9,7828.8,0.076946658491723,0.071448904070595,364,0.064692709629261,146.2,0.025983720186258,0.17242857142857,4.2370514693944,2.1507692307692,0.1328,1.391390893257,-15.5046,-0.030702947279443,5626.6,0.24804195213832,0.19700167776154,1384.1,83.2,602.4,95600,6353.8,364,21.507692307692,6353.8,0.95,3.4411656667075
"10",2002-12-31,91.8,0.51,0.2331,0.41045046913068,NA,5389.6,153.2,202.2,0.026790327923153,0.040559244177883,NA,215.8,0.4823,19.474488325166,171.4,0.008696656157023,58.752,535.8,366.6051,707.2,0.31578,NA,7345.3,NA,NA,13.709033221351,10.386453619909,1.4733917718091,0.095,0.05,384.8051,7547.5,0.15607837316313,4.25,17.24,NA,0.0309,0.18731754784301,0.045,0.7039,0.3014880510613,1726.9,6755.7,0.1172047308199,0.10490891023518,346.9,0.069584578661264,67.7,0.01357992497944,0.16936292879792,5.9401213400158,2.0499461394911,0.10747597937938,1.3551240647504,-18.2,-0.049644702682731,4985.3,0.21229085413168,0.30502066297371,1207,73.27,791.8,572968,5353.9,346.9,19.474488325166,5353.9,0.9,4.2534599571487
