"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,31.8,1.13,0.2984,0.2976,626.5,1281.1,22.2,34.9,0.0444,0.0194,0.0272,-1.16,0.8,7.88,37.3,0.0031,1.59,98,70.65,136,0.2805,0.2803,750.4,0.88,0.42,7.64,5.54,0.42,0.025,0.015,86.91,785.3,0.1012,1.04,15.67,0.01,0.03,0.1986,0.103,0.8865,0.4527,857,519.9,0.5105,0.338,66,0.0366,210.9,0.1171,0.0342,0.83,3.15,0.0545,0.29,-16.26,-0.2301,1801.1,0.0824,0.1053,422.1,16.3,265.4,163178,1791.2,46.5,11.18,1791.2,0.9,0.88
"2",2010-12-31,32.3,0.78,0.318,0.27390094602115,652.4,1280.4,17.4,48.5,0.065144392209537,0.028163289007607,0.037878787878788,9.1681,0.62893081761006,8.3205342237062,36.8,0.0032,1.5949,101.3,74.5446,138.1,0.26412,0.26412776412776,696,0.81882352941176,0.38604470575184,6.8706811451135,5.0398262128892,0.40415771441844,0.125,0.05,84.7766,744.5,0.10215557638238,2.07,7.3864734299517,-0.055,0.0171,0.40725642070934,0.112,0.9369,0.45142143080287,850,498.4,0.49378009630819,0.33055742108798,59.9,0.034783113640323,195.4,0.11346611695023,0.02662570951586,0.76394849785408,0.66564273789649,0.058823529411765,0.28941408745137,-10.2319,-0.13725919397269,1722.1,0.087699581176471,0.091814837522992,408.3,15.29,246.1,204186,1802.9,65.7,7.58599695586,1802.9,0.8,0.82860322760156
"3",2009-12-31,32.3,0.77,0.3753,0.28045151359672,701.2,1359.5,18,37.5,0.029901921696834,0.022148721280491,0.027583670467084,3.0974,0.46629363176126,19.34516765286,40.6,0.0017,1.6674,98,74.7201,138.6,0.23755,0.23759398496241,1216.6,1.2983991462113,0.70769588738293,12.414285714286,8.7777777777778,0.71856358159589,0.12,0.025,94.2227,1254.1,0.10415593968371,1.97,15.309644670051,-0.095,-0.0413,0.22455445544555,0.116,0.9525,0.471791099669,937,980.8,0.27865008156607,0.21792520532653,50.7,0.029945071171224,201.7,0.11913058886067,0.032886785009862,1.3987450085568,1.612097304405,0.057881991613017,0.57929242218416,-19.5026,-0.26100881408915,1693.1,0.079743970117396,0.072304620650314,395.2,30.16,273.3,171457,1719.1,58.8,16.680272108843,1719.1,0.7,1.2869163673679
"4",2008-12-31,32.1,0.6,0.3847,0.49911393724591,480.5,1314.5,20,47.6,0.036533885946734,0.027111693341687,0.036211487257512,-10.9163,0.29113595009098,19.120649651972,43.7,0.002,1.6482,92.5,70.7995,136.2,0.2346,NA,1255.3,1.3768783591094,0.74947758075109,13.570810810811,9.2165932452276,0.71498547587857,0.12,0.035,105.4158,1302.9,0.10916698364397,1.64,15.207317073171,-0.1,0.0924,0.29728395061728,0.137,NA,0.42563712438189,911.7,824.1,0.58099745176556,0.36748791158186,43.1,0.024548613088796,237.2,0.13510280799681,0.038241299303944,1.7150884495317,1.5933874709977,0.05268553853164,0.4693854303127,-34.6163,-0.48893434114849,1755.7,0.077656575627948,0.089698231009365,396.4,24.94,478.8,234287,1674.9,46.4,17.760775862069,1674.9,0.7,1.3581778380069
"5",2007-12-31,32,0.69,0.3605,0.49258105880198,554,1500,20.1,62.5,0.061564223798266,0.039008862813631,0.041666666666667,-21.1769,0.28848821081831,13.372549019608,43.7,0.003351487222455,1.6,81.3,73.8521,125,0.09161,NA,952.7,0.92558049159623,0.54377853881279,11.718327183272,7.6216,0.59461989764074,0.085,0.045,118.6291,1015.2,0.11293333333333,1.47,10.557823129252,-0.07,0.0675,0.33299899699097,0.139,NA,0.43193333333333,1029.3,477.4,1.1265186426477,0.52974783293932,35.7,0.022281862439146,226.5,0.1413681188366,0.044817927170868,0.86173285198556,1.5732410611303,0.050742728747971,0.29796529771564,-44.7769,-0.60630557502879,1602.2,0.071749836782279,0.064440433212996,366.8,15.52,537.8,185533,1752,41.1,11.615571776156,1752,0.65,0.92984063015204
"6",2006-12-31,32,0.99,0.2938,0.54142654700047,485.4,1490.5,21.8,82.4,0.060159158939914,0.055006675567423,0.055283461925528,-10.4181,0.40844111640572,21.074074074074,39.9,0.0020085362791865,1.6,74,65.4833,113.9,0.11509,NA,1287.3,1.318819793054,0.82492790772188,17.395945945946,11.302019315189,0.85934579439252,0.04,0.035,94.0014,1369.7,0.11667225763167,1.31,17.809160305344,-0.005,-0.0277,0.2336074683263,0.104,NA,0.39879235155988,976.1,796.6,0.71943258850113,0.41841279112214,37.8,0.025233644859813,249.7,0.16668891855808,0.042328042328042,1.6411207251751,5.2685185185185,0.049399198931909,0.53177570093458,-28.5181,-0.43550095963156,1498,0.067086712427005,0.0778739184178,343.1,23.33,573.1,397100,1560.5,27.5,28.967272727273,1560.5,0.75,1.2940009447331
"7",2005-12-31,31.7,1.78,0.2655,0.41682807778725,752.7,1623,31.5,25.9,0.019622698689295,0.016931424462313,0.015958102279729,9.4331,0.51224105461394,14.426199261993,40.5,0.0020271134416166,1.585,106.7,73.5729,147.2,0.31047,NA,1294,1.0230866540165,0.87414713233804,12.127460168697,8.7907608695652,0.84591750016343,0.01,0.025,73.1398,1319.9,0.10856438693777,1.16,21.163793103448,0.05,0.0793,0.29583481666073,0.154,0.8622,0.51078250154036,1264.8,781.9,0.68806752781686,0.40760663686643,54.2,0.035431784009937,292.1,0.19095247434137,0.029243542435424,1.0387936760994,14.426199261993,0.069752239001111,0.51114597633523,0.4331,0.0058860330485751,1529.7,0.058169553289057,0.072007439883088,341.8,24.55,538,184900,1480.3,37.2,21.018817204301,1480.3,0.85,1.0226233826606
"8",2004-12-31,31.4,0.45,0.2039,0.42201764480246,NA,1628.1,41.4,32.8,0.021309771309771,0.021083756508324,0.020146182666912,30.0065,0.44139283962727,13.152925531915,32.3,0.0015923566878981,1.57,121.5017,82.7803,153.8017,0.31869,NA,1506.4,1.185488313528,0.96831008549206,12.398182477806,9.7944313742217,1.0734696786147,0.125,0.095,43.6738,1539.2,0.11743750383883,2.04,15.392156862745,0.08,0.0727,0.23147557709476,0.136,0.8882,0.5013205577053,1270.7,989.1,0.55616216762714,0.35739345114345,75.2,0.053587971210718,276.3,0.19689303783938,0.020877659574468,1.3128484204938,1.0522340425532,0.086582826195397,0.70483859474097,39.1065,0.47241305517349,1403.3,0.065145439207366,0.099814175736661,297.1,31.4,550.1,199500,1555.7,75.2,13.152925531915,1555.7,0.8,1.1808208668968
"9",2003-12-31,30,0.55,0.2023,0.27637479348596,NA,1108.2,30.7,16.3,0.0096937258400238,0.012246431254696,NA,15.5882,0.54374691052892,20.270308123249,27.2,0.00087834870443566,1.2,139.9358,93.9081,167.1358,0.32892,NA,1665.2,2.0036096739261,1.2510894064613,11.899739194762,9.9631533248644,1.3351507376523,0.15,0.105,74.8199,1681.5,0.13544486554773,2.92,15.595890410959,0.085,0.1575,0.14746441281139,0.127,0.8845,0.38819707634001,831.1,1447.3,0.1618185586955,0.13928040440083,71.4,0.057248236048749,232,0.18601667735728,0.016806722689076,2.3602413568167,1.3513538748833,0.1122,1.1604393842206,19.0882,0.20326456098109,1247.2,0.11299259235615,0.11643835616438,262,45.54,234.2,55800,1331,71.4,20.270308123249,1331,0.8,1.9843049327354
"10",2002-12-31,30.3,-0.07,0.2678,0.33189595214912,NA,906.7,22.1,14.4,0.009557945041816,0.013220712449504,NA,-2.7,-0.055,19.567901234568,26.6,0.0011947949526814,1.515,107.1,71.862,133.7,0.32902,NA,1492.2,NA,NA,13.932773109244,11.160807778609,1.3699963275799,0.11,0.08,76.362,1506.6,0.14447998235359,2.36,17.135593220339,NA,0.0476,0.19435396308361,0.114,0.8248,0.35414139186059,704.5,1268,0.18817034700315,0.15836983937342,64.8,0.059493206022769,221.4,0.20326845391113,0.02337962962963,2.6400166562565,1.7789001122335,0.098329048843188,1.1641571795813,-4.5,-0.062620058306789,1089.2,0.1020041987225,0.13491567770144,220.3,40.44,238.6,120977,1177.2,64.8,19.567901234568,1177.2,0.8,2.1180979418027
