"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-29,11.6,1.79,0.4551,0.0524,222.5,358.4,8,47,0.1511,0.1401,0.1311,1.45,0.8,11.62,7.9,0,0,37,25.85,45,0.2994,0.292,264,1.41,0.75,7.15,5.89,0.79,0.165,0.105,24.3,311,0.1119,2.1,12.62,0.055,0.04,0.1387,0.038,0.906,0.3767,187.8,298.7,0.0412,0.0395,25.7,0.0766,32,0.0954,0,1.34,0.7,0.11,0.89,1.55,0.0599,335.5,0.1377,0.1155,108.4,26.51,12.3,28065,350.7,29.1,10.26,350.7,1.25,1.32
"2",2010-12-29,12.3,1.78,0.5121,0.099737532808399,205.8,336.8,3.4,61.8,0.21186150154268,0.22888888888889,0.18349168646081,3.5143,0.58582308142941,14.614130434783,7.2,0,0,25,19.551,32.2,0.21796,0.22689075630252,229.9,1.3782973621103,0.73733162283515,9.196,7.139751552795,0.85148148148148,0.195,0.045,19.8367,291.7,0.10956057007126,2.18,10.371559633028,0.065,0.2118,0.36912225705329,0.032,0.8846,0.37054631828979,166.8,268.9,0.084789884715508,0.078162495714776,18.4,0.068148148148148,22.7,0.084074074074074,0,1.3066083576288,0.74944258639911,0.092592592592593,0.99592592592593,-0.2857,-0.014613252708491,270,0.11721223021583,0.089407191448008,93.5,22.61,22.8,84255,311.8,23.9,11.251046025105,311.8,1.2,1.2760279965004
"3",2009-12-29,12.4,1.38,0.4737,0.10787037037037,192.7,307.7,2.8,45.7,0.14595975726605,0.20257092198582,0.14852128696783,2.6933,0.6333122229259,181.125,7.4,0,0,4,1.6,11.4,0.6,0.69811320754717,267.4,1.5701702877275,1.0544164037855,66.85,23.456140350877,1.1852836879433,0.1,0.055,3.5067,313.1,0.124796880078,1.29,18.271317829457,0.09,-0.3067,0.29723991507431,0.032,0.9029,0.40851478713032,170.3,289.8,0.08040027605245,0.074417119131268,1.6,0.0070921985815603,21.7,0.096187943262411,0,1.5038920601972,18.1125,0.017730496453901,1.2845744680851,-1.9067,-1.1917109929078,225.6,0.009395184967704,0.0083030617540218,86.9,23.57,23.3,54817,253.6,14.3,20.265734265734,253.6,1.2,1.449537037037
"4",2008-12-29,12.6,1.48,0.4276,0.22329705763805,192.7,356.9,6.2,40.1,0.15824782951855,0.12181044957473,0.1123564023536,-17.3264,0.44901777362021,9.041095890411,7.5,0,0,29.4,22.9435,36.9,0.21961,NA,213.3,1.0254807692308,0.90381355932203,7.2551020408163,5.7804878048781,0.64793438639125,-0.04,0.02,41.5698,253.4,0.116559260297,0.32,49.875,0.16,0.0327,0.44468175993165,0.035,0.877,0.35051835247969,208,198,0.27979797979798,0.21862667719021,21.9,0.066524908869988,61.2,0.18590522478736,0,1.0275038920602,NA,0.089307411907655,0.60145808019441,-18.6264,-0.81183753798063,329.2,0.110305125,0.11364815775817,106.5,15.96,55.4,66502,236,4.4,45,236,1.2,1.0213623538896
"5",2007-12-29,14.4,1.54,0.3935,0.12738654147105,278.8,437.1,4.9,61.6,0.30285152409046,0.16807639836289,0.14092884923359,1.2267,0.46759847522236,6.4055118110236,7.4,0,0,37.2,26.954,44.6,0.27543,NA,141.8,0.54982551376502,0.3955369595537,3.8118279569893,3.1793721973094,0.3869031377899,0.15,0.09,28.2273,203.4,0.095859071150766,2.1,6.4190476190476,0.07,0.0399,0.46841862609497,0.038,0.921,0.39762068176619,257.9,162.7,0.25015365703749,0.20009832841691,25.4,0.069304229195089,56.2,0.15334242837654,0,0.58357245337159,0.42703412073491,0.10150068212824,0.44392905866303,-1.2733,-0.04723827202028,366.5,0.1045133927879,0.091104734576757,101.6,13.48,40.7,168390,358.5,26.6,6.1165413533835,358.5,1.15,0.63661971830986
"6",2006-12-29,14,2.64,0.3606,0.18493150684932,238,393.1,4.1,39.6,0.080471448892502,0.11592505854801,0.10073772576952,-2.0909,0.5324459234609,23.939890710382,7.8,0,0,30.2,20.5662,38,0.319,NA,452.5,1.7927892234548,1.2717818999438,14.983443708609,11.907894736842,1.3246487119438,0.195,0.115,26.3571,492.1,0.10404477232256,1.74,16.465517241379,-0.03,0.3605,0.2085197780562,0.071,0.9457,0.43703892139405,252.4,438.1,0.12325952978772,0.10973379394432,18.3,0.053571428571429,50.3,0.14724824355972,0,1.840756302521,1.2276867030965,0.088407494145199,1.2824941451991,-5.7909,-0.28157486840291,341.6,0.081482567353407,0.076890756302521,96.4,28.65,54,88600,355.8,21.7,20.188940092166,355.8,1.2,1.6852739726027
"7",2005-12-29,13.6,3.17,0.3669,0.21094640820981,207.6,355.8,3.2,40.8,0.1012909632572,0.16741895773492,0.11467116357504,-13.4539,0.41428182065958,35.080808080808,6.9,0,0,14.5,10.4011,21.4,0.28268,NA,362,1.6284300494827,1.1351520852932,24.965517241379,16.915887850467,1.4854329093147,0.21,0.115,27.5551,402.8,0.092467678471051,1.52,16.03947368421,-0.095,0.2827,0.2183757892445,0.094,0.9111,0.45165823496346,222.3,347.3,0.15980420385834,0.13778550148957,9.9,0.040623717685679,43.6,0.17890849405006,0,1.6729287090559,1.6705146705147,0.059499384489126,1.4251128436602,-17.1539,-1.6492344831975,243.7,0.046788753936122,0.047687861271676,79.5,24.38,55.5,29400,318.9,14.2,24.457746478873,318.9,0.95,1.5309768148993
"8",2004-12-29,13.9,0,0,0,NA,285.2,2.2,82.1,0.32310114128296,0.38983855650522,0.28786816269285,2.52,NA,22.28947368421,3.6,0,0,16.368,11.3815,19.968,0.30465,NA,172,1.319018404908,0.81671415004748,10.508308895406,8.613782051282,0.88205128205128,0.175,0.14,10.2615,254.1,0.059957924263675,1.22,15.16393442623,-0.105,-0.0305,0.16834677419355,0.088,0.9007,0.26086956521739,130.4,254.1,0,0,11.4,0.058461538461539,31.5,0.16153846153846,0,1.1957647058823,1.2736842105263,0.083938461538462,1.3030769230769,1.12,0.098405403693759,195,0.087281355828221,0.053647058823529,59.4,18.5,0,20900,210.6,11.4,22.28947368421,210.6,0.8,1.1957647058823
"9",2003-12-29,14.1,0,0,0.0028248587570621,NA,271.7,4,74.5,0.26371681415929,0.36182612918893,NA,0.3915,NA,23.889830508475,5.1,0,0,23.3415,14.4715,28.4415,0.38001,NA,208,1.5083393763597,1.0101991257892,8.9111858946209,7.313269893061,1.022113022113,0.2,0.11,15.1799,282.5,0.094957673905042,1.12,18.535714285714,-0.13,0.0919,0.14445797807552,0.067,0.8828,0.27051895472948,137.9,281.9,0.0021284143313232,0.0021238938053097,11.8,0.057985257985258,33.2,0.16314496314496,0,1.3309726156752,1.1944915254237,0.1147,1.385257985258,-0.7085,-0.048955103010571,203.5,0.10494173738579,0.055712936732767,58.4,20.76,0.6,9400,205.9,11.8,23.889830508475,205.9,0.7,1.3300376647834
"10",2002-12-29,14,0,0,0.0065753424657534,NA,231.5,3.3,44.4,0.15606326889279,0.23909531502423,NA,15.8,0,34.975308641975,5.2,0,0,15.3,9.5018,20.5,0.37897,NA,240.1,NA,NA,15.692810457516,11.712195121951,1.2929456112009,0.12,0.06,11.4018,284.5,0.11015118790497,0.88,23.443181818182,NA,-0.2382,0.22543352601156,0.076,0.8718,0.31187904967603,138.1,283.3,0.0042357924461701,0.0042179261862917,8.1,0.043618739903069,30.8,0.16585891222402,0,1.5626034197463,2.9146090534979,0.082390953150242,1.5255788906839,-1.9,-0.19996297527647,185.7,0.068803468501086,0.044677330391616,55.1,20.63,1.2,49518,199,10.1,28.049504950495,199,0.65,1.7385952208544
