"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-11-30,77.1,2.13,0.5662,0.7815,442.7,2512.5,0.2,482.6,0.1746,0.3667,0.1921,318.28,0.8,NA,2,0.0065,7.71,-469,-469.41,-467,0,2281.8,1.48,1.46,NA,NA,1.73,NA,0.11,-785.89,2764.4,0,0.05,316,NA,-0.295,0.4742,0.0509,0.9322,0,1543.7,1180.8,1.3411,0.5729,-178.8,-0.1359,1715.1,1.3034,NA,2.67,NA,-0.3567,0.9,316.48,NA,1315.9,-0.3041,-0.4039,247.9,15.8,1583.6,4216121,1560.1,-58.9,NA,1560.1,1.55,1.36
"2",2010-11-30,77,2.1,0.5814,0.73751765390047,631.9,3109.7,0.4,1023.9,0.44384238588582,0.64396226415094,0.32926005724025,-274.8585,0.66649466804266,NA,3.3,0.0363,19.2898,-9.6163,-9.6163,-6.3163,0,1283,0.92735814962053,0.97499810015959,NA,NA,0.80691823899371,NA,NA,268.1422,2306.9,0,-0.1,NA,NA,-0.1301,0.52484619025083,0.045,NA,0,1383.5,531.4,3.3411742566805,0.76964757900212,-69.4,-0.043647798742138,1594.4,1.0027672955975,NA,0.84095584744422,NA,-0.006048,0.33421383647799,-277.7585,NA,1590,-0.006950719190459,-0.10982750435195,289.5,6.72,1775.5,4366696,1315.9,-175.2,NA,1315.9,1.55,0.95825371770375
"3",2009-11-30,76.8,1.57,0.5998,0.72020889381231,707.2,3436,1.4,1292.3,0.44351019287528,0.70818719859711,0.3761059371362,-9.3384,0.6460486828943,NA,5.2,0.0176,19.2438,-231.2927,-231.2927,-226.0927,0,1621.5,1.3126366064924,0.89407807675342,NA,NA,0.88859053046909,NA,-0.055,-218.1543,2913.8,0,-0.6,NA,NA,-0.3918,0.36197564276049,0.034,0.8402,0,1235.3,1093.4,1.6648984817999,0.62475118402087,-101.8,-0.055786935554581,1521.5,0.83379000438404,NA,1.5460972850679,NA,-0.12674962735642,0.59918895221394,-13.1384,NA,1824.8,-0.18723607220918,-0.1439479638009,303,13.49,1820.4,3050990,1813.6,13.9,78.661870503597,1813.6,1.55,1.1527931634752
"4",2008-11-30,77.7,1.63,0.6019,0.70037155946755,830.6,4044.3,0,1256.9,0.41700673501211,0.41428524341606,0.3107830774176,-623.0036,0.41202857617544,NA,9.3,0.0178,19.0923,-854.2412,-854.2412,-844.9412,0,1757.2,1.1597148891236,0.84913501498019,NA,NA,0.57918850324665,NA,-0.15,-221.9375,3014.1,0,-0.75,NA,NA,-0.5295,0.45008756567426,0.028,0.9642,0,1515.2,1072.6,1.8100876375163,0.64413921236853,-976.1,-0.32173110517815,1959.7,0.64593427601437,NA,1.2913556465206,NA,-0.281565361416,0.35353834997857,-632.3036,NA,3033.9,-0.56378111800422,-1.1751745725981,501,13.68,1941.5,4834813,2069.4,-509.8,NA,2069.4,1.55,1.0872984380073
"5",2007-11-30,77.3,0.99,0.4194,0.53876635514019,1850.7,5706,0,1325.3,0.39181079083518,0.20654562456168,0.23226428321066,1026.6112,0.61039580352885,NA,17.3,0,0,-1332.0408,-1332.0408,-1314.7408,0,2057.2,0.76555522476928,0.49150639111217,NA,NA,0.32061092495909,NA,-0.18,-2341.352,3382.5,0,-2.11,NA,NA,-0.4191,0.61549178044023,0.028,0.951,0.011917280056081,2687.2,1220.7,1.7709510936348,0.63911308203991,-1414.8,-0.2204940388062,2952.6,0.46015740668589,NA,0.65958826390015,NA,-0.20759617392659,0.19024390243902,1009.3112,NA,6416.5,-0.49569844075618,-0.76446749878424,824.6,13.62,2161.8,2292148,4185.5,-1441.5,NA,4185.5,1.6,0.84299065420561
"6",2006-11-30,77,2.95,0.3796,0.51678928659998,2922.7,9014.5,22.1,639.2,0.11849105570488,0.058089023791781,0.070907981585224,1721.6389,0.63224446786091,4.7029436152571,20.2,0.033940141931503,77,770.1,532.1391,790.3,0.309,4755.3,0.87909711053186,0.60258505987455,6.1749123490456,6.0170821207137,0.43215071157237,-0.145,-0.1,-1191.3998,5394.5,0,-3.19,NA,0.265,0.2389,0.50509930220075,0.034,0.8733,0.025935992012868,5409.3,2268.7,1.3777934499934,0.57944202428399,482.4,0.043839400934223,6087,0.55317254039514,0.15961857379768,0.77623430389708,NA,0.069984914302332,0.2061742307203,1723.5389,3.2388879100818,11003.8,0.098374854417392,0.16505286207958,1374.3,18.67,3125.8,5250057,7891.5,-674.8,NA,7891.5,1.5,0.89187401835166
"7",2005-11-30,81.9,2.41,0.3453,0.46351236948547,2851.7,7746.9,24,154,0.021471793870779,0.016310622027813,0.019878919309659,-711.8544,0.55603822762815,5.5892687559354,20.5,0.017394443972475,81.9,1368,889.2137,1388.5,0.34999,7018.2,1.3597210113339,0.66184458694832,5.1302631578947,5.0545192653943,0.74331952932205,0.035,0.1,1597.5681,7172.2,0,NA,NA,0.315,0.2854,0.36786786786787,0.086,0.8351,0.031315752107295,5161.5,4708.4,0.52327754651262,0.34352081648588,842.4,0.089221220754737,5782.6,0.61245326583136,0.097222222222222,1.6510853175299,1.5969339302673,0.1448891619094,0.49868138153087,-708.3544,-0.79660766226156,9441.7,0.17227815170009,0.29540274222394,1165.1,51.28,2463.8,1053800,10604,919.3,5.1217230501468,10604,1.2,1.3492992192644
"8",2004-11-30,78.6,0.74,0.3336,0.49908623504471,NA,5836,23.2,234.2,0.02573767789439,0.027006146146839,0.040130226182317,887.0455,0.44364508393285,14.662715741318,21.8,0.010307861462342,58.95,787.85,527.9067,809.65,0.32994,8865.3,2.2909527870377,1.0222783408863,11.252523259632,10.949546641119,1.2570079544004,0.2,0.17,-360.5388,9099.5,0,11.25,6.4675555555556,0.305,0.1966,0.26874536005939,0.086,0.8347,0.042717614804661,3869.7,7051.3,0.29047126061861,0.22508929062036,480.9,0.068186651920541,3863.2,0.5477618500716,0.12258265751715,3.4301211266235,0.73313578706592,0.11170898521134,0.99980149446311,888.4455,1.6829592532605,7052.7,0.13642058665984,0.23393491268181,938.9,72.76,2048.2,983400,8672.1,480.9,14.662715741318,8672.1,1.15,2.2172811228344
"9",2003-11-30,39,0.4,0.313,0.46652600555946,NA,4235.9,13.1,138.1,0.025510769571803,0.021099109284525,NA,323.8751,0.2555910543131,10.842502696872,21.5,0.0096172340834776,39,626.5993,419.7588,648.0993,0.3301,5275.3,1.8524123885104,0.80596764090263,8.4189374880526,8.1396482384504,0.90166820497043,0.145,0.125,104.2837,5413.4,0,13,7.9984615384615,0.335,0.1943,0.26297768266585,0.105,0.8485,0.054061710616398,2847.8,4020.4,0.34648293702119,0.25732441718698,370.8,0.063378115065122,2727.6,0.46620859399036,0.10517799352751,2.5239500282504,0.7477588066808,0.1071,0.68717738351622,315.4751,0.75156274739306,5850.6,0.14739758560082,0.23278297444912,766.4,103.98,1393,646000,6545.3,370.8,10.842502696872,6545.3,1.15,1.8129877088985
"10",2002-11-30,40.1,0.33,0.3386,0.56992440604752,NA,4025.5,31.1,330,0.072265411146392,0.065595929076886,NA,697.8,0.2151,9.152989821883,17.2,0.0041804218646836,12.03,521.9,349.6208,539.1,0.3301,4236.5,NA,NA,8.1174554512359,7.8584678167316,0.84211258646736,0.12,0.09,335.7208,4566.5,0,9.6,7.6697916666667,NA,0.1591,0.28669148844056,0.0869,0.7117,0.048341820891815,2633.2,2877.7,0.58685755985683,0.36982371619402,314.4,0.062495030611434,2056.2,0.4087222708118,0.038263358778626,2.2580822347772,0.76274915182358,0.10374095571281,0.57201637910472,13.9,0.03975735883685,5030.8,0.13277411894273,0.24670433145009,618.7,73.63,1688.8,1026782,5850.6,NA,NA,5850.6,1.15,1.6088789305788
