"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-30,18.4,2.22,0.4602,0,117.7,202.6,26.7,83.1,0.4632,0.1931,0.4102,0.1,0.8,9.39,7.5,0,0,73,45.65,81,0.3747,0.3758,96.3,2.78,0.22,1.32,1.2,0.22,0.14,26.35,179.4,0.2976,NA,NA,0.62,NA,0.3567,NA,0.6964,0,34.6,179.4,0,0,19.1,0.0444,10.1,0.0235,0,1.52,0.67,0.1696,0.42,19.3,0.4228,430.3,1.3193,0.1623,4.9,10.59,0,78986,434.6,14.8,12.12,434.6,1.2,1.52
"2",2011-01-30,19.9,2.08,0.6779,0,118.3,195.1,22.6,91.2,0.35905511811024,0.21960028894775,0.4674525884162,0.1271,0.42410385012539,9.6212121212121,6.2,0,0,78.9,49.4545,85.1,0.3732,0.37440758293839,162.8,6.0073800738007,0.38688212927757,2.063371356147,1.9130434782609,0.39200577895497,0.115,32.9274,254,0.23680164018452,NA,NA,0.22,0.0141,0.35702341137124,NA,0.6925,0,27.1,254,0,0,26.4,0.063568504695401,9.6,0.023115819889237,0,2.1470836855452,0.83662714097497,0.18998314471466,0.61160606790272,16.5271,0.33418860418402,415.3,1.8248900369004,0.22316145393069,4,13.3,0,160849,420.8,18.3,13.879781420765,420.8,1.15,2.1470836855452
"3",2010-01-30,19.7,1.82,0.7846,0,88.5,165.5,10.3,76.4,0.29867083659109,0.18808468734614,0.46163141993958,-0.0242,0.36642875350497,7.393063583815,14.5,0,0,80.5,59.2295,95,0.26423,0.26382978723404,179.4,14.826446280992,0.42867383512545,2.2285714285714,1.8884210526316,0.44165435745938,0.125,63.4537,255.8,0.22296072507553,1.26,11.134920634921,-0.155,0.0331,0.41,NA,0.8148,0,12.1,255.8,0,0,34.6,0.085179714426391,-0.8,-0.0019694731659281,0,2.890395480226,0.5914450867052,0.19817823732152,0.62973904480552,-4.2242,-0.071319622649782,406.2,4.8949987603306,0.3909604519774,2.2,14.03,0,337602,418.5,34.2,7.4795321637427,418.5,1.15,2.890395480226
"4",2009-01-30,19.7,1.6,0.8642,0,52.4,126.8,2.7,36.4,0.10259301014656,0.093023255813954,0.28706624605678,0.016,0.19439944457302,38.150537634409,18.7,0,0,45.4,41.8761,64.1,0.07762,NA,318.4,19.9,0.80201511335013,7.0132158590308,4.9672386895476,0.813697929977,0.115,57.86,354.8,0.32965299684543,NA,NA,NA,-0.0171,0.79738562091503,NA,0.6448,0,16,354.8,0,0,9.3,0.023766930743675,1.1,0.0028111423460261,0,6.7709923664122,3.317438055166,0.11602351137235,0.90672118579095,-15.984,-0.38169731207296,391.3,2.61725325,0.17748091603053,1.5,17.37,0,376353,397,27.5,12.901818181818,397,1.05,6.7709923664122
"5",2008-01-30,19.6,0.82,0.7325,0,42.6,122.1,14.8,5.8,0.11485148514851,0.014620620115957,0.047502047502047,0.0189,0.24027303754266,NA,19.9,0,0,19.9,19.9,39.8,0,NA,44.7,1.2146739130435,0.11287878787879,2.2462311557789,1.1231155778894,0.11267960675574,NA,24.9811,50.5,0.51597051597052,0.21,12.619047619048,NA,-0.1103,0.69014084507042,NA,0.1583,0,36.8,50.5,0,0,-25.9,-0.065288631207462,10.7,0.026972523317368,NA,1.1854460093897,NA,0.050163851777162,0.12730022687169,-5.0811,-0.25533262480793,396.7,0.54076086956522,-0.60798122065728,NA,2.65,0,15311,396,-4.3,NA,396,1.1,1.1854460093897
"6",2007-01-30,19.6,1.8,0.523,0,68,151.5,19.5,25.4,1.4189944134078,0.056848701880036,0.16765676567657,0.2573,0.26003824091778,NA,18.1,0,0,44.8,44.8,62.9,0,NA,-7.5,-0.17605633802817,-0.017609767551068,-0.16741071428571,-0.11923688394277,-0.016786034019696,0.13,43.1427,17.9,0.47062706270627,-0.8,NA,NA,0.0609,0.83035714285714,NA,0.63,0,42.6,17.9,0,0,-0.1,-0.00022381378692928,5.5,0.01230975828111,NA,0.26323529411765,NA,0.10026857654431,0.04006266786034,1.6573,0.03699272205525,446.8,1.0516431924883,-0.0014705882352941,NA,0.8601,0,57029,425.9,-16.1,NA,425.9,0.85,0.26323529411765
"7",2006-01-30,19.3,0.46,0.5107,0,66.4,146.6,24.1,15,0.15120967741936,0.036135870874488,0.10231923601637,-0.6311,0.32896025063638,496,15.3,0,0,39.7,20.8997,55,0.47356,NA,84.2,1.6381322957198,0.19454713493531,2.1209068010076,1.5309090909091,0.20284268850879,0.155,12.7307,99.2,0.49181446111869,0.03,167.33333333333,NA,0.0481,0.3195020746888,NA,0.8564,0,51.4,99.2,0,0,0.2,0.00048181161165984,14.8,0.035654059262828,0,1.4939759036145,32,0.095639604914478,0.23897855938328,8.1689,0.39086377597232,415.1,0.40660832684825,0.0030120481927711,NA,5.02,0,6186,432.8,-1.4,NA,432.8,1.05,1.4939759036145
"8",2005-01-30,19.3,0.84,0.5651,0,NA,130.1,30,17.9,0.15497835497835,0.044088669950739,0.13758647194466,0.2853,0.29729251459919,16.985294117647,12.1,0,0,48.5193,29.4366,60.6193,0.3933,NA,97.6,2.0677966101695,0.24039408866995,2.0115714825117,1.6100488161522,0.2474645030426,0.154,11.2514,115.5,0.49192928516526,0.11,54.272727272727,NA,0.063,0.37053087757313,NA,0.7348,0.01076095311299,47.2,115.5,0,0,6.8,0.017241379310345,9.7,0.024594320486815,0,1.7741935483871,1.1029411764706,0.12302048681542,0.29284989858012,18.1853,0.617777357894,394.4,0.62365777915254,0.10445468509985,0,5.97,0,69810,406,1.5,77,406,1.15,1.7741935483871
"9",2004-01-30,19.2,0,0,0,NA,103.1,15.8,17.4,0.07256046705588,0.045454545454545,NA,0.3831,NA,13.24861878453,7.5,0,0,125.6018,76.3295,133.1018,0.39229,NA,222.4,5.3205741626794,0.58098223615465,1.7706746971223,1.6709010183481,0.602383531961,0.154,67.6464,239.8,0.32104752667313,0.37,33.45945945946,NA,0.0666,0.47941381716678,NA,0.6385,0.013579049466537,41.8,239.8,0,0,18.1,0.049024918743229,10.4,0.028169014084507,0,4.0506756756757,0.8602999210734,0.3402,0.64951245937161,8.6831,0.11375810470255,369.2,1.8260644542201,0.30574324324324,0,12.38,0,38577,382.8,9.5,25.242105263158,382.8,1.2,4.0506756756757
"10",2003-01-30,18.9,0,0,0,NA,79.1,8.4,4.2,0.012269938650307,0.012298682284041,NA,1.4,0,20.871951219512,6.7,0,0,114.2,68.3156,120.9,0.40179,NA,338.1,NA,NA,2.9605954465849,2.7965260545906,0.9900439238653,0.174,66.6156,342.3,0.31858407079646,1.02,17.480392156863,NA,-0.5573,0.38742644781666,NA,0.72,0.017699115044248,35,342.3,0,0,16.4,0.048023426061493,8.3,0.024304538799414,0,8.7321428571429,1.1995374264087,0.33440702781845,1.0023426061493,1.7,0.02488451317007,341.5,1.9518737714286,0.41836734693877,0,17.83,0,60026,362.2,23.9,14.322175732218,362.2,NA,9.66
