"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-02-28,227.1,1.9,0.4487,0.654,2673.1,8331.5,172.6,442.7,0.0326,0.0443,0.0531,57.84,0.8,20.59,82.8,0,0,438,271.77,521,0.3795,0.3795,13127.7,1.8,1.24,29.97,25.21,1.31,0.09,0.095,124.13,13570.4,0.1535,2.05,18.31,0.17,0.055,0.2126,0.024,0.9883,0,7282.1,8518.7,0.593,0.3723,413.8,0.0414,953,0.0953,0,3.19,2.29,0.0438,0.85,147.64,0.5432,10003.6,0.0373,0.1548,940.8,37.54,5051.7,2183530,10610.7,419.8,20.29,10610.7,1.2,1.76
"2",2011-02-28,225.9,1.3,0.4967,0.63828645389399,2291.6,6839.9,76.6,41.1,0.0038094355361943,0.0045790810642186,0.0060088597786517,89.2059,0.60398630964365,17.708584930428,59.4,0,0,396.2,245.9768,455.6,0.37916,0.37913610431948,10747.9,1.7075608089859,1.0989335705449,27.127460878344,23.590649692713,1.1974575515843,0.155,0.105,139.5709,10789,0.13450489042238,1.98,15.393939393939,0.125,0.1865,0.23833416959358,0.021,NA,0,6294.3,6745.2,0.59950779813793,0.37480767448327,380.9,0.042437274388342,995,0.11085609875663,0,2.9434456275092,1.1424893503502,0.044141895806409,0.75150407772182,106.4059,0.43258510237054,8975.6,0.039079295235372,0.16621574445802,905.1,30.48,4043.8,2547789,9780.3,410.5,16.431668696711,9780.3,1.2,1.7029706095905
"3",2010-02-28,223.1,1.47,0.5613,0.071857149714395,1933.6,2556.2,22.4,18.3,0.0024800108415775,0.0024497336082033,0.0071590642359753,171.9659,0.53447354355959,25.663116790912,58.3,0,0,280.2,174.4189,338.5,0.37752,0.37745856353591,7360.7,3.5645036319613,0.8602868129171,26.269450392577,21.745051698671,0.98534175791813,0.195,0.07,38.353,7379,0.34954228933573,1.68,18.97619047619,0.09,0.0583,0.31819846210179,0.02,0.9705,0,2065,7229.3,0.020707399056617,0.020287301802412,281.7,0.037709833739391,1183,0.15836256057401,0,3.7387774100124,1.3160572713288,0.037509035902653,0.96775186741988,136.0659,0.7801098828611,7470.2,0.084464356416465,0.14568680182044,818.7,31.88,149.7,2471655,8556.1,366.8,19.709105779716,8556.1,1.2,3.5419766716267
"4",2009-02-28,220.4,1,0.4824,0.17426009433473,1593.1,2379.2,185.7,140.6,0.024700033378424,0.020160596501291,0.059095494283793,15.5916,0.39800995024876,90.474662162162,54.7,0,0,85.9,52.5467,140.6,0.38828,NA,5551.7,3.1037625090848,0.78110446711221,64.62980209546,39.485775248933,0.79605678233439,0.135,0.05,-94.0448,5692.3,0.39437626092804,0.96,25.260416666667,0.075,-0.1563,0.56299336911904,0.019,0.9755,0,1788.7,5356.1,0.062769552472881,0.059062241976003,59.2,0.0084886722110697,814.5,0.11679093776886,0,3.3620613897433,6.7018268268268,0.012317178090049,0.76800975050186,146.5916,2.7897366777511,6974,0.029377060434953,0.037160253593623,882.4,24.25,336.2,3056714,7107.5,222.9,24.029161058771,7107.5,1.2,2.9504483491422
"5",2008-02-28,218.6,1.49,0.3893,0.17089876378216,1488.9,2333.2,253.1,13,0.0066862109756725,0.0015854431923509,0.005571746956969,74.1986,0.53429231954791,8.9967032967033,46.6,0,0,214.1,131.1876,260.7,0.38726,NA,1931.3,1.0832959389724,0.25586910439852,9.0205511443251,7.4081319524357,0.23553587979901,0.065,0.07,-149.511,1944.3,0.3696639807989,0.57,13.824561403509,0.18,0.0853,0.59944367176634,0.038,NA,0,1782.8,1637.4,0.18743129351411,0.15784601141799,182,0.022196204692912,933.7,0.11387140836138,0,1.0997380616563,1.3841081994928,0.026111029806332,0.19969266793502,280.6986,2.139672781112,8199.6,0.073585166030963,0.12223789374706,858.4,7.88,306.9,2619385,7548,43.5,37.641379310345,7548,1.3,1.0826929502172
"6",2007-02-28,216,1.15,0.2815,0.12939698492462,1247.4,1885.6,191.8,19.5,0.0043912984731793,0.0026119452964893,0.010341535850658,-59.0591,0.8,21.425981873112,34.6,0,0,194.8,119.6442,229.4,0.38581,NA,4421.1,3.128210571004,0.5500385677673,22.695585215606,19.272449869224,0.59218827437481,0.17,0.115,21.5033,4440.6,0.34567246499788,1.08,18.092592592593,0.28,0.1588,0.22649172133708,0.038,NA,0,1413.3,4255.2,0.043570219966159,0.041751114714228,198.6,0.026601658250399,770.7,0.10323211487202,0,3.4112554112554,1.2603518748889,0.026092663782365,0.56996664746775,98.1409,0.82027291952677,7465.7,0.084655920186797,0.15921115921116,776.2,19.54,185.4,4700274,8037.8,202.3,21.034107760751,8037.8,1.45,3.0992462311558
"7",2006-02-28,105,2.12,0.3136,0.16894700381018,959.7,1489.2,194.4,21.8,0.0036567977857922,0.003482428115016,0.014638732205211,-59.3641,0.76530612244898,38.9358541526,26.7,0,0,138.7,85.5696,165.4,0.38306,NA,5939.7,5.242453662842,0.86555528029961,42.82408074982,35.911124546554,0.9488338658147,0.2,0.145,-22.7663,5961.5,0.33528068761751,1.88,28.526595744681,0.78,0.1827,0.3347841857091,0.038,0.9226,0,1133,5766.4,0.033833934517203,0.032726662752663,148.1,0.023658146964856,617,0.098562300319489,0,6.0085443367719,1.94679270763,0.022156549520767,0.92115015974441,108.3359,1.2660565711516,6260,0.075524781994704,0.15431905803897,652,53.63,195.1,523800,6862.3,178,32.395505617977,6862.3,1.5,5.1623657776238
"8",2005-02-28,104.3,0,0,0.19505577328912,NA,1293,230.1,29.1,0.0093647422282294,0.0048239506664014,0.022505800464037,84.0015,NA,25.804251550044,20.1,0,0,103.5171,63.3524,123.617,0.388,NA,3078.3,3.1866459627329,0.510294410185,29.737130260184,24.901904712983,0.58519476075509,0.18,0.125,-230.649,3107.4,0.31423047177107,1.44,19.215277777778,NA,0.139,0.17092866756393,0.038,0.9911,0,966,2913.3,0.06662547626403,0.062463796099633,112.9,0.021462654221242,572.3,0.10879607626941,0,3.6370786516854,1.433569530558,0.01967892515636,0.55382772845655,294.0015,4.6407285267552,5260.3,0.065582230434783,0.14094881398252,546.6,27.67,194.1,856900,6032.4,112.9,25.804251550044,6032.4,1.55,3.1227012360567
"9",2004-02-28,103.8,0,0,0.13295975547631,NA,1037,181.3,61.6,0.018766756032172,0.012366746301018,NA,39.5266,NA,27.302405498282,16.2,0,0,118.6207,72.9517,134.8207,0.385,NA,3220.8,4.4510779436153,0.64660416373893,27.152099811281,23.889513669493,0.70052417513104,0.135,0.055,-131.6749,3282.4,0.23539054966249,1.17,26.333333333333,NA,0.1264,0.34542157751587,0.033,0.9912,0,723.6,3178,0.032850849590938,0.031805995612966,116.4,0.025317006329252,474,0.10309502577376,0,4.6680376028202,2.0224004072801,0.0258,0.69121517280379,204.6266,2.8049602179578,4597.7,0.10081772512438,0.17097532314924,468.4,30.81,104.4,564300,4981.1,0,NA,4981.1,1.55,4.1803362200713
"10",2003-02-28,103.1,0,0,0.21964260588153,NA,917.6,122,169.6,0.049602246139448,0.041852774967302,NA,29.1,0,34.420886075949,14.9,0,0,158.2,95.711,173.1,0.395,NA,3249.6,NA,NA,20.541087231353,18.772963604853,0.8019149618735,0.205,0.02,-11.389,3419.2,0.20030514385353,1.25,24.968,NA,-0.5453,0.51884057971014,0.029,0.8746,0,541.1,3263.1,0.047837945511936,0.04565395414132,94.8,0.023394121856723,347,0.085630382745601,0,5.883699963938,1.6790676134609,0.039039557782,0.80524640327715,107.1,1.118993637095,4052.3,0.17688227684347,0.17093400649116,392.4,31.21,156.1,1257341,4333.2,108.8,29.991727941176,4333.2,1.55,6.0055442616891
