"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,12.9,2.28,0.4774,0.1598,248.7,505.5,12.1,16.9,0.0227,0.0247,0.0334,5.06,0.8,16.03,11.5,0.0181,12.64,58,44,69,0.2401,0.266,729.1,2.61,1.03,12.59,10.51,1.07,0.11,0.03,38.34,746,0.164,3.73,14.44,0.23,0.015,0.2024,0.065,0.7845,0.1778,279.1,698.7,0.0677,0.0634,43.6,0.0638,136.7,0.2001,0.2961,2.81,1.46,0.0847,1.02,5.66,0.1287,683.2,0.1576,0.1753,164.7,53.86,47.3,69297,708.5,42.7,16.36,708.5,1.45,2.52
"2",2010-12-31,11.5,3.31,0.7335,0.29310344827586,180.4,449.4,9.4,25.8,0.044284243048404,0.047417754089322,0.057409879839786,17.7453,0.49420586230402,15.968553459119,9.9,0.0243,12.3395,53.5,38.8945,63.4,0.273,0.31168831168831,556.8,2.4272013949433,0.85385677043398,10.407476635514,8.782334384858,1.0233412975556,0.16,0.02,21.6492,582.6,0.17022696929239,3.27,11.892966360856,0.005,0.1624,0.3124197918152,0.065,0.715,0.17089452603471,229.4,507.8,0.147302087436,0.12838997596979,31.8,0.058445138761257,89.4,0.16430803161184,0.3880358490566,2.8148558758315,0.99803459119497,0.098327513324757,0.93328432273479,17.2453,0.44338575927389,544.1,0.16954882301656,0.17627494456763,139.3,38.89,74.8,74312,652.1,40.7,12.476658476658,652.1,1.45,2.2829153605016
"3",2009-12-31,11.1,2.85,0.7768,0.30404783808648,151.3,398.5,13.8,27.4,0.048841354723708,0.060686600221484,0.068757841907152,13.4888,0.45056642636457,30.549382716049,10.6,0.0216,10.6898,30.8,21.6154,41.4,0.2982,0.31645569620253,533.6,2.8084210526316,0.99962532783814,17.324675324675,12.888888888889,1.181838316722,0.185,0.02,4.9266,561,0.16913425345044,2.94,14.173469387755,0.005,-0.2414,0.47885050048434,0.103,0.6347,0.13074027603513,190,494.9,0.13356233582542,0.11782531194296,16.2,0.035880398671096,74,0.16389811738649,0.65986666666667,3.2709847984138,1.6513179846513,0.068217054263566,1.0961240310078,16.6888,0.77207843379122,451.5,0.11376547368421,0.10707204230007,126,41.67,66.1,119677,533.8,33.4,14.817365269461,533.8,1.4,2.5804967801288
"4",2008-12-31,10.8,2.67,0.7093,0.41360037261295,125.9,385.4,11.7,29.2,0.089187538179597,0.050206327372765,0.075765438505449,-23.1477,0.30452558860849,21.495495495496,12.1,0.0427,10.1882,19.9,13.9439,32,0.2993,NA,298.2,1.6075471698113,0.68410185822436,14.984924623116,9.31875,0.5127235213205,0.105,-0.03,37.4916,327.4,0.15801764400623,1.21,17.057851239669,-0.04,-0.0014,0.67334035827187,0.09,0.6294,0.12298910223145,185.5,238.6,0.37217099748533,0.27122785583384,11.1,0.019085281980743,92.4,0.15887207702889,0.91785765765766,1.8951548848292,2.0471900471901,0.034215955983494,0.41024759284732,-23.5477,-1.6887392308416,581.6,0.075169433962264,0.088165210484511,143.1,20.64,88.8,90674,435.9,6.4,37.28125,435.9,1.35,1.5249184909176
"5",2007-12-31,10.1,1.52,0.4113,0.38836772983114,130.4,399,9.2,20.2,0.085994040017028,0.037023460410557,0.05062656641604,-10.3857,0.46681254558716,9.5660377358491,12.9,0.061091387245233,9.292,28.5,18.8265,41.4,0.33942,NA,214.7,1.1124352331606,0.35324119776242,7.5333333333333,5.1859903381642,0.39351173020528,0.18,0.07,32.9122,234.9,0.15614035087719,1.98,8.3080808080808,-0.075,0.1591,0.53692342649398,0.115,0.7486,0.12957393483709,193,152.1,0.54437869822485,0.35249042145594,15.9,0.029142228739003,91.1,0.16697214076246,0.58440251572327,1.1664110429448,0.5314465408805,0.052236070381232,0.27877565982405,-14.0857,-0.74818180277647,545.6,0.097546787564767,0.12193251533742,139.4,16.45,82.8,95039,607.8,18.5,8.2216216216216,607.8,1.2,1.1017823639775
"6",2006-12-31,9.9,1.17,0.2205,0.44848183175709,110.8,357.4,12.4,16.1,0.052391799544419,0.034961997828447,0.045047565752658,-10.7611,0.8,20.299065420561,11.6,0.039198895027624,8.514,21.6,14.3089,33.2,0.33755,NA,291.2,1.5757575757576,0.56129529683886,13.481481481482,8.7710843373494,0.63235613463627,0.17,0.085,24.27,307.3,0.17039731393397,1.56,12.403846153846,-0.12,0.0641,0.12994350282486,0.118,0.5624,0.1317851147174,184.8,217.2,0.41482504604052,0.29319882850635,10.7,0.023235613463627,85,0.18458197611292,0.79570093457944,1.9602888086643,1.1940626717977,0.046905537459283,0.47166123778502,-9.9611,-0.69614822134607,460.5,0.077429220779221,0.096570397111913,121,19.35,90.1,45200,518.8,14,15.514285714286,518.8,1.15,1.5296167247387
"7",2005-12-31,9.7,2.01,0.256,0.40639013452915,105.9,332,7,16.1,0.055023923444976,0.037971698113208,0.048493975903614,-4.4745,0.625,32.367647058824,10.5,0.037900954111767,8.342,13.5,9.1097,24,0.32521,NA,276.5,1.7036352433765,0.61186103120159,20.481481481481,11.520833333333,0.65212264150943,0.105,0.105,17.0842,292.6,0.17138554216867,1.32,16.719696969697,-0.095,0.052,0.14337009489613,0.12,0.4866,0.13283132530121,162.3,220.1,0.32939572921399,0.24777853725222,6.8,0.016037735849057,68,0.16037735849057,1.2267647058824,2.0783758262512,3.0826330532213,0.031839622641509,0.51910377358491,-7.9745,-0.8753920481035,424,0.056128558225508,0.064211520302172,116.3,22.07,72.5,12700,451.9,9.6,22.927083333333,451.9,1,1.640134529148
"8",2004-12-31,9.7,1.26,0.2822,0.38112064613831,NA,324.9,8.6,29.1,0.11175115207373,0.070103589496507,0.089566020313943,2.7743,0.8929836995039,19.881720430107,9.8,0.044675324675325,8.342,17.2873,11.8378,27.0873,0.31523,NA,231.3,1.3686390532544,0.55721512888461,13.379748856387,8.5390507440382,0.57723983029698,0.03,0.125,10.2635,260.4,0.19359803016313,0.92,20.923913043478,-0.03,0.1707,0.22681673599217,0.158,0.4115,0.13357956294244,169,184.9,0.40832882639265,0.28993855606759,9.3,0.023209383578737,77.2,0.19266284002995,0.89698924731183,1.5081566068515,6.6272401433692,0.043142800099825,0.46144247566758,1.5743,0.13299260227678,400.7,0.070046379386982,0.075856443719413,113.5,19.25,75.5,14200,415.1,9.3,19.881720430107,415.1,0.9,1.3144876325088
"9",2003-12-31,9.6,1,0.2913,0.34345794392523,NA,287.3,12.6,21.9,0.073514602215509,0.056125064069708,NA,8.642,0.68657741160316,16.155405405405,7.6,0.035627530364373,8.448,31.8087,21.9331,39.4087,0.31047,NA,276,1.8486269256531,0.70732957457714,8.6768714219695,7.003529677457,0.81128747795415,0.05,0.135,8.2911,297.9,0.21719457013575,1.27,19.448818897638,0.09,0.2021,0.16942384483742,0.144,0.5556,0.14932126696833,149.3,239.1,0.24592220828105,0.19738167170191,14.8,0.043503821281599,58.8,0.17283950617284,0.57081081081081,2.1272241992883,3.2310810810811,0.0935,0.70282186948854,13.642,0.6219825103235,340.2,0.14690591367046,0.13167259786477,97.2,24.7,58.8,4900,390.2,14.8,16.155405405405,390.2,0.8,1.7400700934579
"10",2002-12-31,9.3,0.68,0.2873,0.24636441402908,NA,213.9,10.8,13.9,0.044594161052294,0.05063752276867,NA,9.9,0.5199,19.783216783217,6.2,0.027613997879109,7.812,24,16.3198,30.2,0.32001,NA,297.8,NA,NA,12.408333333333,9.8609271523179,1.0848816029144,0.08,0.08,11.7198,311.7,0.22674146797569,1.78,16.449438202247,NA,0.0717,0.24266554903604,0.158,0.5243,0.1299672744273,103,282.9,0.10180275715801,0.092396535129933,14.3,0.052094717668488,35.8,0.1304189435337,0.54629370629371,3.211123723042,2.4729020979021,0.087431693989071,1.0306010928962,4.6,0.28186689019937,274.5,0.15844427184466,0.16231555051078,87.6,29.28,28.8,15707,318.3,14.3,19.783216783217,318.3,0.75,2.8912621359223
