"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-03,357.3,0.33,0.129,0.7741,1760,11901,594,460,0.0177,0.0349,0.0387,8.51,0.64,16.21,369,0.0315,628.85,1976,1402.13,2345,0.2904,0.2893,25526.9,3.48,1.87,12.92,10.89,1.93,0.075,0.065,1168.62,25986.9,0.2757,3.55,15.73,0.07,0.065,0.1051,0.233,0.771,0.4266,7332,19954.9,0.3023,0.2321,1231,0.0933,249,0.0189,0.5356,11.34,2.16,0.1497,1.51,233.51,0.1665,13198,0.1912,0.6994,3472,55.85,6032,1297525,13649,1174,17,13649,0.55,3.34
"2",2011-01-03,365.6,0.39,0.1601,0.73232448523939,2158,11847,474,444,0.018638468287318,0.035815116560458,0.03747784249177,14.747,0.8,14.368644747394,392,0.0345,618.1606,1990,1416.5417,2382,0.28817,0.2841561423651,23377.7,3.0687450774481,1.7923560530553,11.747587939698,9.8143157010915,1.8857546180528,0.085,0.065,1319.7947,23821.7,0.26403308854562,3.71,13.630727762803,0.08,0.0284,0.090737240075614,NA,0.795,0.4291381784418,7618,17917.7,0.32950657729508,0.24784125398271,1247,0.10058885214165,283,0.022828103573445,0.49571824378508,8.3029193697868,1.690428793811,0.16052270710656,1.4453254819714,96.747,0.068297992857143,12397,0.18594666579155,0.57784986098239,3299,50.57,5904,2126221,13043,1188,15.082239057239,13043,0.55,2.9548127015629
"3",2010-01-03,381.4,0.47,0.2028,0.68232662192394,2272,11200,377,334,0.014058185736413,0.026560636182903,0.029821428571429,0.2085,0.67800788954635,15.576237623762,384,0.0316,596.5574,2001,1435.3973,2385,0.28266,0.28028503562945,23424.4,3.4356702845409,1.8834445605854,11.706346826587,9.8215513626834,1.8627753479125,0.1,0.06,1442.1888,23758.4,0.26875,3.75,13.621333333333,0.09,-0.018,0.084430673896204,NA,0.8212,0.45544642857143,6818,18878.4,0.25849648275278,0.20540103710688,1212,0.096381709741551,-19,-0.0015109343936382,0.49220910891089,8.3091549295775,1.5576237623762,0.15912524850895,1.5012644135189,-6.7915,-0.0047314362820806,12575,0.2105305573482,0.53345070422535,3390,51.08,4880,2717719,12437,1271.8,14.843843371599,12437,0.55,3.3219239373602
"4",2009-01-03,381.9,0.53,0.207,0.79026651216686,1448,10946,461,255,0.0099389243355537,0.019887693027609,0.023296181253426,-1.7024,0.46376811594203,17.596428571429,375,0.0281,567.6397,1953,1372.959,2328,0.297,NA,25401.7,3.8203790043616,2.0147287436548,13.00650281618,10.911383161512,1.9811027920761,0.09,0.055,1288.6614,25656.7,0.26795176320117,3.33,15.975975975976,0.105,0.1122,0.20570537107199,NA,0.8049,0.46574090992143,6649,20200.7,0.27008965035865,0.21265400460698,1148,0.089533614100764,102,0.0079550772110435,0.49445964285714,13.950759668508,1.9551587301587,0.15231633130557,1.5754718452659,84.2976,0.061398492946138,12822,0.20649105128591,0.79281767955801,3414,53.2,5456,2210085,12608,1214,16.63978583196,12608,0.6,3.716207995365
"5",2008-01-03,390.1,0.53,0.1728,0.67410656689459,2526,11397,472,524,0.024837066003081,0.044497282608696,0.045977011494253,-8.0279,0.50925925925926,14.390299184043,372,0.033424854307765,530.536,1868,1331.8653,2240,0.28701,NA,20573.5,2.8467552234676,1.6218762317698,11.013650963597,9.1845982142857,1.7470703125,0.1,0.08,1239.8932,21097.5,0.26234974115995,3.27,13.409785932722,0.105,0.1009,0.18405342507336,NA,0.8168,0.43564095814688,7227,15872.5,0.3291856985352,0.24765967531698,1103,0.093665081521739,104,0.0088315217391304,0.4809936536718,6.2836500395883,1.4390299184044,0.1586277173913,1.3478685461957,91.9721,0.06905514045454,11776,0.1842902061713,0.43665874901029,3311,43.85,5225,2011412,12685,1145,13.862445414847,12685,0.55,2.7219068507289
"6",2007-01-03,397.7,0.17,0.0966,0.70913640644989,2069,10714,453.1,410.6,0.015883085635594,0.037646584209706,0.038323688631697,0.7555,0.8,20.72213922916,352.7,0.023700948234016,493.148,1765.8,1206.0414,2118.5,0.317,NA,25440.8,3.7956047562922,2.1996385927597,14.407520670518,12.008874203446,2.3325845581156,0.095,0.07,1104.8859,25851.4,0.26279634123577,2.99,17.113712374582,0.095,0.0923,0.077768305389789,NA,0.8066,0.45894157177525,6702.7,20807.1,0.24243166995881,0.19512676296061,1004.1,0.092062677070058,-12.5,-0.0011460845168566,0.49113434916841,10.056597390043,2.1812778135958,0.16190048318923,1.907735612055,101.1555,0.08387398551452,10906.7,0.17993366852164,0.48530691155147,3059.4,51.17,5044.3,1377575,11565.9,1109.4,18.755273120606,11565.9,0.7,3.6342344622046
"7",2006-01-03,405.3,0.18,0.0968,0.68198022559532,2283.7,10574.5,374.2,219.1,0.0087492312975697,0.021528514719176,0.020719655775687,-0.4935,0.8,20.547633618931,391.8,0.023338313915681,470.148,1750.3,1204.1189,2142.1,0.31205,NA,24823.1,3.5655639983338,2.3161926622625,14.182197337599,11.588207833435,2.4390893369493,0.085,0.07,1222.2123,25042.2,0.25045155799329,2.69,18.609665427509,0.075,0.0787,0.091473864610112,NA,0.8121,0.46276419688874,6961.9,20144.9,0.243103713595,0.1955618915271,980.4,0.096332979601462,9.3,0.00091380733404079,0.47954712362301,8.8211674037746,2.4173686610507,0.1719824706206,1.9794147702708,-18.0935,-0.015026303619831,10177.2,0.17295837127796,0.42930332355388,2815.3,50.06,4897.3,584100,10717.2,1014.1,19.864806232127,10717.2,0.65,3.4872858933296
"8",2005-01-03,413,0.14,0.1364,0.68378139841134,NA,10790.4,278.6,417.4,0.018149956734051,0.041027354846319,0.03868253262159,-8.9264,0.20527859237537,20.341792050303,410,0.025658807212205,458.43,1681.0232,1096.0608,2091.0232,0.34798,NA,22579.9,3.3597541922716,2.2194383557604,13.432235395911,10.798493034451,2.3486722349931,0.08,0.05,1236.3872,22997.3,0.25162181198102,2.55,16.964705882353,0.05,0.0823,0.051936422655026,0.293,0.7853,0.47414368327402,6720.7,18116.4,0.26941886909099,0.21223795836903,890.6,0.09263670310696,-153.3,-0.015945662010214,0.5147428699753,8.0260499734184,2.5427240062879,0.17485341536733,1.8843965508275,-140.3264,-0.12802791982194,9613.9,0.16308729439865,0.39455963140174,2634.1,43.26,4880.9,630600,10173.7,0,NA,10173.7,0.6,3.2217676972864
"9",2004-01-03,409.7,0.07,0.1639,0.78158153613318,NA,10230.8,247.2,141.2,0.0059870591328093,0.015087726796743,NA,-13.1071,0.085417937766931,23.40223605641,372.8,0.022610252966197,413.797,1916.5012,1289.8437,2289.3012,0.32698,NA,23443,3.6254117501508,2.5049686918984,12.232186125629,10.240242519415,2.6605004823242,0.09,0.04,1428.5507,23584.2,0.27174805489307,2.27,19.678414096916,0.02,0.0563,0.11942694825244,0.303,0.794,0.5051315635141,6466.3,18419.9,0.28036525714038,0.21897287166832,787.1,0.089326448391307,-211.1,-0.023957328491176,0.52572354211663,12.763234478936,2.6002484507122,0.2175,2.0904386313341,-138.7071,-0.10753788036996,8811.5,0.1994716717868,0.54538525498891,2368.5,44.67,5164.3,243300,9358.6,0,NA,9358.6,0.6,3.5693076049943
"10",2003-01-03,407.9,-0.06,0.1783,0.86462082942618,NA,10219.3,253.5,100.6,0.0047947915028287,0.012114497657783,NA,489.4,-0.0765,21.477979456873,348.4,0.026722308115615,407.9,1508.1,950.3443,1856.5,0.36984,NA,20880.5,NA,NA,13.845567270075,11.247239429033,2.5144807986416,0.085,0.035,1045.2443,20981.1,0.27792510250213,2.02,18.638613861386,NA,-0.0649,0.14636015325671,NA,0.8009,0.50224575068743,6511.2,15264.4,0.37451193627001,0.2724690316523,710.7,0.085584229477005,-154.8,-0.018641394010188,0.57394118474743,17.05329013518,2.5268211125734,0.18160908466902,1.8381763225395,-94.9,-0.099858546423053,8304.1,0.14595532252119,0.79398949838007,2227,37.65,5716.7,945447,8512.1,762.3,20.024137478683,8512.1,0.55,3.206858950731
"11",2002-01-03,NA,-0.14,0.2774,0.877,NA,10368.6,276.5,231.8,0.011698385542047,0.026182327493703,NA,-2.0813,-0.087,25.525713213213,438.6,0.0303,412.083,1688.0586,1015.4685,2126.6586,0.39844,NA,19582.9,NA,NA,11.6008413452,9.2082951161037,2.2119322738414,0.08,NA,1179.6498,19814.7,0.28478290222402,1.84,18.304347826087,-0.015,0.27,0.11529766390354,0,0.8043,0.49385645120846,6854.2998,13600.1,0.45695252240792,0.31363583602073,532.8,0.060180949476466,58.2,0.0065738199315509,0.77342911036036,15.605393000574,3.1907141516517,0.11469943765782,1.5361616572352,-164.1813,-0.16168034254204,NA,0.1481505859163,0.61135972461274,3523.6,33.68,6214.6,534400,8853.3,0,NA,8536.7,0.5,2.8908423293653
"12",2001-01-03,NA,0.6,0.3205,0.41181094625135,NA,4896.3,230.9,204.4,0.014142294732618,0.029390196557724,NA,-2.4728,0.5616224648986,18.956281638288,290.6,0.033150126238105,409.656,1366.59855,933.6465,1657.1986,0.31681,NA,14248.7,NA,NA,10.426397715701,8.5980644866,2.0487871511352,0.08,NA,994.7381,14453.1,0.51608357331046,NA,18.5875,NA,-0.0047,0.16738197424893,NA,0.7841,NA,2788.6,12357.6,0.16957176150709,0.14498619673288,651.9,0.093735171898141,296.1,0.042575524465469,0.62840312931431,13.768913649025,236.9535204786,0.134246835,1.7768703179145,-61.0917,-0.065433408036694,NA,0.33480831362494,0.72635097493036,2550.9839,29.74,2095.5,NA,6954.7,529.3,23.347062157567,8196,NA,4.8289675910458
"13",2000-01-03,NA,0.75,0.3356,0.72410517387617,NA,4808.7,266.2,150.6,0.011689188664747,NA,NA,NA,0.33522050059595,17.732431540746,288,0.03810966193462,409.656,1361.4,868.8999,1156.8999,0.36176,NA,12733.1,NA,NA,9.3529454972822,11.006224137262,1.8229727408086,0.07,NA,890.6697,12883.7,0.54919208933807,NA,NA,NA,0.0317,0.21327014218009,NA,0.7575,NA,2796.9,10749.4,0.19855061677861,0.16565893338094,NA,0.092486542205933,NA,0.050438094147291,0.6757769712966,13.218642400394,2.5332045058208,0.19490894513801,1.5389703355858,NA,-0.025089195080802,NA,0.31066535664486,0.79439252336449,2585.7,NA,NA,NA,NA,646,16.639938080495,6984.8,NA,4.3710602205259
