"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,16.1,1.01,0.3682,0.6138,253,809.7,23,10,0.0129,0.0196,0.0124,12.75,0.69,18.85,27.2,0.0087,3.22,47,29.51,74,0.3681,0.3666,763.5,1.18,1.19,16.35,10.33,1.5,0.02,20.96,773.5,0.2138,2.03,11.82,0.045,0.07,0.199,NA,0.5466,0.5669,645.1,371.4,1.0827,0.5198,19.7,0.0386,49.4,0.0968,0.1505,1.47,9.43,0.0915,0.73,8.55,0.2898,510.2,0.0457,0.0779,51.6,23.99,402.1,51483,641.9,21.4,17.36,641.9,1,1.18
"2",2011-03-31,13.3,0.67,0.4512,0.39893450329051,191.8,411.8,13.1,15.1,0.031172584640793,0.044634939402897,0.036668285575522,3.1296,0.5540780141844,17.678217821782,16.5,0.0075,2.6783,34.8,24.9206,51.3,0.28389,0.28621908127209,469.3,1.54375,1.2454883227176,13.485632183908,9.1481481481482,1.387230268992,NA,25.191,484.4,0.26274890723652,NA,NA,0.08,0.1303,0.2589928057554,NA,0.5215,0.47741622146673,304,357.1,0.35648277793335,0.26279933938894,20.2,0.059710316287319,27.5,0.081288796925805,0.13258663366337,1.8618352450469,NA,0.10286727756429,1.0555719775347,-0.2704,-0.010849699227342,338.3,0.08197575,0.10531803962461,33.2,25.73,127.3,43491,376.8,24.3,14.695473251029,376.8,1,1.5180194296459
"3",2010-03-31,12.3,0.89,0.5089,0.36864771748493,146.6,285.3,6.3,8.1,0.023663453111306,0.029263005780347,0.028391167192429,1.8193,0.51581843191197,21.391666666667,13.1,0.0103,2.644,20.9,16.7284,34,0.1996,0.2,334.2,1.4912985274431,1.1143714571524,15.99043062201,9.8294117647059,1.2073699421965,0.15,21.7091,342.3,0.29547844374343,NA,NA,0.085,-0.0434,0.35400857802705,NA,0.6151,0.46933052926744,224.1,256.7,0.33346318659914,0.25007303534911,12,0.043352601156069,21.8,0.078757225433526,0.22033416666667,1.7510231923602,1.4261111111111,0.075505780346821,0.92738439306358,-4.9807,-0.29774036979629,276.8,0.074646854082999,0.081855388813097,27.7,19.46,85.6,35258,299.9,14.1,18.205673758865,299.9,1.05,1.4741602067183
"4",2009-03-31,12.3,0.75,0.4503,0.4982951777886,103,258.2,10,3.2,0.012633241215949,0.01104209799862,0.012393493415957,-1.2889,0.33755274261603,11.526717557252,11.2,0.0163,2.4613,25.6,17.697,36.8,0.30871,NA,250.1,1.2375061850569,0.92151805453206,9.76953125,6.7961956521739,0.86300897170462,0.15,20.1859,253.3,0.33423702556158,NA,NA,0.14,0.1184,0.2806012884753,NA,0.6186,0.43532145623548,202.1,151,0.67748344370861,0.40386893012239,13.1,0.04520358868185,20.3,0.070048309178744,0.18788549618321,1.4660194174757,0.76844783715013,0.088336783988958,0.52104899930987,-2.4889,-0.14063883785708,289.8,0.087565680356259,0.12718446601942,27.2,12.23,102.3,35945,271.4,13.6,11.102941176471,271.4,0.95,1.2338041889917
"5",2008-03-31,10,1.17,0.354,0.52363925307906,119.9,314.1,19.3,4.3,0.014070680628272,0.020446980504042,0.013689907672716,-6.4361,0.42937853107345,15.8,6,0.01150747986191,2,17.5,11.2424,23.5,0.35758,NA,301.3,1.2178658043654,1.1327067669173,17.217142857143,12.821276595745,1.4327151688065,0.175,4.3784,305.6,0.32091690544413,1.1,14.381818181818,0.165,-0.0528,0.42468464011872,NA,0.623,0.43680356574339,247.4,173.8,0.75834292289989,0.43128272251309,11,0.052306229196386,24.3,0.11554921540656,0.18181818181818,1.4495412844037,0.90285714285714,0.083214455539705,0.8264384213029,6.8639,0.6105403854047,210.3,0.04544199676637,0.091743119266055,21.4,15.82,131.8,40352,266,12,14.483333333333,266,0.95,1.2141438220103
"6",2007-03-31,10,0.89,0.2461,0.074712643678161,64.4,107.1,2.7,5.8,0.02081090778615,0.026079136690648,0.054154995331466,-0.0275,0.42259244209671,21.038461538462,6.5,0.0073126142595978,2,20.8,13.4982,27.3,0.35105,NA,272.9,4.2774294670846,1.2248653500898,13.120192307692,9.996336996337,1.2270683453237,0.175,17.3257,278.7,0.42763772175537,1.12,23.214285714286,0.13,0.0695,0.22153465346535,NA,0.6277,0.12511671335201,63.8,273.5,0.019012797074954,0.018658055256548,13,0.058453237410072,15.3,0.068794964028777,0.15384615384615,4.2468944099379,1.2021978021978,0.093525179856115,1.2297661870504,-3.8275,-0.2835584987592,222.4,0.21156990595611,0.20186335403727,20.5,26,5.2,63549,222.8,13.3,20.563909774436,222.8,0.65,4.0043103448276
"7",2006-03-31,6.6,-0.04,0.3089,0.34405940594059,53,113.6,4.5,3.2,0.012846246487354,0.015586945932781,0.028169014084507,-1.2875,0.36257688572354,23.052083333333,6.8,0.0059647537279711,1.32,17.9,10.7334,24.7,0.40037,NA,245.9,3.1688144329897,1.1326577614003,13.737430167598,9.9554655870445,1.1977593765222,0.125,14.3209,249.1,0.44102112676056,NA,NA,0.135,0.4417,0.21701846965699,NA,0.4834,0.12235915492958,77.6,221.3,0.12562132851333,0.11160176635889,9.6,0.046760837798344,22.4,0.10910862152947,0.1375,4.1754716981132,1.8441666666667,0.087189478811495,1.0779347296639,-3.5875,-0.33423606885771,205.3,0.13831671391753,0.1811320754717,17,32.85,27.8,9546,217.1,11.2,19.758928571429,217.1,0.7,3.0829207920792
"8",2005-03-31,6.5,0.56,0.3532,0.48873072360617,NA,108.2,5.2,0.3,0.001497005988024,0.0017103762827822,0.0027726432532347,6.2793,0.31710079275198,19.9,4.8,0.0072072072072072,1.3,14.0325,8.6378,18.8325,0.38444,NA,200.1,2.3821428571429,1.1408209806157,14.25975414217,10.625248904819,1.4344086021505,0.125,1.9586,200.4,0.48428835489834,NA,NA,0.43,0.0438,0.25056433408578,NA,0.3987,0.13401109057301,84,159.2,0.25879396984925,0.20558882235529,8,0.057347670250896,24.4,0.17491039426523,0.1625,3.6937354988399,1.592,0.10059139784946,1.1412186379928,6.6793,0.7732579842358,139.5,0.10283149642857,0.18561484918793,12,27.75,41.2,24716,175.4,9.2,17.304347826087,175.4,0.6,2.3772241992883
"9",2004-03-31,6.1,0.81,0.3913,0.39449541284404,NA,72.4,6.2,1.5,0.011337868480726,0.011829652996845,NA,-0.0192,0.41400460005111,17.046153846154,4.3,0,0,17.4498,10.9079,21.7498,0.3749,NA,130.8,2.4679245283019,1.0315457413249,7.49578791734,6.0138484032037,1.0299212598425,NA,9.0271,132.3,0.4585635359116,NA,NA,NA,0.2314,0.22057074910821,NA,0.3194,0.17403314917127,53,110.8,0.19404332129964,0.16250944822373,6.5,0.051181102362205,12.2,0.096062992125984,0,3.3575757575758,NA,0.1374,0.87244094488189,1.8808,0.17242480933705,127,0.20580886754717,0.1969696969697,10.2,17.47,21.5,1400,126.8,6,18.466666666667,126.8,0.6,2.4275229357798
"10",2003-03-31,5.9,0.96,0.4562,0.52443609022556,NA,67.4,2,4.1,0.028492008339124,0.041164658634538,NA,1.4,0.4654,18.412698412698,3.6,0,0,11.9,7.3269,15.5,0.38429,NA,139.8,NA,NA,11.747899159664,9.0193548387097,1.4036144578313,NA,8.9269,143.9,0.47477744807122,NA,NA,NA,0.3142,0.39590782080942,NA,0.2594,0.18100890207715,49.1,116,0.24051724137931,0.19388464211258,6.3,0.063253012048193,8.5,0.085341365461847,0,4.5849802371542,NA,0.11947791164659,1.1646586345381,-1.6,-0.21837193079957,99.6,0.1492250305499,0.24901185770751,7.3,19.26,27.9,9162,115.3,6.7,17.313432835821,115.3,0.6,2.847250509165
