"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,27.3,0.33,0.1631,0,564.3,682.6,16.3,191.6,0.1035,0.1693,0.2807,1.86,0.51,19.32,20.3,0.0227,42.04,143,94.02,164,0.3439,0.3438,1659.4,4.45,1.45,11.58,10.14,1.47,0.055,0.06,96.16,1851,0.2697,NA,NA,0.12,0.025,0.111,0.322,0.5233,0.1423,372.7,1851,0,0,95.8,0.0847,127.4,0.1126,0.4154,3.28,3.51,0.1267,1.64,-2.14,-0.0228,1131.4,0.2523,0.1698,96.8,69.19,0,141666,1147.9,101.2,18.29,1147.9,0.7,3.28
"2",2011-06-30,27.4,0.25,0.1884,0,517.5,622.1,35.3,132.3,0.069267015706806,0.12138728323699,0.21266677383057,1.0764,0.8,17.951127819549,18.9,0.0208,39.728,147,96.8113,165.9,0.34142,0.34117647058824,1777.7,4.615005192108,1.6171199854453,12.093197278912,10.715491259795,1.6310670703734,0.06,0.06,79.3349,1910,0.29786208005144,NA,NA,0.105,0.061,0.16193548387097,0.3229,0.5806,0.15785243529979,385.2,1910,0,0,106.4,0.097623635195889,124.8,0.11450591797413,0.37338345864662,3.6908212560386,2.9918546365915,0.13487475915222,1.7524543536104,17.4764,0.18051986544702,1089.9,0.25132725856698,0.2056038647343,95.4,69.34,0,103757,1099.3,104.9,18.207816968542,1099.3,0.75,3.6908212560386
"3",2010-06-30,28.2,0.37,0.2597,0,484.9,586.5,12.8,100.9,0.06288955372725,0.095494983910657,0.17203751065644,1.4298,0.72198690797074,13.951304347826,20.5,0.0233,37.3825,176.5,115.8634,197,0.34355,0.34323243860651,1503.5,3.9153645833333,1.408430913349,8.5184135977337,7.6319796954315,1.4229604391444,0.095,0.055,122.1336,1604.4,0.28320545609548,NA,NA,0.055,0.0025,0.17467581998474,0.315,0.5381,0.1694799658994,384,1604.4,0,0,115,0.10883967442741,138.6,0.13117546848382,0.32506539130435,3.3087234481336,1.4685583524027,0.16704523944728,1.5184554230551,-6.2702,-0.054117055434244,1056.6,0.30172766927083,0.23716230150546,93.8,57.2,0,124727,1067.5,109.4,14.665447897623,1067.5,0.75,3.3087234481336
"4",2009-06-30,28.1,0.39,0.251,0,402.6,498.5,11.3,38.5,0.027646129541864,0.03661436043747,0.077231695085256,-1.0025,0.47808764940239,15.62962962963,21.9,0.0246,34.258,131.2,85.3102,153.1,0.34977,NA,1354.1,3.7190332326284,1.299644879547,10.320884146342,8.8445460483344,1.287779362815,0.12,0.06,96.9126,1392.6,0.34282848545637,NA,NA,NA,0.0853,0.25213925682804,0.314,0.4812,0.20160481444333,364.1,1392.6,0,0,89.1,0.084736091298145,109.8,0.10442225392297,0.38448888888889,3.4590163934426,1.3024691358025,0.12477413219211,1.3243937232525,-11.6025,-0.13600316142426,1051.5,0.23430424608624,0.22131147540984,84.2,49.68,0,184439,1041.9,106.5,13.076056338028,1041.9,0.75,3.4590163934426
"5",2008-06-30,28.5,0.59,0.2531,0.13278609367455,359.2,520.2,16.8,19.4,0.019651539708266,0.019777755122846,0.037293348712034,-2.5313,0.50572896088503,19.260330578512,24.1,0.034853035829221,32.49,76.6,49.0355,100.7,0.35985,NA,967.8,2.451367781155,0.96712301389028,12.634464751958,9.6107249255213,0.98664491793251,0.085,0.05,58.8668,987.2,0.34525182622068,1.41,24.326241134752,-0.035,-0.0285,0.23251696665683,0.315,0.51,0.19550173010381,394.8,932.2,0.059000214546235,0.055713128038898,48.4,0.049342440615761,125.4,0.12784177795902,0.67128099173554,2.5952115812918,2.2659212445309,0.078091548577837,0.95035171781017,-9.8313,-0.20049289205815,980.9,0.12420336879433,0.1347438752784,80.8,34.3,55,195181,1000.7,44.8,20.808035714286,1000.7,0.8,2.3833896668276
"6",2007-06-30,30.7,0.79,0.1857,0.087304847986853,444.3,598.5,55.8,8.3,0.0066045993474974,0.0076063049853372,0.013868003341688,-3.687,0.77544426494346,18.766615146832,28.8,0.028318234228298,34.384,102.5,64.9963,131.3,0.36589,NA,1248.4,2.608986415883,1.119942585449,12.179512195122,9.5079969535415,1.1440615835777,0.065,0.05,41.6832,1256.7,0.34820384294069,1.64,22.274390243902,-0.02,-0.0263,0.12302993280391,0.295,0.5223,0.17159565580618,478.5,1214.2,0.035002470762642,0.033818731598631,64.7,0.059292521994135,171.2,0.15689149560117,0.53143740340031,2.732838172406,2.887171561051,0.093933284457478,1.112719941349,23.313,0.35868286072352,1091.2,0.13583338557994,0.14562232725636,91,36.53,42.5,123199,1114.7,65.8,18.452887537994,1114.7,0.9,2.5815529991783
"7",2006-06-30,32.2,0.92,0.1777,0,494.4,628,62,41.8,0.029092427616927,0.035565387560623,0.06656050955414,-0.5101,0.72031513787282,19.005291005291,32.3,0.024203786191537,34.776,114.1,73.4142,146.4,0.35658,NA,1395,3.0821917808219,1.1838085539715,12.226117440841,9.5286885245902,1.1869309963414,0.06,0.07,44.2243,1436.8,0.29824840764331,1.77,25.033898305085,-0.015,0.1028,0.1259505703422,0.259,0.4846,0.13312101910828,452.6,1436.8,0,0,75.6,0.064324002382371,193.4,0.16455373096231,0.46,2.9061488673139,3.1675485008818,0.097081596188207,1.222496383902,29.1899,0.39760529552458,1175.3,0.1622055280601,0.15291262135922,100.3,44.31,0,82536,1178.4,71.4,20.12324929972,1178.4,0.8,2.9061488673139
"8",2005-06-30,34.2,-0.01,0.192,0,NA,731.3,22.7,184.6,0.14345663661797,0.16314626601856,0.25242718446602,0,-0.010416666666667,16.77705345502,33.3,0.028070175438596,35.568,120.0182,75.5695,153.3182,0.37035,NA,1102.2,2.7343091044406,0.97410517012815,9.183603326994,7.1889680452262,0.97410517012815,0.08,0.07,86.1695,1286.8,0.21072063448653,NA,NA,-0.005,0.0687,0.11974815352948,0.247,0.487,0.11513742650075,403.1,1286.8,0,0,76.7,0.067786124613345,186.1,0.16447193990278,0.46372881355932,2.1895524927684,2.0971316818774,0.10607003977022,1.1372514361467,-10.6,-0.14026824640409,1131.5,0.1874708288576,0.13050876297431,99.4,37.05,0,101351,1131.5,76.7,16.77705345502,1131.5,0.8,2.1895524927684
"9",2004-06-30,35.5,0.05,0.2172,0,NA,712.9,18.2,178.5,0.11761217631943,0.16271649954421,NA,0,0.046040515653775,19.260152284264,31.3,0.023590469450342,35.5,157.0904,97.8752,188.3904,0.37695,NA,1339.2,3.2799412196914,1.2207839562443,8.5250276274044,7.1086424785976,1.2207839562443,0.1,0.065,110.9752,1517.7,0.22373404404545,NA,NA,0.01,-6e-04,0.10294291454911,0.242,0.495,0.11867022022724,408.3,1517.7,0,0,78.8,0.0718322698268,179.8,0.16390154968095,0.4505076142132,2.5864008179959,1.9260152284264,0.1432,1.3835004557885,-13.1,-0.1338439514547,1097,0.23971387146706,0.13428766189502,97.9,42.39,0,30073,1097,78.8,19.260152284264,1097,0.8,2.5864008179959
"10",2003-06-30,35.8,0.13,0.2443,0,NA,667.7,29.9,142.8,0.089585947302384,0.12902059992772,NA,13.5,0.1162,18.113636363636,31.7,0.020662484316186,32.936,144.8,90.0207,176.5,0.37831,NA,1451.2,NA,NA,10.022099447514,8.2220963172804,1.3111673292374,0.095,0.075,91.8207,1594,0.24127602216564,NA,NA,NA,0.0024,0.11673346693387,NA,0.4635,0.11322450202187,404.9,1594,0,0,88,0.079508492952656,186.6,0.1685941452837,0.37427272727273,2.9103523826912,1.9066985645933,0.13082761113119,1.4401879291652,-1.8,-0.019995398392317,1106.8,0.22232825882934,0.16067190067555,99,44.48,0,47800,1106.8,88,18.113636363636,1106.8,0.7,3.5840948382317
