"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,6.7,-0.22,0.1285,0.2153,78,791.6,0,12.4,0.1084,0.0157,NA,-0.43,12.74,0,0,0,22,17.21,22,0.2319,0.2316,102,1.17,4.55,4.55,17.21,114.4,0,0.035,NA,0.0604,NA,0.0495,0.0075,87,93,0.2301,0.1871,7.3,0,0,1.19,0,0,NA,0.1978,0.0936,5.7,13.7,21.4,1950,NA,8,11.63,NA,0.4,1.15
"2",2010-12-31,6.7,0.06,0.1817,0.24626865671642,70.7,760.1,0,10.8,0.099630996309963,0.01420865675569,NA,0.61915244909191,9.3736263736264,0,0,0,24,18.852,24,0.2145,0.21551724137931,97.6,1.1759036144578,4.0666666666667,4.0666666666667,18.852,108.4,0,0.03,NA,0.10532452390206,NA,0.044,0.0077621365609788,83,85.3,0.27080890973036,0.21309963099631,9.1,0,0,1.2065063649222,0,0,NA,0.22713253012048,0.12871287128713,7.6,12.95,23.1,2369,NA,8.5,10.035294117647,NA,0.45,1.1556503198294
"3",2009-12-31,6.7,0.06,0.2171,0.27593818984548,65.6,734.4,0,12.6,0.11977186311787,0.017156862745098,NA,0.51819438046983,9.780487804878,0,0.0533,4.2747,22.5,17.1976,22.5,0.23566,0.24074074074074,92.6,1.1871794871795,4.1155555555556,4.1155555555556,17.1976,105.2,0,0.01,NA,0.12068965517241,NA,NA,0.0080337690631808,78,80.2,0.31172069825436,0.23764258555133,8.2,0,0.5213,1.2225609756098,0,0,NA,0.22048269230769,0.125,9.4,11.95,25,1889,NA,15,5.3466666666667,NA,0.45,1.1611479028698
"4",2008-12-31,6.7,0.09,0.2504,0.079239302694136,58.1,649.7,0,11.3,0.13630880579011,0.017392642758196,NA,0.28753993610224,11.80303030303,0,0.0549,4.2767,18.3,13.6877,18.3,0.25204,NA,71.6,1.3822393822394,3.9125683060109,3.9125683060109,NA,82.9,0,0.01,NA,0.23762376237624,NA,NA,0.010158534708327,51.8,77.9,0.064184852374839,0.060313630880579,6.6,0,0.64798636363636,1.3407917383821,NA,NA,NA,0.2642406949807,0.11359724612737,13.1,10.5,5,1561,NA,NA,NA,NA,0.45,1.3137876386688
"5",2007-12-31,6.7,-0.22,0.2118,0.08130081300813,56.5,604.1,0,17.5,0.25179856115108,0.028968713789108,NA,0.37771482530689,10.75,0,0,0,16.7,12.6038,16.7,0.24528,NA,52,1.1818181818182,3.1137724550898,3.1137724550898,NA,69.5,0,0.105,NA,0.24705882352941,NA,0.0044,0.011090878993544,44,64.5,0.077519379844961,0.071942446043166,6,0,0,1.141592920354,NA,NA,NA,0.28645054545455,0.10619469026549,13.4,9.2,5,890,NA,6.2,10.403225806452,NA,0.5,1.130081300813
"6",2006-12-31,6.4,0.28,0.1552,0,51,548.2,0,14.9,0.18060606060606,0.027179861364465,NA,0.4639175257732,12.692307692308,0,0,0,16.9,12.6843,16.9,0.24945,NA,67.6,1.8725761772853,4,4,NA,82.5,0,0.18,NA,0.26666666666667,NA,NA,0.0025538124771981,36.1,82.5,0,0,6.5,0,0,1.6176470588235,NA,NA,NA,0.35136551246537,0.12745098039216,12.1,11.95,0,450,NA,6.5,12.692307692308,NA,0.45,1.6176470588235
"7",2005-12-31,3.3,0.39,0.0773,0.038817005545286,52,539.5,0,13.4,0.11327134404057,0.02483781278962,NA,0.8,17.34328358209,0,0.03407917383821,3.96,17.3,12.9677,17.3,0.25042,NA,104.9,2.5773955773956,6.0635838150289,6.0635838150289,NA,118.3,0,NA,NA,0.050716941051514,NA,0.0111,0.0029657089898054,40.7,116.2,0.018072289156626,0.017751479289941,6.7,0,0.5910447761194,2.2346153846154,NA,NA,NA,0.31861754299754,0.12884615384615,8.9,36,2.1,586,NA,6.9,16.840579710145,NA,0.4,2.1866913123845
"8",2004-12-31,3.3,0.22,0.1164,0.038602941176471,NA,522.3,0,10.7,0.086082059533387,0.020486310549493,0,0.37800687285223,19.396825396825,0,0.031224764468371,3.828,NA,NA,NA,0.26715,NA,113.6,2.5995423340961,NA,NA,NA,124.3,0,NA,0,0.10429447852761,NA,0.0109,0.0042121386176527,43.7,122.2,0.017184942716858,0.016894609814964,6.3,0,0.60761904761905,2.3365200764818,0,NA,NA,NA,0.12045889101338,7.2,37.15,2.1,200,NA,6.5,18.8,0,0.4,2.2849264705882
"9",2003-12-31,3.4,0,0,0.074204946996466,NA,523.6,0,11.8,0.090214067278287,NA,0,NA,18.89552238806,0,0.028865979381443,3.808,NA,NA,NA,0.2654,NA,119,2.65625,NA,NA,NA,130.8,0,NA,0,0.077441077441077,NA,0.0024,0.0053475935828877,44.8,126.6,0.033175355450237,0.032110091743119,6.7,0,0.56835820895522,2.4160305343511,0,NA,NA,NA,0.12786259541985,8.4,38.8,4.2,796,NA,8.4,15.071428571429,0,0.45,2.3109540636042
"10",2002-12-31,1.7,0,0,0.10824742268041,NA,506.8,0,13.7,0.11004016064257,NA,0,0,18.184615384615,0,0.031641285956007,3.74,17.5,12.6284,17.5,0.27838,NA,110.8,NA,6.3314285714286,6.3314285714286,12.6284,124.5,0,NA,0,NA,NA,0.0053,0.0061168113654302,44.5,118.2,0.053299492385787,0.050602409638554,6.5,0,0.57538461538462,2.2774566473988,0,0,0,0.28378314606742,0.1252408477842,10.1,70,6.3,410,0,6.7,17.641791044776,0,NA,2.4898876404494
