"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,144,0.53,0.3451,0.924,89.8,2788,1.9,76.2,0.0237,0.048,0.0273,275.86,0.38,NA,4.3,0,0,23,22.5,27,0,3141.1,2.84,1.46,139.6,117.21,1.98,NA,0.075,-250.96,3217.3,0.0035,1.08,15.19,0.07,0.3605,NA,0.8703,0.1171,1106,2124.9,0.5141,0.3395,-37.8,-0.0238,782.9,0.4931,0,23.66,NA,0.0142,1.34,273.46,12.1537,1587.6,0.0203,-0.4209,652.4,16.4,1092.4,927746,2147,6.9,307.96,2147,0.55,2.72
"2",2011-03-31,136.8,0.43,0.3284,0.84108188956749,127.5,1557.8,2.8,86.4,0.048010669037564,0.054590257155494,0.055462832199255,-17.8304,0.41869671132765,NA,5.8,0,0,62.5,62.5,68.3,0,1713.2,2.3930716580528,1.2071589627959,27.4112,25.08345534407,1.0824540342453,0.2795,NA,83.3304,1799.6,0.0066760816536141,NA,NA,-0.1386,0.21840659340659,NA,0.6979,0.15361407112595,715.9,1124.8,0.59992887624467,0.37497221604801,-53.6,-0.033866178050167,172.6,0.10905414797498,NA,8.8219607843137,NA,0.039489480002527,0.71068427370948,-20.8304,-0.33328565110255,1582.7,0.08730269590725,-0.42039215686275,718.6,8.32,674.8,463038,1419.2,27.7,40.606498194946,1419.2,0.55,2.2430512277203
"3",2010-03-31,118,0.69,0.3315,0.93351424694708,53.9,1704.5,6.6,91.4,0.05957113993352,0.057712950685104,0.053622763273687,0.0012,0.41478129713424,NA,28.1,0,0,52,52,80.1,0,1442.9,2.0059780341999,0.9108067163237,27.748076923077,18.013732833958,0.91109427290522,0.083,NA,73.4988,1534.3,0.019712525667351,NA,NA,0.0709,0.2395256916996,NA,0.9146,0.27186858316222,719.3,777.5,0.97337620578778,0.4932542527537,-19.5,-0.01231293805645,3.8,0.0023994443392057,NA,14.424860853432,NA,0.032834501483867,0.49093894045589,-21.4988,-0.41343846688135,1583.7,0.072292506603642,-0.36178107606679,696.3,6.51,756.8,346499,1584.2,-162.5,NA,1584.2,0.55,1.8925619834711
"4",2009-03-31,117,0.79,0.3093,NA,-8.2,1667.6,8.7,138.5,0.10857635622452,0.094448990725587,0.083053490045574,-14.364,0.31037827352085,NA,7.7,0,0,-141.289,-141.289,-133.589,0,1137.1,2.5843181818182,0.72491393599388,NA,NA,0.77543644298963,0.07,NA,-127.925,1275.6,0.025425761573519,0.03,193.66666666667,0.0932,0.3327239488117,NA,0.9199,0.27482609738546,440,688.9,0.85164755407171,0.45994042019442,-163,-0.11115657392253,-206.1,-0.14054828150573,NA,NA,NA,-0.09635095471904,0.46978996181124,-13.364,NA,1466.4,-0.32111145454545,NA,806.1,5.81,586.7,867728,1568.6,-58.3,NA,1568.6,0.6,2.2050129645635
"5",2008-03-31,118.7,1.14,0.2834,0.63590636486748,188.2,1537.8,3.6,371.6,0.35927680556898,0.2730345334313,0.24164390687996,-3.4164,0.42342978122795,NA,5.5,0,0,-60.0761,-60.0761,-54.5761,0,662.7,4.5609084652443,0.44482480869915,NA,NA,0.48692138133725,NA,NA,-54.7597,1034.3,0.0088438028352191,-0.25,NA,0.3735,0.36104218362283,NA,0.9042,0.14598777474314,145.3,705.6,0.46584467120181,0.31779947790776,-75.9,-0.055767817781043,36.1,0.026524614254225,NA,3.7492029755579,NA,-0.044141146216018,0.51844232182219,-5.3164,NA,1361,-0.41346249139711,-0.40329436769394,754.7,5.5,328.7,911492,1489.8,-4,NA,1489.8,0.75,2.000967305088
"6",2007-03-31,117,1.45,0.2595,0.56728923023215,247.9,1137.1,8.3,51.5,0.035953644233454,0.052728575816525,0.045290651657726,2.5749,0.55491329479769,41.94696969697,3.7,0,0,41.9,33.0319,45.6,0.21165,1380.9,2.6484464902186,1.2239851090232,32.957040572792,30.282894736842,1.4138425309716,0.1617,NA,25.857,1432.4,0.011520534693519,-0.6,NA,-0.0833,0.15553435114504,NA,0.8862,0.16489314923929,521.4,1107.4,0.29348022394799,0.2268919296286,26.4,0.027029794204976,-16.6,-0.01699600696222,0,4.4671238402582,2.5941230486685,0.042899559741988,1.1338179584315,7.1749,0.21721132169728,976.7,0.06335225354814,0.10649455425575,495.2,9.02,325,300700,1128.2,-64.9,NA,1128.2,0.9,2.5002618257986
"7",2006-03-31,104.4,NA,NA,0.72810052813695,149.3,1053.2,5.4,47,0.030912917653249,0.049411269974769,0.044625902012913,0.132,NA,386.41379310345,4.5,0,0,18.2,18.2,22.7,0,1473.4,2.9344752041426,1.575660357181,80.956043956044,64.907488986784,1.5489907485282,0.1597,NA,17.168,1520.4,0.0068363083934675,0.3,35.766666666667,0.1011,0.21861924686192,NA,0.9172,0.17717432586403,502.1,1120.6,0.35677315723719,0.26295711654828,2.9,0.0030487804878049,7.8,0.0082001682085786,0,7.5056932350971,24.196230000216,0.019133725820017,1.1780908326325,1.032,0.056704544404292,951.2,0.036247759410476,0.019423978566644,469.6,10.73,399.8,740300,935.1,19.9,56.311557788945,935.1,0.75,2.7688945547259
"8",2005-03-31,101.8,0,0,0.77775669007402,NA,854.6,2.5,112.8,0.095593220338983,0.13596914175506,0.13199157500585,-0.2885,NA,37.940886699507,3.2,0,0,49.7153,34.4969,52.9153,0.30611,1067.2,2.5771552765033,1.2864030858245,21.46623734192,20.168087554294,1.2665558984097,0.184,NA,35.4854,1180,0.036040252749825,0.12,64.165833333333,1.0125,0.21780104712042,NA,0.9527,0.18862625789843,414.1,770.2,0.53206959231369,0.34728813559322,20.3,0.024092095893662,18.7,0.022193211488251,0,6.5772843723313,2.0620047119298,0.059002231189176,0.91407548065512,-0.9885,-0.028655059675039,842.6,0.083305809319488,0.1733561058924,433.7,7.6999,409.8,1046700,829.6,-12.4,NA,829.6,0.9,2.2395141393054
"9",2004-03-31,93.6,0,0,0.82753824756606,NA,752.8,0.9,7,0.0047052497143241,0.010705000764643,NA,-59.6846,NA,NA,4.4,0,0,-58.3508,-58.3508,-53.9508,0,1480.7,2.9834777352408,2.2644135188867,NA,NA,3.8469732398026,0.14,NA,4.8338,1487.7,0.039187035069075,0.3,34.266666666667,-0.4112,0.53108808290155,NA,0.7511,0.22051009564293,496.3,1071.2,0.38881628080657,0.27996235800228,-76.4,-0.19849311509483,-85.4,-0.2218758118992,NA,12.341013824885,NA,-0.1516,2.7830605352039,-63.1846,1.082839482703,384.9,-0.11757171065888,-0.88018433179723,250.8,10.28,416.5,295300,653.9,-66.2,NA,653.9,0.85,2.9558911186171
"10",2003-03-31,42.3,0.59,0.4647,0.61969734557182,NA,594.2,2.5,10.5,0.023516237402016,0.037207654145996,NA,91.9,0.2774,22.609195402299,6,0,0,26.5,26.5,32.5,0,436,NA,NA,16.452830188679,13.415384615385,1.5450035435861,0.15,NA,30,446.5,0.074385728710872,0.05,92.2,0,0.46708463949843,NA,0.3817,0.058734432850892,436.1,196.7,1.2699542450432,0.55946248600224,8.7,0.030829199149539,60.4,0.2140326009922,0,1.2831050228311,1.5072796934866,0.093905031892275,0.69702338766832,-3.5,-0.13207547169811,282.2,0.060765879385462,0.056751467710372,89.5,4.61,249.8,355332,284.5,-16.5,NA,284.5,0.7,0.99977069479477
