"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,19.7,1.39,0.4616,0.6406,17,122.3,0.1,17,0.0369,0.5667,0.139,-0.37,0.75,42.14,2.8,0,0,-2,-2.4,0,0,NA,443.1,14.62,14.48,1107.75,14.77,NA,0.67,460.1,0.0041,NA,NA,-0.335,0.3198,NA,0.7645,0.5912,30.3,429.8,0.0705,0.0659,10.2,0.34,-18.5,-0.6167,NA,25.28,-0.08,14.33,-3.07,NA,30,-0.0792,0.6,17.3,20.74,30.3,93554,30.6,NA,NA,30.6,1.15,9.73
"2",2010-12-31,19.6,0.68,0.4875,0,3.5,75.6,1.3,22.7,0.09680170575693,0.96595744680851,0.30026455026455,2.0426,0.61538461538461,NA,2.2,0,0,-12.8176,-12.8176,-10.6176,0,NA,211.8,NA,10.085714285714,NA,9.0127659574468,NA,-13.9602,234.5,0.0079365079365079,NA,NA,-0.3975,0.30546623794212,NA,0.6651,0.17195767195767,-19.2,234.5,0,0,-12.8,-0.54468085106383,-19.2,-0.81702127659574,NA,67,-0.54542978723404,9.9787234042553,1.1426,NA,23.5,NA,-3.6571428571429,15.6,11.87,0,133296,21,-6.8,NA,21,1.2,NA
"3",2009-12-31,19.6,1.13,2.4992,0.0081967213114754,12.1,141.8,0.5,53.2,0.300395256917,1.3676092544987,0.37517630465444,5.1501,0.11503681177977,110.625,3.1,0,0,-16.5361,-6.6144,-13.4361,0.6,0.7037037037037,123.9,NA,3.6985074626866,NA,3.1850899742931,NA,-9.1646,177.1,0.059943582510578,NA,NA,0.372,0.29032258064516,NA,0.7353,0.0049365303244006,-41,177,0.00056497175141243,0.00056465273856578,1.6,0.041131105398458,-37.1,-0.95372750642673,0,14.628099173554,-0.42509151670951,4.5501285347044,2.5501,NA,38.9,NA,0.13223140495868,15.7,8.92,0.1,246448,33.5,-12.5,NA,33.5,1.15,NA
"4",2008-12-31,113,0.81,0.5745,0.66666666666667,2,171.4,0.5,80.7,0.3297915815284,2.956043956044,0.4708284714119,-23.989,0.32027850304613,NA,1.1,0,0,-27.2725,-27.2725,-26.1725,0,NA,164,NA,4.1943734015345,NA,6.007326007326,NA,-2.6835,244.7,0.075262543757293,NA,NA,0.7913,0.32644628099174,NA,0.7852,0.031505250875146,-74.7,240.7,0.016618196925634,0.01634654679199,-25.5,-0.93406593406593,-55.5,-2.032967032967,NA,120.35,-0.99899304029304,8.8168498168498,-24.589,NA,27.3,NA,-12.75,23.8,2.17,4,559648,39.1,-10.9,NA,39.1,1.15,NA
"5",2007-12-31,95.3,1.35,0.4866,0.048165137614679,41.5,173.3,0.4,94.4,0.37639553429027,7.3178294573643,0.54472013848817,20.5581,0.47677764077271,NA,2.6,0,0,-62.1516,-62.1516,-59.5516,0,NA,156.4,NA,7.5555555555556,NA,12.124031007752,NA,-80.5097,250.8,0.016733987305251,-0.24,NA,NA,0.68208092485549,NA,0.8829,0,-50.8,248.7,0.0084439083232811,0.0083732057416268,-34.8,-2.6976744186047,-34,-2.6356589147287,NA,5.9927710843373,-4.8179503875969,19.279069767442,18.3581,NA,12.9,NA,-0.83855421686747,30.4,2.74,2.1,1208158,20.7,-29,NA,20.7,1.45,NA
"6",2006-12-31,99.5,1.94,0.5146,0.51466992665037,39.7,326.1,1.8,171.8,0.33508874585528,1.2184397163121,0.52683226004293,-47.5166,0.45083560046638,1176.5,15.4,0,0,-40.8364,-40.8364,-25.4364,0,NA,340.9,NA,8.2542372881356,NA,2.4177304964539,NA,20.2802,512.7,0.017172646427476,-0.02,NA,-0.4059,0.54201183431953,NA,0.9777,0.25482980680773,-90,470.6,0.089460263493413,0.082114296859762,0.4,0.0028368794326241,-67.2,-0.47659574468085,0,11.853904282116,-0.28961985815603,3.3375886524823,-61.1166,NA,141,NA,0.01007556675063,117.2,4.6,42.1,497783,41.3,11.1,42.396396396396,41.3,1.45,NA
"7",2005-12-31,73.1,2.91,0.5384,NA,-98.1,314.6,2.6,86.9,0.084805308870889,0.4920724801812,0.27622377622378,9.0772,0.44576523031204,NA,17.7,0,0,-26.4947,-26.4947,-8.7947,0,NA,937.8,NA,5.0637149028078,NA,5.3103057757644,NA,-20.4719,1024.7,0.071519389701208,4.92,2.2256097560976,0.0777,0.28558310376492,NA,0.9588,0.4666242848061,-12.1,851.8,0.20298192063865,0.16873231189616,-36.4,-0.20611551528879,-186.4,-1.0554926387316,NA,NA,-0.15002650056625,4.8233295583239,-6.0228,NA,176.6,NA,NA,107.2,10.95,172.9,336411,185.2,-41.8,NA,185.2,1.5,NA
"8",2004-12-31,72.9,1.63,0.6243,NA,NA,332.5,3.6,112.5,0.11456211812627,0.85098335854766,0.33834586466165,0,0.52218484702867,NA,14.3,0,0,-68.7267,-68.7267,-54.4267,0,NA,869.5,NA,6.5771558245083,NA,6.5771558245083,NA,-58.0267,982,0.070977443609023,NA,NA,-0.0596,NA,NA,0.3955,0.38315789473684,-1.5,808,0.21534653465347,0.17718940936864,-65.5,-0.49546142208775,-153.5,-1.161119515885,NA,NA,-0.51986944024206,6.1119515885023,-10.7,0.15568903748381,132.2,45.817826666667,NA,95.9,11.15,174,212164,132.2,-65.5,NA,132.2,1.65,NA
"9",2003-12-31,73.2,2.15,0.6827,0.70941224825319,NA,301.3,2.8,99,0.094357605794891,0.53745928338762,NA,-6.2313,0.62985205800498,NA,13.4,0,0,-5.771,-5.771,7.629,0,NA,950.2,6.5848925848926,5.1585233441911,124.55089192438,6.7342310418143,0.393,11.0603,1049.2,0.077995353468304,-0.02,NA,0.4253,0.5414603960396,NA,0.9122,0.45768337205443,144.3,876.6,0.19689710244125,0.16450629050705,-35.5,-0.25159461374911,-20.4,-0.14457831325301,NA,12.398868458274,-0.0409,6.2126151665485,-16.8313,2.9165403684991,141.1,-0.039993000693001,-0.5021216407355,61,11.51,172.6,472529,184.2,-26.2,NA,184.2,1.45,4.3123715577476
"10",2002-12-31,71.4,2.15,0.6987,0.6856414613424,NA,270.6,3.2,64.2,0.051862024396155,0.66459627329193,NA,6.4,0.6757,NA,7.2,0,0,-24.1147,-24.1147,-16.9147,0,NA,1173.7,NA,NA,NA,12.150103519669,0.5,-20.1147,1237.9,0.035846267553585,-0.41,NA,0.065,0.63609467455621,NA,0.8651,0.54878048780488,171.2,1076.5,0.14993032977241,0.13038209871557,-32.6,-0.33747412008282,-9,-0.093167701863354,NA,14.547297297297,-0.24963416149068,11.143892339545,-4,NA,96.6,-0.1408566588785,-0.44054054054054,41.7,14.65,161.4,629969,110.7,-50.2,NA,110.7,1.3,6.8557242990654
