"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,22.4,0.4,0.1164,0.4172,573.3,1783.1,67.6,43.3,0.0343,0.027,0.0243,-41.7,0.8,13.36,39.8,0.0447,38.08,118,80.77,158,0.3138,0.314,1219.6,1.3,1.08,10.36,7.74,0.76,0.03,-0.065,94.67,1262.9,0.5208,NA,NA,0.06,0.005,0.0932,0.08,0.493,0,940.4,852.5,0.4814,0.325,63.8,0.0398,139.9,0.0873,0.6073,1.49,4.45,0.0734,0.53,-13.9,-0.1721,1603.3,0.0859,0.1113,70.4,38.61,410.4,143485,1125.4,62.7,13.6,1125.4,0.55,1.28
"2",2011-09-30,22.3,0.26,0.1782,0.49208155523945,535.6,1840.2,57,86.9,0.060828783424331,0.050086455331412,0.047223127920878,-11.2344,0.8,16.846296296296,37.6,0.0409,37.2067,104.8,69.8031,142.4,0.33394,0.33415536374846,1341.7,1.3866267052501,0.83683652466787,12.802480916031,9.4220505617978,0.77331412103746,0.025,-0.005,61.6374,1428.6,0.48043690903163,NA,NA,0.075,-0.0896,0.13089420155858,0.08,0.4899,0,967.6,909.7,0.57040782675607,0.36322273554529,54,0.031123919308357,148,0.085302593659942,0.68901351851852,1.6984690067214,6.7385185185185,0.060403458213257,0.5243227665706,8.1656,0.11698119164851,1735,0.072140438197602,0.1008215085885,66.8,40.47,518.9,99321,1603.3,63.9,14.236306729265,1603.3,0.6,1.3547652916074
"3",2010-09-30,22.2,0.01,0.1956,0.50096525096525,517,1762,52.4,74.6,0.055809082067779,0.039362600253271,0.042338251986379,-10.5493,0.76687116564417,12.716951788491,36.8,0.0441,36.0606,125,83.0075,161.8,0.33594,0.33574380165289,1262.1,1.3127730393177,0.72743515850144,10.0968,7.8003708281829,0.66594554664415,0.025,0.005,77.9568,1336.7,0.48575482406356,NA,NA,0.105,-0.1488,0.10214192044296,0.08,0.4558,0,961.4,817.7,0.63470710529534,0.38826961921149,64.3,0.033927817644576,124.8,0.065850569860701,0.56081757387247,1.5816247582205,5.0867807153966,0.065956099620093,0.4314584212748,5.0507,0.06084677539157,1895.2,0.086340232993551,0.12437137330754,72,36.54,519,71572,1735,54,15.142592592593,1735,0.6,1.290250965251
"4",2009-09-30,22,-0.12,0.2059,0.55440556878549,486.5,1772.7,56.6,14.9,0.010881472285109,0.0067451335445903,0.0084052575167823,-40.3153,0.46624575036425,13.263888888889,35.3,0.0458,34.9912,111.3,76.4954,146.6,0.31271,NA,1354.4,1.2576840932306,0.71464753060363,12.168912848158,9.2387448840382,0.61312811226799,0.035,0.02,95.5107,1369.3,0.46437637502115,NA,NA,0.095,0.0754,0.24577909524423,0.072,0.4791,0,1076.9,764,0.79227748691099,0.44205068283064,57.6,0.026075147125396,283.8,0.12847442281575,0.60748611111111,1.5704008221994,3.7896825396825,0.05038478949751,0.34585785423268,-19.0153,-0.24858069370105,2209,0.071032943634506,0.11839671120247,73.6,33.77,605.3,165016,1895.2,64.2,11.90031152648,1895.2,0.6,1.2541674299322
"5",2008-09-30,21.6,-0.03,0.1651,0.58594730238394,428.3,1641.2,58.9,52.7,0.033451821759553,0.026068460625247,0.032110650743358,-17.8445,0.62992125984252,19.443775100402,34.1,0.034352989775896,33.264,105.2,70.0138,139.3,0.33447,NA,1522.7,1.549506461789,0.68931643277501,14.47433460076,10.931083991385,0.75321527502968,0.045,0.04,63.0583,1575.4,0.48367048501097,2.5,18.736,0.095,-0.0012,0.27318352914338,0.07,0.54,0.020472824762369,982.7,968.3,0.62697511101931,0.38536244763235,49.8,0.024633953304313,192.5,0.095221606648199,0.66795180722892,2.2607985057203,4.3208389112004,0.05203798971112,0.47897704788286,6.9555,0.099344347618308,2021.6,0.071246317289101,0.11627363997198,72.6,46.84,607.1,293286,2209,56.5,17.138053097345,2209,0.65,1.5215375700212
"6",2007-09-30,21.4,1.01,0.1791,0.59912550929146,402.6,1570.2,63.4,50.8,0.037618483412322,0.025430516619944,0.032352566552032,-2.2299,0.8,14.80198019802,30.9,0.042943143812709,32.1,103.3,69.7378,134.2,0.3249,NA,1299.6,1.3612653189484,0.64285714285714,12.580832526621,9.6840536512668,0.6505806968362,0.04,0.065,39.4677,1350.4,0.48643484906381,2.2,15.031818181818,0.065,0.2397,0.11085418304583,0.07,0.4309,0.021398547955674,954.7,747.5,0.80655518394649,0.44646030805687,50.5,0.025280336403684,185.6,0.092911493792551,0.63564356435644,1.8566815697963,3.700495049505,0.051712054465358,0.37419903884662,30.2701,0.4340560087542,1997.6,0.073046852414371,0.125434674615,74.7,33.07,602.9,116400,2021.6,49.8,15.010040160643,2021.6,0.95,1.3430134261561
"7",2006-09-30,21.2,1.2,0.1685,0.55173679060665,367.5,1385.1,60.2,6,0.0049644216448784,0.0037570444583594,0.0043318171973143,-40.9277,0.8,18.890274314215,23,0.040860726072607,30.952,89.9,59.2459,112.9,0.34098,NA,1202.6,1.479940930347,0.60205256570713,13.377085650723,10.651904340124,0.75303694427051,0.05,0.105,62.9736,1208.6,0.49057829759584,2.15,16.293023255814,0.045,0.2658,0.12642642642643,0.06,0.4668,0.020287343874088,812.6,757.5,0.59551155115512,0.37324176733411,40.1,0.025109580463369,163.2,0.10219160926738,0.77187032418953,2.0612244897959,3.7780548628429,0.056293049467752,0.47432686286788,-3.7277,-0.062919790861879,1597,0.072909054885552,0.1091156462585,70.7,35.03,451.1,52200,1997.5,27.2,27.849264705882,1997.5,0.9,1.4764231614952
"8",2005-09-30,21,0.49,0.1444,0.57183976972895,NA,1265.3,51.3,13.9,0.012598567932566,0.0090968586387435,0.010985537026792,35.004,0.6786703601108,17.354570637119,22.4,0.047147249743765,28.98,80.4997,52.4987,102.8997,0.34784,NA,1089.4,1.3269183922046,0.71295811518325,13.532971369206,10.587009542983,0.87131088538751,0.06,0.145,-11.4053,1103.3,0.51126215126847,2,14.635,-0.005,0.0845,0.1210586505473,0.06,0.3193,0.022208171975026,821,626.5,0.761053471668,0.43215807124082,36.1,0.028873070463089,157.6,0.12604974806047,0.80277008310249,1.7603259342512,2.8924284395199,0.064384299768056,0.50107974086219,63.904,1.2172499894728,1250.3,0.063944796382948,0.10112044817927,66.5,29.27,476.8,67400,1528,39.3,15.941475826972,1528,0.8,1.3232189973615
"9",2004-09-30,19.1,0.37,0.124,0.63515976187584,NA,1201.4,51.1,7.3,0.0061916878710772,0.0058385987363033,NA,25.2118,0.59677419354839,18.965317919075,25.6,0.044012944983819,25.976,105.2401,68.4113,130.8401,0.34995,NA,1171.7,1.4339738098152,0.93713508757898,11.133593044322,8.9552083666119,1.115586023041,0.055,0.06,17.6995,1179,0.517063426003,1.9,16.263157894737,-0.025,0.3793,0.11016225448335,0.064,0.3082,0.023389379057766,817.1,656.2,0.79670832063395,0.44342663273961,34.6,0.032942968675617,132.4,0.1260592211749,0.7507514450867,2.193915078569,3.44823962165,0.1002,0.6247738741312,50.7118,0.74127875791686,1050.3,0.083724514750948,0.11521811521811,327.4,30.9,522.8,16900,1250.3,0,NA,1250.3,0.7,1.4323897460819
"10",2003-09-30,19.1,0.04,0.169,0.63608711522083,NA,1201.4,51.1,7.3,0.0066917224310203,0.0069503951252023,NA,27.8,0.0456,16.419075144509,25.6,0.04572434430558,25.976,79.7,51.809,105.3,0.34995,NA,1083.6,NA,NA,13.595984943538,10.290598290598,1.031705227078,0.05,0.025,26.309,1090.9,0.517063426003,1.8,16.472222222222,NA,0.3793,0.15522907403828,0.0645,0.2401,0.023389379057766,815.9,568.1,0.92026051751452,0.47923732697772,34.6,0.032942968675617,132.4,0.1260592211749,0.7507514450867,1.8993647609495,3.2838150289017,0.075883081024469,0.54089307816814,25.5,0.49219261871276,1050.3,0.063499184949136,0.1156803744567,327.4,29.65,522.8,32024,1050.3,34.6,16.419075144509,1050.3,0.7,1.3281039343057
