"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,16.1,0.58,0.1872,0.1441,273.2,2889.7,0,56.9,0.1217,0.0197,NA,0.77,13.73,0,0.026,10.95,84,56.49,84,0.3243,0.3238,410.6,1.57,4.91,4.91,0.06,56.49,467.5,0,2.19,11.8,0.015,NA,0.1023,NA,0.6243,0.0018,262.3,421.5,0.1091,0.0984,30.7,0,0.3137,1.54,2.29,0,0,NA,0.2153,0.1124,27.7,25.84,46,49455,NA,34.9,12.08,NA,0.8,1.46
"2",2010-12-31,16.1,0.63,0.2481,0.15699658703072,247,2681.9,0,42.5,0.09211096662332,0.01584697416011,NA,0.8,16.955102040816,0,0.0241,10.0111,88.2,58.855,88.2,0.33271,0.33423913043478,418.9,1.672255489022,4.749433106576,4.749433106576,0.1,58.855,461.4,0,1.9,13.615789473684,0.015,NA,0.15431560592851,NA,0.6059,0.0019016368992132,250.5,415.4,0.11073663938373,0.099696575639359,24.5,0,0.40861795918367,1.6817813765182,1.6955102040816,0,0,NA,0.23495001197605,0.09919028340081,28,25.87,46,47480,NA,28.2,14.730496453901,NA,0.8,1.5747440273038
"3",2009-12-31,16,0.36,0.2794,0.24075957951848,223.9,2571.5,0,49,0.11537555921827,0.019055026249271,NA,0.7605583392985,18.615789473684,0,0.0281,9.939,78.6,53.5675,78.6,0.31848,0.31654676258993,375.7,1.527856852379,4.7798982188295,4.7798982188295,0.1,53.5675,424.7,0,1.38,15.550724637681,0.055,NA,0.13441955193483,NA,0.5775,0.002022166050943,245.9,353.7,0.20073508623127,0.16717683070403,19,0,0.52310368421053,1.5797230906655,1.8615789473684,0,0,NA,0.21784250508337,0.084859312192943,32.2,21.46,71,38778,NA,24.1,14.676348547718,NA,0.85,1.4401492031197
"4",2008-12-31,12.3,0.3,0.2689,0.44665928386859,149.9,2377.4,0,57.1,0.16789179653043,0.024017834609237,NA,0.50576422461882,11.121827411167,0,0.0349,7.6466,71.5,49.1098,71.5,0.31315,NA,283,1.3236669784846,3.958041958042,3.958041958042,0.1,NA,340.1,0,1.27,13.582677165354,0.09,NA,0.25598526703499,NA,0.3984,0.0022713889122571,213.8,219.1,0.55225924235509,0.35577771243752,19.7,0,0.38815177664975,1.4616410940627,1.1121827411167,NA,NA,NA,0.22969960243218,0.1314209472982,44.6,17.25,121,46591,NA,18.1,12.104972375691,NA,0.85,1.2554448135843
"5",2007-12-31,12.1,0.17,0.2362,0.17484489565708,146.3,1989.1,0,56.3,0.18267358857884,0.028304258207229,NA,0.60965283657917,14.4375,0,0.027063492063492,7.502,60.1,41.8675,60.1,0.30337,NA,251.9,2.0818181818182,4.1913477537438,4.1913477537438,0.1,NA,308.2,0,1.6,14.39375,0.11,NA,0.33673922701022,NA,0.4102,0.0028153436227439,121,277.2,0.11183261183261,0.10058403634004,19.2,0,0.39072916666667,1.8947368421053,1.44375,NA,NA,NA,0.34601209090909,0.13123718386876,53.6,23.03,31,13016,NA,20,13.86,NA,0.9,1.7382966723068
"6",2006-12-31,12,0.63,0.1854,0.19230769230769,130.2,1836.7,0,65.3,0.22840153899965,0.035552893776882,NA,0.77669902912621,13.631016042781,0,0.026363279717536,6.72,56.3,37.3292,56.3,0.33696,NA,220.6,2.3003128258603,3.9182948490231,3.9182948490231,0.1,NA,285.9,0,1.54,12.142857142857,0.12,NA,0.18253079507279,NA,0.3832,0.003157837425818,95.9,254.9,0.12161632012554,0.10842952081147,18.7,0,0.35935828877005,1.957757296467,1.3631016042781,NA,NA,NA,0.38925080291971,0.14362519201229,45.1,18.7,31,48793,NA,19.1,13.34554973822,NA,0.9,1.7735732009926
"7",2005-12-31,11.9,1.12,0.1885,0.21483021483021,113.3,1634.6,0,77.4,0.2257217847769,0.047351033892084,NA,0.55172413793103,17.327777777778,0,0.019076627124078,5.95,53.5,35.0168,53.5,0.34548,NA,265.5,3.9686098654708,4.9626168224299,4.9626168224299,NA,NA,342.9,0,NA,NA,0.115,NA,0.1397686736569,NA,0.3015,0.0036706227823321,66.9,311.9,0.099390830394357,0.090405365995917,18,0,0.33055555555556,2.7528684907326,NA,NA,NA,NA,0.52342032884903,0.15887025595763,24.3,25.53,31,22011,NA,19.3,16.160621761658,NA,0.65,2.3762993762994
"8",2004-12-31,5.9,0,0,0.28711484593837,NA,1453.1,0,81.1,0.28071997230876,0.055811712889684,0,NA,17.096551724138,0,0.022783556215948,5.428,NA,NA,NA,0.33423,NA,207.8,3.3679092382496,NA,NA,NA,NA,288.9,0,2.86,14.118881118881,0.105,0,0.12707320114727,NA,0.2554,0.0042667400729475,61.7,247.9,0.16538926986688,0.14191761855313,14.5,0,0.37434482758621,2.4351669941061,NA,0,NA,NA,NA,0.14243614931238,13.4,40.38,41,19414,NA,16.7,14.844311377245,0,0.6,2.0231092436975
"9",2003-12-31,5.8,0,0,0.40397350993378,NA,1271.4,0,52.3,0.17783066984019,NA,0,NA,16.769784172662,0,0.021158690176322,4.872,NA,NA,NA,0.32997,NA,241.8,2.4498480243161,NA,NA,NA,NA,294.1,0,2.45,16.204081632653,0.1,0,0.17715448335998,NA,0.2132,0.0050338209847412,98.7,233.1,0.26169026169026,0.20741244474668,13.9,0,0.3505035971223,2.59,NA,0,NA,NA,NA,0.15444444444444,14.1,39.7,61,900,NA,13.8,16.891304347826,0,0.5,1.9476821192053
"10",2002-12-31,5.8,0,0,0.37667161961367,NA,1247.8,0,74.1,0.28654292343387,NA,0,0,16.766129032258,0,0.021202501202501,4.408,43.5,28.4825,43.5,0.34523,NA,184.5,NA,4.2413793103448,4.2413793103448,NA,28.4825,258.6,0,2.39,15.008368200837,NA,0,0.23927963088525,NA,0.2088,0.0048084628946947,60.5,207.9,0.24386724386724,0.19605568445476,12.4,0,0.35548387096774,2.4779499404052,NA,0,0,0,0.47078504132231,0.14779499404052,17.1,35.87,50.7,4435,0,14.1,14.744680851064,0,0.5,3.0495867768595
