"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,41,0.74,0.3441,0.0141,250.9,282.6,9.6,100.9,0.1498,0.5475,0.357,2.13,0.54,46.21,11.9,0,0,24,14.4,36,0.3951,0.3933,572.7,3.73,2.94,24.06,16.04,3.11,0.1867,14.56,673.6,0.0892,0.31,54.19,0.21,0.2372,NA,0.7731,0.2555,153.6,670,0.0054,0.0053,14.5,0.0787,37.1,0.2013,0,2.67,2.47,0.1291,3.64,-0.17,-0.0115,184.3,0.0937,0.0578,98.3,16.8,3.6,210561,194.9,11.6,57.76,194.9,0.8,2.65
"2",2010-12-31,41.2,0.5,0.3163,0.017565872020075,234.9,265.8,11.1,117.9,0.1312625250501,0.83262711864407,0.44356659142212,8.8975,0.63231109705975,171.92307692308,8.9,0,0,11.2,5.1614,20.1,0.53916,0.54385964912281,780.3,6.4381188118812,4.3911086100169,69.669642857143,38.820895522388,5.510593220339,0.33,-5.9361,898.2,0.083145221971407,0.34,62.441176470588,0.1587,0.19093539054966,NA,0.7729,0.20767494356659,121.2,894,0.0046979865771812,0.0046760187040748,5.2,0.036723163841808,34.9,0.24646892655367,0,3.8058748403576,5.2097902097902,0.07909604519774,6.3135593220339,11.0975,2.1500970759505,141.6,0.042585874587459,0.022137079608344,85.1,21.23,4.2,183166,177.7,14.2,62.957746478873,177.7,0.8,3.7565872020075
"3",2009-12-31,40.7,0.65,0.3883,0.020161290322581,218.7,248,10.4,99.4,0.12414137629574,0.82421227197347,0.4008064516129,3.5473,0.57944887973217,38.650485436893,8.3,0,0,7.4,7.4,15.7,0,0,701.3,5.6647819063005,5.0635379061372,94.77027027027,44.668789808917,5.8150912106136,0.2267,1.7527,800.7,0.069758064516129,NA,NA,0.1435,0.1981845688351,NA,0.7269,0.21209677419355,123.8,796.2,0.0056518462697815,0.0056200824278756,20.6,0.17081260364842,23.9,0.19817578772803,0,3.6406035665295,1.7049177519582,0.061359867330017,6.6019900497512,5.6473,0.76315494599077,120.6,0.059773828756058,0.094192958390489,53.1,18.28,4.5,119654,138.5,22.2,35.864864864865,138.5,0.9,3.5873655913978
"4",2008-12-31,40.3,0.49,0.3736,0.017180394138454,194.5,217.3,4.4,122.1,0.19763677565555,1.1695402298851,0.56189599631845,0.5974,0.38543897216274,198.1935483871,7,0,0,3.4,2.6617,10.4,0.21716,NA,495.7,6.5395778364116,4.4778681120145,145.79411764706,47.663461538461,4.7480842911877,0.32,4.6642,617.8,0.05798435342844,NA,NA,0.2221,0.28330522765599,NA,0.7804,0.25080533824206,75.8,614.4,0.0055338541666667,0.0055033991583037,3.1,0.029693486590038,9.9,0.094827586206897,0,3.1588688946015,6.1935483870968,0.032567049808429,5.8850574712644,-2.0026,-0.75238355628847,104.4,0.03511419525066,0.015938303341902,67.6,14.93,3.4,333857,110.7,2.6,236.30769230769,110.7,0.9,3.121778676099
"5",2007-12-31,35.4,0.68,0.374,0.028169014084507,103.5,123.6,6.7,34.2,0.039785946952071,0.456,0.27669902912621,-2.0279,0.51336898395722,NA,5.1,0,0,-17.4525,-17.4525,-12.3525,0,NA,825.4,11.416320885201,8.4483111566018,NA,NA,11.005333333333,0.15,-17.0246,859.6,0.10275080906149,0.07,305.14285714286,0.2669,0.36467020470053,NA,0.7008,0.45711974110032,72.3,856.6,0.0035022180714452,0.0034899953466729,-11.7,-0.156,6.7,0.089333333333333,NA,8.2763285024155,NA,-0.2327,11.421333333333,-0.4279,NA,75,-0.24139004149378,-0.11304347826087,63.5,21.36,3,250219,97.7,4.6,186.21739130435,97.7,1.2,8.0713615023474
"6",2006-12-31,31.7,0.44,0.3282,0,54.2,66.7,2.6,38.4,0.063345430550973,0.72452830188679,0.57571214392804,-1.5809,0.73126142595978,404.13333333333,1.5,0,0,-0.6,-0.5921,0.9,0.0131,NA,567.8,35.93670886076,8.3870014771049,NA,630.88888888889,10.71320754717,0.15,-0.1112,606.2,0.07496251874063,-0.06,NA,0.2511,0.21670660732626,NA,0.5817,0,15.8,606.2,0,0,1.5,0.028301886792453,5.7,0.10754716981132,0,11.184501845019,26.942222222222,-0.011320754716981,11.437735849057,-0.4809,NA,53,-0.037477215189873,0.027675276752767,32.8,17.07,0,397052,67.7,-5.8,NA,67.7,1.5,11.184501845019
"7",2005-12-31,31.7,1.4,0.428,0,44.7,58,2.8,36.2,0.089626145085417,0.85579196217494,0.62413793103448,-0.6241,0.46728971962617,NA,1,0,0,-3.4449,-3.4449,-2.4449,0,NA,367.7,43.258823529412,7.3101391650099,NA,NA,8.692671394799,NA,-4.6208,403.9,0.055172413793104,NA,NA,0.1613,0.30544196288141,NA,0.5715,0,8.5,403.9,0,0,-2.5,-0.059101654846336,3.3,0.078014184397163,NA,9.0357941834452,NA,-0.081440661938534,9.548463356974,1.1759,NA,42.3,-0.40528705882353,-0.05592841163311,25.8,12.7,0,204810,50.3,-0.4,NA,50.3,1.25,9.0357941834452
"8",2004-12-31,31.2,1.42,0.5404,0,NA,53.2,0.5,32.1,0.085191082802548,0.80653266331658,0.60338345864662,0.956,0.52553663952628,NA,0.9,0,0,-4.1848,-4.1848,-3.2848,0,NA,344.7,27.798387096774,8.6608040201005,NA,NA,9.6016713091922,NA,-4.7408,376.8,0.026315789473684,NA,NA,0.3262,0.25632911392405,NA,0.4048,0,12.4,376.8,0,0,-3.6,-0.10027855153203,8.8,0.24512534818942,NA,8.4674157303371,NA,-0.11656963788301,10.49582172702,0.556,-0.13285753561985,35.9,-0.33748790322581,-0.080898876404494,18.9,11.62,0,73110,39.8,-2.4,NA,39.8,1.25,8.4674157303371
"9",2003-12-31,30.3,1.36,0.6205,0,NA,53.3,0.3,39.5,0.1393789696542,1.1158192090396,NA,2.076,0.43835616438356,NA,1.1,0,0,-5.3757,-5.3757,-4.2757,0,NA,243.9,46.018867924528,6.8898305084746,NA,NA,9.2737642585551,NA,-6.6518,283.4,0.031894934333959,NA,NA,0.9631,0.37602459016393,NA,0.3567,0,5.3,283.4,0,0,-6,-0.22813688212928,6,0.22813688212928,NA,6.3258928571429,NA,-0.2044,10.77566539924,1.276,-0.23737204083852,26.3,-1.0142867924528,-0.13392857142857,16.3,8.74,0,20096,35.4,-3,NA,35.4,1.25,6.3258928571429
"10",2002-12-31,29.5,1.03,0.7268,0,NA,53.6,1.1,40.5,0.1341059602649,3.1153846153846,NA,0.2,0.3106,NA,1.5,0,0,-21.7436,-21.7436,-20.2436,0,NA,261.5,NA,NA,NA,NA,20.115384615385,0.2,-21.3436,302,0.044776119402985,-0.21,NA,-0.3926,0.51790633608815,NA,0.2926,0,5.1,302,0,0,-23.4,-1.8,4.8,0.36923076923077,NA,6.6228070175439,NA,-1.6725846153846,23.230769230769,-0.4,NA,13,-4.2634509803922,-0.51315789473684,24.5,9.99,0,101454,21.7,-10.8,NA,21.7,1.2,51.274509803922
