"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,323.4,0.62,0.1543,0.8658,1001,37908,814,3585,0.0982,0.0771,0.0946,-27.71,0.8,11.26,1008,0.0506,1519.98,3704,2720.63,4712,0.2655,0.2655,32913.6,8.49,0.7,8.89,6.99,0.71,0.03,0.035,2942.34,36498.6,0.1216,7.94,11.62,0.135,0.085,0.0964,0.011,0.8751,0.2677,3876,30038.6,0.2151,0.177,2667,0.0574,-1621,-0.0349,0.5294,30.01,3.75,0.0797,0.65,-221.71,-0.0815,46499,0.7019,2.6643,0,92.29,6460,1993532,47294,2871,10.46,47294,0.8,4.89
"2",2010-12-31,346,0.84,0.251,0.57511172224132,3708,35067,820,2261,0.071392259576067,0.049363578804882,0.064476573416602,-16.0186,0.79681274900398,10.076030245747,841,0.0507,1351.2108,4798,3316.9534,5639,0.30868,0.3086774699425,29409.1,4.5482678626662,0.62443680064548,6.1294497707378,5.2153041319383,0.64207802982337,0.06,0.08,3353.9719,31670.1,0.1298656856874,8.17,9.9020807833537,0.205,0.0924,0.10800457019961,0.011,0.9129,0.27390424045399,6466,26651.1,0.18832243322039,0.15847755453882,2645,0.057747309128223,-567,-0.012379101805559,0.51085473345936,7.1874595469256,1.6793383742911,0.10475296377967,0.58186363338646,-37.0186,-0.011160409483838,45803,0.51298381688834,0.71332254584682,0,80.9,5019,2423987,47097,2784,9.5729525862069,47097,0.8,3.6289790305947
"3",2009-12-31,372.9,1.01,0.2945,0.55026685546237,4129,35111,852,2391,0.079628599688946,0.052911106685255,0.068098316766825,-4.6969,0.67911714770798,8.2588955026455,859,0.0433,1081.4132,4224,2981.6372,5083,0.29412,0.29411764705882,27635.9,4.070088365243,0.60694221773219,6.5425899621212,5.4369270116073,0.6115625484078,0.1,0.085,2993.334,30026.9,0.12873458460312,7.01,9.9728958630528,0.245,0.1137,0.12597662555692,NA,0.8809,0.29218763350517,6790,24974.9,0.20228309222459,0.16824913660751,3024,0.06691894045011,-617,-0.013653765296864,0.35761017526455,6.0486558488738,0.82588955026455,0.093474075549359,0.55267653632521,-11.6969,-0.0039229774755827,45189,0.43912181443299,0.73238072172439,0,69.91,5052,2615174,45533,2672,9.3468937125749,45533,0.8,3.2705478706023
"4",2008-12-31,393,1.09,0.2926,0.57046476761619,2865,33439,926,2168,0.067241694813271,0.050735999625565,0.064834474715153,-44.53,0.4647983595352,8.8395710289089,845,0.0338,961.1672,4649,3180.7528,5494,0.31582,NA,30073.9,6.6801199466904,0.6866657533621,6.4688965368897,5.4739534037131,0.70379583908638,0.115,0.095,3144.2828,32241.9,0.13421453990849,7.44,10.127688172043,0.26,0.0623,0.20523292032948,0.006,0.8765,0.29549328628249,4502,28436.9,0.1338050209411,0.11801413688399,3217,0.075284921953617,-1785,-0.041772951721233,0.29877750077712,9.9256195462478,0.76865835033991,0.108796892186,0.66548641501486,36.47,0.011465849605115,42731,0.70651995113283,1.1228621291448,0,75.35,3805,3325509,43797,3020,9.4161920529801,43797,0.85,4.833868065967
"5",2007-12-31,409,1.13,0.225,0.31009006473403,9805,28926,940,2648,0.073264329844424,0.063255458410969,0.091543939708221,20.3657,0.56888888888889,10.932173613503,819,0.029383572650704,932.52,4234,2900.2477,5053,0.31501,NA,33495.1,2.896497751643,0.7892342130066,7.9109825224374,6.6287551949337,0.80013138407147,0.155,0.095,2758.8819,36143.1,0.14934660858743,8.03,10.470734744707,0.265,0.0876,0.28196930946292,0.004,0.8844,0.34052409596902,11564,31736.1,0.13886394358475,0.12193198701827,2903,0.069346901724714,-1475,-0.035234819167742,0.32122631760248,3.2367261601224,0.70530152345182,0.10114184702116,0.75811236921313,141.3657,0.048742639267901,41862,0.25079969387755,0.29607343192249,NA,84.08,4407,1452844,42440,3193,9.9392734105857,42440,0.8,2.5431396003377
"6",2006-12-31,421,0.17,0.1382,0.39203391327387,6884,28231,893,1912,0.039251189134483,0.048258455325593,0.067726966809536,71.6645,0.8,18.952440068493,764,0.015975461286701,707.28,3434,2365.614,4198,0.31112,NA,46799.9,4.9728934225906,1.1179833257686,13.628392545137,11.148141972368,1.1812190812721,0.165,0.08,2164.9494,48711.9,0.14367185009387,7.08,15.042372881356,0.24,0.0925,0.12280355380059,0.005,0.8879,0.34908433991003,9411,44272.9,0.100264495888,0.091127630004167,2336,0.058960121150934,-1267,-0.031978798586572,0.30277397260274,6.4312754212667,1.1486327314238,0.086673397274104,1.1174381625442,200.6645,0.084825543989236,39620,0.25136690256083,0.33933759442185,NA,106.5,4439,2309451,41861,2901,15.261254739745,41861,0.95,4.3020312637993
"7",2005-12-31,432,0.44,0.1599,0.38792499805493,7867,27744,865,2244,0.051068710628846,0.060301507537688,0.080882352941177,45.4152,0.8,22.753971962617,705,0.01552568617988,604.8,2567,1798.9023,3272,0.29922,NA,41696.8,3.9303233103968,1.0689020482453,16.243396961434,12.743520782396,1.1204901512912,0.175,0.08,1593.4871,43940.8,0.14143598615917,5.73,16.068062827225,0.1,0.062,0.19500418463916,0.006,0.8757,0.32464677047289,10609,38954.8,0.12799449618532,0.11347085169137,1712,0.046005428210572,-941,-0.025286862118077,0.35327102803738,4.9516715393416,1.3002269692924,0.068981269986295,1.0468062236315,205.4152,0.11418919689615,37213,0.16956379112075,0.21761789754671,NA,92.07,4986,910800,39009,2095,18.594176610979,39009,0.8,3.4187193651288
"8",2004-12-31,438,-0.18,0.2212,0.42166392092257,NA,25554,769,1060,0.032304761904762,0.029293096777759,0.041480785786961,-12.2243,-0.1627486437613,21.874802527646,656,0.01885310290652,525.6,1969.3714,1498.3371,2625.3714,0.23918,NA,31752.5,2.8657490974729,0.87748024097717,16.123164985538,12.094479280151,0.89378201880313,0.15,0.065,1397.5614,32812.5,0.14083900759177,4.03,15.794044665012,NA,0.1367,0.10949152542373,0.012,0,0.33513344290522,11080,27693.5,0.1848448191814,0.15600761904762,1266,0.035635872318865,-658,-0.018521646118336,0.41516587677725,3.9443811422874,1.4583201685097,0.055434650678376,0.77952766987558,100.7757,0.067258369492846,35526,0.13522898452599,0.18031619427432,0,63.65,5119,870800,36186,1266,21.874802527646,36186,0.7,2.70284184514
"9",2003-12-31,446,-0.26,0.2441,0.47886454797902,NA,26175,687,1010,0.032233048129366,0.029242305799241,NA,-31.2245,-0.21302744776731,23.8616334283,609,0.018254837531946,446,2584.1088,1776.1613,3193.1088,0.31266,NA,30324.3,2.5367492052869,0.87797272648311,11.734916114987,9.4967950982441,0.95287518853695,0.18,0.085,1729.3859,31334.3,0.13329512893983,2.95,18.569491525424,-0.065,0.2216,0.17802994183275,0.009,0,0.33184336198663,11954,25126.3,0.24707179330025,0.19812154731397,1053,0.033088235294118,-366,-0.011500754147813,0.42355175688509,3.7191089402013,1.3256463015722,0.0812,0.78953934137758,46.7755,0.026335137111152,31824,0.14858301343416,0.15586145648313,0,54.78,6208,1127800,34539,0,NA,34539,0.65,2.4170240666461
"10",2002-12-31,455,-0.4,0.2497,0.56384323640961,NA,25758,662,2738,0.090804170756945,0.10301753329822,NA,597,-0.3489,21.434757834758,558,0.017739734524253,400.4,1949,1353.7559,2507,0.30541,NA,27414.8,NA,NA,14.066085171883,10.935301156761,1.0314846865829,0.185,0.075,1249.7559,30152.8,0.12648497554158,2.57,19.712062256809,NA,0.0738,0.18385380058239,NA,NA,0.31811476046277,10709,22570.8,0.33592074716005,0.25145260141678,1053,0.039619233952893,-568,-0.021371058770412,0.38024691358025,3.8483887468031,1.1586355586356,0.073331326661148,0.84922868537888,104,0.076823302658749,26578,0.12641291530488,0.17953964194373,0,50.66,7582,2486463,30626,1053,21.434757834758,30626,0.6,2.5599775889439
"11",2001-12-31,NA,-0.2,0.2996,0.5383,NA,27654,619,912,0.028457225233321,0.038015839933305,NA,23.7504,-0.118,35.356051873199,823,0.0082,201.2042,2386.0454,1501.2759,3209.0454,0.37081,NA,31136.1,NA,NA,13.049248769533,9.7026050176791,1.2978782826178,0.215,NA,1681.5255,32048.1,0.10815795183337,2.43,21.349794238683,-0.11,-0.0729,0.21199796644637,0,0.9783,0.30049902364938,13042,24537.1,0.30610789376088,0.23436646790293,694,0.028928720300125,266,0.011087953313881,0.28991962536023,3.8083346267267,1.644467528986,0.0625792374,1.0228053355565,-180.2496,-0.12006427291116,NA,0.11511086529873,0.10771379792022,0,51.88,7511,2067800,23990,0,NA,26132,0.55,2.4572994939426
"12",2000-12-31,NA,0.55,0.4111,0.36778934928724,NA,30349,500,1505,0.049680952553865,0.059418058352087,NA,-32.5427,0.40136219897835,47.070138888889,968,0.009341260825305,189.948,2548.0974,1334.2857,3516.0974,0.47636,NA,28788.3,NA,NA,11.297959018364,8.1875718232379,1.1365746772474,0.155,NA,1842.8218,30293.3,0.11354575109559,NA,19.672340425532,NA,-0.0857,0.26172898309121,NA,0.9789,NA,15614,20334.3,0.48976360140256,0.3287525624478,432,0.017055548975483,473,0.018674246910656,0.43969444444444,2.8399860335195,303.67831541219,0.052678184,0.80280705910221,-508.5361,-0.38112983704379,NA,0.085454446172409,0.060335195530726,NA,46.23,9959,NA,25329,689.6,29.487093967517,24251,NA,1.7695718207839
"13",1999-12-31,NA,0.7,0.4238,0.65268905268905,NA,30012,669,455,0.017169422579111,NA,NA,NA,0.24775837659273,25.298434782609,949,0.013030673834435,189.552,2614,1580.5028,2529.5028,0.39537,NA,26045.6,NA,NA,9.9638867635807,10.296727006614,1.0537951124778,0.05,NA,1922.868,26500.6,0.12108489937358,NA,NA,NA,-0.039,0.38979289940828,NA,0.9766,NA,17860,14546.6,0.82177278539315,0.45108412639714,NA,0.023502994011976,NA,0.07913901925878,0.32965565217391,2.2868416915579,5.0596869565217,0.10576145007283,0.58854992717268,NA,-0.17715881076378,NA,0.088493998880179,0.091322119163654,0,NA,NA,NA,NA,580.9,25.04148734722,24716,NA,1.4469342069342
