"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-06-30,186.7,1.31,0.3246,0.2219,5131.8,8004.7,107.3,2862.7,0.3683,1.0741,0.3576,54.11,0.8,37.4,100.8,0,0,238,196.28,339,0.1746,0.1747,4909.3,1.32,1.7,20.64,14.5,1.84,0.105,0.09,135.67,7772,0.073,NA,NA,0.01,0.06,0.1847,0.01,0.9342,0.3356,3732.3,6308.8,0.2319,0.1883,168.7,0.0633,636.7,0.2389,0,1.23,3.56,0.0892,2.37,60.61,0.3088,2665.2,0.0526,0.0329,846.3,36.13,1463.2,2071387,2891.7,99.7,63.28,2891.7,1.2,1.18
"2",2011-06-30,123.6,1.23,0.3388,0.2313342255143,2469.8,4057.4,127.5,2122.2,0.40156675749319,0.65546529944096,0.52304431409277,-18.4159,0.8,6.2753903551195,74.8,0,0,804.2,726.7555,879,0.0963,0.096391559495567,3162.6,2.8990741589513,1.0161943319838,3.9326038298931,3.59795221843,0.97680452172839,0.185,0.105,692.4714,5284.8,0.066668309755016,NA,NA,0.08,0.5464,0.25865190075604,0.01,0.9276,0.053383940454478,1090.9,4541.5,0.16366839150061,0.14064865273993,723.7,0.22352287117398,475.1,0.1467399697316,0,1.8388128593408,0.33921028946592,0.2483862000803,1.4026932699138,34.2841,0.04717423110209,3237.7,0.66619812998442,0.2930196777067,692.9,37.02,743.3,2619527,3112.2,601.8,7.5465270854104,3112.2,1.2,1.6447667361738
"3",2010-06-30,125.9,1.46,0.3865,0.012620762830178,1768.1,2487.4,35.6,826.5,0.12717341129404,0.38733714499953,0.33227466430811,85.9997,0.77619663648124,18.680126910874,71.4,0,0,425.4,342.8469,496.8,0.19406,0.19390839339688,5672.5,5.8831155361958,2.1640851518388,13.334508697696,11.41807568438,2.6584028493767,0.255,0.11,292.6472,6499,0.080525850285439,NA,NA,0.135,0.9211,0.24523417274653,0.01,0.9262,0.095240009648629,964.2,6476.4,0.0034895929837564,0.0034774580704724,346.7,0.16248008248196,376.5,0.17644577748617,0,3.6629149934958,0.73255399650486,0.19936263942263,3.0351485612522,50.1997,0.14642009439445,2133.8,0.3555765152458,0.19608619421978,544.5,51.78,22.6,2247615,2621.2,526.5,12.300854700855,2621.2,1.2,3.629306974926
"4",2009-06-30,126.5,1.3,0.3534,0.030814380044021,1453.1,1951.9,44.3,579.4,0.11656540457892,0.51922215252263,0.29683897740663,-30.6962,0.54329371816638,NA,72.4,0,0,-111.5681,-111.5681,-39.1681,0,NA,4391.2,4.773562343733,4.4177062374246,NA,NA,3.9351196343758,-0.02,-0.005,-52.7719,4970.6,0.11050771043598,NA,NA,0.57,-0.5539,0.37146795313577,0.008,NA,0.13361340232594,919.9,4924.4,0.0093818536268378,0.0092946525570354,-126.3,-0.11318218478358,281,0.25181467873465,NA,3.3888927121327,NA,-0.09998036562416,4.412940227619,-58.7962,NA,1115.9,-0.12128284596152,-0.086917624389237,521.3,39.21,46.2,2899744,994,-154.9,NA,994,1.2,3.3152804642166
"5",2008-06-30,125.2,1.59,0.3659,0.14691352103218,1778.6,2806.8,76.8,1058.7,0.3611584908235,0.42777485959029,0.37719110731082,24.8157,0.56846132823176,5.8400444938821,54.7,0,0,517.9,396.4939,572.6,0.23442,NA,1872.7,1.8248879360748,0.83951226072533,3.6159490249083,3.2705204331121,0.75667703745606,0.045,0.06,349.5782,2931.4,0.08397463303406,1.15,18.504347826087,0.515,-0.0484,0.5166639303891,0.008,NA,0.1436511329628,1026.2,2625.1,0.11668126928498,0.10448932250802,449.5,0.18162349993939,251.5,0.10162026748555,0,1.4759361295401,1.2977876653071,0.20926098024163,1.0606893207806,46.9157,0.11832633856371,2474.9,0.38637096277529,0.25272686382548,655.5,21.28,306.3,2379659,2230.7,333.6,7.8690047961631,2230.7,1.3,1.4060146769629
"6",2007-06-30,141.8,1.9,0.3485,0.20044670981043,1396.1,2313.3,21,1050.3,0.16481757551981,0.63956887102667,0.45402671508235,-54.9343,0.66571018651363,17.934782608696,22,0,0,406.3,309.1334,428.3,0.23915,NA,5322.2,7.6490370796206,2.0108055009823,13.099187792272,12.426336679897,3.2408963585434,0.195,0.13,365.0676,6372.5,0.021570916007435,4.62,8.6623376623377,0.27,0.0585,0.17537926369698,0.008,0.9055,0,695.8,6022.5,0.058115400581154,0.054923499411534,335.8,0.20448179271709,89.8,0.054682742662282,0,4.3138027361937,0.91973244147157,0.24741200828157,3.6673364998173,-55.9343,-0.18093901021625,1642.2,0.4442847872952,0.24052718286656,421.1,40.02,350,2777007,2646.8,NA,NA,2646.8,1.45,3.6495618807628
"7",2006-06-30,141.8,2.47,0.3785,0.20044670981043,1396.1,2313.3,21,1050.3,0.13797588082289,0.63956887102667,0.45402671508235,0,0.73976221928666,21.626563430614,22,0,0,406.3,309.1334,428.3,0.23915,NA,6561.9,9.4307272204657,3.9957983193277,16.150381491509,15.320803175344,3.9957983193277,0.275,0.14,310.1334,7612.2,0.021570916007435,2.7,18.748148148148,0.27,0.0585,0.23913987836664,0.028,0.9564,0,695.8,7262.2,0.048194761917876,0.045978823467592,335.8,0.20448179271709,89.8,0.054682742662282,0,5.2017763770504,0.78642048838594,0.24741200828157,4.4222384606016,-1,-0.0032348498918857,1642.2,0.4442847872952,0.24052718286656,421.1,50.62,350,1957925,1642.2,335.8,21.626563430614,1642.2,1.75,4.3595441269114
"8",2005-06-30,126.1,3.28,0.578,0,NA,1198.6,24,429.5,0.084389429217015,0.30595526428266,0.35833472384449,45.1452,1.1349480968858,58.567318757192,28.2,0,0,115.9286,86.9464,144.1286,0.25,NA,4660,12.167101827676,3.3195611910529,40.197155835575,32.332236627567,4.9791644406454,0.435,0.105,46.0013,5089.5,0.035374603704322,NA,NA,NA,0.2263,0.23557237464522,0.0459,0.9193,0,383,5089.5,0,0,86.9,0.092851800406026,90.3,0.096484667165295,0,6.264,1.3463751438435,0.12386857570253,5.4380809915589,40.9452,0.47092406609634,935.9,0.22701422976501,0.10695384615385,315.9,35.68,0,1060038,1403.8,171.3,29.711033274956,1403.8,1.95,6.264
"9",2004-06-30,126.1,3.42,0.6435,0,NA,1198.6,24,429.5,0.12287577959604,0.36656140650337,NA,22.7511,1.0629370629371,40.223245109321,28.2,0,0,144.1286,108.0964,172.3286,0.25,NA,3065.9,8.0049608355091,2.6166254160621,21.271975166622,17.791010894303,3.2758841756598,0.465,0.105,89.5454,3495.4,0.035374603704322,NA,NA,NA,0.2263,0.28599891324035,0.055,0.8776,0,383,3495.4,0,0,86.9,0.092851800406026,90.3,0.096484667165295,0,4.3020307692308,0.86501602385637,0.154,3.7348007265733,18.5511,0.17161603843213,935.9,0.2822361618799,0.10695384615385,315.9,28.22,0,909799,1171.7,171.3,20.405137186223,1171.7,1.95,4.3020307692308
"10",2003-06-30,128,3.44,0.8307,0.49996296570624,NA,1632.3,10.6,874.2,0.18130910900946,0.92694306012088,NA,-69.5,0.9113,487.83529411765,57.8,0,0,3.3,3.3,61.1,0,NA,3947.4,NA,NA,1196.1818181818,64.605564648118,4.1855582652953,0.105,0.01,50.5,4821.6,0.041352692519757,NA,NA,NA,-0.3943,0.5290395480226,0.059,0.8718,0,475.9,4146.6,0.1627839675879,0.1399950223992,8.5,0.009012830028629,199,0.21100625596437,0,6.1422011553844,46.460504201681,0.0034990987169971,4.3967765878486,-47.2,-14.30303030303,943.1,0.0069342298802269,0.012590727299659,331.6,31.72,675,1349545,755.2,NA,NA,755.2,1.9,8.2945997058206
