"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,772.6,0.86,0.2885,0.3529,6877,18068,968,3144,0.2777,0.2008,0.174,-234.5,0.75,22.94,715,0.0041,30.9,839,496.18,1554,0.4086,0.4086,8178.7,1.09,0.48,9.75,5.26,0.52,0.2,0.09,477.69,11322.7,0.6712,0.68,15.06,-0.04,0.115,0.1551,0.01,0.7768,0.0537,7484,7571.7,0.4954,0.3313,330,0.0211,-2688,-0.1717,0.0739,1.1,1.15,0.0536,0.48,18.5,0.0373,15658,0.0663,0.048,0,10.24,3751,5503702,17024,418,18.11,17024,1,1.07
"2",2010-12-31,747.4,1.33,0.3528,0.35146095455963,6237,15463,493,3538,0.35666760756482,0.29230006609385,0.22880424238505,-435.4792,0.70861678004535,11.890181818182,628,0.0024,15.695,1136,701.2301,1764,0.38272,0.38271604938272,6381.6,1.0497779240007,0.43518821603928,5.6176056338028,3.6176870748299,0.52723066754792,0.28,0.12,1271.7093,9919.6,0.68408458901895,0.71,12.056338028169,NA,0.1622,0.31051108968177,0.01,0.789,0,6079,6539.6,0.51685118355863,0.34073954594943,550,0.045439524124256,-2059,-0.1701090548579,0.028536436363636,1.0485169151836,0.42464935064935,0.093853271645737,0.54028420356907,-570.4792,-0.81354065763439,12104,0.1153528672479,0.088183421516755,202,8.56,3380,9149090,14664,378,17.300529100529,14664,1,1.0314651138609
"3",2009-12-31,742.8,1.33,0.4036,0.39138180603496,5466,14269,585,2593,0.19504306292076,0.25053140096618,0.18172261546009,-224.8108,0.5884539147671,69.853571428571,616,0.0015,14.6692,306,208.9766,922,0.31707,0.31707317073171,10701.5,1.6752504696306,0.91450179456503,34.972222222222,11.6068329718,1.033961352657,0.26,0.09,464.7874,13294.5,0.74525194477539,0.97,13.381443298969,0.04,-0.0646,0.15763945028294,0.01,0.8266,0,6388,9779.5,0.35942532849328,0.26439505058483,140,0.013526570048309,-1721,-0.16628019323672,0.10478035714286,1.7891511159897,2.6866758241758,0.029565217391304,0.94487922705314,-255.8108,-1.2241123921927,10350,0.032713929242329,0.025612879619466,204,12.98,3515,5803643,11702,509.3,19.201845670528,11702,0.95,1.4802917269792
"4",2008-12-31,740,1.1,0.3429,0.42786184590505,4953,14308,923,1803,0.14636403487409,0.16356708699991,0.12601341906626,91.5767,0.44327792359288,29.301360544218,599,0.0017,14.6448,636,386.3318,1235,0.39256,NA,10515.6,1.5342281879195,1.0137472283814,16.533962264151,8.5146558704453,0.95396897396353,0.13,0.075,-29.2449,12318.6,0.77159630975678,0.4,28.575,0.095,0.11,0.40824865511058,0.01,0.8137,0,6854,8614.6,0.42996772920391,0.30068351923108,294,0.026671505034927,-1553,-0.14088723577973,0.04981231292517,1.7392691298203,2.2539508110937,0.057697541504128,0.78151138528531,415.5767,1.0756988169984,11023,0.056365894368252,0.059357964869776,199,11.43,3704,9860384,10373,121,71.195041322314,10373,0.95,1.4229640753148
"5",2007-12-31,734.8,0.66,0.2725,0.23151018600531,6941,16772,1331,2779,0.34475914002506,0.28181725991279,0.16569282136895,292.6167,0.52844036697248,12.674522292994,555,0.0024617652478349,14.696,472,291.7479,1027,0.38189,NA,5281.7,0.84466656005118,0.48986273418661,11.190042372881,5.1428432327166,0.53561504918365,0.11,0.1,-776.8688,8060.7,0.6483424755545,0.63,13.68253968254,0.045,0.1569,0.4080604534005,0.01,0.8446,0,6253,5969.7,0.35026885773154,0.2594067512747,471,0.047763918466687,-3133,-0.31771625595781,0.0312016985138,0.86006339144216,1.1522292993631,0.047865328060034,0.60538484940675,1068.6167,3.6628081932414,9861,0.046657271709579,0.067857657398069,191,8.62,2091,6751833,10782,518.2,11.520069471247,10782,0.9,0.89246014171833
"6",2006-12-31,783.3,-0.35,0.1799,0.20754485131482,6449,13460,1399,1759,0.16259786838724,0.19359454105217,0.13068350668648,118.3092,0.8,15.420777027027,515,0.0017160508702939,15.666,934,590.1012,1449,0.3682,NA,9059.1,1.4201442232325,0.93925349922239,9.6992505353319,6.251966873706,0.99703940127669,0.15,0.115,-412.208,10818.1,0.74992570579495,0.69,16.550724637681,-0.025,0.2182,0.16483516483516,0.01,0.8169,0,6379,9129.1,0.1850127613894,0.15612723121435,592,0.065155183799252,-1923,-0.21164428791547,0.026462837837838,1.4155838114436,1.0280518018018,0.10279550957517,1.0047435615232,1002.3092,1.6985377371623,9086,0.092506850603543,0.091797177857032,182,11.42,1689,7782073,9645,547.5,16.674155251142,9645,0.95,1.3293315310887
"7",2005-12-31,796.4,0.01,0.2429,0.23010380622837,6675,14218,1210,2531,0.17744717248342,0.33372890295359,0.17801378534252,345.4393,0.7245780156443,26.158635394456,469,0.0012982948061687,15.928,820,490.5322,1289,0.40179,NA,11732.4,1.9111255904871,1.3335303478063,14.307804878049,9.1019394879752,1.5469936708861,0.215,0.11,-595.9071,14263.4,0.66303277535518,0.94,16.297872340425,-0.075,0.1447,0.10941786040841,0.011,0.7589,0,6139,12268.4,0.16261289165661,0.13986847455726,469,0.061840717299578,-2158,-0.28454641350211,0.033961620469083,1.8379625468165,1.2166807160212,0.1081223628692,1.6176687763713,1086.4393,2.2148175919778,7584,0.07990425150676,0.070262172284644,173,15.32,1995,3516300,8798,632,19.412025316456,8798,1.1,1.6451441753172
"8",2004-12-31,785,1.18,0.3007,0.25047489823609,NA,11337,1775,1305,0.087186579279659,0.17997517583781,0.11510981741201,-124.6568,0.78483538410376,41.923003194888,431,0.0012165450121654,15.7,553.724,354.4277,984.724,0.35992,NA,13662.9,2.2527452596867,1.8842780306165,24.674567112858,13.874852242862,2.0923277182236,0.26,0.11,-864.9155,14967.9,0.76942753814942,0.61,26.950819672131,-0.09,0.1061,0.13,0.011,0.7365,0,6065,13121.9,0.14068084652375,0.12333059413812,313,0.047932618683001,-1129,-0.1728943338438,0.050159744408946,2.375434467777,1.6124231998034,0.084796937212864,2.0094793261868,1219.3432,3.4403161210795,6530,0.058438195864798,0.056661839246923,2,16.44,1846,1644500,7251,340,38.593823529412,7251,1.2,2.0309226594301
"9",2003-12-31,789.4,1.09,0.3167,0.23338391502276,NA,9878,1238,1865,0.13400106338646,0.29177096370463,NA,-81.9261,0.68834859488475,41.542953020134,384,0.0012269938650307,15.788,866.802,541.5259,1250.802,0.37526,NA,12052.8,2.5508571428571,1.8856070087609,13.904905618584,9.6360575055045,2.0301162203133,0.24,0.1,-230.5481,13917.8,0.75349260984005,0.47,34.68085106383,-0.02,0.0578,0.13961255845023,0.014,0.7687,0,4725,12379.8,0.12423464030114,0.11050597077124,298,0.050193700522149,-1069,-0.18005726798046,0.052979865771812,2.4504750593824,1.7309563758389,0.146,2.0851945426983,772.0739,1.425737844623,5937,0.11460865216508,0.058986539984165,48,16.3,1538,1240300,6392,314.8,39.325921219822,6392,1.1,2.1119575113809
"10",2002-12-31,776.7,1.27,0.3351,0.27572933217579,NA,8953.8,603.1,1815.4,0.12630802627185,0.3287696041146,NA,54.9,0.8331,65.748704663212,356.3,0.0012241617084992,15.534,417.3,254.8701,773.6,0.38924,NA,12557.4,NA,NA,30.092020129403,16.232419855222,2.2741497337825,0.16,0.085,8.0701,14372.8,0.74219884294936,0.53,29.867924528302,NA,-0.0187,0.25374084686406,0.017,0.7708,0,4289.5,12689.5,0.13265298081091,0.11711705443616,193,0.034952370603789,-886.7,-0.16058169437502,0.080487046632124,2.8698887280622,4.1092940414508,0.075573182657829,2.2980730921076,246.8,0.96833623685109,5521.8,0.05941721599254,0.043649357698571,54.7,15.83,1683.3,2689693,5819.6,316.1,40.143941790573,5819.6,1.1,2.9274740645763
