"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,207.9,1.65,0.543,0.8763,1193,13188,494,918,0.0684,0.2119,0.0696,-372.59,0.76,1770,0,0,52,52,1822,0,12506.7,1.43,1.97,240.51,6.86,2.89,0.08,NA,1700.59,13424.7,0.6169,NA,NA,-0.145,0.2622,NA,NA,0.2198,8725,4974.7,1.6986,0.6294,-727,-0.1678,-804,-0.1856,4.17,0.012,1.15,-1648.59,-31.7037,4333,0.006,-0.6094,805,23.11,8450,963542,6341,-573,6341,1.25,1.39
"2",2010-12-31,111.4,0.85,0.6526,NA,-157,8355,436,616,0.072337827046832,0.168720898384,0.073728306403351,-8.9729,0.4788538155072,876,0,0,-88,-88,788,0,7899.6,1.392,2.1184231697506,NA,10.024873096447,2.1636811832375,0.2,NA,360.9729,8515.6,0.63459006582885,NA,NA,-0.0448,0.46703296703297,NA,NA,0.21520047875524,5675,2067.6,3.1185916037918,0.75719855324346,-622,-0.17036428375787,-420,-0.11503697617091,NA,-0.024102985483429,0.56631059983566,-448.9729,NA,3651,-0.015506607929515,NA,1373,16.99,6448,25947875,3729,-645,3729,1.25,1.3536162772214
"3",2009-12-31,1644.1,1.52,0.7351,0.92936268162854,491,9062,313,839,0.1036672762319,0.22301967038809,0.092584418450673,11.311,0.42511222962862,915,0,0,-56,-56,859,0,7254.2,1.1868782722513,1.9852764094143,NA,8.4449359720605,1.9282828282828,0.02,NA,534.689,8093.2,0.62756565879497,NA,NA,-0.1395,0.36153846153846,NA,0.7134,0.20922533657029,6112,1633.2,3.9554249326476,0.79820095882964,-618,-0.16427432216906,-394,-0.10473152578416,3.3262729124236,-0.014885699096225,0.4341307814992,-590.689,NA,3762,-0.0091623036649215,-1.2586558044806,1338,0.98,6460,23576088,3654,-858,3654,1.25,1.1643216803338
"4",2008-12-31,1617.6,1.41,0.7426,0.88251072961373,876,9638,449,768,0.084958571634014,0.17856312485469,0.079684581863457,37.5401,0.29086991650956,931,0,0,56,56,987,0,8271.7,1.2367972488038,2.1280421919218,147.70892857143,8.3806484295846,1.9232039060684,0.045,NA,500.4599,9039.7,0.63903299439718,NA,NA,-0.0422,0.49367088607595,NA,0.6912,0.20657812824237,6688,2459.7,2.6751229824775,0.72790026217684,-290,-0.067426179958149,-390,-0.09067658684027,2.8078767123288,0.013020227853987,0.57189025807952,-444.4599,-7.9367838044309,4301,0.0083732057416268,-0.3310502283105,1505,1.53,6580,12436729,3887,-392,3887,1.35,1.2124061158798
"5",2007-12-31,1537.9,2.56,0.7155,0.86513738341316,1070,10245,633,723,0.091403286978508,0.1693605059733,0.070571010248902,8.1658,0.3466107617051,942,0,0,-229,-229,713,0,7187,0.99667175149078,1.6514246323529,NA,10.079943899018,1.6835324431951,0.41,NA,71.8342,7910,0.65095168374817,-0.34,NA,-0.0318,0.76377952755905,NA,0.8418,0.20507564665691,7211,1046,6.5621414913958,0.86776232616941,-687,-0.16092761770906,-420,-0.098383696416023,0.97757009345794,-0.053642539236355,0.24502225345514,-300.8342,NA,4269,-0.031757037858827,-0.64205607476635,1723,0.7,6864,7007448,4352,-275.5,4352,1.55,0.99697504411394
"6",2006-12-31,1178.4,1.25,0.5609,0.95165460186143,374,9994,392,1916,0.15905826878855,0.56719952634695,0.19171502901741,85.0465,0.3137814227135,730,0,0,-127,-127,603,0,10129.9,1.7405326460481,2.5230136986301,NA,16.799170812604,2.9987862640616,0.08,NA,125.9535,12045.9,0.64718831298779,-0.78,NA,-0.3512,0.43763213530655,NA,0.8514,0.091955173103862,5820,4683.9,1.571767117146,0.61116230418649,-790,-0.23386619301362,-451,-0.13351095322676,12.523796791444,-0.037596210775607,1.3865896980462,-252.9535,NA,3378,-0.021821305841924,-2.1122994652406,1258,3.01,7362,32182207,4015,-1213,4015,1.1,1.5571225439504
"7",2005-12-31,817.8,3.31,0.6261,NA,-476,8277,305,628,0.049553388252375,0.17381677276502,0.075872900809472,32.9056,0.34499281264974,657,0,0,-189,-189,468,0,12045.2,2.4487090872128,3.0719714358582,NA,25.737606837607,3.3338499861611,0.1398,NA,130.0944,12673.2,0.68116467319077,-0.68,NA,-0.1829,0.38409090909091,NA,0.8239,0.064395312311224,4919,6650.2,0.90568704700611,0.47525486854149,-687,-0.19014669249931,-386,-0.10683642402436,NA,-0.052311098809853,1.8406310545253,-319.0944,NA,3613,-0.038422443586095,NA,912,5.6,6023,10869465,3921,-773,3921,1.35,2.2846944294213
"8",2004-12-31,686.5,2.43,0.5663,NA,NA,7544,288,668,0.092144285812815,0.17700052994171,0.088547189819724,-6.5975,0.85820236623698,695,0,0,-199.8192,-199.8192,495.1808,0,6581.5,1.50056999544,1.7439056703763,NA,13.2911049863,1.7730334051724,0.08,NA,213.7783,7249.5,0.71686108165429,-0.96,NA,-0.0897,0.43430656934307,0.077,0.739,0.060577942735949,4386,2038.5,2.5562913907285,0.71880819366853,-673,-0.18130387931035,-395,-0.10641163793103,NA,-0.053830603448276,0.54916487068966,-413.5975,2.0698587600777,3712,-0.045558413132695,NA,956,2.87,5211,8292430,3774,0,3774,1.7,NA
"9",2003-12-31,677.8,0.32,1.0441,0.9674226061915,NA,8293,191,1129,0.14574700179441,0.30973936899863,NA,46.2765,0.061296810650321,827,0,0,671.1342,671.1342,1498.1342,0,6617.3,1.4947594307658,1.8154458161866,9.8598760128749,4.4170275266395,1.6436413313462,NA,-0.005,1260.8577,7746.3,0.69058241890751,-0.94,NA,-0.1631,0.50559511698881,0.077,0.6608,0.055347883757386,4427,2371.3,2.2666891578459,0.69387965867575,-721,-0.17908594138102,-489,-0.12146050670641,13.101104972376,0.1667,0.58899652260308,-589.7235,-0.8786969088222,4026,0.1516002258866,-3.9834254143646,1091,3.35,5375,3886299,3645,0,3645,1.55,1.394222462203
"10",2002-12-31,443.6,1.31,1.1584,NA,NA,8963,218,1142,0.11717146843963,0.36277001270648,NA,-105,0.249,802,0,0,-673,-673,129,0,8604.4,NA,NA,NA,66.700775193798,2.733290978399,NA,0.07,-89,9746.4,0.67053441927926,-1.58,NA,0.781,0.28979591836735,0.123,0.538,0.042396519022649,4724,3640.4,1.6772882100868,0.62648772880243,-990.8,-0.31473951715375,-557,-0.17693773824651,NA,-0.21378653113088,1.156416772554,-584,NA,3148,-0.14246401354784,NA,987,5.56,6106,4362605,0,-1198.1,0,1.65,1.8214225232854
