"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,36.9,1.21,0.3069,0.1551,1089.3,1760.2,54.5,114.5,0.0983,0.0399,0.065,-14.76,0.8,7.24,55.2,0.0321,31,227,140.6,283,0.3814,0.3814,1050.2,0.89,0.4,4.62,3.72,0.37,0.01,0.03,156.06,1164.7,0.0269,2.61,9.94,0.205,0.18,0.3062,0.851,0.638,0.5603,1174.8,964.7,0.2073,0.1717,133.3,0.0464,185.9,0.0648,0.2946,0.89,7.24,0.0792,0.34,-15.46,-0.1099,2870,0.1197,0.1224,188.9,25.94,200,237435,2642.2,105.2,9.17,2642.2,0.8,0.9
"2",2010-12-31,36.4,0.43,0.3045,0.17148246591786,966.3,1590.5,10.3,84.8,0.060416072955258,0.032565284178187,0.053316567117259,21.4175,0.61576354679803,9.621103117506,28.9,0.0257,30.9325,215.1,132.9124,244,0.38209,0.38222222222222,1318.8,1.2194174757282,0.45694882367208,6.1311018131102,5.4049180327869,0.50645161290323,0.08,0.095,130.0949,1403.6,0.017038667085822,3.8,8.2210526315789,0.215,0.2725,0.22397142479164,0.851,0.6659,0,1081.5,1203.6,0.16616816218013,0.14249073810202,125.1,0.048041474654378,197.7,0.075921658986175,0.2472623501199,1.2455759081031,1.2026378896882,0.082603686635945,0.46221198156682,2.8175,0.021198166091916,2604,0.12289638557559,0.12946289972058,180.3,31.24,200,210651,2886.1,136.8,8.7982456140351,2886.1,0.75,1.2034639458115
"3",2009-12-31,36,0.19,0.3104,0,817.5,1100.7,4,86.2,0.057173177687869,0.042666930653863,0.078313800308894,40.1997,0.60405927835051,13.485688729875,17.7,0,0,179.1,112.1345,196.8,0.3739,0.37366946778712,1421.5,1.9437987146178,0.58063066742913,7.9369067560022,7.2230691056911,0.70360837499381,0.12,0.12,85.6348,1507.7,0.013173435086763,3.62,11.417127071823,0.23,0.0653,0.19810448451225,NA,0.6272,0.51049332243118,731.3,1507.7,0,0,111.8,0.05533831609167,189.8,0.093946443597485,0,1.8442813455658,1.1238073941562,0.088650200465277,0.74627530564768,26.4997,0.23632049772513,2020.3,0.1533358539587,0.13675840978593,172.5,41.33,0,174991,2448.2,120.6,12.501658374793,2448.2,0.75,1.8442813455658
"4",2008-12-31,35.5,0.11,0.2995,0.060861164780569,680.5,1021.7,5.1,4.4,0.0024843317712156,0.0023518092896467,0.0043065479103455,9.8449,0.42737896494157,19.125138427464,17.3,0,0,153.4,92.3637,170.7,0.39789,NA,1766.7,2.4530685920578,0.8954384186518,11.516949152542,10.349736379613,0.94430488000428,0.14,0.13,94.7188,1771.1,0.016247430752667,3.29,14.693009118541,0.16,0.2567,0.29696191698759,NA,0.5975,0.54634432808065,720.2,1727,0.025535610885929,0.024899779797866,90.3,0.048265540648886,180.4,0.096424180875515,0,2.5378398236591,1.3660813162474,0.081992623870864,0.92308514618633,-2.3551,-0.02549802352611,1870.9,0.12824725631769,0.13269654665687,152.3,48.34,44.1,326641,1973,106.8,16.170411985019,1973,0.8,2.4442451007452
"5",2007-12-31,34.5,0.49,0.2444,0.23035041183861,551.3,937.5,2.7,8,0.0042154073137317,0.0055244803535667,0.0085333333333333,-45.0264,0.72013093289689,25.747399702823,14.2,0,0,113.7,69.5128,127.9,0.38863,NA,1889.8,2.6680784978117,1.0511151899438,16.620932277924,14.775605942142,1.3050203715213,0.17,0.165,126.0392,1897.8,0.015146666666667,2.82,19.216312056738,0.145,0.2565,0.25805797689033,NA,0.6108,0.57045333333333,708.3,1732.8,0.095221606648199,0.086942775845716,67.3,0.04647469097438,186.4,0.1287203922381,0,3.1431162706331,1.5145529236955,0.078516677025067,1.1966024445826,-56.5264,-0.81317999582047,1448.1,0.098140292249047,0.12207509522946,120.2,54.19,165,541385,1797.9,87.1,19.894374282434,1797.9,1.1,2.6494485550747
"6",2006-12-31,34.1,0.47,0.2782,0,459,613.3,5.2,41.5,0.027727667535244,0.036493141048189,0.067666721017447,-20.0434,0.66139468008627,26.919064748201,10,0,0,90.7,55.7805,100.7,0.385,NA,1455.2,3.4855089820359,1.1048515678384,16.044101433297,14.45084409136,1.2796341892367,0.14,0.14,80.6239,1496.7,0.02266427523235,2.14,18.738317757009,NA,0.127,0.23976458546571,NA,0.5902,0.454100766346,417.5,1496.7,0,0,55.6,0.048892015476609,126.7,0.11141399929652,0,3.2607843137255,1.9227903391573,0.07975729862821,1.3161273302849,-24.8434,-0.44537747910907,1137.2,0.13360598802395,0.12113289760349,92.4,40.1,0,243410,1317.1,61.1,24.495908346972,1317.1,1.15,3.2607843137255
"7",2005-12-31,33.1,0.89,0.3981,0.1009261458086,378.6,556,5.6,5.7,0.0043681508161545,0.0058145465673773,0.010251798561151,-18.2048,0.38181361466968,23.729323308271,7.2,0,0,84.4,51.3152,91.6,0.392,NA,1299.2,3.127587867116,1.1730925507901,15.39336492891,14.183406113537,1.3253085790064,0.13,0.11,71.12,1304.9,0.021043165467626,1.74,21.166666666667,NA,0.1427,0.2015503875969,NA,0.5322,0.47356115107914,415.4,1262.4,0.033666032953105,0.032569545559047,53.2,0.054269101295522,140.3,0.1431194532286,0,3.3343898573693,1.8253325621747,0.086096093032745,1.2877690502907,-19.8048,-0.38594401757527,980.3,0.12353201733269,0.1405176967776,82.9,36.83,42.5,96097,1107.5,52.5,24.045714285714,1107.5,0.95,3.0987888862503
"8",2004-12-31,32.5,0.61,0.4161,0.072895574197281,NA,467.6,4.8,22.9,0.023657024793388,0.025501113585746,0.048973481608212,8.2106,0.29319875030041,38.17004048583,7.2,0,0,40.9853,25.3887,48.1853,0.38054,NA,945.1,2.9278190830235,1.0524498886414,23.05949843456,19.61387378054,1.1219135802469,0.175,0.15,19.5781,968,0.020102651839179,1.64,16.987804878049,NA,0.1874,0.28816868410777,NA,0.5201,0.38644140290847,322.8,942.8,0.026728892660161,0.02603305785124,24.7,0.029320987654321,124.4,0.14767331433998,0,2.9416536661466,2.1811451706189,0.048652991452991,1.1191832858499,5.8106,0.2288666520211,842.4,0.078651615702602,0.077067082683307,82.6,27.86,25.2,47191,898,42.9,21.97668997669,898,0.9,2.8001157072606
"9",2003-12-31,32.1,0,0,0.080830670926518,NA,436.1,3.3,9.2,0.011459890383657,0.011393188854489,NA,18.5204,NA,22.088068181818,7.8,0,0,68.7568,40.8312,76.5568,0.40615,NA,793.6,2.6122448979592,0.98278637770898,11.542131105578,10.366159505099,1.1311288483466,0.166,NA,26.8108,802.8,0.024994267369869,0.76,29.802631578947,NA,0.3927,0.42582488958171,NA,0.5302,0.37904150424215,303.8,777.5,0.032540192926045,0.031514698555057,35.2,0.050171037628278,122.7,0.17488597491448,0,2.7024678484532,1.330606516977,0.098,1.108181299886,14.0204,0.34337506430308,701.6,0.13440166451613,0.12234966979492,66.3,22.65,25.3,118103,807.5,24,32.395833333333,807.5,0.8,2.564856230032
"10",2002-12-31,31.9,0,0,0.095588235294118,NA,364.4,2.7,81.1,0.1020767778477,0.16213514594162,NA,-44.2,0,33.706140350877,4,0,0,38.5,22.819,42.5,0.4073,NA,713.4,NA,NA,18.52987012987,16.785882352941,1.4262295081967,0.1768,NA,24.119,794.5,0.024972557628979,1.09,21.788990825688,NA,0,0.41656242181636,NA,0.4924,0.27716794731065,190.9,768.5,0.033832140533507,0.032724984266834,22.8,0.045581767293083,72.6,0.14514194322271,0,3.1239837398374,1.9064559021989,0.076969212315074,1.5363854458217,-1.3,-0.056970193632924,500.2,0.11953352540597,0.092682926829268,51.8,23.75,26,120764,649.3,31.4,24.474522292994,649.3,NA,3.7370350969094
