"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,54,1.31,0.2981,0.234,1390.6,9833.1,0,144.2,0.0978,0.0147,NA,0.8,27.12,0,0.0206,21.6,295,259.59,295,0.1197,0.1205,1330.3,0.8,4.51,4.51,0.0467,259.59,1474.5,0,1.59,12.42,NA,NA,0.1384,NA,0.781,0.0424,1671.2,1049.7,0.4047,0.2881,38.7,0,0.2517,0.75,5.81,0,0,NA,0.1553,0.0278,44.9,19.75,424.8,279550,NA,85.8,12.23,NA,1.15,0.81
"2",2010-12-31,54.4,1.71,0.5633,0.24839016742259,1342.3,10320.4,0,106.7,0.07691753171857,0.010338746560211,NA,0.4881945677259,46.029268292683,0,0.0023,2.1703,332.5,332.111,332.5,0.00117,0.0048543689320389,1280.5,0.76256550738447,3.8511278195489,3.8511278195489,0.09,332.111,1387.2,0,NA,NA,NA,NA,0.23741403026135,NA,0.8151,0.040909267082671,1679.2,943.6,0.47011445527766,0.31978085351788,20.5,0,0.10586731707317,0.70297250987112,5.1143631436314,0,0,NA,0.19777928477847,0.015272293824033,75.8,17.1,443.6,291133,NA,29.5,31.986440677966,NA,1.1,0.77675121787334
"3",2009-12-31,51,1.12,0.5658,0.31764553351484,1052.6,10865.4,0,136.8,0.096774193548387,0.012590424650726,NA,0.46394485683987,NA,0,0.0023,2.1243,249.9,249.9,249.9,0,NA,1276.8,0.9082373026035,5.109243697479,5.109243697479,0.0833,249.9,1413.6,0,0.09,192.44444444444,-0.285,NA,0.33839943006412,NA,0.8026,0.03909658181015,1405.8,923.6,0.53053269813772,0.34663271080928,-32.6,0,NA,0.8774463233897,NA,0,0,NA,0.17776355100299,-0.030970929127874,121.6,17.32,490,301839,NA,0.4,2309,NA,1.05,0.91637495138079
"4",2008-12-31,34.7,1.11,0.5468,0.42005998000666,870.2,8819.8,0,79.8,0.049023221525986,0.009047824213701,NA,0.30724213606438,61.574074074074,0,0.002,1.995,251.3,251.3,251.3,0,NA,1548,1.0896037164778,6.1599681655392,6.1599681655392,0.12,NA,1627.8,0,NA,NA,-0.015,NA,0.50388844194154,NA,0.7558,0.046803782398694,1420.7,997.5,0.63187969924812,0.38720973092518,16.2,0,0.12314814814815,1.146288209607,5.1311728395062,NA,NA,NA,0.17688463433519,0.018616410020685,151.4,19.71,630.3,362325,NA,-45.7,NA,NA,1.05,1.0848383872043
"5",2007-12-31,34.6,0.4,0.255,0.29903275623832,862.4,7834.7,0,141.2,0.10938952587543,0.018022387583443,NA,0.62745098039216,14.885483870968,0,0.026993173691624,24.912,253.1,182.4117,253.1,0.27929,NA,1149.6,1.0555504545037,4.5420782299486,4.5420782299486,0.12,NA,1290.8,0,1.49,18.758389261745,0.1,NA,0.40491673275178,NA,0.6264,0.051616526478359,1089.1,922.9,0.39863473832485,0.28501704369383,62,0,0.4018064516129,1.0701530612245,1.2404569892473,NA,NA,NA,0.16748847764209,0.071892393320965,185.6,27.95,367.9,184436,NA,48.9,18.873210633947,NA,1,1.049174997968
"6",2006-12-31,36.7,0.75,0.1503,0.34065078623696,847,7978.3,0,150.9,0.09500724044576,0.018913803692516,NA,0.8,17.149031296572,0,0.022963413574346,26.424,227.6,158.2298,227.6,0.30479,NA,1437.4,1.2678839199083,6.3154657293497,6.3154657293497,0.1067,NA,1588.3,0,1.99,14.361809045226,0.16,NA,0.1307072515667,NA,0.6647,0.051126179762606,1133.7,1150.7,0.38029025810376,0.27551470125291,67.1,0,0.39380029806259,1.358559622196,1.6072194279824,NA,NA,NA,0.13956937108583,0.079220779220779,150.1,28.58,437.6,234130,NA,73.1,15.741450068399,NA,0.85,1.2364160049821
"7",2005-12-31,28.5,0.89,0.1526,0.27889987107864,503.4,5719.1,0,92,0.058550245020047,0.016086447168261,NA,0.73394495412844,20.731927710843,0,0.014906290861543,20.52,199.7,138.0366,199.7,0.30878,NA,1479.3,2.4406863553869,7.4076114171257,7.4076114171257,0.13,NA,1571.3,0,2.16,17.412037037037,0.285,NA,0.074982480728802,NA,0.5262,0.024059729677746,606.1,1376.6,0.14143542060148,0.12391013810221,66.4,0,0.30903614457831,2.7346046881208,1.5947636700649,NA,NA,NA,0.22774564263323,0.13190305919746,82.3,37.61,194.7,147940,NA,63.1,21.81616481775,NA,0.7,2.2508236642315
"8",2004-12-31,28.7,0.6,0.16,0.27037261435929,NA,5254,0,88.2,0.073013245033113,0.016787209744956,0,0.75,16.498397435897,0,0.016949152542373,17.22,NA,NA,NA,0.30396,NA,1119.8,1.9576923076923,NA,NA,0.1403,NA,1208,0,2.38,14.873949579832,NA,0,0.098577105499295,NA,0.4938,0.026113437381043,572,1029.5,0.17338513841671,0.14776490066225,62.4,0,0.27596153846154,2.1372223375545,1.1759370945045,0,NA,NA,NA,0.12954120822088,53.4,35.4,178.5,159271,NA,67.8,15.184365781711,0,0.7,1.8297485610421
"9",2003-12-31,26.8,0.38,0.1773,0.2248142031379,NA,4355.1,0,91.3,0.069240103139694,NA,0,0.42865200225606,23.398452611219,0,0.012351543942993,13.936,NA,NA,NA,0.31072,NA,1227.3,3.1221063342661,NA,NA,0.1513,NA,1318.6,0,2.24,18.794642857143,NA,0,0.14383381540889,NA,0.4652,0.017887074923653,393.1,1209.7,0.090022319583368,0.082587592901562,51.7,0,0.26955512572534,3.2215712383489,1.5464938936694,0,NA,NA,NA,0.13768308921438,53.2,42.1,108.9,16862,NA,60.7,19.929159802306,0,0.7,2.7221304706854
"10",2002-12-31,26.6,0.22,0.2054,0.27594936708861,NA,3759.6,0,90.5,0.083687812095432,NA,0,0.2346,20.487068965517,0,0.020147275405007,19.152,131.1,89.7406,131.1,0.31548,NA,990.9,NA,7.558352402746,7.558352402746,NA,89.7406,1081.4,0,NA,NA,NA,0,0.24147497399145,NA,0.4327,0.012926907117779,383.5,950.6,0.13759730696402,0.12095431847605,46.4,0,0.41275862068966,2.7698135198135,NA,0,0,0,0.23400409908735,0.13519813519814,67.2,34.58,130.8,27684,0,51.4,18.494163424125,0,0.65,2.5838331160365
