"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,7,0.48,0.2266,0.4541,105.9,1192.9,0,6.2,0.0293,0.0052,NA,0.53,24.66,0,0.0114,1.4,32,25.12,32,0.2246,0.1667,205.2,1.09,6.33,6.33,NA,25.12,211.4,0,0.95,18.59,-0.34,NA,0.135,NA,0.2927,0.0052,187.8,123.3,0.7145,0.4167,5,0,0.14,1.16,NA,0,0,NA,0.1338,0.0472,8.9,17.66,88.1,16829,NA,10,12.33,NA,0.5,1.09
"2",2010-12-31,6.9,0.49,0.3458,0.41247728649304,97,1104.6,0,22,0.13010053222945,0.019916711931921,NA,0.36148062463852,NA,0,0.0138,1.3938,32.4,32.4,32.4,0,NA,147.1,1.0279524807827,4.5401234567901,4.5401234567901,NA,32.4,169.1,0,0.73,19.520547945206,-0.38,NA,0.15151515151515,NA,0.2595,0.0057939525620134,143.1,101,0.67425742574257,0.40272028385571,-2.7,0,NA,1.0412371134021,NA,0,0,NA,0.22641509433962,-0.027835051546392,12,14.25,68.1,10801,NA,5.4,18.703703703704,NA,0.5,1.0242277407632
"3",2009-12-31,6.9,0.63,0.3606,0.28612099644128,100.3,976.4,0,18.4,0.13180515759312,0.018844735764031,NA,0.38130892956184,28.4,0,0.0139,1.3817,34,33.5784,34,0.0124,0.32692307692308,121.2,0.99262899262899,3.5647058823529,3.5647058823529,NA,33.5784,139.6,0,NA,NA,-0.165,NA,0.1996001332889,NA,0.2616,0.0066571077427284,122.1,99.4,0.40442655935614,0.28796561604584,3.5,0,0.39476,0.99102691924227,NA,0,0,NA,0.27500737100737,0.034895314057826,15.6,14.26,40.2,7313,NA,-3.2,NA,NA,0.55,0.99359430604982
"4",2008-12-31,4.5,0.57,0.3311,0.54093389933293,75.7,985.2,0,24,0.13597733711048,0.024360535931791,NA,0.24161884627001,33.576923076923,0,0,0,32,25.6768,32,0.1976,NA,152.5,1.0823278921221,4.765625,4.765625,NA,NA,176.5,0,0.34,35.588235294118,NA,NA,0.29930012350762,NA,0.2615,0.0068006496142915,140.9,87.3,1.0217640320733,0.50538243626062,2.6,0,0,1.1532364597094,NA,NA,NA,NA,0.18223420865862,0.034346103038309,15.5,12.1,89.2,5578,NA,3.5,24.942857142857,NA,0.5,1.0703456640388
"5",2007-12-31,4.5,0.61,0.2102,0.54471069549971,77.9,841.4,0,19.4,0.12042209807573,0.023056810078441,NA,0.45670789724072,10.777777777778,0,0,0,29.3,21.3896,29.3,0.26998,NA,141.7,0.9340804218853,4.8361774744027,4.8361774744027,NA,NA,161.1,0,0.8,17.5125,0.25,NA,0.52529411764706,NA,0.0792,0,151.7,67.9,1.3726067746686,0.57852265673495,6.3,0,0,0.87163029525032,NA,NA,NA,NA,0.14099924851681,0.080872913992298,14.8,14.01,93.2,200,NA,2.6,26.115384615385,NA,0.6,0.94155464640561
"6",2006-12-31,4.5,1.05,0.2098,0.36718115353371,77.9,772.3,0,18.4,0.12994350282486,0.023824938495403,NA,0.45757864632984,12.05,0,0.035477178423236,3.42,27.4,19.4126,27.4,0.29151,NA,123.2,1.1766953199618,4.4963503649635,4.4963503649635,0.1,NA,141.6,0,1.77,12.25988700565,NA,NA,0.30017574692443,NA,0.0989,0,104.7,96.4,0.46887966804979,0.31920903954802,8,0,0.4275,1.2374839537869,1.205,NA,NA,NA,0.18541190066858,0.10269576379974,11.7,21.7,45.2,1300,NA,7.4,13.027027027027,NA,0.6,1.1502843216897
"7",2005-12-31,3.8,0.62,0.1943,0.57707509881423,53.5,739.9,0,15.5,0.065290648694187,0.020948776861738,NA,0.41173443129182,22.833333333333,0,0,0,23.9,17.1922,23.9,0.28066,NA,221.9,1.9990990990991,9.2845188284519,9.2845188284519,0.12,NA,237.4,0,2.11,17.530805687204,NA,NA,0.10925391277921,NA,0.1009,0,111,164.4,0.44403892944039,0.30749789385004,7.2,0,0,3.0728971962617,1.9027777777778,NA,NA,NA,0.15488491891892,0.13457943925234,6.5,36.99,73,341,NA,8.1,20.296296296296,NA,0.5,1.8766798418972
"8",2004-12-31,3.8,0,0,0.57213930348259,NA,606.1,0,14.7,0.078862660944206,0.024253423527471,0,NA,16.535211267606,0,0.024715447154471,2.888,NA,NA,NA,0.28168,NA,171.7,1.6213408876298,NA,NA,0.12,NA,186.4,0,NA,NA,NA,0,0.1451731761238,NA,0.1178,0,105.9,117.4,0.58773424190801,0.37017167381974,7.1,0,0.40676056338028,2.2751937984496,1.3779342723005,0,NA,NA,NA,0.13759689922481,2.9,30.75,69,2500,NA,6.5,18.061538461539,0,0.55,1.5456053067993
"9",2003-12-31,3.8,0,0,0.4930332261522,NA,508.9,0,10.7,0.056434599156118,NA,0,NA,17.512195121951,0,0.020266666666667,2.888,NA,NA,NA,0.29529,NA,178.9,2.1658595641646,NA,NA,0.12,NA,189.6,0,1.95,19.230769230769,NA,0,0.12161051766639,NA,0.128,0,82.6,143.6,0.32033426183844,0.24261603375527,8.2,0,0.35219512195122,3.0359408033827,1.4593495934959,0,NA,NA,NA,0.17336152219873,3.2,37.5,46,210,NA,7.3,19.671232876712,0,0.55,2.032154340836
"10",2002-12-31,3.7,0,0,0.50060313630881,NA,425,0,8.3,0.043319415448852,NA,0,0,23.825396825397,0,0.03746835443038,5.624,17.4,12.7013,17.4,0.27004,NA,183.3,NA,10.534482758621,10.534482758621,0.12,12.7013,191.6,0,NA,NA,NA,0,0.35867918812481,NA,0.1599,0,74.6,150.1,0.27648234510327,0.21659707724426,6.3,0,0.89269841269841,3.6256038647343,1.9854497354497,0,0,0,0.17025876675603,0.15217391304348,4.2,40.5,41.5,3603,0,7.9,19,0,0.55,2.4571045576408
