"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,8.6,0.69,0.587,0.3249,165,1433.2,0,12.4,0.0568,0.0087,NA,0.29,13.75,0,0,0,44,44.1,44,0,0,205.9,0.89,4.67,4.67,NA,44.1,218.3,0,1.28,12.89,NA,NA,0.3251,NA,0.4204,0,232,138.9,0.5716,0.3637,10.1,0,0,0.84,NA,0,0,NA,0.1901,0.0612,16.4,16.5,79.4,23381,NA,12.5,11.11,NA,0.85,0.89
"2",2010-12-31,8.6,0.44,0.6913,0.46584641493424,125.9,1632.4,0,6.7,0.034661148473875,0.0041043861798579,NA,0.28930999566035,NA,0,0,0,55.6,55.6,55.6,0,NA,186.6,0.81484716157205,3.3561151079137,3.3561151079137,0.05,55.6,193.3,0,0.99,9.8484848484848,NA,NA,0.15475520540236,NA,0.3014,0,229,83.5,1.3149700598802,0.56802897051216,-12.3,0,NA,0.66322478157268,NA,0,0,NA,0.24279475982533,-0.097696584590945,23.5,9.75,109.8,12657,NA,3.2,26.09375,NA,0.8,0.82011030971574
"3",2009-12-31,8.6,0.19,0.728,0.68155080213904,119.1,1906.2,0,18.9,0.059508816120907,0.009915014164306,NA,0.27472527472528,NA,0,0,0,50.9,50.9,50.9,0,NA,298.7,0.84117150098564,5.8683693516699,5.8683693516699,0.05,50.9,317.6,0,NA,NA,NA,NA,0.47368421052632,NA,0.2142,0,355.1,62.7,4.0653907496013,0.80258186397985,-52.1,0,NA,0.5264483627204,NA,0,0,NA,0.14333990425232,-0.43744752308984,41.3,8.2,254.9,17894,NA,-44.8,NA,NA,0.8,0.84919786096257
"4",2008-12-31,8.6,0.2,0.5264,0.64902394848058,174.4,2208,0,16.8,0.048137535816619,0.0076086956521739,NA,0.2887537993921,NA,0,0,0,46,46,46,0,NA,332.2,0.69193917933764,7.2217391304348,7.2217391304348,0.075,NA,349,0,NA,NA,-0.035,NA,0.38990332975295,NA,0.1819,0,480.1,26.5,12.169811320755,0.92406876790831,-5,0,NA,0.1519495412844,NA,NA,NA,NA,0.095813372214122,-0.028669724770642,59.8,3.08,322.5,14132,NA,-15.7,NA,NA,0.95,0.70235459851077
"5",2007-12-31,8.5,0.01,0.3656,0.54908906882591,178.2,2121.4,0,29.1,0.11543038476795,0.013717356462713,NA,0.41575492341357,3.9,0,0,0,51,38.1021,51,0.2529,NA,223,0.60912319038514,4.3725490196078,4.3725490196078,0.065,NA,252.1,0,-0.65,NA,0.145,NA,0.59657085224408,NA,0.2682,0,366.1,35.1,6.1823361823362,0.86076953589845,9,0,0,0.1969696969697,0.6,NA,NA,NA,0.10407566238733,0.05050505050505,76.2,4.45,217,5450,NA,-5.1,NA,NA,0.95,0.63790485829959
"6",2006-12-31,8.4,0.73,0.2447,0.43304749340369,171.9,2067.3,0,51.1,0.19275745001886,0.024718231509699,NA,0.39231712300777,6.7575757575758,0,0.035156950672646,4.704,58.8,40.5056,58.8,0.31113,NA,214,0.84886949623165,3.6394557823129,3.6394557823129,0.09,NA,265.1,0,1.41,10.177304964539,0.215,NA,0.43350861074731,NA,0.3777,0,252.1,133.8,0.9813153961136,0.49528479818936,19.8,0,0.23757575757576,0.7783595113438,0.75084175084175,NA,NA,NA,0.16067257437525,0.1151832460733,64.8,14.35,131.3,61308,NA,13.5,9.9111111111111,NA,0.6,0.87434036939314
"7",2005-12-31,8,0.96,0.1951,0.51591760299625,155.1,1838.2,0,36.2,0.076808826649692,0.01969317810902,NA,0.53305996924654,17.094972067039,0,0.01359477124183,4.16,50.3,34.5702,50.3,0.31272,NA,435.1,1.5309641097818,8.6500994035785,8.6500994035785,0.16,NA,471.3,0,2.51,15.019920318725,0.385,NA,0.081397618582862,NA,0.4262,0,284.2,306,0.54019607843137,0.35073201782304,17.9,0,0.23240223463687,1.9729206963249,1.0684357541899,NA,NA,NA,0.12164033779029,0.11540941328175,38.9,37.7,165.3,26778,NA,19.8,15.454545454545,NA,0.65,1.4709737827715
"8",2004-12-31,7.6,0.27,0.236,0.5219446320054,NA,1536.1,0,20.7,0.046102449888641,0.013475685176746,0,0.22881355932203,21.48905109489,0,0.011428571428571,3.344,NA,NA,NA,0.27237,NA,428.3,1.5546279491833,NA,NA,0.17,NA,449,0,2.31,16.666666666667,0.675,0,0.14022380035213,NA,0.3897,0,275.5,294.4,0.52513586956522,0.34432071269488,13.7,0,0.24408759124088,2.0790960451977,1.2640618291112,0,NA,NA,NA,0.096751412429378,21.8,38.5,154.6,14038,NA,17.9,16.446927374302,0,0.55,1.5158676569885
"9",2003-12-31,7.1,0.32,0.2417,0.45132743362832,NA,1202.8,0,16.3,0.039794921875,NA,0,0.26479106330161,30.25,0,0.0090909090909091,2.556,NA,NA,NA,0.27426,NA,393.3,1.7796380090498,NA,NA,0.2,NA,409.6,0,1.84,21.521739130435,NA,0,0.16402116402116,NA,0.3875,0,221,302.5,0.35404958677686,0.261474609375,10,0,0.2556,2.3233486943164,1.5125,0,NA,NA,NA,0.076804915514593,20.1,39.6,107.1,9378,NA,12.3,24.593495934959,0,0.6,1.7260851243152
"10",2002-12-31,5.7,0.37,0.2648,0.28366247755835,NA,921.9,0,23.4,0.084998183799492,NA,0,0.3049,31.24358974359,0,0.0074846122281494,1.824,21.4,15.1959,21.4,0.28991,NA,251.9,NA,11.771028037383,11.771028037383,0.2,15.1959,275.3,0,1.69,21.331360946746,NA,0,0.26428289145862,NA,0.3473,0,88,243.7,0.12966762412803,0.11478387213948,7.8,0,0.23384615384615,3.0538847117795,1.5621794871795,0,0,0,0.17268097727273,0.097744360902256,21.5,36.05,31.6,22420,0,9.2,26.489130434783,0,0.55,2.8625
