"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,27.1,2.21,0.7112,0.6698,94.4,1507.7,0,31,0.1148,0.0206,NA,0.78,13.53,0,0,0,44,44.2,44,0,0,239,0.94,5.41,5.41,0.04,44.2,270,0,NA,NA,NA,NA,0.2797,NA,0.1183,0,254.9,78.5,2.4395,0.7093,5.8,0,0,0.83,3.38,0,0,NA,0.1734,0.0614,9.3,2.89,191.5,37279,NA,15.4,5.1,NA,1.1,0.94
"2",2010-12-31,17.7,2.77,1.0132,0.77094594594595,67.8,1578.3,0,21.3,0.074293686780607,0.013495533168599,NA,0.29609159099882,NA,0,0,0,68.6,68.6,68.6,0,NA,265.4,0.96614488532945,3.868804664723,3.868804664723,0.04,68.6,286.7,0,0.26,8.7692307692308,NA,NA,0.44244105409154,NA,0.1225,0,274.7,58.5,3.9008547008547,0.795953958842,-17.9,0,NA,0.86283185840708,NA,0,0,NA,0.24972697488169,-0.26401179941003,25.4,2.28,228.2,37691,NA,5.5,10.636363636364,NA,1.2,0.96858108108108
"3",2009-12-31,17.7,2.42,0.9725,0.85573333333333,54.1,1830.2,0,24.7,0.064524555903866,0.013495792809529,NA,0.32133676092545,NA,0,0,0,57.4,57.4,57.4,0,NA,358.1,1.0222666286041,6.2386759581881,6.2386759581881,0.08,57.4,382.8,0,NA,NA,NA,NA,0.58878504672897,NA,0.1141,0.00032783302371326,350.3,61.9,5.1841680129241,0.83829676071055,-58.1,0,NA,1.1441774491682,NA,0,0,NA,0.16385954895804,-1.0739371534196,30.8,4.12,320.9,64097,NA,-26,NA,NA,1.25,1.0208
"4",2008-12-31,17.2,2.06,0.8691,0.73439963955846,117.9,2149.4,0,29.2,0.079846869018321,0.013585186563692,NA,0.24853296513635,NA,0,0,0,66.4,66.4,66.4,0,NA,336.5,0.81142994936098,5.0677710843374,5.0677710843374,0.08,NA,365.7,0,NA,NA,NA,NA,0.46520146520146,NA,0.1699,0.00041872150367544,414.7,39.7,8.2115869017632,0.89144107191687,-38.9,0,NA,0.33672603901611,NA,NA,NA,NA,0.16011574632264,-0.32994062765055,41.3,2.09,326,35902,NA,-55.9,NA,NA,1.35,0.82383419689119
"5",2007-12-31,17,1.11,0.4472,0.7110991185465,160.6,2130,0,49.8,0.11130978989718,0.023380281690141,NA,0.37567084078712,5.6021505376344,0,0,0,71,50.6038,71,0.28727,NA,397.6,0.78561549100968,5.6,5.6,0.08,NA,447.4,0,-0.19,NA,0.13,NA,0.69572849619661,NA,0.2509,0.013568075117371,506.1,52.1,7.5873320537428,0.88354939651319,9.3,0,0,0.32440846824408,0.7002688172043,NA,NA,NA,0.099987808733452,0.057907845579078,59,3.47,395.3,71868,NA,3.9,13.358974358974,NA,1.05,0.8048210109732
"6",2006-12-31,17.1,0.99,0.3162,0.59805178159446,156.8,2074.8,0,39.9,0.1033411033411,0.019230769230769,NA,0.45540796963947,7.7171717171717,0,0,0,69.3,47.4449,69.3,0.31537,NA,346.2,0.98857795545403,4.995670995671,4.995670995671,0.1,NA,386.1,0,NA,NA,0.165,NA,0.46419079343705,NA,0.2639,0.01229034123771,350.2,152.8,1.526832460733,0.6042476042476,19.8,0,0,0.97448979591837,0.77171717171717,NA,NA,NA,0.13547932324386,0.12627551020408,53.6,8.2,233.3,88849,NA,18.3,8.3497267759563,NA,0.9,0.98974621891823
"7",2005-12-31,16.1,0.97,0.2167,0.56811947576958,141.7,1870,0,49.1,0.09203373945642,0.026256684491979,NA,0.59067835717582,16.607655502392,0,0.024119850187266,8.372,64,43.4861,64,0.32053,NA,484.4,1.7362007168459,7.56875,7.56875,0.13,NA,533.5,0,0.36,59.055555555556,0.15,NA,0.10288844402402,NA,0.2054,0.013850267379679,279,347.1,0.53702103140305,0.3493908153702,20.9,0,0.40057416267943,2.4495412844037,1.2775119617225,NA,NA,NA,0.15586408602151,0.14749470712773,32.1,21.26,186.4,38405,NA,22.5,15.426666666667,NA,0.8,1.6260286498019
"8",2004-12-31,10.2,0.99,0.2463,0.56133197417601,NA,1672.6,0,31.7,0.058186490455213,0.018952528996771,0,0.80389768574909,29.65625,0,0.019791094007696,7.344,NA,NA,NA,0.31941,NA,513.1,1.9539223153084,NA,NA,NA,NA,544.8,0,NA,NA,NA,0,0.20340563795541,NA,0.1768,0.015724022479971,262.6,379.6,0.43519494204426,0.30323054331865,12.8,0,0.57375,2.9403563129357,NA,0,NA,NA,NA,0.099147947327653,19.1,36.38,165.2,16700,NA,19.9,19.075376884422,0,0.8,1.8511722731906
"9",2003-12-31,8.8,0.64,0.2323,0.57555710306407,NA,1401.1,0,41.6,0.092815707273539,NA,0,0.55101162290142,23.974576271186,0,0.019047619047619,5.28,NA,NA,NA,0.32946,NA,406.6,1.6555374592834,NA,NA,NA,NA,448.2,0,1.36,23.161764705882,NA,0,0.14438502673797,NA,0.1407,0.019056455641996,245.6,282.9,0.58430540827147,0.36880856760375,11.8,0,0.44745762711864,2.3207547169811,NA,0,NA,NA,NA,0.096800656275636,17,31.5,165.3,8700,NA,11.4,24.815789473684,0,0.75,1.5605849582173
"10",2002-12-31,8.3,0.71,0.3895,0.48392937980987,NA,1176.6,0,47.9,0.14038686987104,NA,0,0.4038,24.663157894737,0,0.017003841229193,3.984,33.5,22.4979,33.5,0.32842,NA,293.3,NA,8.755223880597,8.755223880597,0.15,22.4979,341.2,0,1.4,19.978571428571,NA,0,0.22493270173828,NA,0.1669,0.023117457079721,173,234.3,0.45625266752027,0.31330597889801,9.5,0,0.41936842105263,2.0552631578947,1.6442105263158,0,0,0,0.13004583815029,0.083333333333333,18.3,27.97,106.9,9081,0,11.8,19.85593220339,0,0.7,1.6953757225433
"11",2001-12-31,NA,0.26,0.4005,0.5321,NA,670.2,0,29.7,0.12277800744109,NA,0,0.1153,32.607843137255,0,0.019,3.1597,NA,NA,NA,0.32799,NA,212.2,NA,NA,NA,0.15,NA,241.9,0,1.25,16.696,NA,NA,0.12393712960577,0,0.1808,0,112.46,166.3,0.45460012026458,0.31252583712278,5.1,0,0.61954901960784,2.5007518796993,2.1738562091503,0,NA,NA,NA,0.076691729323308,17,20.87,75.6,6200,0,7.9,21.050632911392,0,NA,2.1509870176063
"12",2000-12-31,NA,NA,NA,0.37137069547603,NA,499.8,0,26.3,0.1740569159497,NA,NA,NA,29.121212121212,0,0.010863683662851,1.044,NA,NA,NA,0.17268,NA,124.8,NA,NA,NA,0.2,NA,151.1,0,NA,14.656488549618,NA,NA,0.21599797333671,NA,0.3122,NA,66.8,96.1,0.57232049947971,0.36399735274653,3.3,0,0.31636363636364,2.5223097112861,145.60606060606,0,NA,NA,NA,0.086614173228346,NA,19.2,55,NA,NA,NA,NA,NA,NA,1.6229860365199
