"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,235,0.68,0.1934,0.3681,6831,33093,403,3149,0.1178,0.0257,0.0952,-1.19,0.8,15.56,551,0.0091,206.8,2298,1625.72,2849,0.2926,0.2926,23589.9,3.08,0.19,10.27,8.28,0.19,0.11,0.045,1774.91,26738.9,0.0315,7.25,13.37,0.16,0.095,0.1436,0.019,0.8407,0.2049,7662,22758.9,0.1749,0.1488,1463,0.0119,-324,-0.0026,0.1263,3.33,1.41,0.0187,0.19,-149.19,-0.0918,122734,0.2122,0.2142,4269,96.96,3980,806966,123186,1637.1,13.9,123186,0.75,2.47
"2",2011-03-31,252,0.47,0.2529,0.35673556664291,7220,30886,388,3612,0.15539761482731,0.03222583062703,0.11694618921194,20.2744,0.74139976275208,14.619756838906,496,0.0102,196.2439,2088,1444.6872,2584,0.3081,0.3080967402734,19631.6,2.5790331056227,0.16736802619015,9.4021072796935,7.5973684210526,0.17515077977231,0.105,0.05,1532.4128,23243.6,0.032085734637052,6.1,12.772131147541,0.155,0.1089,0.13454167478724,0.016,0.8376,0.18843488959399,7612,19239.6,0.20811243476995,0.17226247225043,1316,0.011741194104422,436,0.0038899396880911,0.14912151975684,2.6647645429363,1.3923577941815,0.018628885478748,0.17165340280504,-87.7256,-0.060722926281668,112084,0.18979075144509,0.18227146814404,3882,77.91,4004,1964153,117296,1402.5,13.71807486631,117296,0.75,2.0708838203849
"3",2010-03-31,271,0.73,0.3231,0.28832452309814,6193,25267,392,2109,0.10303435944286,0.019778302948458,0.083468555823802,35.9997,0.58031569173631,15.041792294807,441,0.0101,181.395,1689,1244.8606,2130,0.26296,0.26296296296296,18359.9,2.7847565599879,0.1670615747186,10.870278271166,8.6196713615024,0.17218002100683,0.1,0.055,1257.8608,20468.9,0.031503542169628,5.15,13.666019417476,0.135,0.0717,0.11078309509012,0.03,0.8329,0.16578936953338,6593,17959.9,0.13970010968881,0.1225762009683,1194,0.011197389151474,1175,0.011019206242029,0.15192210217755,2.9000322945261,1.5041792294807,0.015839522844925,0.1684288018606,-13.0003,-0.010443140079313,106632,0.18881549522221,0.19279832068464,3689,70.38,2509,2403216,109899,1243,14.448833467418,109899,0.75,2.3522063893358
"4",2009-03-31,271,0.87,0.3187,0.28832452309814,6193,25267,392,2109,0.10904352951517,0.019778302948458,0.083468555823802,5.6088,0.40163162849074,14.097068676717,441,0.0076,127.9224,1689,1244.8606,2130,0.26296,NA,17231.9,2.6136660094039,0.16083385445348,10.202427471877,8.0900938967136,0.16160158301448,0.09,0.055,1288.2518,19340.9,0.031503542169628,4.67,13.38329764454,0.135,0.0717,0.32463561308735,0.027,0.863,0.16578936953338,6593,16831.9,0.14906219737522,0.12972509035257,1194,0.011197389151474,1175,0.011019206242029,0.10713772194305,2.7178911674471,1.5663409640797,0.015839522844925,0.15785036386826,-43.3912,-0.034856292678119,106632,0.18881549522221,0.19279832068464,3689,62.5,2509,2792049,107141,1221,13.78533988534,107141,0.8,2.2225810158584
"5",2008-03-31,277,1.14,0.258,0.22695125031574,6121,24603,356,1362,0.11385960659082,0.01339193534114,0.05535910254847,-45.5778,0.52713178294574,9.9560235063663,371,0.013080048400901,132.96,1514,1031.9121,1885,0.31842,NA,10600.1,1.6168547895058,0.099998113260945,7.0013870541612,5.6233952254642,0.10422603069723,0.115,0.08,1092.4899,11962.1,0.031500223549974,4.1,9.4463414634146,0.145,0.1649,0.41512361642702,0.029,0.8684,0.16282567166606,6556,10165.1,0.17678134007536,0.15022445891608,1021,0.010039035230032,1078,0.010599490673825,0.13022526934378,1.6606926972717,0.86574117446664,0.014886483191253,0.099948870731443,-60.5778,-0.058704427172971,101703,0.15739965222697,0.16680280999837,3536,38.73,1797,1567979,106003,1100,9.241,106003,0.85,1.5107476635514
"6",2007-03-31,295,0.56,0.1786,0.23788118090147,6273,23943,180,1954,0.091970686108849,0.021015950181228,0.081610491584179,-32.8134,0.8,21.893189557321,295,0.0036706950989999,70.8,1258,858.4844,1553,0.31758,NA,19291.9,3.0734267962402,0.20042699524176,15.335373608903,12.422343850612,0.20749109994945,0.13,0.095,1006.2977,21245.9,0.028567848640521,3.55,17.816901408451,0.165,0.0882,0.15221417747096,0.03,0.8577,0.14985590778098,6277,19287.9,0.10151442095822,0.092158957728315,881,0.0094754616733171,931,0.010013229078159,0.080363223609535,3.0747489239598,1.6840915044093,0.013530227905826,0.20744807855706,-147.8134,-0.17217943456667,92977,0.13676666560459,0.14044316913757,3074,63.25,1958,1959611,96254,979,19.701634320735,96254,0.9,2.5812051998542
"7",2006-03-31,304,0.48,0.2318,0.14366483038562,5907,20975,167,2142,0.13356862696191,0.024327086882453,0.10212157330155,-51.4761,0.62122519413287,20.414789687924,266,0.0048492260247114,72.96,1159,737.634,1425,0.36356,NA,13894.7,2.9215096719933,0.15174021775929,11.988524590164,9.7506666666667,0.1578046564452,0.09,0.065,888.1101,16036.7,0.031990464839094,2.79,18.172043010753,0.155,0.0767,0.10531594784353,0.043,0.8221,0.088009535160906,4756,15045.7,0.06586599493543,0.06179575598471,737,0.0083702441794435,1288,0.014628052243044,0.098995929443691,2.5470966649738,2.2683099653249,0.013162975582056,0.17087677455991,-150.4761,-0.20399835691306,88050,0.15509544995795,0.12476722532588,2703,50.7,991,693700,91569,884,17.020022624434,91569,0.9,2.3248332850102
"8",2005-03-31,299.3,0.5,0.2974,0.25387553041018,NA,18775,139.9,1809.3,0.10076465969024,0.021524858933834,0.096367509986684,102.2112,0.33624747814391,24.737180468391,250.9,0.0046547711404189,71.832,1013.1792,689.276,1264.0792,0.31969,NA,16146.4,3.0692493394415,0.19209030138134,15.936371059801,12.773250081589,0.20054002628095,0.085,0.08,698.0648,17955.7,0.03358189081225,2.48,20.790322580645,0.095,0.1235,0.27274921554429,0.0409,0.8553,0.082119840213049,5260.7,16160.8,0.11106504628484,0.099962685943739,653.3,0.0081140563326403,2323.6,0.028859362152951,0.10995254859942,3.0636006900343,2.9102565256931,0.012583794988735,0.20071887583122,-8.7888,-0.012750766941922,80514.6,0.13102361951037,0.12384599344088,2455.1,51.56,1794.9,494200,84056.3,653.3,24.737180468391,84056.3,0.9,2.539702970297
"9",2004-03-31,297.1,0.52,0.2988,0.22357839674117,NA,16240.2,115,717.8,0.067261380460653,0.0028186258629538,NA,8271.6625,0.34805890227577,14.206341840681,232.1,0.0076947739660148,71.304,1216.3567,862.8227,1448.4568,0.29065,NA,9954,1.6234994780793,0.039086934856287,8.1834544018439,6.8721416776856,0.14321045203227,0.11,0.145,-7291.7398,10671.8,0.036939200256154,2.18,14.307339449541,0.05,0.611,0.22714065971629,0.048,0.8055,0.091759953695151,6131.2,9184.4,0.16194852140586,0.13937667497517,646.5,0.0093013418966105,3105.1,0.044673776833976,0.11029234338747,1.8483397061783,1.29148562188,0.0175,0.13213804256029,8154.5625,9.4510295910166,69506.1,0.14072655607589,0.12516213966275,2264.8,31.19,1487.4,672100,254663.1,0,NA,254663.1,0.9,1.6041306537195
"10",2003-03-31,291.2,0.6,0.3016,0.23093855958531,NA,14353.4,116,533.5,0.051262587439465,0.012615901948311,NA,368,0.4362,15.908979734451,203.7,0.0076746867553232,69.888,932.9,624.306,1136.6,0.33079,NA,9873.7,NA,NA,10.583878229178,8.6870490937885,0.23348759337777,0.175,0.11,712.006,10407.2,0.041363022001756,2.36,13.173728813559,NA,0.1356,0.24317991631799,0.029,0.8114,0.10098652584057,5295.9,9106.3,0.14285714285714,0.125,572.4,0.01353578683264,2755.9,0.065169942229338,0.1220964360587,2.1020036009418,0.90908455625437,0.022060684025454,0.21534055841033,-87.7,-0.14047598250812,42287.9,0.11788478049057,0.13212686394903,2172.6,31.09,1300.9,1603369,44991,NA,NA,44991,0.85,1.8644045393606
