"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,61,1.22,0.3379,0,246.4,310,7.3,137.9,0.2465,0.5324,0.4448,-1.78,0.8,16.45,11.2,0.0185,10.37,47,33.44,58,0.2854,0.2857,421.5,3.88,1.71,9.01,7.27,1.63,0.07,0.065,39.12,559.4,0.1965,0.35,27.14,0.085,0.06,0.1703,0.215,0.7877,0,108.5,559.4,0,0,34,0.1313,37.2,0.1436,0.4915,2.27,2.35,0.1807,2.16,-5.68,-0.1699,259,0.3082,0.138,96.4,9.5,0,201348,246.6,21.1,26.51,246.6,1.05,2.27
"2",2010-12-31,61.6,0.93,0.3297,0.01280353200883,223.6,302.5,9.8,109.2,0.16704910509408,0.36718224613315,0.36099173553719,-2.5158,0.75826508947528,12.836291913215,13.1,0.0152,9.8922,75,50.3977,88.1,0.32803,0.32847682119205,544.5,4.6419437340153,1.9735411380935,7.26,6.1804767309875,1.8308675184936,0.145,0.085,56.2136,653.7,0.21322314049587,0.67,15.089552238806,0.17,0.3748,0.25935266918874,0.205,0.8112,0.00099173553719008,117.3,650.8,0.0044560540872772,0.004436285757993,50.7,0.17047747141896,34.8,0.11701412239408,0.19511163708087,2.9105545617173,0.88526151125621,0.25218560860793,2.1882985877606,-5.8158,-0.11539808089593,297.4,0.42964833759591,0.22674418604651,93.9,10.11,2.9,467321,275.9,43.5,14.96091954023,275.9,1,2.8860927152318
"3",2009-12-31,62.3,0.9,0.4118,0.058405281868969,185.4,246,12.1,70.9,0.085114045618247,0.3238921882138,0.28821138211382,11.6656,0.60709082078679,50.398773006135,15.7,0.0105,8.6258,23.9,15.811,39.6,0.33845,0.33739837398374,762.1,6.0484126984127,2.6938847649346,31.887029288703,19.244949494949,3.4814984010964,0.19,0.105,7.7454,833,0.27479674796748,0.86,15.104651162791,0.365,-0.115,0.32071901608325,0.2039,0.848,0.0020325203252033,126,821.5,0.013998782714547,0.013805522208884,16.3,0.074463225216994,39.9,0.18227501142074,0.52918711656442,4.4309600862999,2.6525670003229,0.10918227501142,3.752855185016,8.0656,0.51012445609556,218.9,0.12548448412698,0.087918015102481,89.8,12.99,11.5,565882,282.9,41.1,19.987834549878,282.9,1,4.2305738953784
"4",2008-12-31,65.4,0.66,0.3683,0,208.4,260.3,11,74.2,0.14878684579908,0.28604471858134,0.28505570495582,-6.6505,0.456149877817,17.621908127208,19.2,0.0175,8.7273,43.7,28.53,62.9,0.34714,NA,424.5,3.1631892697466,1.9938938468765,9.7139588100687,6.7488076311606,1.6364687740941,0.055,0.055,43.3805,498.7,0.29273914713792,0.39,21.025641025641,0.64,0.1381,0.19529085872576,0.1989,0.7441,0.0049942374183634,134.2,498.7,0,0,28.3,0.10909791827294,37.1,0.14302235929067,0.30838339222615,2.3929942418426,3.2039832958561,0.16846569005397,1.9225134926754,-14.8505,-0.52052397744296,259.4,0.21259301043219,0.13579654510557,99.4,8.2,0,401611,212.9,17.1,29.163742690058,212.9,1.05,2.3929942418426
"5",2007-12-31,74,0.84,0.4002,0,239.3,294.7,20.2,91.1,0.18161881977671,0.3531007751938,0.30912792670512,-1.634,0.49975012493753,11.297297297297,0,0.020653907496013,10.36,47.6,30.4702,47.6,0.35987,NA,410.5,2.7699055330634,1.5277260885746,8.6239495798319,8.6239495798319,1.5910852713178,0.14,0.09,11.9042,501.6,0.28028503562945,0.58,12.603448275862,0.095,-0.015,0.38431876606684,0.18,0.5377,0.01017984390906,148.2,501.6,0,0,44.4,0.17209302325581,39.4,0.15271317829457,0.23333333333333,2.0961136648558,0.80694980694981,0.18449612403101,1.9441860465116,18.566,0.6093158661262,258,0.20560180836707,0.18554116172169,99.8,7.31,0,264137,268.7,31.3,16.025559105431,268.7,1.25,2.0961136648558
"6",2006-12-31,78.1,2.06,0.3782,0.000419991600168,238,300.3,16.8,109.9,0.16674252768927,0.39775606225118,0.36596736596737,2.1843,0.67689053410894,17.206266318538,17.3,0.014221547799696,9.372,57.8,35.0436,75.1,0.39371,NA,549.2,4.2839313572543,2.1295075610702,9.5017301038062,7.3129161118509,1.9876945349258,0.195,0.125,33.3593,659.1,0.26207126207126,0.58,10.827586206897,-0.05,0.1964,0.27438468550592,0.18,0.7648,0.015651015651016,128.2,659,0.00015174506828528,0.00015172204521317,38.3,0.13861744480637,32.8,0.11871154542164,0.24469973890339,2.7689075630252,0.88237263171989,0.20919290626131,2.3850886717336,1.6843,0.048062820661845,276.3,0.2733507176287,0.1609243697479,102.3,6.28,0.1,8525523,257.9,44.7,14.742729306488,257.9,1.6,2.7681646367073
"7",2005-12-31,84.6,2.43,0.3976,0.00038789759503491,257.7,319.5,14.4,136.6,0.15937463539844,0.54552715654952,0.42754303599374,-3.0488,0.74446680080483,28.758389261745,20,0,0,37.5,26.7608,57.5,0.28638,NA,720.5,5.9447194719472,2.601083032491,19.213333333333,12.530434782609,2.8773961661342,0.275,0.125,35.4096,857.1,0.24287949921753,0.58,18.586206896552,-0.155,0.0316,0.31991786447639,0.17,0.7486,0.015023474178404,121.2,857,0.00011668611435239,0.00011667250029168,29.8,0.11900958466454,28.7,0.11461661341853,0,3.325572370974,1.045759609518,0.14976038338658,3.4225239616613,-8.6488,-0.32318981780903,250.4,0.22079826732673,0.11563833915405,100.7,10.78,0.1,522250,277,39.3,21.806615776081,277,1.85,3.3246702870442
"8",2004-12-31,89.8,3.44,0.6107,0.0010518934081346,NA,334.3,16.9,147.8,0.14831911690918,0.5912,0.44211785821119,-1.4427,1.1265760602587,40.008032128514,26.8,0,0,37.4197,24.2206,64.2197,0.35273,NA,848.7,6.1768558951965,3.3948,22.68057877566,13.21557503868,3.2946428571429,0.435,0.135,35.5633,996.5,0.24409213281484,0.43,26.953488372093,-0.225,0.2532,0.25210871602624,0.289,0.7266,0.019144481005085,137.4,996.2,0.00030114434852439,0.00030105368790768,24.9,0.09666149068323,48.9,0.18982919254658,0,3.4966654966655,0.91972487651756,0.14526273291926,3.8672360248447,-11.3427,-0.46830734482881,257.6,0.17627828437846,0.087399087399087,82.2,11.59,0.3,802657,250,24.9,40.008032128514,250,2.05,3.4940392706872
"9",2003-12-31,92.5,3.43,0.6545,0.013908205841446,NA,337.4,21.1,140.1,0.14144371529531,0.57916494419181,NA,7.9316,1.048128342246,170.08620689655,28.6,0,0,36.4124,25.1133,65.0124,0.31031,NA,850.4,5.7654237288136,3.5155022736668,23.35468137228,13.080581550597,4.0170051960321,0.525,0.085,24.6817,990.5,0.26081802015412,0.4,26.625,-0.28,0.0285,0.4208211143695,0.259,0.7118,0.017190278601067,147.5,986.5,0.0040547389761784,0.0040383644623927,5.8,0.027397260273973,55.6,0.26263580538498,0,3.478490832158,3.23973727422,0.172,4.6598960793576,0.4316,0.017186186996663,211.7,0.17025944512542,0.020451339915374,75.9,10.65,4,278163,241.9,5.8,170.08620689655,241.9,1.95,3.4440194714882
"10",2002-12-31,92,3.54,0.7613,0.041681260945709,NA,330.7,29.5,117.4,0.081077348066298,0.57352222765022,NA,9.9,1.0242,NA,33.9,0,0,-20.3,-20.3,13.6,0,NA,1330.6,NA,NA,NA,97.838235294118,6.5002442598925,0.095,0.055,-15.9,1448,0.27910492893861,0.08,192.25,NA,-0.0516,0.4051360674588,0.279,0.718,0.025400665255519,168.1,1436.1,0.0082863310354432,0.0082182320441989,-6.7,-0.032730825598437,65.7,0.3209574987787,NA,5.2489035087719,NA,-0.099169516365413,7.0156326331216,-4.4,NA,204.7,-0.12076145151695,-0.024488304093567,85.5,15.38,11.9,588887,201.2,-6.7,NA,201.2,1.9,7.9155264723379
