"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,16.4,1.67,0.4672,0.3751,148.8,297.1,0.9,5.4,0.0405,0.0123,0.0182,1.18,0.8,NA,10,0,0,6,2.24,16,0.6,1,127.8,0.55,0.29,22.82,8.19,0.29,NA,0.05,10.16,133.2,0.1653,0.26,10.35,-0.095,0.155,0.4774,0.104,0.5969,0.4948,232.7,43.9,2.0342,0.6704,-0.3,-7e-04,63.1,0.1443,NA,0.3,NA,0.0128,0.1,-7.92,-3.5343,437.3,0.0096,-0.002,59.4,2.69,89.3,60017,445.5,-0.2,NA,445.5,1.15,0.56
"2",2011-03-31,16.4,1.78,0.5177,0.3752107925801,148.2,304.5,3.6,1.7,0.0094707520891365,0.0046896551724138,0.0055829228243021,9.7571,0.53119567316979,17.403846153846,8.9,0,0,11.9,6.8551,20.8,0.42394,0.42222222222222,177.8,0.75498938428875,0.41737089201878,14.941176470588,8.5480769230769,0.49048275862069,0.12,0.09,2.398,179.5,0.17701149425287,0.29,18.034482758621,-0.04,0.2464,0.39423752635278,0.098,0.7144,0.49425287356322,235.5,90.5,0.98342541436464,0.4958217270195,5.2,0.014344827586207,55.7,0.15365517241379,0,0.610661268556,1.4503205128205,0.032827586206897,0.24965517241379,4.4571,0.65018662684178,362.5,0.02910876433121,0.035087719298246,52,5.23,89,59433,426,3.7,24.459459459459,426,1.1,0.75674536256324
"3",2010-03-31,16.3,1.52,0.5643,0.11311373523928,142.7,200.8,4.2,5.6,0.03347280334728,0.019303688383316,0.027888446215139,0.8204,0.48732943469786,8.875,6.7,0,0,28.7,17.6671,35.4,0.38442,0.38686131386861,161.7,1.041210560206,0.54426119151801,5.6341463414634,4.5677966101695,0.55739400206825,0.15,0.105,19.3467,167.3,0.19820717131474,0.76,12.605263157895,0.03,-0.039,0.3782340862423,0.085,0.7431,0.47410358565737,155.3,149.1,0.12206572769953,0.10878661087866,16.8,0.057911065149948,34,0.11720096518442,0,1.0448493342677,0.59166666666667,0.098931402964495,0.51396070320579,-1.6796,-0.095068736269518,290.1,0.11376140373471,0.1177295024527,40.2,9.58,18.2,113876,297.1,10.2,14.617647058824,297.1,1.1,1.0397762585457
"4",2009-03-31,16,1.38,0.4821,0.32967032967033,122,215.2,13,3.5,0.010719754977029,0.011820330969267,0.016263940520446,-0.9538,0.34847542003734,53.3,6.5,0,0,10.8,6.6099,17.3,0.38797,NA,323,1.8095238095238,1.1111111111111,29.907407407407,18.670520231214,1.0908476865924,0.155,0.09,1.0637,326.5,0.18726765799257,1.07,14.990654205608,0.03,0.0186,0.53195164075993,0.107,0.6793,0.44888475836431,178.5,266.5,0.22514071294559,0.18376722817764,5,0.016886187098953,52.3,0.17662951705505,0,2.1844262295082,3.4387096774194,0.036474164133739,0.9000337723742,5.5462,0.83907176661982,296.1,0.037030386554622,0.040983606557377,40.2,16.04,60,61806,290.7,9.6,27.760416666667,290.7,1.05,1.793956043956
"5",2008-03-31,16,1.11,0.4178,0.29260843005498,115.8,199,5.1,2.1,0.010268948655257,0.0072289156626506,0.010552763819095,-1.0931,0.38295835327908,11.863636363636,6.2,0,0,24.8,15.289,31,0.38351,NA,202.4,1.2524752475248,0.67647058823529,8.1612903225806,6.5290322580645,0.69672977624785,0.07,0.125,17.4821,204.5,0.16934673366834,0.54,18.518518518519,0.115,0.3197,0.57300073367572,0.115,0.7753,0.4929648241206,161.6,156.6,0.3058748403576,0.23422982885086,13.2,0.045438898450947,36.5,0.12564543889845,0,1.3523316062176,1.6948051948052,0.085370051635112,0.53907056798623,-2.1931,-0.14344445050364,290.5,0.094609851485148,0.1139896373057,39.7,10,47.9,19161,299.2,9.4,16.659574468085,299.2,1,1.2492364080635
"6",2007-03-31,15.8,0.51,0.2562,0.38152105593966,98.4,192.7,5.2,0.8,0.0019555120997311,0.0036815462494248,0.0041515308770109,-8.5615,0.62451209992194,26.8,3.8,0,0,22.7,13.9339,26.5,0.38617,NA,408.3,2.5792798483891,1.465016146394,17.986784140969,15.407547169811,1.8789691670502,0.16,NA,21.0955,409.1,0.16917488323819,0.89,22.528089887641,0.17,0.4371,0.18724065187658,NA,0.829,0.51271406331085,158.3,348.4,0.17422502870264,0.1483744805671,13,0.059825126553152,30.3,0.13943856419696,0,3.5406504065041,1.675,0.10446387482743,1.6033133916245,-7.1615,-0.51396283662271,217.3,0.088022368919773,0.13211382113821,30.7,20.05,60.7,54696,278.7,14.1,24.709219858156,278.7,1,2.5713387806411
"7",2006-03-31,10.5,1.69,0.2553,0.032596041909197,83.1,100.4,1,16.1,0.046424452133795,0.10669317428761,0.16035856573705,-1.0929,0.50137093615354,29.913043478261,2,0,0,18.3,11.3286,20.3,0.38095,NA,330.7,4.7378223495702,2.0864353312303,18.071038251366,16.290640394089,2.1915175612989,0.11,NA,13.4215,346.8,0.12250996015936,1.14,28.280701754386,0.235,0.0439,0.24627720504009,NA,0.7404,0.39243027888446,69.8,344,0.0081395348837209,0.0080738177623991,11.5,0.076209410205434,21.7,0.14380384360504,0,4.1395908543923,2.7193675889328,0.12127236580517,2.2796554009278,-2.0929,-0.18474537367527,150.9,0.16230107449857,0.13838748495788,21,32.24,2.8,35338,158.5,11.6,29.655172413793,158.5,0.8,4.0372526193248
"8",2005-03-31,10.3,0.84,0.3116,0.044260027662517,NA,85.9,1,0.5,0.0023430178069353,0.003469812630118,0.0058207217694994,0.4315,0.53915275994865,19.644859813084,2.3,0,0,17.1708,10.848,19.4708,0.36823,NA,212.9,2.9651810584958,1.4774462179042,12.398970809713,10.934333395991,1.505657708628,0.09,NA,11.7164,213.4,0.15017462165309,NA,NA,0.21,0.0977,0.12342027426728,NA,0.5769,0.46216530849825,71.8,210.2,0.015223596574691,0.014995313964386,10.7,0.075671852899576,22.6,0.15983026874116,0,3.0419681620839,2.1827622014538,0.12143408769448,1.4865629420085,-0.8685,-0.080057114756909,141.4,0.15108612368524,0.1548480463097,19.5,20.44,3.2,30361,144.1,10.7,19.644859813084,144.1,0.75,2.9515905947441
"9",2004-03-31,10.2,0.92,0.4006,0.23139377537212,NA,85.3,0.4,0.5,0.0022502250225022,0.0037593984962406,NA,0.9437,0.45931103344982,21.81914893617,2.3,0,0,18.1575,11.4016,20.4575,0.37207,NA,221.7,3.0204359673025,1.6669172932331,12.209844097309,10.837111902346,1.737460815047,0.14,NA,12.3579,222.2,0.16060961313013,1.02,18.578431372549,NA,0.1589,0.21759872780281,NA,0.5411,0.46893317702227,73.4,205.1,0.083373963920039,0.076957695769577,9.4,0.073667711598746,22.3,0.17476489028213,0,3.6109154929578,1.5585106382979,0.1423,1.6073667711599,-0.9563,-0.08387133182166,127.6,0.15533550976022,0.16549295774648,18.1,18.95,17.1,36006,133,10,20.51,133,0.8,3.0067658998647
"10",2003-03-31,9.7,0.38,0.5555,0.43271767810026,NA,84.7,1.1,0.9,0.0041341295360588,0.008587786259542,NA,-0.7,0.1525,22.548780487805,1.7,0,0,13.9,8.6596,15.6,0.37701,NA,216.8,NA,NA,15.597122302158,13.897435897436,2.0687022900763,0.15,NA,9.2596,217.7,0.17827626918536,0.9,20.733333333333,NA,0.2384,0.34208658623137,NA,0.4157,0.47461629279811,74.9,184.9,0.17739318550568,0.15066605420303,8.2,0.07824427480916,20.8,0.19847328244275,0,4.3,1.5032520325203,0.13263358778626,1.7643129770992,-0.6,-0.069287577049229,104.8,0.11561496662216,0.1906976744186,17.5,18.66,32.8,41271,121.7,9.2,20.097826086956,121.7,0.75,2.8945260347129
"11",2002-03-31,NA,-0.15,0.6049,0.2379,NA,49.6,0.7,0.8,0.0068143100511073,0.0096618357487923,NA,1.0662,-0.0437,16.952380952381,1.1,0,0,11.3817,7.0417,12.4817,0.38131,NA,116.6,NA,NA,10.24451531845,9.3416762139773,1.4082125603865,NA,NA,6.3755,117.4,0.19556451612903,NA,NA,NA,0.0585,0.31651865008881,0,0.3805,0.35282258064516,43.514,106.8,0.099250936329588,0.090289608177172,6.3,0.076086956521739,16.778,0.20263285024155,0,3.1597633136095,NA,0.085045217065217,1.2898550724638,0.6662,0.094607245386142,NA,0.16182708951142,0.18639053254438,15.2,11.85,10.6,48800,82.8,6.9,15.478260869565,88.1,0.7,2.6979822585834
"12",2001-03-31,NA,0.85,0.5774,0.20501138952164,NA,39.8,2.1,0.6,0.0045420136260409,0.0079575596816976,NA,1.9374,0.44163491513682,27.977272727273,1.4,0,0,9.28928,5.5559,10.6893,0.4019,NA,131.5,NA,NA,14.156102518171,12.30204466531,1.7440318302387,0.28,NA,3.6692,132.1,0.24120603015075,NA,17.647058823529,NA,0.0682,0.76339617040226,NA,0.3833,NA,34.3,123.1,0.073111291632819,0.068130204390613,4.4,0.058355437665783,17.4,0.23076923076923,0,4.7528957528957,99.918831168831,0.07368592,1.632625994695,1.8867,0.33958022329244,NA,0.16198012734694,0.16988416988417,14.2657,15,9,NA,75.4,5.3,23.22641509434,78.5,NA,3.785100286533
