"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-31,109.3,1.2,0.3125,0.2093,866.1,1550.7,41.6,146.5,0.0701,0.1444,0.0945,3.92,0.8,22.17,31.9,0,0,139,138.8,171,0,0,1942.8,2.05,1.8,14,11.38,1.91,0.365,0.075,125.18,2089.3,0.0954,1.33,12.8,-0.115,-0.015,0.1493,0.048,0.9166,0.3584,948.8,1860.1,0.1232,0.1097,83.9,0.0827,62.9,0.062,0,2.15,0.61,0.1368,1.83,13.62,0.0982,1014.6,0.1463,0.0969,712.2,17.02,229.2,1250832,1077.9,134.8,13.8,1077.9,1.05,1.91
"2",2011-01-31,111.2,1.49,0.524,0.22446330504244,776.7,1428,47.2,133.1,0.079586223391533,0.14549628334062,0.093207282913165,6.0087,0.50095419847328,50.615384615385,30.8,0,0,68.1,60.8079,98.9,0.10708,0.10625,1539.3,1.7725702441271,1.5369945082376,22.603524229075,15.564206268959,1.6826628771316,NA,0.06,38.3991,1672.4,0.097549019607843,0.69,19.652173913044,NA,0.0292,0.32162809257781,0.048,0.8192,0.37934173669468,868.4,1447.6,0.15529151699364,0.13441760344415,28.6,0.031263664188894,63.4,0.069304766069086,0,1.8637826702717,NA,0.074442501093135,1.5824223874071,22.4087,0.36851693459242,914.8,0.07002286043298,0.036822453971932,706.1,13.56,224.8,1201038,1001.5,76.6,18.89817232376,1001.5,1.05,1.6698951572641
"3",2010-01-31,100.5,1.31,0.6022,0.26114061417686,640,1223,46.4,99.3,0.063682421599436,0.1237074872306,0.08119378577269,2.1975,0.43590169378944,NA,31.1,0,0,-1.1,-1.1,30,0,NA,1460,1.9037684183075,1.7288336293665,NA,48.666666666667,1.8188613429675,NA,0.03,-18.5975,1559.3,0.099591169255928,0.47,25.531914893617,NA,-0.0876,0.23961980990495,0.048,0.9173,0.39599345870809,766.9,1333.1,0.16967969394644,0.1450650933111,-21.9,-0.027282920144512,42.2,0.052572567584403,NA,2.08296875,NA,-0.0013703749844276,1.6607699015822,17.4975,NA,802.7,-0.0014343460685878,-0.03421875,684,12,226.2,886143,844.5,17.5,76.177142857143,844.5,1.05,1.8001616254907
"4",2009-01-31,90.1,1.47,0.6248,0.29322660098522,573.9,1186.4,40.4,95.6,0.085701479157329,0.12115067798758,0.080579905596763,0.9658,0.26888604353393,NA,57.6,0,0,-65.5699,-65.5699,-7.9699,0,NA,1019.9,1.4236460078169,1.2619401138332,NA,NA,1.2924851096185,NA,0.02,-49.3357,1115.5,0.085131490222522,NA,NA,NA,-0.0969,0.48890589135425,0.057,0.9399,0.40542818610924,716.4,877.4,0.27136995669022,0.21344688480502,-88.8,-0.11253326574579,39.9,0.050563933595235,NA,1.5288377766161,NA,-0.083094550754024,1.1118996324927,-16.2342,NA,789.1,-0.091526954215522,-0.15473078933612,727.5,8.83,238.1,756564,808.2,-29.8,NA,808.2,1.05,1.3737684729064
"5",2008-01-31,90.7,1.4,0.4892,0.2519602106495,639.2,1238.1,37.9,126.2,0.19352859990799,0.14345799704445,0.10193037719086,4.1539,0.3761242845462,15.166666666667,48.6,0,0,70.9,36.4731,119.5,0.48557,NA,525.9,0.7220925442812,0.63262360158787,7.4174894217207,4.4008368200837,0.59781743776287,0.19,0.025,43.0192,652.1,0.081091995800016,0.44,11.75,-0.16,0.0232,0.64948453608247,0.056,NA,0.36499475002019,728.3,436.8,0.49290293040293,0.330164085263,28.8,0.032738433556894,75.5,0.085824712970331,0,0.68335419274093,0.79824561403509,0.080595657610549,0.49653290894623,-6.5461,-0.1794771002585,879.7,0.050079756968282,0.045056320400501,678.7,5.17,215.3,957463,831.3,-87.2,NA,831.3,1.15,0.7631363370392
"6",2007-01-31,83.5,3.09,0.4211,0.32536066818527,533.1,1126.2,29.3,129.9,0.10442122186495,0.16409802930773,0.11534363345765,0.7754,0.47494656851104,36.283088235294,44.9,0,0,50.2,36.025,95.1,0.28237,NA,1114.1,1.6872633651371,1.3442326254826,22.193227091633,11.715036803365,1.4074027286508,0.155,0.025,50.8496,1244,0.07645178476292,0.55,17.309090909091,-0.125,0.0648,0.30590219224283,0.056,NA,0.35206890427988,660.3,986.9,0.26051271658729,0.20667202572347,27.2,0.034360788276908,-16.5,-0.020843860535624,0,1.8512474207466,2.340844402277,0.063415866599293,1.2467155128853,-14.8246,-0.41150861037754,791.6,0.054558573375738,0.051022322265991,626.6,9.52,257.1,1851560,828.8,24.5,40.281632653061,828.8,1.25,1.5742849911415
"7",2006-01-31,79.2,2.81,0.3818,0.39625437887362,448.1,1020.9,25.8,114.4,0.063383012909302,0.16222348269994,0.11205798804976,-1.3757,0.58669460450498,45.920972644377,44.1,0,0,46.4,38.5115,90.5,0.17001,NA,1690.5,2.6927365402995,2.2051917558048,36.433189655172,18.67955801105,2.3971922858764,0.05,0.035,58.1872,1804.9,0.079733568420022,0.35,51.514285714286,-0.035,-0.0433,0.31873653984207,0.061,NA,0.3732980703301,627.8,1510.8,0.19466507810432,0.16294531552995,32.9,0.046653431650596,15.8,0.022404991491775,0,3.3715688462397,9.1841945288754,0.065796937039138,2.1423709585933,-19.6757,-0.51090318697221,705.2,0.061343638101306,0.073421111359072,559.7,18.03,294.1,588984,766.6,32.5,46.486153846154,766.6,1.4,2.431824306117
"8",2005-01-31,76.4,4.12,0.7714,0.40368486181768,NA,1021.9,24.4,94.3,0.08497792196089,NA,0.092279087973383,-6.1,1.068187710656,16.354709418838,43.7,0,0,70.3444,58.3866,114.0444,0.16999,NA,1015.4,1.6041074249605,NA,14.434695583444,8.9035498454988,1.428129395218,0.105,0.02,83.7866,1109.7,0.089245523045308,0.5,20.68,0.115,-0.06,0.32560137457045,0.059,0.882,0.36608278696546,633,816.1,0.35975983335376,0.26457601153465,49.9,0.070182841068917,6.1,0.0085794655414909,0,1.8817154715241,1.5575913732226,0.098937271448664,1.1478199718706,-25.4,-0.43503165766238,711,0.092237844303317,0.11505649066175,543.7,10.34,293.6,509420,NA,0,NA,0,1.45,1.5257802832394
"9",2004-01-31,68.3,3.86,0.7971,0.43960484957342,NA,940.7,23.5,71.3,0.049247133581986,0.10214899713467,NA,0.7789,0.96851085183791,27.413301662708,41.8,0,0,104.3281,86.5933,146.1281,0.16999,NA,1376.5,2.3064678284182,1.9720630372493,13.193955069431,9.4198185591708,2.0371466627201,0.105,0.03,104.1145,1447.8,0.097055384288296,0.69,22.028985507246,0.18,0.1059,0.29246935201401,0.054,0.9995,0.34686935260976,596.8,1154.1,0.25448401351703,0.20285951098218,42.1,0.062305756992748,23.6,0.034926742637265,0,3.0825320512821,2.6107906345436,0.1544,1.7080065117656,-17.5211,-0.20233809759959,675.7,0.14509609530965,0.11244658119658,506,15.2,293.7,295593,698,42.1,27.413301662708,698,1.25,2.1670408621464
"10",2003-01-31,66.6,3.56,0.8753,0.35200864709061,NA,804.8,20.4,38.8,0.033517622667588,0.065078832606508,NA,101.7,0.894,36.585551330799,37.8,0,0,30,30,67.8,0,NA,1118.8,NA,NA,37.293333333333,16.501474926254,1.8765514927877,0.075,0.045,47.4,1157.6,0.11220178926441,0.74,19.067567567568,NA,-0.0368,0.48712317120692,0.052,0.9417,0.42519880715706,516.3,962.2,0.20307628351694,0.16879751209399,26.3,0.044112713854411,-25.9,-0.043441798054344,0,2.6750069502363,4.8780735107731,0.050318685005032,1.6138879570614,-17.4,-0.58,596.2,0.058105752469495,0.073116485960523,455.7,14.11,195.4,695337,653.8,27.7,34.736462093863,653.8,1.3,2.166957195429
"11",2002-01-31,NA,2.68,0.8788,0.0153,NA,523.5,18.7,147.2,0.22779325286289,0.24516988674217,NA,-0.0193,0.5341,8.3151750972763,17.7,0,0,104.8968,92.0711,122.5968,0.12227,NA,499,NA,NA,4.7570564593009,4.070253057176,0.8311125916056,0.075,NA,91.0904,646.2,0.15702005730659,0.51,16.960784313726,0.065,0.0179,0.74505351929938,0.044,0.8823,0.022731614135626,186.386,641.1,0.0079550772110435,0.0078922934076137,77.1,0.1284143904064,0.614,0.0010226515656229,0,1.951598173516,1.1086900129702,0.15334954740839,1.0677881412392,0.9807,0.010651554483847,NA,0.49398060081766,0.23470319634703,398.5,8.65,5.1,868900,600.4,0,NA,581.5,1.2,3.466998594315
"12",2001-01-31,NA,1.05,0.6349,0.018557955582598,NA,530.9,19,141.9,0.090353390639924,0.24059003051882,NA,-3.5916,0.49614112458655,24.030721966206,19.4,0,0,111.88506,88.7495,131.2851,0.20678,NA,1428.6,NA,NA,12.768460775728,10.881664676849,2.4221770091557,0.185,NA,90.5035,1570.5,0.15558485590507,NA,19.296,NA,0.1488,0.44732594425912,0.039,0.8922,NA,180.7,1564.4,0.003899258501662,0.0038841133397007,65.1,0.11037639877925,-9.1,-0.015428958969142,0,4.9428120063191,129.89579441192,0.150473834,2.6524245506951,-1.7541,-0.019764400322597,NA,0.49114259708467,0.20568720379147,378.6516,24.12,6.1,NA,589.8,66,23.70303030303,616.7,NA,4.8682579045257
"13",2000-01-31,NA,0.9,0.5488,0,NA,449.3,15.6,133.2,0.078027063440923,NA,NA,NA,0.24599125364432,46.514986376022,21.7,0,0,76.2,67.4873,89.1873,0.11434,NA,1573.9,NA,NA,20.654855643045,17.647132957014,2.7950630438643,0.33,NA,73.5873,1707.1,0.186957489428,NA,NA,NA,0.0427,0.43424014091398,0.035,0.8731,NA,155.6,1707.1,0,0,NA,0.10015982951518,NA,0,0,5.9110110803324,1.4095450416976,0.13532232285562,3.0316107263363,NA,-0.090387387302486,NA,0.4337229562982,0.19529085872576,338.6,NA,NA,NA,NA,56.4,30.267730496454,563.1,NA,5.9110110803324
