"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,23.1,0.4,0.1209,0.3976,551,1458.9,65.2,43.6,0.0284,0.0798,0.0299,-1.74,0.8,19.23,40.9,0.0316,36.96,108,67.83,149,0.3714,0.3715,1491.4,1.71,2.79,13.82,10.02,2.73,0.055,0.03,45.27,1535,0.6824,2.87,17.75,0.065,NA,0.1315,NA,0.3211,0,871,1171.4,0.3104,0.2369,60.9,0.1115,85.1,0.1557,0.5839,2.13,3.5,0.1975,2.14,22.56,0.3325,546.4,0.0779,0.1105,0,50.95,363.6,54999,535.2,63.3,18.51,535.2,0.6,1.68
"2",2010-12-31,23.1,0.39,0.138,0.40579382143261,525.1,1317.9,60.9,9.6,0.006700635164375,0.018024784078107,0.0072843159572046,3.371,0.8,18.615251299827,38,0.0329,35.3379,96.6,60.9102,134.6,0.36946,0.36939890710383,1423.1,1.6280745910079,2.5808850199492,14.731884057971,10.572808320951,2.6719864814119,0.04,0.01,34.6392,1432.7,0.73450185901814,2.6,17.988461538462,0.07,-0.0023,0.12707572724061,NA,0.3309,0,874.1,1074.1,0.3338609068057,0.25029664270259,57.7,0.10833646263612,95.5,0.17930904994367,0.6124417677643,2.0455151399733,4.6538128249567,0.18137438978596,2.0167104769057,26.271,0.43130749309657,532.6,0.069683290241391,0.10988383165111,0,46.77,358.6,59064,551.4,63.5,16.914960629921,551.4,0.6,1.6212515559579
"3",2009-12-31,23.1,0.29,0.1506,0.43535501294025,501.8,1281.9,81.6,8.2,0.0058950395398994,0.015361558636193,0.0063967548170684,-0.251,0.8,19.688235294118,41.1,0.0345,34.6415,84.6,54.4968,125.7,0.35583,0.35606060606061,1382.8,1.5704713231119,2.5972952667167,16.345153664303,11.000795544948,2.5904833270888,0.04,0.01,14.2478,1391,0.73313050940011,2.58,16.573643410853,0.06,-0.1124,0.15274841437632,NA,0.3324,0,880.5,1004.1,0.38532018723235,0.27814521926671,51,0.095541401273885,95.7,0.17928062944923,0.67924411764706,2.0009964129135,4.9220588235294,0.15848632446609,1.88104158861,40.249,0.73855750085888,533.8,0.061892994889267,0.10163411717816,0,42.76,386.9,50654,532.4,59.2,16.961148648649,532.4,0.65,1.5652076066164
"4",2008-12-31,22.9,0.21,0.1731,0.45354816592389,478.2,1268.3,105.8,8.9,0.0072210953346856,0.01493288590604,0.0070172672080738,-7.4375,0.60080878105142,15.825757575758,39.3,0.0407,34.0089,87.8,56.6222,127.1,0.3551,NA,1223.6,1.4126067882706,2.2106594399277,13.936218678816,9.6270653029111,2.0530201342282,0.04,0.005,-2.4403,1232.5,0.7105574390917,2.37,15.080168776371,0.06,0.0625,0.16732824427481,NA,0.334,0,866.2,835.6,0.47498803255146,0.32202839756592,52.8,0.088590604026846,104.3,0.175,0.64410833333333,1.7473860309494,3.9564393939394,0.14731543624161,1.4020134228188,59.0625,1.0430975684104,596,0.065368529208035,0.11041405269762,0,35.74,396.9,67437,553.5,48.7,17.158110882957,553.5,0.65,1.4084104673752
"5",2007-12-31,22,0.16,0.1602,0.46099558916194,427.7,1111.6,136.3,6.7,0.0062296606229661,0.012462797619048,0.0060273479668946,-23.0518,0.69912609238452,14.543032786885,32.2,0.044948569818233,31.9,83.7,53.2951,115.9,0.36326,NA,1068.8,1.3584138281647,1.4517794077696,12.769414575866,9.2217428817947,1.9880952380952,0.055,0.005,-27.7531,1075.5,0.75926592299388,2.44,13.524590163934,0.035,0.0122,0.14391030563661,NA,0.3476,0,786.8,709.7,0.51542905453008,0.34012087401209,48.8,0.09077380952381,62.4,0.11607142857143,0.65368852459016,1.6593406593407,2.6441877794337,0.15569196428571,1.3201264880952,81.0482,1.5207431170497,537.6,0.067736576004067,0.11409866729016,NA,33,365.8,136578,736.2,51.8,13.700772200772,736.2,0.7,1.3553875236295
"6",2006-12-31,21,0.6,0.1531,0.45179666958808,375.3,982.2,92.6,7.2,0.0065765436609426,0.014187192118227,0.0073304825901038,-3.5688,0.8,18.525943396226,31.3,0.037963080840229,29.82,79,49.0535,110.3,0.37907,NA,1087.6,1.60555063478,2.0393774610913,13.767088607595,9.8603807796918,2.1430541871921,0.065,0.02,-8.6777,1094.8,0.74160048869884,2.38,14.411764705882,0.025,-0.036,0.11768060265914,NA,0.3615,0,677.4,785.5,0.3937619350732,0.28251735476799,42.4,0.083546798029557,70.2,0.13832512315271,0.70330188679245,2.0929922728484,2.850145137881,0.15566502463054,1.5477832512315,57.7312,1.1769037302083,507.5,0.072414334219073,0.11297628563816,NA,34.3,309.3,91278,533.3,46,17.076086956522,533.3,0.95,1.59918200409
"7",2005-12-31,20.5,0.81,0.1254,0.46986280252813,343.9,916.9,85.8,5.9,0.0055258967874871,0.011492014024153,0.0064347257061839,-2.4882,0.8,23.766355140187,29.3,0.037350897889632,28.495,60.4,37.3024,89.7,0.38241,NA,1061.8,1.6518357187305,2.0090823084201,17.579470198676,11.83723522854,2.0681729645501,0.065,0.03,-16.7093,1067.7,0.7282146362744,1.97,18.568527918782,0.02,0.2046,0.11662380880351,NA,0.2752,0,642.8,762.9,0.39952811639795,0.28547344759764,32.1,0.062524347487339,84.6,0.16478379431243,0.88769470404984,2.218377435301,3.6563623292595,0.11764705882353,1.4859758472926,54.0118,1.447942024641,513.4,0.058031169881767,0.093341087525443,NA,36.58,304.8,87886,528.5,39.9,19.12030075188,528.5,0.75,1.6459071990134
"8",2004-12-31,20.4,0,0,0.43044796227686,NA,827.4,95.7,4.4,0.004603955216072,0.0099188458070334,0.0053178631858835,3.3184,NA,20.713017751479,24.9,0.040695959893837,28.152,61.992,38.4946,86.892,0.37904,NA,951.3,1.6140142517815,2.1444995491434,15.345516078271,10.948067170702,2.2388797364086,0.06,0.02,-35.6238,955.7,0.73410684070582,1.91,17.753926701571,0.04,-0.048,0.11913357400722,NA,0.2431,0,589.4,700.1,0.36509070132838,0.26744794391546,33.8,0.079548128971523,75.4,0.17745351847494,0.83289940828402,2.0700768775872,3.4521696252466,0.14589797599435,1.6476818074841,74.1184,1.9254236391371,424.9,0.06531147500509,0.099940863394441,0,33.91,255.6,35227,443.6,33.8,20.713017751479,443.6,0.7,1.6094644661502
"9",2003-12-31,18.3,0,0,0.49110251450677,NA,721.7,83,5.4,0.0054556476055769,0.013135490148382,NA,1.2744,NA,24.049019607843,23.3,0.038375350140056,25.071,83.1506,50.4093,106.4506,0.39376,NA,984.4,1.9241594996091,2.3945512040866,11.838752914138,9.2474775870321,2.4518057285181,0.06,0.02,-10.5652,989.8,0.7447692947208,1.95,18.307692307692,0.07,0.1084,0.13615023474178,NA,0.2195,0,511.6,735.9,0.3450197037641,0.25651646797333,30.6,0.076214196762142,53.3,0.13275217932752,0.8193137254902,2.7970353477765,4.0081699346405,0.2071,1.8328767123288,60.9744,1.209587939789,401.5,0.098532545066458,0.11630558722919,0,35.7,253.9,9460,411.1,30.6,24.049019607843,411.1,0.6,1.9145067698259
"10",2002-12-31,17.6,0,0,0.49889819303658,NA,628.9,78.3,3,0.0038729666924864,0.0086430423509075,NA,-5.2,0,18.77397260274,29.4,0.04366289675301,23.936,58.1,35.3945,87.5,0.3908,NA,771.6,NA,NA,13.280550774527,8.8182857142857,2.2229904926534,0.05,0.005,-13.5055,774.6,0.71792017808873,1.96,16.147959183673,NA,0.0103,0.17817225509533,NA,0.2203,0,450.8,548.2,0.41298796059832,0.29227988639298,29.2,0.0841256122155,47.8,0.13771247479113,0.81972602739726,2.4107299912049,3.754794520548,0.16738692019591,1.5793719389225,48.9,1.381569802331,347.1,0.078514906832298,0.12840809146878,0,31.65,226.4,14157,385.9,NA,NA,385.9,0.55,1.7116237799468
