"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,68.8,1.68,0.3656,0.3172,3415.8,6206.2,275.6,311.9,0.04,0.0553,0.0503,21.51,0.8,30.77,297.7,0,0,345,296.72,643,0.1395,0.1575,7477.1,1.59,1.3,21.69,11.64,1.33,0.215,0.055,297.31,7789,0.2759,4.51,20.06,-0.17,-0.045,0.2397,0.1739,0.7971,0.3191,4690.4,6202.5,0.2558,0.2037,201.6,0.0357,1371.3,0.243,0,1.82,1.43,0.0611,1.1,-0.59,-0.002,5642.3,0.0633,0.059,1089.6,90.47,1586.5,861606,5730.8,227.5,27.26,5730.8,1.3,1.56
"2",2010-12-31,68.6,2.49,0.6793,0.3357427109559,3271.6,6098.9,156.2,354.2,0.061165987428335,0.066590212629956,0.058076046500189,46.5703,0.47843368173119,23.873052510098,296.8,0,0,326.4,287.0133,623.2,0.12067,0.14292779426311,5436.6,1.1893677532269,0.98378632695161,16.65625,8.7236842105263,1.0220902032299,0.17,0.03,381.043,5790.8,0.2766236534457,3.33,17.972972972973,-0.135,-0.0068,0.26592517694641,0.1739,0.8131,0.33555231271213,4571,4137.2,0.39969061200812,0.28555639980659,173.3,0.032580699742438,1196.1,0.22486886879359,0,1.2645800220076,1.4042972064764,0.061363764546634,0.77780075576695,-94.0297,-0.32761427202668,5319.1,0.062790048567053,0.052971023352488,1087.3,59.85,1653.6,589636,5526.2,197.4,20.958459979737,5526.2,1.3,1.175749208154
"3",2009-12-31,68.5,2.35,0.7302,0.36684271952209,3200.8,6391.4,108.9,531.5,0.088921234022619,0.099457335329341,0.083158619394812,11.1685,0.44508353875651,39.376313276027,303,0,0,164.7,164.7,467.7,0,0,5445.7,1.2037888500818,1.0077351542405,33.064359441409,11.643574941202,1.0190306886228,0.095,0.005,347.6315,5977.2,0.28028288012016,2.84,19.985915492958,-0.045,-0.2179,0.23646776279328,0.183,0.8218,0.34366492474262,4523.8,4122.7,0.44982656996628,0.31026233018805,104.7,0.019592065868264,996.4,0.18645209580838,0,1.2880217445639,4.144875081687,0.030819610778443,0.77146332335329,-182.9315,-1.1106953215609,5344,0.036407445068305,0.032710572356911,1184.5,56.76,1854.5,635470,5403.9,166.9,24.701617735171,5403.9,1.3,1.1823630645066
"4",2008-12-31,68.4,2.31,0.6868,0.38264886661708,3153.8,6446.2,217.8,93.5,0.017476635514019,0.01369702474254,0.014504669417641,-269.8714,0.29120559114735,14.265546218487,295,0,0,449.3,362.2481,744.3,0.19375,NA,5256.5,1.0481346334071,0.95883039655613,11.699310037837,7.062340454118,0.77003647656857,0.015,-0.025,709.3196,5350,0.29873413794173,1.93,24.663212435233,0.055,-0.101,0.51980758347482,0.188,0.8263,0.34862399553225,5015.1,3395.2,0.57575400565504,0.36538317757009,238,0.034865153890102,1370.6,0.20078226857888,0,1.07654258355,9.5103641456583,0.065818964885809,0.49737046423392,-347.0714,-0.95810419224909,6826.3,0.072231485912544,0.075464518992961,1305.5,47.6,1954.8,1311509,5482.2,109,31.148623853211,5482.2,1.25,1.0472536507067
"5",2007-12-31,68.4,1.51,0.3559,0.32647513306244,4707.4,8680,163.1,89.6,0.017810996700195,0.011811231215397,0.010322580645161,81.3342,0.47204270862602,6.2801005254741,306.4,0,0,764.4,549.1908,1070.8,0.28154,NA,4941,0.71612847121572,0.69123263524573,6.4638932496075,4.614307060142,0.65133139994727,0.045,0.015,611.1566,5030.6,0.22761520737327,2.41,17.829875518672,0.11,-0.0488,0.55308411214953,0.1839,0.9006,0.45728110599078,6899.6,2748.8,0.83010768335274,0.45358406551902,437.7,0.057698391774321,1409,0.18573688373319,0,0.58393168203254,1.3955778945498,0.10076456630635,0.36235170050092,-61.9658,-0.11283112518507,7586,0.079597487390573,0.092981263542508,1364.7,42.97,2281.8,784190,7148.1,337.2,8.1518386714116,7148.1,1.05,0.71976764150404
"6",2006-12-31,67.8,1.62,0.2149,0.42832743499,3715.3,8178.4,165.8,63.5,0.0080620588085928,0.0080320777150953,0.0077643548860413,37.4648,0.8,11.390516662939,275,0,0,839,566.8871,1114,0.32433,NA,7812.9,1.2140315437806,1.0176492041577,9.3121573301549,7.0133752244165,0.98824913354752,0.075,0.045,638.6223,7876.4,0.2308642277218,6.33,11.274881516588,0.14,0.1895,0.19073869900772,0.192,0.8477,0.47438374254133,6435.5,5092.7,0.54660592612956,0.35342288355086,447.1,0.056553416479041,1296.8,0.16403147056591,0,1.3707372217587,1.5187355550585,0.10612461736953,0.64417263275064,-71.7352,-0.1265423191434,7905.8,0.088087503690467,0.1203402147875,1392.3,71.37,2783.7,1282500,7677.4,457.8,11.124290083006,7677.4,1.1,1.2119402985075
"7",2005-12-31,67.5,1.32,0.2024,0.5222002998974,3027.1,7991.5,247.3,134.6,0.015976450759059,0.020332019153789,0.01684289557655,-217.4737,0.8,13.446780551905,149.3,0,0,661.6,425.7528,810.9,0.35648,NA,8290.3,1.3369510877453,1.061212734092,12.530683192261,10.223578739672,1.2522922614462,0.09,0.085,545.2265,8424.9,0.22657823937934,6.29,11.901430842607,0.15,0.1135,0.1827173347215,0.216,0.9826,0.47500469248577,6200.9,5116.5,0.64661389621812,0.39269308834526,380.5,0.057476473165058,1207.8,0.18244437395206,0,1.6902315747745,1.4940867279895,0.099938067400795,0.77287352154801,-119.4737,-0.28061749628209,6620.1,0.06865984486123,0.12569786264081,1095.9,74.86,3308.4,190200,7812.1,426.3,12.002111189303,7812.1,1.1,1.3297924394286
"8",2004-12-31,66.8,1.05,0.2577,0.25053406791095,NA,4403.1,106.6,0,0,0,0,47.707,0.81490104772992,15.92919153554,123.1,0,0,635.4716,405.6978,758.5716,0.36158,NA,6762.8,1.9009444569373,1.1046355885139,10.642175039766,8.915176892992,1.150057819196,0.11,0.095,374.4908,6762.8,0.20560514183189,6.26,13.888178913738,0.19,0.1709,0.1191587404738,0.219,0.7387,0.38609161726965,3557.6,5871.5,0.15180107297965,0.13179452297865,368.6,0.06268281069315,1160.2,0.19729950343514,0,2.2021152908525,1.4481083214127,0.10806604992858,0.99848649751718,31.207,0.076921840729286,5880.4,0.11403692907353,0.13824400855118,985.3,86.94,891.3,207400,6122.2,368.6,15.92919153554,6122.2,1.15,1.9009444569373
"9",2003-12-31,66.5,0.95,0.315,0.30584254727811,NA,4163.6,114.6,0,0,0,NA,97.7406,0.6031746031746,19.468236052886,106.6,0,0,648.648,411.872,755.248,0.36503,NA,7049.5,2.1296296296296,1.2698598551717,10.867990034657,9.3340200834693,1.4084915084915,0.12,0.08,306.1314,7049.5,0.22074646940148,5.88,15.377551020408,0.23,0.1039,0.14874984135042,0.219,0.8863,0.40685944855414,3310.2,6037.1,0.16769641052823,0.14361302220016,310.1,0.061958041958042,895.3,0.17888111888112,0,2.6273391940117,1.6223530044072,0.1296,1.2062137862138,105.7406,0.25673179550501,5005,0.12442511647635,0.13495517451475,817.3,90.42,1012.4,69900,5551.4,334.8,18.031959378734,5551.4,1.15,2.1296296296296
"10",2002-12-31,66.4,1.14,0.38,0.2926550850783,NA,3596.7,111.9,0,0,0,NA,164.5,0.6617,16.518101933216,101.9,0,0,519.2,332.9526,621.1,0.35872,NA,5519.8,NA,NA,10.631355932203,8.8871357269361,1.2205736019282,0.115,0.06,322.9526,5519.8,0.23780131787472,5.01,14.011976047904,NA,0.042,0.29764453961456,0.241,0.865,0.39597408735786,2803.3,4699.4,0.17457547772056,0.14862857349904,284.5,0.062910465913363,709.2,0.15682285562656,0,2.3699631852337,1.4363566898449,0.11480883621166,1.0391614886231,10,0.030034307348323,4522.3,0.11877165340848,0.14347672600736,718,70.2,820.4,382977,4837.9,292.2,16.082819986311,4837.9,1.1,1.969036492705
