"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,18.7,1.29,0.2981,0.3831,511,1146.5,7.8,40.2,0.015,0.047,0.0351,14.65,0.8,24.78,19.7,0,0,149,101.08,168,0.3202,0.3198,2643.5,3.35,2.67,17.78,15.7,3.09,0.16,0.115,98.33,2683.7,0.0545,7.04,18.21,0.15,0.135,0.1887,0.084,0.8956,0.6215,788.1,2366.4,0.1341,0.1182,95.5,0.1116,93.3,0.109,0,4.63,1.55,0.1737,2.76,2.75,0.0272,855.9,0.1283,0.1869,195.4,128.21,317.3,60265,990.3,117.5,20.14,990.3,1.2,3.24
"2",2010-12-31,18.5,1.82,0.4874,0.33495069650963,424.9,873.2,3.2,7.7,0.0037981551817689,0.010707829230983,0.0088181401740724,10.7818,0.61551087402544,24.873799725652,17,0,0,122.8,78.3292,139.8,0.36214,0.36164623467601,2019.6,3.1996197718631,2.4647302904564,16.446254071661,14.446351931331,2.8085106382979,0.105,0.065,81.3474,2027.3,0.050045808520385,5.19,18.119460500963,0.195,0.1178,0.19958381785911,0.0919,0.9131,0.64040311497939,631.2,1813.3,0.11801687531021,0.10555911803877,72.9,0.10137672090113,77.3,0.10749548046169,0,4.2675923746764,2.3689333072049,0.17076901682659,2.5216242525379,-3.0182,-0.038532284275014,719.1,0.12409570342205,0.17156978112497,163.9,94.04,214,108116,819.4,81.9,22.140415140415,819.4,1.2,3.173110032869
"3",2009-12-31,18.6,1.85,0.5572,0.44573831473395,342.7,816.3,5.7,8.4,0.0045006429489927,0.012991030003093,0.010290334435869,1.9187,0.56083991385499,25.993464052288,15.9,0,0,111.4,68.3149,127.3,0.38676,0.38615847542628,1858,3.0464010493524,2.796508127634,16.678635547576,14.595443833464,2.8734921125889,0.09,0.065,76.5962,1866.4,0.057944383192454,4.02,21,0.26,-0.0914,0.34760607240171,0.105,0.9059,0.67144432194046,609.9,1590.8,0.17324616545134,0.14766395199314,61.2,0.094648932879678,69.7,0.10779461800186,0,4.6419608987453,2.8881626724764,0.17228580266007,2.4602536343953,-8.2813,-0.12122174570385,646.6,0.11201006066568,0.17858185001459,139.2,84.42,275.6,128723,664.4,69.8,22.790830945559,664.4,1.25,3.0185993854116
"4",2008-12-31,17,1.65,0.5515,0.50724011238383,228,654.5,4.3,6.1,0.0054688900842747,0.0093572633839546,0.0093200916730329,-0.7145,0.36264732547598,13.782472613459,12.4,0,0,119.6,73.3292,132,0.38688,NA,1109.3,2.4294787560228,1.7195783599442,9.2750836120401,8.4037878787879,1.7016413560362,0.1,0.075,82.1437,1115.4,0.068449197860963,3.61,13.578947368421,0.405,0.2936,0.47184917355372,0.115,0.852,0.59923605805959,456.6,880.7,0.26649256273419,0.21041778734086,63.9,0.098021168890934,68.5,0.105077465869,0,3.8627192982456,1.3782472613459,0.18346372142967,1.3509740757785,-8.8145,-0.12020494615715,651.9,0.1605982303986,0.28026315789474,128.5,49.02,234.7,196430,645.1,60.6,14.53300330033,645.1,1.25,2.4106332396801
"5",2007-12-31,16.9,1.27,0.4108,0.34467932640631,182.9,411.1,3.3,7.5,0.012962322848254,0.014985014985015,0.018243736317198,-18.1734,0.50632911392405,9.171102661597,6.4,0,0,92.9,55.4873,99.3,0.40272,NA,571.1,2.1027245949926,0.88337200309358,6.1474703982777,5.7512588116818,1.1410589410589,0.175,0.13,76.7607,578.6,0.08951593286305,4.54,6.0066079295154,0.535,0.17,0.55531474731553,0.111,0.923,0.39479445390416,271.6,482.4,0.19941956882255,0.16626339440028,52.6,0.10509490509491,62.3,0.12447552447552,0,2.6375068343357,0.52406300923411,0.18561438561439,0.96383616383616,-21.2734,-0.38339263169617,500.5,0.20429790868925,0.28758884636413,99.4,27.27,96.2,238936,646.5,61.9,7.7932148626817,646.5,1.3,2.0730920816911
"6",2006-12-31,15.9,0.96,0.3771,0.45147219193021,100.6,285,2.3,3.5,0.0026150627615063,0.0086827090052096,0.012280701754386,-3.0947,0.50914876690533,29.61320754717,4.9,0,0,76.9,46.6821,81.8,0.39295,NA,1334.9,7.420233463035,2.9454986760812,17.358907672302,16.319070904645,3.3115852145869,0.185,NA,52.3769,1338.4,0.1,3.04,23.115131578947,0.835,0.2638,0.22897962370208,NA,0.8631,0.47929824561404,179.9,1255.6,0.065944568333864,0.061864913329349,42.4,0.10518481766311,24.9,0.061771272637063,0,12.481113320079,1.6007139214686,0.19077152071446,3.1148598362689,-5.6947,-0.12198969775525,403.1,0.25948941078377,0.42147117296223,80,70.27,82.8,342712,453.2,48.4,25.942148760331,453.2,1.2,7.2977099236641
"7",2005-12-31,7.9,2.23,0.3826,0.71487360376249,48.5,263.9,1.4,3.9,0.0040824871768031,0.012314493211241,0.014778325123153,-3.5973,0.35546262415055,25.891304347826,3.6,0,0,57.9,36.2489,61.5,0.37394,NA,951.4,5.7244283995186,2.4918805657412,16.431778929188,15.469918699187,3.0041048310704,0.17,NA,42.0461,955.3,0.095869647593785,4.99,20.975951903808,NA,0.1164,0.19374861449789,NA,0.7367,0.50890488821523,166.2,833.7,0.14585582343769,0.12728985658955,32.2,0.10167350805178,17.5,0.055257341332491,0,17.18969072165,1.5230179028133,0.1828228607515,2.6324597410799,-5.7973,-0.15992918623473,316.7,0.21810393501805,0.6639175257732,63.7,104.67,121.6,37159,381.8,38.6,21.598445595855,381.8,0.85,5.6161081716637
"8",2004-12-31,7.5,1.33,0.4741,0.9449961802903,NA,209.7,1.2,3.8,0.0047181524708219,0.01246719160105,0.018121125417263,2.1878,0.56106306686353,29.510822510822,3.6,0,0,49.0205,34.2173,52.6205,0.30198,NA,801.6,6.3068450039339,2.6299212598425,16.352339051552,15.233603779211,2.9568424935448,0.16,NA,34.4295,805.4,0.10968049594659,3.94,21.954314720812,0.605,0.4057,0.33824310986258,NA,0.7448,0.48211731044349,127.1,681.7,0.18145811940736,0.15358827911597,23.1,0.085208410180745,17.6,0.064920693471044,0,94.680555555556,1.8444264069264,0.18082076724456,2.5145702692733,-0.2122,-0.0062007420927209,271.1,0.26921554988356,3.2083333333333,53.6,86.5,123.7,58942,304.8,0,NA,304.8,0.8,6.1527883880825
"9",2003-12-31,9.2,0.75,0.4388,0.47639123102867,NA,194.6,1,3.7,0.0074237560192616,0.01412213740458,NA,1.6159,0.34184138559708,23.631016042781,4,0,0,39.0058,25.3054,43.0058,0.35124,NA,494.7,4.3054830287206,1.8881679389313,12.682735738139,11.503104931477,2.1015293118097,NA,NA,26.6895,498.4,0.12795477903392,NA,NA,0.325,0.007,0.31578404046661,NA,0.5527,0.51952723535457,114.9,441.9,0.12785698121747,0.11336276083467,18.7,0.079439252336449,14.3,0.060747663551402,0,7.1159420289855,NA,0.1657,1.8772302463891,-1.3841,-0.054696337763533,235.4,0.22023837974587,0.30112721417069,50.8,51.25,56.5,39511,262,30.1,14.681063122924,262,0.6,4.2023608768971
"10",2002-12-31,9,0.35,0.4947,0.66365007541478,NA,208,1.1,8.4,0.017792840499894,0.036665211697949,NA,-10.2,0.1579,33.69298245614,6.3,0,0,29.7,19.2334,36,0.35241,NA,463.7,NA,NA,15.612794612795,12.880555555556,2.0240069838499,0.1875,NA,24.4334,472.1,0.13221153846154,1.82,23.016483516484,NA,1.2425,0.63407661520869,NA,0.2574,0.48605769230769,124.2,384.1,0.22910700338453,0.18640118618937,11.4,0.049759930161502,19.9,0.086861632474902,0,8.6121076233184,1.7969590643275,0.12963771278917,1.6765604539502,-5.2,-0.27036269103009,229.1,0.15485847826087,0.25560538116592,48.8,41.89,88,63951,232.1,16.2,23.70987654321,232.1,0.55,3.7334943639291
