"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-11-30,133,0.46,0.1115,0.4362,1618.5,4087.8,96.7,53.9,0.0056,0.0146,0.0132,30.31,0.8,22.35,98.3,0.0216,180.88,540,383.51,639,0.2902,0.2385,9561.2,3.39,2.4,17.7,14.97,2.59,0.09,0.065,354.8,9615.1,0.128,3.37,18.85,0.1,0.055,0.1419,0.107,0.7687,0.5001,2816.7,8363,0.1497,0.1302,374.2,0.1012,398.1,0.1077,0.4626,5.17,2.48,0.1461,2.26,28.71,0.0749,3697.6,0.1362,0.2312,982.2,63.53,1252.1,399099,3979.1,391,21.39,3979.1,0.6,3.35
"2",2010-11-30,133.1,0.26,0.1193,0.37571489543321,1462.7,3419.7,89,50.8,0.0067740558992959,0.015224166866459,0.014855104248911,15.8741,0.8,18.576761156329,95.1,0.0248,164.1487,509.8,364.4713,604.9,0.28507,0.22995461422088,7448.4,3.2494546723672,2.0884925975774,14.610435464888,12.313440238056,2.2321985135459,0.145,0.08,354.6972,7499.2,0.14270257624938,3.04,16.58552631579,0.095,0.0351,0.083491862185584,0.095,0.772,0.48246922244641,2292.2,6618.9,0.13299793016967,0.11738585449115,356.3,0.10677894989211,230.7,0.069138096379765,0.46070367667696,4.5251247692623,1.2811559418158,0.15278110764805,1.9836070486694,9.7741,0.026817218676348,3336.8,0.15900502312189,0.24359062008614,907.9,50.42,880.3,659681,3566.4,376,17.603457446808,3566.4,0.6,3.2006828851899
"3",2009-11-30,131.8,0.45,0.1847,0.42615126628542,1334.6,3387.8,82.4,39.5,0.0054622894598556,0.012374299050782,0.011659484030934,6.4466,0.74445046020574,20.162520193861,94.3,0.0222,138.5347,480.6,334.637,574.9,0.30371,0.3037120359955,7191.9,3.1457877700988,2.1913162705667,14.964419475655,12.509827796139,2.253030920084,0.085,0.04,340.0904,7231.4,0.14457760198359,2.68,17.361940298507,0.09,-0.0081,0.14934518803316,0.192,0.7865,0.50681858433201,2286.2,6240.3,0.15882249250837,0.13705506540919,309.5,0.096958115347264,228.9,0.071708279815795,0.44760794830372,4.6757830061442,2.3720611992778,0.15055919300774,1.9549199586479,-5.4534,-0.016296542427377,3192.1,0.14637257195346,0.23190469054398,846.6,46.53,991.1,682840,3282,337.1,18.511717591219,3282,0.55,3.1093434234854
"4",2008-11-30,130.1,0.39,0.1964,0.54007409021573,1055.3,3220.3,85.8,38.9,0.0065419932057449,0.01224579739344,0.012079619911188,-0.1727,0.44806517311609,16.679659815734,85.6,0.0289,136.0323,417.6,311.0243,503.2,0.25521,NA,5907.3,2.6189483951055,1.8609185987903,14.145833333333,11.739467408585,1.8596297928603,0.085,0.04,310.997,5946.2,0.14318541750769,2.41,14.991701244813,0.09,0.0701,0.134401972873,0.192,0.7189,0.49840077011459,2255.6,4707,0.26326747397493,0.20840200464162,282.2,0.088837121450608,249.3,0.078480135994459,0.4820421686747,4.4603430304179,1.9623129194981,0.13146131083548,1.4817729648051,0.0273,8.7914997190079e-05,3176.6,0.13788983153041,0.26741211030039,870.6,36.13,1239.2,790062,3174.4,296.5,15.87521079258,3174.4,0.55,2.5915014164306
"5",2007-11-30,127.8,0.67,0.1953,0.39990045348966,1085.1,2787.5,78.5,45.9,0.0095838640302341,0.015739661202935,0.016466367713004,-16.517,0.49155145929339,15.92714453584,82.6,0.027658255865427,112.464,384.9,295.0182,467.5,0.23352,NA,4743.4,2.6915962094989,1.5155600996869,12.323720446869,10.146310160428,1.6265688224402,0.1,0.065,315.6351,4789.3,0.17492376681614,2.25,14.16,0.095,0.0929,0.1970969119112,0.238,0.7707,0.38995515695067,1762.3,4066.2,0.17783188234715,0.15098239826279,255.3,0.087545435841163,225.5,0.077326657979562,0.44051703877791,3.7473043959082,1.592714453584,0.13198683217886,1.3943488100953,-20.617,-0.06988374784625,2916.2,0.16740518186461,0.23527785457562,806.9,31.86,723.1,581451,3129.8,265.4,15.321024868124,3129.8,0.6,2.6486561221104
"6",2006-11-30,130.1,0.54,0.1538,0.41090702518462,933.3,2568,84.8,49,0.0089087669539289,0.018038580474157,0.019080996884735,-7.9816,0.72821846553966,20.910737386805,86.8,0.023609667574033,114.488,342,271.7258,428.8,0.20548,NA,5451.2,3.550576434573,1.906213938525,15.93918128655,12.712686567164,2.0067736710352,0.075,0.05,281.7075,5500.2,0.18282710280374,1.98,18.510101010101,0.105,0.0681,0.079326270035316,0.175,0.7543,0.38839563862928,1535.3,4849.2,0.13424894828013,0.11835933238791,231.9,0.085370343101163,151.3,0.055698718892652,0.49369555843036,5.1957569913211,2.7880983182406,0.12590192902371,1.7851568252098,-9.9816,-0.036734181840479,2716.4,0.17698550120498,0.24847315975571,772.6,36.65,651,786900,2859.7,244.6,19.825020441537,2859.7,0.7,3.4716909676198
"7",2005-11-30,132.6,0.66,0.1501,0.41608876560333,799.9,2272.7,73.8,30.3,0.0053254125876584,0.011689814814815,0.01333215998592,-3.947,0.53297801465689,23.04095409541,74.6,0.020719964060394,106.08,354.7,238.4329,429.3,0.32779,NA,5659.4,4.2246939384891,2.1357838327421,15.95545531435,13.182855811787,2.1834104938272,0.065,0.05,243.1799,5689.7,0.20667048004576,1.77,21.785310734463,0.12,0.0507,0.13917894435703,0.175,0.7183,0.36177234126809,1339.6,5119.7,0.11133464851456,0.10018102887674,222.2,0.085725308641975,177,0.068287037037037,0.47740774077408,6.4004250531316,3.5447621685245,0.13684413580247,1.9751929012346,-4.747,-0.019909127471752,2592,0.17798812108092,0.27778472309039,681.9,38.56,570,245500,2649.8,188,27.232446808511,2649.8,0.5,4.1533688590408
"8",2004-11-30,135.8,0.41,0.1563,0.41769749329145,NA,2369.6,69.8,70.3,0.014883031650259,0.027048864948057,0.029667454422687,5.5965,0.52463211772233,19.152836380685,72,0.020711974110032,86.912,330.171,230.7697,402.171,0.30106,NA,4653.2,3.1923710208562,1.7903809157368,14.093301459752,11.570201573937,1.8419760905708,0.08,0.06,227.3733,4723.5,0.20535111411209,1.68,18.392857142857,0.135,0.1257,0.14965486855632,0.161,0.7547,0.34946826468602,1457.6,4085.3,0.15621863755416,0.13511167566423,213.3,0.084435119942997,194.2,0.076874356741351,0.40746366619784,4.5917725075868,2.3941045475856,0.13069869369013,1.6171720370517,3.3965,0.01471793083528,2526.2,0.15832172523161,0.23974373384287,677.7,30.9,638.2,522800,2599,212.4,19.233992467043,2599,0.5,3.0914981346947
"9",2003-11-30,137.3,0.38,0.1632,0.45068373581612,NA,2148.2,91.6,25.1,0.0042232429794895,0.010117703966462,NA,18.1738,0.4656862745098,26.725401606426,65.3,0.014630425013847,76.888,366.3134,253.1629,431.6134,0.30889,NA,5918.2,4.3848262576869,2.3856014188971,16.156109369069,13.711806564689,2.6075960521678,0.1,0.045,208.689,5943.3,0.21334140210409,1.66,23.058072289157,0.15,-0.0021,0.15309446254072,0.185,0.7217,0.33372125500419,1349.7,5323.7,0.11638522080508,0.1042518466172,199.2,0.087768769827282,195.3,0.086050405357772,0.38598393574297,7.0493908898305,2.6725401606426,0.1614,2.3456556221361,44.4738,0.17567285276902,2269.6,0.18756974254901,0.26377118644068,597.6,38.2764,619.6,85800,2480.8,214.4,24.830690298507,2480.8,0.45,4.3230288041897
"10",2002-11-30,140.1,0.02,0.1681,0.49953527672159,NA,1930.8,110.7,47.3,0.010071973084622,0.020387931034483,NA,12.9,0.0275,22.830923248053,66.8,0.016381973203411,67.248,285.7,195.2931,352.5,0.31644,NA,4648.9,NA,NA,16.27196359818,13.188368794326,2.0038362068965,0.105,0.04,151.3931,4696.2,0.24254195152269,1.51,19.576158940397,NA,-0.032,0.16371340523883,0.152,0.7505,0.26206753677232,1136.2,4105,0.14401948842875,0.12588901665176,179.8,0.0775,141.2,0.060862068965517,0.37401557285873,6.9306094884349,2.1743736426718,0.12314655172414,1.7693965517241,43.9,0.22479033718202,2320,0.17188267206478,0.30356238392706,570.9,29.56,591.2,375442,2268.6,NA,NA,2268.6,0.45,4.0916211934519
