"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,38.2,0.9,0.2952,0.1878,855.7,1347.6,18.8,514.2,0.3249,0.2127,0.3816,-33.87,0.76,17.44,36,0.0138,19.1,130,87.27,166,0.3297,0.3367,1068.4,1.98,0.49,8.21,6.43,0.44,0.195,0.155,138.34,1582.6,0.1512,3.18,15.73,-0.12,0.005,0.1505,0.029,0.8967,0.0759,539.3,1384.8,0.1428,0.125,79.4,0.0328,340.6,0.1409,0.262,1.62,0.89,0.0539,0.57,-51.07,-0.5851,2417.8,0.1618,0.0928,136,50.03,197.8,135606,2177.4,72.9,19,2177.4,1.1,1.5
"2",2010-12-31,37.9,0.99,0.3401,0.1942997241802,788.7,1259,18.7,394.1,0.23473703019834,0.1913292552675,0.31302621127879,67.8376,0.8,23.66772655008,40.4,0.0103,15.3336,113.4,73.5263,153.8,0.35162,0.36528758829465,1284.8,2.1969904240766,0.52370276770065,11.329805996473,8.3537061118335,0.62374987862899,0.15,0.06,27.3887,1678.9,0.18228752978554,2.53,15.185770750988,-0.03,0.3241,0.21116751269035,0.034,0.9988,0.081254964257347,584.8,1488.7,0.12776247732921,0.1132884626839,62.9,0.030536945334499,355.1,0.17239537819206,0.24377758346582,1.88753645239,1.577848436672,0.055053888727061,0.72274007185164,46.1376,0.6274977299083,2059.8,0.12572895348837,0.079751489793331,131.2,38.42,190.2,320351,2453.3,90.4,16.467920353982,2453.3,1.1,1.7150883644907
"3",2009-12-31,37.7,0.98,0.3455,0.20375125600089,713.2,1180.1,13.9,346,0.23848910945685,0.22362978283351,0.29319549190747,82.2137,0.8,38.90490797546,41.6,0.0119,15.0928,61.9,38.9326,103.5,0.37104,0.38374291115312,1104.8,2.0098235401128,0.56198178951116,17.848142164782,10.674396135266,0.71406411582213,0.075,0.025,-15.5811,1450.8,0.21218540801627,1.82,17.967032967033,0.055,-0.4034,0.21209938782859,0.031,0.944,0.086687568850097,549.7,1268.3,0.143893400615,0.12579266611525,32.6,0.021070320579111,303.8,0.19635470527404,0.46296840490797,1.7783230510376,5.1873210633947,0.040007755946225,0.81973888314374,54.5137,1.4002065490947,1547.2,0.070825221029652,0.045709478407179,116.7,32.7,182.5,146565,1965.9,56.9,22.289982425308,1965.9,1.15,1.6197387518142
"4",2008-12-31,37.1,0.92,0.3218,0.20699411498416,700.7,1182.9,22.3,278.9,0.24598694655142,0.10901344590369,0.23577648152845,-117.7012,0.57178371659416,11.768564356436,44.3,0.0158,15.0242,144.1,97.7401,188.4,0.32172,NA,854.9,1.4137588887051,0.55169075890552,5.9326856349757,4.5376857749469,0.33415415884928,-0.02,-0.015,237.4414,1133.8,0.23408572153183,1.36,18.264705882353,0.17,-0.0533,0.26828153564899,0.027,0.9092,0.10922309578155,604.7,950.9,0.19234409506783,0.16131592873523,80.8,0.031582238899312,298.5,0.11667448405253,0.18594331683168,1.3570714999286,NA,0.056324265165729,0.37167761100688,-139.7012,-1.4293125432161,2558.4,0.1616341127832,0.1153132581704,136.9,24.84,182.9,198600,1549.6,29.9,31.802675585284,1549.6,1.15,1.2831598008148
"5",2007-12-31,37.1,0.83,0.301,0.3328012019908,710.5,1449.2,29.9,308.6,0.26261594757893,0.11438950255764,0.2129450731438,-6.4355,0.66445182724253,7.1056277056277,44.2,0.018082125015231,14.84,185.4,116.8094,229.6,0.36996,NA,866.5,1.1457093745868,0.31568784610901,4.6736785329018,3.7739547038328,0.32118763436874,0.04,0.045,137.545,1175.1,0.21280706596743,2.3,10.904347826087,NA,NA,0.40137352155666,0.04,0.9536,0.10578250069004,756.3,820.7,0.43182648958206,0.30159135392733,115.5,0.042812662169175,369.4,0.13692638446141,0.12848484848485,1.1551020408163,1.7764069264069,0.06872266291052,0.30421083846097,-20.7355,-0.17751599810829,2697.8,0.1544485204284,0.16256157635468,143.3,25.08,354.4,211581,2744.8,102,8.0460784313725,2744.8,1.25,1.1034838952014
"6",2006-12-31,37,1.68,0.2505,0.36891747052519,588.8,1268.9,41.2,200.5,0.13904299583911,0.079851845951651,0.15801087556151,-15.5196,0.8,7.3727333781061,41.6,0.013481508471488,14.8,218.9,160.0728,260.5,0.26874,NA,1241.5,1.6948805460751,0.47380070984238,5.6715395157606,4.7658349328215,0.49444422318691,0.055,0.08,175.9925,1442,0.2483253211443,3.17,8.3722397476341,0.055,0.4365,0.17839310031775,0.04,0.9631,0.12270470486248,732.5,1097.8,0.31353616323556,0.23869625520111,148.9,0.059301445696762,356.2,0.14186148393007,0.099395567494963,1.8644701086957,1.3404969778375,0.087179895654944,0.43721374805847,-15.9196,-0.09945253003392,2510.9,0.21852943890785,0.25288722826087,141,26.54,344.2,222850,2620.3,91.7,11.971646673937,2620.3,1.5,1.545551982851
"7",2005-12-31,36.6,1.16,0.3375,0.42781761601948,422.9,1104.6,18.4,129.7,0.087234328759752,0.074975432105902,0.11741806988955,-97.8635,0.75851851851852,13.12331838565,40.7,0.012506406970784,14.64,131.8,94.6733,172.5,0.28169,NA,1357.1,2.2269445356088,0.55385054891238,10.296661608498,7.8672463768116,0.78449621365397,0.19,0.145,214.8367,1486.8,0.27792866195908,4.25,7.4588235294118,-0.045,0.2457,0.21848127095176,0.062,0.9439,0.13778743436538,609.4,1170.6,0.27011788826243,0.21267150928168,89.2,0.051563674200821,235,0.13584600265911,0.16412556053812,2.7680302672027,0.6907009676658,0.076189375108388,0.67668651367131,-120.1635,-1.2692439539328,1729.9,0.15535487036429,0.2109245684559,127.4,31.7,316.2,241300,2450.3,169.2,6.9184397163121,2450.3,1.6,2.0116357732377
"8",2004-12-31,36.4,0.97,0.3449,0.47318753744757,NA,963.7,20,47.4,0.035524244922431,0.032365995220212,0.049185431150773,14.3912,0.56248187880545,12.826196473552,40.6,0.014603870025557,14.56,116.4795,80.188,157.0795,0.31157,NA,1286.9,2.0749758142535,0.87872994195971,11.048297000614,8.1926672922098,0.9331448045827,0.11,0.08,86.3967,1334.3,0.34824115388606,2.36,11.60593220339,-0.055,0.3001,0.14575678040245,0.06,0.8609,0.14174535643873,620.2,1018.4,0.31019245875884,0.23675335381848,79.4,0.05757378000145,232.4,0.16851569864404,0.18337531486146,2.8956497014501,1.166017861232,0.084460510477848,0.73845261402364,-6.2088,-0.077427560834604,1379.1,0.12929373637649,0.22576059141314,106.4,27.39,315.9,74000,1464.5,79.4,12.826196473552,1464.5,0,1.9986518873577
"9",2003-12-31,34.3,0.97,0.3505,0.017127005186347,NA,1055.2,27.2,255.1,0.21827671772054,0.19368309164073,NA,65.0896,0.55349500713267,33.080229226361,39,0.012480499219969,13.72,88.3204,59.9625,127.3204,0.32108,NA,913.6,1.591637630662,0.69364512945107,10.344151365188,7.1755956859716,0.91442298068261,0.13,0.08,6.6729,1168.7,0.32742608036391,2.25,14.244444444444,-0.04,0.0478,0.26770538243626,0.0819,0.7989,0.09931766489765,574,1154.5,0.012299696838458,0.012150252417216,34.9,0.034931438294465,204.5,0.20468421579422,0.39312320916905,1.416738250092,2.5446330174124,0.0884,1.1555399859874,53.2896,0.88871492947016,999.1,0.10446430857979,0.04282734077801,94.9,32.05,14.2,112700,1317.1,34.9,33.080229226361,1317.1,0,1.4096007719214
"10",2002-12-31,34.3,0.82,0.2855,0.023584294414928,NA,987.9,23.3,217.6,0.17962687799241,0.22833158447009,NA,16.8,0.6287,20.396581196581,37.4,0,0,85.8,56.7138,123.2,0.339,NA,993.8,NA,NA,11.582750582751,8.0665584415584,1.0428121720881,0.075,0.035,70.8138,1211.4,0.35681749164895,1.38,24.652173913044,NA,-0.1089,0.204635876146,0.07,0.7206,0.1068934102642,554.1,1193.2,0.015253100905129,0.01502393924385,58.5,0.061385099685205,180.6,0.18950682056663,0,1.5835434638354,2.7195441595442,0.0900314795383,1.2520461699895,-14.1,-0.24861673878315,953,0.10235300487277,0.077637690776377,85,34.02,18.2,117042,923.6,NA,NA,923.6,1,1.7935390723696
"11",2001-12-31,NA,0.82,0.3224,0.0704,NA,916.1,49.1,121.9,0.12514115593882,0.1166730474732,NA,-5.7034,0.445,13.777611940299,42.1,0,0,151.1493,93.7126,193.2493,0.38,NA,852.2,NA,NA,5.6381339510008,4.4098477976376,0.8156584992343,0.065,NA,92.416,974.1,0.42298875668595,1.81,14.558011049724,0.145,-0.1366,0.21247498332222,0.116,0.706,0.10773932976749,602.044,923.1,0.05524861878453,0.052356020942408,67,0.064127105666156,184.559,0.17664529096478,0,1.3718234507356,2.1196326061998,0.089694263016845,0.88351837672282,1.2966,0.013835924629361,NA,0.15565733733747,0.099569029573488,87.7,26.35,51,28000,1044.8,73,12.645205479452,1012.5,1.15,1.6179880540293
"12",2000-12-31,NA,1.25,0.4394,0.12912187462254,NA,910.3,63.5,100.3,0.08177074841024,0.083153705853092,NA,14.3865,0.85343650432408,12.078748651564,37.5,0,0,186.11666,117.4247,223.6167,0.36908,NA,1126.3,NA,NA,6.0515807666009,5.0367445788699,0.93375891228652,0.1,NA,75.9268,1226.6,0.41733494452378,NA,13.510204081633,NA,0.0803,0.17803660565724,0.122,0.6231,NA,620.7,1119.7,0.095472001428954,0.087151475623675,92.7,0.076852926546178,193,0.16000663239927,0,1.8233186777398,120.78748651564,0.097350956,0.92828718288841,41.4979,0.35340002424402,NA,0.18918112313066,0.15095261358085,94.6867,33.1,106.9,NA,1206.2,72.3,15.486860304288,1095.2,NA,1.7012482662968
"13",1999-12-31,NA,1.3,0.4785,0.20839705269011,NA,904.1,40.1,149.5,0.14737776025237,0.12187168826934,NA,NA,0.40752351097179,8.705941591138,37,0,0,184.9,125.9816,162.9816,0.31865,NA,864.9,NA,NA,4.677663601947,5.3067335232873,0.7050623624358,0.115,NA,114.4846,1014.4,0.38469195885411,NA,NA,NA,0.2896,0.30598126862495,0.121,0.4922,NA,569.8,864.5,0.17339502602661,0.14777208201893,NA,0.08274231678487,NA,0.13793103448276,0,1.5182648401826,0.75703839922939,0.15072959973914,0.7047362843401,NA,0.024606765042661,NA,0.22109795542295,0.17825781524412,97.3,NA,NA,NA,NA,101.5,8.5172413793104,1226.7,NA,1.4102599749757
