"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,45.7,1.31,0.2892,0.4293,1409.3,3147.8,155.4,26,0.0048,0.0152,0.0083,65.4,0.8,55.46,173.4,0.0168,73.12,157,124.57,331,0.2086,0.2207,5382.5,2.2,2.75,34.2,16.27,3.14,0.175,0.06,77.16,5408.5,0.5637,2.85,33.08,-0.135,-0.025,0.2024,0.024,NA,0.2131,2443.4,4348.4,0.2438,0.196,78.4,0.0457,465.3,0.2715,0.7705,3.09,3.17,0.0918,2.54,47.4,0.3806,1713.8,0.051,0.0556,124.1,94.28,1060.1,325936,1954.7,94.9,45.82,1954.7,1.15,2.19
"2",2010-12-31,45.5,1,0.2757,0.42014482141404,1425.4,3074.7,135.9,70.3,0.015635425470397,0.03943014190364,0.022864019253911,8.1015,0.8,35.778925619835,181.5,0.0211,73.0777,188.6,145.4483,370.1,0.2288,0.24197337509789,4425.9,1.8534695757779,2.4421453401755,23.467126193001,11.95865982167,2.48241628807,0.14,0.025,182.9468,4496.2,0.54893160308323,2.3,32.786956521739,-0.015,0.0432,0.22289937759336,0.02,NA,0.20948385208313,2387.9,3463.4,0.29820407691863,0.2297050842934,96.8,0.054293566661058,491.3,0.27556228616299,0.75493533057851,2.4297740984987,2.5556375442739,0.10578271355657,1.9425654832015,-37.4985,-0.25781300730602,1782.9,0.060910557393526,0.067910761891399,133.4,75.41,1032.8,467292,1812.3,82.2,42.133819951338,1812.3,1.2,1.8290619152225
"3",2009-12-31,45.3,0.96,0.3181,0.47825422303753,1365.2,3239.3,139.2,263.6,0.047756218635071,0.15482203688477,0.081375605840768,7.0718,0.8,50.097417840376,179.4,0.0171,72.9879,198,150.975,377.4,0.2375,0.26105810928014,5256.1,2.2337866553336,3.039086441168,26.54595959596,13.927133015368,3.087102079173,0.105,0.035,184.1032,5519.7,0.52261291019665,2.43,37.958847736626,0.125,-0.2664,0.16778211022522,0.02,NA,0.19655481122465,2353,4268.3,0.2931846402549,0.22671522003007,85.2,0.050041113590979,447.6,0.26289204745683,0.85666584507042,3.1265016114855,4.7711826514643,0.11629272876777,2.506930576765,-33.1282,-0.21942840816964,1702.6,0.064162770930727,0.062408438324055,139.8,92.24,1251.4,448314,1729.5,78.8,54.166243654822,1729.5,1.25,2.1094932354964
"4",2008-12-31,41.4,0.97,0.315,0.57094864149834,1021.7,3032.5,258.2,37.8,0.0068217501940048,0.01782934767228,0.012464962901896,-73.1415,0.66031746031746,24.381924198251,171.1,0.0171,71.5037,318.4,224.4083,489.5,0.2952,NA,5503.3,2.3483251546832,3.0558609584097,17.284233668342,11.242696629213,2.5957737842555,0.05,0.015,210.4499,5541.1,0.55746084089035,2.56,34.92578125,0.195,-0.043,0.22137316197754,0.02,NA,0.20979389942292,2343.5,4181.5,0.32514647853641,0.24536644348595,171.5,0.080892410735343,485.8,0.2291401348993,0.41693090379009,4.0926886561613,4.8763848396502,0.15018159520777,1.9723126267629,13.9585,0.06220120956364,2120.1,0.095757764028163,0.1678574924146,151.9,89.41,1359.6,593309,1800.9,116.1,36.016365202412,1800.9,1.3,2.3269222693487
"5",2007-12-31,41.3,1.27,0.3272,0.54446959117831,946,2683.8,264.9,20,0.0039413526722371,0.0090616646277921,0.0074521201281765,3.3205,0.75794621026895,15.023619047619,150.3,0.016755838425844,66.08,414.9,287.6917,565.2,0.3066,NA,5054.4,2.457529051393,2.3101604278075,12.182212581345,8.9426751592357,2.2900638847356,0.07,0.07,169.7712,5074.4,0.53416797078769,4.22,23.004739336493,0.185,0.0925,0.3993544751268,0.017,NA,0.21763916834339,2056.7,3943.7,0.28671044957781,0.22282437332492,262.5,0.11893434823977,381.7,0.17294186942141,0.25173333333333,4.1688160676533,2.146231292517,0.18798423270355,1.7868243396312,117.9205,0.40988495771094,2207.1,0.13988022560412,0.27748414376321,156.1,97.08,1130.7,415273,2187.9,207.7,18.987481945113,2187.9,1.55,2.4434920787788
"6",2006-12-31,45.1,1.14,0.2505,0.36267534051637,1254,2506.4,266,32.3,0.0051820952992139,0.014639231327049,0.012887009256304,-0.6018,0.8,22.940149625935,141.4,0.011276225676704,62.238,368.5,257.8579,509.9,0.30025,NA,6200.7,3.2039993799411,2.8058735689398,16.826865671642,12.160619729359,2.8103245105149,0.165,0.115,133.8597,6233,0.51687679540377,6.96,17.150862068965,0.1,0.1184,0.26504681230495,0.016,NA,0.23200606447494,1935.3,5519.4,0.12928941551618,0.11448740574362,240.6,0.10904641044235,379.4,0.17195431472081,0.2586783042394,4.4014354066986,1.3903120985415,0.16701414068165,2.5015409717186,123.9982,0.4808779250914,2206.4,0.13323922647652,0.19186602870813,147.4,119.37,713.6,1254750,2209.9,268,20.594776119403,2209.9,1.35,3.1678186623297
"7",2005-12-31,45.8,1.65,0.2354,0.37935593041087,1173.7,2433.3,221.4,101.7,0.018699321529042,0.050743438778565,0.041795093083467,-27.1285,0.8,25.11329787234,138.3,0.010670789824836,50.38,293.1,211.4892,431.4,0.27844,NA,5337,2.9825639879289,2.4476037606054,18.2088024565,12.371349095967,2.6629078934238,0.195,0.125,155.5177,5438.7,0.47934903217852,6.17,16.841166936791,0.025,0.1737,0.21114307020347,0.025,0.9577,0.24164714585131,1789.4,4721.3,0.15194967487768,0.1319065217791,188,0.09380301367129,308.4,0.15387685859695,0.26797872340425,4.0225781715941,1.2878614293508,0.14624288993115,2.3557030236503,55.9715,0.2646541776214,2004.2,0.11819002794233,0.16017721734685,130.7,103.91,717.4,217700,2180.5,230.3,20.500651324359,2180.5,1.2,2.8759452170694
"8",2004-12-31,47.2,1.01,0.2563,0.38570515551768,NA,2355.9,163.4,161.6,0.037478547242451,0.08291006105382,0.068593743367715,29.0022,0.78813889972688,28.405384006334,132.9,0.011993221222787,43.424,213.5652,147.5052,346.4652,0.30932,NA,4150.2,2.4185314685315,2.1292904417423,19.432937682181,11.978690849333,2.3586042282337,0.18,0.105,88.003,4311.8,0.45214143214907,3.9,19.669230769231,-0.02,0.2099,0.24357218925909,0.033,0.9565,0.24877965957808,1716,3587.6,0.20186196900435,0.16795769748133,126.3,0.071777676744715,269.3,0.15304614685156,0.34381631037213,3.1104560430033,1.5780768892408,0.12137147078882,2.0388724710161,59.5022,0.40339071915828,1759.6,0.085958764547319,0.10950234090515,128.6,76.71,724.2,194200,1949.1,126.3,28.405384006334,1949.1,1,2.2964422667235
"9",2003-12-31,48.7,0.89,0.2614,0.39231927710843,NA,2330.1,120.6,125.1,0.038079873371484,0.080986599339678,NA,8.4587,0.68094873756695,25.279920870425,139.6,0.015020653398423,38.96,317.398,225.7335,456.998,0.2888,NA,3160.1,1.8223285854334,2.0457694050625,9.9562678472662,6.9149091555205,2.1057506496968,0.095,0.055,236.2748,3285.2,0.44736277412987,2.7,19.725925925926,-0.005,0.0051,0.12646840935549,0.029,0.9296,0.25865842667697,1734.1,2555.8,0.28539009312153,0.22202605625228,101.1,0.067368561338042,288.5,0.19224361964417,0.38536102868447,2.2621702956275,2.66104430215,0.2115,1.7030718997801,-10.5413,-0.046697902859214,1500.7,0.13017328479327,0.089484864577801,122,53.26,729.4,74300,1544.7,0,NA,1544.7,1,1.7669965576592
"10",2002-12-31,48.8,0.67,0.2745,0.40761404660322,NA,2258.5,152.7,0,0,0,NA,77.1,0.5354,23.734151329243,138.7,0.015136998104429,35.136,174.7,118.4466,313.4,0.322,NA,3066.4,NA,NA,17.552375500859,9.784301212508,2.0482265713713,0.075,0.045,104.4466,3066.4,0.47270312154085,2.14,22.088785046729,NA,-0.0106,0.29018221376122,0.021,0.9232,0.26982510515829,1828.2,2321.2,0.32104084094434,0.24302113227237,97.8,0.065326297508516,340,0.22710573775967,0.35926380368098,2.1433056325023,3.1645535105658,0.11669227172534,1.5504642308463,14,0.11819672324913,1497.1,0.064788644568428,0.090304709141274,116.2,47.27,745.2,187727,1481.6,94.3,24.615058324496,1481.6,0.95,1.6772781971338
