"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,30.9,0.5,0.2588,0.144,327.5,510.1,28.6,3.3,0.003,0.0048,0.0065,0.28,0.48,19.45,23.6,0.0122,12.98,91,57.58,115,0.37,0.3702,1113.8,2.94,1.6,12.19,9.69,1.62,0.11,0.085,52.3,1117.1,0.4176,1.85,18.86,0.17,0.11,0.2157,1,0.994,0.2897,379.3,1062,0.0519,0.0493,54.6,0.0795,25.3,0.0368,0.275,3.24,1.77,0.1331,1.55,5.28,0.0917,686.6,0.1518,0.1667,185,34.9,55.1,311426,694.2,47.2,22.5,694.2,0.7,2.92
"2",2011-03-31,30.5,0.35,0.2997,0.16408114558473,280.2,451.8,17.5,2.7,0.0021173149309912,0.004240615674572,0.0059760956175299,0.8256,0.62562562562563,26.64192139738,22.8,0.0091,11.1038,79.2,49.104,102,0.38,0.38024357239513,1272.5,3.8270676691729,1.9445293398533,16.066919191919,12.475490196078,1.9985864614418,0.245,NA,53.5784,1275.2,0.444001770695,1.71,22.684210526316,0.13,0.1085,0.18175338560228,NA,0.9652,0.24789729969013,332.5,1220.2,0.045074577938043,0.043130489335006,45.8,0.071933406627925,29.7,0.046646772420292,0.24244148471616,4.3547466095646,1.0874253631584,0.12439139312078,1.9164441652269,-4.4744,-0.091119911375058,636.7,0.14768120300752,0.16345467523198,177,38.79,55,304398,654.4,49.8,24.502008032129,654.4,0.75,3.8042959427208
"3",2010-03-31,20,0.46,0.3227,0.29918650195842,232.6,444.1,21.3,11.2,0.0096137339055794,0.01983705278073,0.025219545147489,1.6249,0.58103501704369,32.099397590361,22.5,0.0091,9.6979,60.4,37.5241,82.9,0.37874,0.37827715355805,1153.8,3.5977549111319,1.8603676233473,19.102649006622,13.917973462002,2.0435706695005,0.218,NA,37.0992,1165,0.45642873226751,2.07,16.710144927536,0.105,0.1535,0.27465362673187,NA,0.9762,0.23485701418599,320.7,1065.7,0.093178192737168,0.085236051502146,33.2,0.058802692171449,16.5,0.029224229543039,0.29210451807229,4.5816852966466,1.4724494307505,0.10697839178179,1.887530995395,0.4249,0.011322513192933,564.6,0.11700687246648,0.14273430782459,169.9,34.59,99.3,168151,620.2,40.3,26.444168734491,620.2,0.75,3.510093401627
"4",2009-03-31,19.4,0.56,0.3491,0.33720136518771,194.2,376.8,23.6,3.3,0.0042707389672577,0.0069313169502205,0.0087579617834395,1.4648,0.36665711830421,27.96265560166,20.4,0.0082,5.526,42.6,26.9232,63,0.368,NA,769.4,2.6558508802209,1.5375699440448,18.06103286385,12.212698412698,1.6160470489393,0.1875,NA,22.2584,772.7,0.49124203821656,1.49,22.442953020134,0.1,0.0246,0.2360347579358,NA,0.9047,0.19055201698514,289.7,673.9,0.14660928921205,0.12786333635305,24.1,0.050619617727368,28.7,0.06028145347616,0.22929377593361,3.4701338825953,1.4913416320885,0.08947700063012,1.4154589371981,4.6648,0.17326466837043,476.1,0.092934760096652,0.12409886714727,148.4,33.44,98.8,265665,500.4,28.2,23.897163120567,500.4,0.8,2.6372013651877
"5",2008-03-31,18.4,0.66,0.2905,0.41538461538462,174.8,370.5,20.6,2.1,0.0038982736216818,0.0047792444242148,0.005668016194332,-1.594,0.44061962134251,18.926940639269,20.4,0.010653799758746,4.416,36.9,24.0647,57.3,0.34784,NA,536.6,1.8073425395756,1.1665217391304,14.542005420054,9.3647469458988,1.2212107419208,0.16,NA,25.4587,538.7,0.49716599190283,1.19,21.428571428571,0.12,0.2051,0.28117359413203,NA,0.8767,0.20674763832659,296.9,414.5,0.29963811821472,0.2305550399109,21.9,0.049840691852526,34,0.077378243058716,0.20164383561644,2.3712814645309,1.1829337899543,0.083978152025489,0.94333181611288,-1.394,-0.057926821248645,439.4,0.081053230043786,0.12528604118993,137.1,25.5,124.2,215171,460,22.7,18.259911894273,460,0.8,1.8016722408027
"6",2007-03-31,21,0.87,0.2388,0.2003717472119,215,340,22.3,1,0.0022177866489244,0.0023969319271333,0.0029411764705882,-0.9562,0.67001675041876,17.80269058296,20.3,0.012695214105794,5.04,40,25.6836,60.3,0.35791,NA,449.9,1.6793579693916,1.0436093713756,11.2475,7.4610281923715,1.0783796740173,0.164,NA,24.6398,450.9,0.54176470588235,1.11,16.657657657658,0.15,0.1022,0.15971606033718,NA,0.9366,0.16588235294118,267.9,397,0.13576826196474,0.11953870037702,22.3,0.053451581975072,28.7,0.068791946308725,0.22600896860986,1.846511627907,1.0855299135951,0.095877277085331,0.95158197507191,1.0438,0.040640406574963,417.2,0.095870100783875,0.10372093023256,126.4,18.49,53.9,193359,431.1,23.8,16.680672268908,431.1,1,1.676831535887
"7",2006-03-31,13.6,0.49,0.2416,0.19524405506884,193,300.9,16,3.8,0.0070097767939495,0.010306482234879,0.01262878032569,-1.1477,0.4635761589404,21.819383259912,17.8,0.0076882697355138,3.808,39.8,24.5096,57.6,0.38418,NA,538.3,2.2809322033898,1.4010931806351,13.525125628141,9.3454861111111,1.4599945755357,0.251,NA,27.4573,542.1,0.54370222665337,1.69,20.769230769231,0.19,0.0714,0.15860099928622,NA,0.7822,0.1621801262878,236,495.3,0.094488188976378,0.086330935251799,22.7,0.061567670192569,27.3,0.074043938161107,0.16775330396476,2.5663212435233,0.8692981378451,0.10794684024953,1.3433685923515,-2.9477,-0.12026621046095,368.7,0.10385438983051,0.11761658031088,108,35.1,46.8,44896,384.2,20.5,24.160975609756,384.2,0.7,2.2606338615513
"8",2005-03-31,13.4,0.38,0.2288,0.25489323843416,NA,285,18.6,0.9,0.0019317450096587,0.0025582717453098,0.0031578947368421,1.2078,0.33216783216783,20.741116751269,15.7,0,0,34.4376,21.5704,50.1376,0.37364,NA,465,2.0758928571429,1.3217737350768,13.502667430172,9.2744692410732,1.3781861292235,0.2,NA,17.4625,465.9,0.57649122807018,NA,NA,0.155,0.2018,0.16785969935576,NA,0.7227,0.1480701754386,224,408.6,0.14023494860499,0.12298776561494,19.7,0.058387670420865,28.3,0.083876704208654,0,2.4408602150538,1.0370558375634,0.10206769413159,1.2110254890338,4.1078,0.19043838416907,337.4,0.09629625085,0.11761194029851,102.4,30.32,57.3,15912,351.8,21.6,18.916666666667,351.8,0.65,2.0725088967971
"9",2004-03-31,13.3,0.34,0.2789,0.32551594746717,NA,262.8,14.3,1.5,0.0037434489643125,0.0048780487804878,NA,2.7249,0.2438149874507,19.488235294118,13.2,0,0,43.2946,26.8431,56.4946,0.37999,NA,399.2,1.8847969782814,1.2982113821138,9.2205600935915,7.0661683295114,1.4282647584973,NA,NA,23.0182,400.7,0.60768645357686,NA,NA,0.1,0.0455,0.17955439056357,NA,0.6857,0.12290715372907,211.8,331.3,0.20947781466948,0.17319690541552,17,0.0608228980322,27.2,0.097316636851521,0,2.3054975643702,NA,0.1549,1.1853309481217,3.8249,0.14248996554596,279.5,0.1267377428966,0.11821974965229,84.7,24.98,69.4,3173,307.5,18.9,17.5291005291,307.5,0.6,1.8794559099437
"10",2003-03-31,12.9,0.36,0.2712,0.2284295468653,NA,207.2,14.8,0.1,0.00046816479400749,0.00038759689922481,NA,1.5,0.2945,12.905109489051,12.3,0,0,24.6,15.252,36.9,0.38,NA,213.5,NA,NA,8.6788617886179,5.7859078590786,0.82751937984496,0.16,NA,12.752,213.6,0.63754826254826,NA,NA,NA,0.1006,0.38632378725891,NA,0.5794,0.05019305019305,161.1,176.8,0.20814479638009,0.17228464419476,13.7,0.053100775193798,22.4,0.086821705426357,0,1.4223652453741,0.80656934306569,0.095348837209302,0.68527131782946,2.5,0.16391292945187,258,0.094674115456238,0.11021721641191,81,20.52,36.8,24233,269.8,16.6,10.650602409639,269.8,0.6,1.3252638112973
