"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,60.9,0.37,0.1771,0.1746,1549.3,3499.5,0.7,340.3,0.2123,0.0972,NA,0.52,NA,0,0.0201,25.58,NA,NA,NA,0,NA,1262.4,0.82,0.12,NA,1602.7,0,2.19,10.44,NA,NA,0.1855,NA,0.5631,0,1536.8,1274.9,0.2571,0.2045,-115.2,0,0.0916,0.82,NA,0.7,NA,NA,-0.0744,624,22.86,327.8,354206,NA,279.3,4.56,NA,0.9,0.85
"2",2010-12-31,64.6,0.64,0.2526,0.16749297214413,1628.8,3219.4,0.6,232.3,0.16428571428571,0.072156302416599,NA,0.8,5.1240566037736,0,0.0227,24.659,NA,NA,NA,0,0,1181.7,0.68536132699223,0.12,NA,1414,0,NA,NA,NA,NA,0.16541978387365,NA,0.6298,0,1724.2,1086.3,0.30166620638866,0.23175388967468,212,0,0.11631608490566,0.66693271119843,0.42700471698113,0.6,NA,NA,0.13015717092338,668.8,17.75,327.7,490261,NA,-100.9,NA,NA,0.9,0.72271914132379
"3",2009-12-31,80,0.79,0.2684,0.16100378604019,1728.5,3102.3,2.5,202.1,0.11996913213819,0.065145214840602,NA,0.8,2.943006308462,0,0.0182,24.6228,NA,NA,NA,0,0,1482.5,0.79785802701685,0.12,NA,1684.6,0,NA,NA,-0.11,NA,0.18028088277443,NA,0.732,0,1858.1,1352.9,0.24517702712691,0.19690134156476,459.7,0,0.053562714814009,0.78270176453573,0.24525052570517,2.5,NA,NA,0.26595313855945,602.2,19.94,331.7,546824,NA,274.5,4.9285974499089,NA,0.95,0.81768760314533
"4",2008-12-31,91.8,0.81,0.2687,0.20612829659084,1357.6,2797.6,14.9,260.9,0.13913182593857,0.093258507291964,NA,0.56568663937477,NA,0,0.0168,25.5814,NA,NA,NA,0,NA,1614.3,1.1139249240961,0.12,NA,1875.2,0,NA,NA,-0.18,NA,0.25964912280702,NA,0.9826,0,1449.2,1522.7,0.23149668352269,0.18797994880546,-146.5,0,NA,1.1216116676488,NA,NA,NA,NA,-0.10791101944608,541.2,17.32,352.5,577710,NA,311.1,4.8945676631308,NA,0.95,1.0965440617508
"5",2007-12-31,99.3,0.69,0.2122,0.21322164580458,1653.1,3525.2,6.9,453.1,0.23756095003408,0.12853171451265,NA,0.75400565504241,4.6209626345789,0,0.02041389707394,29.79,0,0,0,0.00032,NA,1454.2,0.88240291262136,0.12,NA,1907.3,0,1.21,13.876033057851,NA,NA,0.27823298895618,NA,0.9011,0,1648,1459.3,0.30699650517371,0.2348870130551,315.8,0,0.094331855604813,0.88276571290303,0.38508021954824,NA,NA,0,0.19103502510435,549,16.79,448,521110,NA,-7.3,NA,NA,1,0.90776260054257
"6",2006-12-31,111.8,1.53,0.2671,0.22252890323925,1492.9,3898.8,11.4,313.1,0.14471251617674,0.080306761054683,NA,0.65892923998502,5.7322548695939,0,0.019316938317111,33.54,0,0,0,0.00016,NA,1850.5,1.1514529276336,0.12,NA,2163.6,0,2.78,5.8992805755396,NA,NA,0.1123886174188,NA,0.8003,0,1607.1,1736.3,0.24609802453493,0.19749491588094,302.9,0,0.11072961373391,1.1630383816732,0.47768790579949,NA,NA,0,0.20289369683167,578.6,16.4,427.3,393400,NA,347.4,4.9979850316638,NA,1.1,1.1267576294136
"7",2005-12-31,89.2,1.18,0.2611,0.22285084496694,1057.7,4059.7,1,450.1,0.18683325723299,0.11087026134936,NA,0.7047108387591,NA,0,0.012707759521322,26.76,0,0,0,0,NA,1959,2.1506202656713,0.12,NA,2409.1,0,2.62,7.1030534351145,NA,NA,0.18746438746439,NA,0.7634,0,910.9,2105.8,0.1440307721531,0.12589763812212,-752.9,0,NA,1.9909237023731,NA,NA,NA,0,-0.71182755034509,757,18.61,303.3,521300,NA,119.8,17.577629382304,NA,1.15,1.7700955180015
"8",2004-12-31,62.1,0,0,0.12444400019991,NA,3398.1,3,110.6,0.056782010473355,0.032547600129484,0,NA,7.0694964627549,0,0.076029567053854,89.424,NA,NA,NA,6e-04,NA,1837.2,0.97190922075861,0.1133,NA,1947.8,0,-9.68,NA,NA,0,0.45044590274272,NA,0.8596,0,1890.3,1698.8,0.14657405227219,0.127836533525,240.3,0,0.37213483146067,0.96969005080199,0.62396261807192,3,NA,NA,0.13716536331982,749.3,18.94,249,502400,NA,-589.5,NA,0,1.2,0.97346194212604
"9",2003-12-31,63.4,0,0,0.13050091791241,NA,2552.6,1.1,139.6,0.052728989612842,NA,0,NA,5.8907170923379,0,0.03577064702788,86.224,NA,NA,NA,9e-05,NA,2507.9,1.4193785726413,NA,NA,2647.5,0,NA,NA,NA,0,0.08876560332871,NA,0.7987,0,1766.9,2398.7,0.10372284987702,0.093975448536355,407.2,0,0.21174852652259,1.4470048862882,NA,1.1,NA,NA,0.24564155154733,778,38.02,248.8,54600,NA,190.4,12.598214285714,0,1.1,1.3886703383163
"10",2002-12-31,63.4,0,0,0.10695187165775,NA,1833.9,3.1,162.9,0.066943371414482,NA,0,0,15.022368421053,0,0,0,0,0,0,0.00034,NA,2270.5,NA,0.12,-3.1,2433.4,0,5.4,6.7259259259259,NA,0,0.20076726342711,NA,0.4324,0,1239.6,2283.4,0.065691512656565,0.061642146790499,152,0,0,1.8230738522954,1.2518640350877,3.1,0,0,0.12135728542914,565.9,36.32,150,170599,0,381,5.9931758530184,0,NA,1.831639238464
"11",2001-12-31,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0.16324535679374,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,26.54,0,22900,0,0,NA,0,NA,NA
