"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,704,1.63,0.3931,0.2192,17152,31371,3295,493,0.0188,0.0323,0.0157,-50.99,0.8,12.54,2266,0.0224,478.72,4813,1925.2,7079,0.6,0.6144,25727.9,1.2,1.63,5.35,3.63,1.68,NA,NA,947.19,26220.9,0.8072,2.55,12.02,0.22,0.085,0.21,0.01,0.7901,0.0171,21474,21405.9,0.2249,0.1836,1707,0.1117,-1522,-0.0996,0.257,1.25,NA,0.3149,1.4,978.01,0.508,15282,0.0897,0.0995,1978,30.66,4815,5020495,15794,1863,11.49,15794,NA,1.19
"2",2010-12-31,0,1.34,0.3991,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0.0208,422.8952,NA,NA,NA,0,NA,20331.5,NA,NA,NA,NA,NA,0.03,-0.17,NA,20331.5,NA,2.67,10.962546816479,0.055,NA,0.47917233868772,NA,0.8012,NA,NA,20331.5,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,29.27,0,8355705,NA,NA,NA,NA,NA,NA
"3",2009-12-31,708,1.08,0.3373,0.28027067866763,21910,47052,6231,2057,0.059678022995042,0.042372183084085,0.043717589050412,-126.7489,0.8,21.905658783784,2623,0.0274,710.6546,2921,1168.4,5544,0.6,0.65591397849462,32411.3,1.1418460454465,0.50097842215902,11.095960287573,5.8461940836941,0.66764100028839,0.07,0.07,-2312.8511,34468.3,0.68267023718439,4.43,8.3589164785553,0.22,-0.3288,0.14757131842714,NA,0.7873,0.030221882172915,28385,25936.3,0.32895979765811,0.24753179007958,1184,0.02438923907222,-381,-0.0078482264244222,0.60021505067568,1.1837654039251,3.1293798262548,0.06016973592057,0.53426234911218,3481.2512,2.9795028613879,48546,0.04116258587282,0.054039251483341,1570,37.03,8532,5135969,64696,1916.8,13.531041318865,64696,1.25,1.1322613494514
"4",2008-12-31,706,1.2,0.3545,0.25127649157166,21409,42686,7146,1285,0.043521554176714,0.017815550133097,0.030103546830343,186.8273,0.5867418899859,6.3323696145125,2178,0.0305,681.3883,7059,3571.501,9237,0.49405,NA,28240.6,1.034113295983,0.60042947654888,4.0006516503754,3.0573346324564,0.39153449423248,0.01,0.025,-1583.3262,29525.6,0.68907838635618,3.37,9.2640949554896,0.29,0.2214,0.2778672392199,NA,0.802,0.033898702150588,27309,22340.6,0.32161177407948,0.24334814533828,3528,0.048913043478261,-537,-0.0074450976042591,0.19313727324263,1.0435144098276,6.3323696145125,0.097867679680568,0.30973547027507,5154.8273,1.443322347415,72128,0.13078109963748,0.16479050866458,1877,31.22,7185,6896038,47034,1067,20.937769447048,47034,1.3,1.0325802615933
"5",2007-12-31,710,1.49,0.3863,0.27290264013919,19223,42746,4466,1199,0.048824983406021,0.020188923874792,0.028049408131755,210.6751,0.55915091897489,4.6184021304927,1613,0.039303198574567,681.6,5985,3281.3361,7598,0.45174,NA,23358.1,0.92547644518404,0.30623934761518,3.9027736006683,3.0742432219005,0.39330684133425,0.035,0.06,217.661,24557.1,0.57724699387077,3.7,7.3945945945946,0.255,-0.029,0.53149224806202,NA,0.7911,0.074556683666308,25239,17342.1,0.41603957998166,0.29380505027059,3755,0.063227196955665,-741,-0.012477058041051,0.18151797603196,0.90215367008271,1.3195434658551,0.10077623802388,0.29200862112512,3063.6751,0.9336669672525,59389,0.13001054320694,0.19533891692244,1781,27.36,7215,6036551,76274,3943,4.3981993406036,76274,1.35,0.92885619184507
"6",2006-12-31,695.5,1.56,0.3118,0.19471856221401,14607,30831,3433,2585,0.056538570897399,0.043143014503396,0.083844182803023,-5.7526,0.53880692751764,9.1003019844694,1518,0.015825926189291,667.68,7892,4358.1992,9410,0.44777,NA,43136,2.7733059020188,0.77646974115275,5.4657881398885,4.5840595111583,0.71992923544236,0.09,0.065,2448.9517,45721,0.54013817261847,6.18,9.6391585760518,0.205,0.0783,0.23530495669799,NA,0.7939,0.051182251629853,15554,42189,0.083718504823532,0.077251153736795,4636,0.077373700285395,-79,-0.0013184905786338,0.14402070750647,2.8882727459437,1.011144664941,0.1317155398301,0.70412403825292,1909.2474,0.43808172952,59917,0.28019796579658,0.31738207708633,1593,59.57,3532,5963466,55554,4143,10.18320057929,55554,1.05,2.5205909917857
"7",2005-12-31,366.7,1.35,0.3037,0.25531238071001,11705,28498,2890,2617,0.070800147173405,0.044661751655403,0.091831005684609,100.2756,0.52683569311821,10.799803343166,1358,0.017806265212351,586.72,4940,3152.461,6298,0.36185,NA,34346.2,2.6216472025036,0.53605631164939,6.9526720647773,5.4535090504922,0.58615263840535,0.08,0.075,1520.1854,36963.2,0.52673871850656,9.38,9.861407249467,0.185,0.2273,0.2475360121304,NA,0.7914,0.052880903923082,13101,32950.2,0.12178985256539,0.10856744004848,3051,0.052068400573418,-1073,-0.018311830159055,0.19230416256965,2.8150533959846,1.3499754178958,0.084306095979248,0.56232848658612,1632.2756,0.51777819993681,58596,0.24062750935043,0.26065783853054,1380,92.5,4013,1529700,64072,7049,4.674450276635,64072,1,2.35164779234
"8",2004-12-31,346.7,0.2,0.255,0.33429087327643,NA,23423,2237,3369,0.12694907717931,0.067158377354729,0.14383298467318,29.0867,0.15686274509804,17.096803652968,1217,0.021632251720747,457.644,2447.962,1552.4241,3664.962,0.36583,NA,23169.2,2.6283834373227,0.4618598624539,9.4646894028584,6.3218117950473,0.51333111775784,0.13,0.07,503.3373,26538.2,0.504205268326,7.56,8.0714285714286,0.14,0.1018,0.34343807763401,NA,0.7855,0.015369508602656,8815,22465.2,0.1813026369674,0.15347687484456,1314,0.029112662013958,261,0.0057826520438684,0.34828310502283,2.7697201331525,1.315138742536,0.054236446216905,0.49773346626786,1049.0867,0.67577330561339,45135,0.17611163488826,0.16200221920848,1227,61.02,4073,1975900,50165,1314,17.096803652968,50165,0.9,2.1781188443861
"9",2003-12-31,310.4,0.4,0.2341,0.41765720858896,NA,19482,1892,1396,0.081575410506632,0.03392301710731,NA,86.4842,0.34173430158052,12.604743083004,1175,0.030426514534094,347.648,3473.4066,2202.4524,4648.4066,0.36591,NA,15717,1.7393758300133,0.38192554432348,4.5249525350703,3.3811586103505,0.42851300507116,0.065,0.035,1398.9682,17113,0.55589775177086,3.72,9.8951612903226,0.13,0.3328,0.17258464079273,NA,0.7988,0,9036,12756,0.34156475384133,0.25460176474026,1012,0.027591471726921,709,0.01933038878892,0.34352569169961,2.0997530864197,1.9391912435391,0.0947,0.3477834123998,803.4842,0.36481340651318,36678,0.24374196447477,0.16658436213992,1095,36.81,4357,843100,41152,1012,12.604743083004,41152,0.9,1.6404332822086
"10",2002-12-31,309.9,0.44,0.242,0.47353154459753,NA,17812,1574,488,0.033550817801184,0.017764834364762,NA,74,0.3963,17.715985790408,1201,0.031070472523837,309.9,1393,823.8063,2594,0.40861,NA,14057.1,NA,NA,10.091241923905,5.4190824980725,0.51172551874772,-0.005,0.02,450.8063,14545.1,0.58331461935774,2.56,12.71484375,NA,-0.0322,0.23668525283599,NA,0.7925,0,9165,9974.1,0.45828696323478,0.31426391018281,563,0.02049508554787,493,0.017946851110302,0.55044404973357,1.9626328217237,NA,0.050709865307608,0.36309064433928,373,0.45277635480973,27470,0.089886117839607,0.1107831562377,1029,32.55,4571,1142863,33702,NA,NA,33702,0.85,1.5337806873977
