"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-28,90.3,1.74,0.3578,0.4563,928,1934.6,49.1,204.3,0.0772,0.2018,0.1056,0,0.8,NA,136.1,0,0,67,67,203,0,NA,2443.4,1.63,2.41,36.47,12.03,2.41,NA,154,2647.7,0.06,1.9,11.07,-0.04,0.115,0.1492,NA,0.9877,0.6152,1502.6,1868.8,0.4168,0.2942,-29.7,-0.0293,200.6,0.1981,NA,2.01,NA,0.0662,1.85,-87,-1.2985,1012.5,0.0446,-0.032,380.9,21.04,778.9,385671,1012.5,-29.7,NA,1012.5,1.1,1.55
"2",2011-09-28,86.8,1.34,0.4837,0.28838472599457,890.8,1470.5,25.8,266.6,0.14265839041096,0.31893767197033,0.18129887793268,0,0.51684928674798,27.716911764706,91.5,0,0,77,77,168.5,0,0,1602.2,1.6262687779131,1.9167364517287,20.807792207792,9.5086053412463,1.9167364517287,NA,142.7,1868.8,0.061135668140088,1.69,9.9112426035503,-0.035,0.5466,0.26539923954373,NA,NA,0.52553553213193,985.2,1507.8,0.23942167396206,0.1931720890411,54.4,0.06507955497069,161.1,0.19272640267975,0,1.6926358329591,NA,0.092116281851896,1.8038042828089,-65.7,-0.85324675324675,835.9,0.078156719447828,0.061068702290076,301.7,16.75,361,607184,835.9,54.4,27.716911764706,835.9,1,1.4928902380572
"3",2010-09-28,83.2,1.17,0.471,0.0042873846953358,766.4,879.9,16.2,199.9,0.10418512534529,0.38568396681459,0.22718490737584,0,0.5307855626327,32.464406779661,39.4,0,0,58,58,97.4,0,0,1718.8,3.016497016497,3.3162261238665,29.634482758621,17.64681724846,3.3162261238665,NA,81.2,1918.7,0.086259802250256,1.52,15.065789473684,0.1,0.119,0.28174500129836,NA,NA,0.41277417888396,569.8,1915.4,0.0017228777278897,0.0017199145254599,59,0.11383368705383,161.3,0.31120972409801,0,2.4992171189979,NA,0.11190430252749,3.6955431217442,-23.2,-0.4,518.3,0.1017901017901,0.076983298538622,170.1,22.9,3.3,632812,518.3,59,32.464406779661,518.3,1,2.4927893984669
"4",2009-09-28,81.4,0.95,0.4282,0.068576149820986,676.4,811.1,12.6,263.3,0.17622649086406,0.58123620309051,0.32462088521761,0,0.37365716954694,NA,33.1,0,0,9.4,9.4,42.5,0,NA,1230.8,2.6588896089868,2.7169977924945,130.93617021277,28.96,2.7169977924945,NA,29.9,1494.1,0.084699790408088,0.84,21.142857142857,0.18,-0.1363,0.43767423337316,NA,NA,0.34274442115645,462.9,1444.3,0.034480371114034,0.033331102335854,-26.8,-0.05916114790287,137.5,0.30353200883002,NA,2.1352749852159,NA,0.02075055187638,3.1883002207506,-20.5,-2.1808510638298,453,0.020306761719594,-0.039621525724423,155.8,17.76,49.8,1045448,453,-26.9,NA,453,1,2.0574221977417
"5",2008-09-28,79.8,0.92,0.3201,0.0048780487804878,673.2,760.6,25.2,169.2,0.17982782442342,0.32911884847306,0.22245595582435,0,0.59981255857545,18.865191146881,28.8,0,0,66.4,49.6008,95.2,0.253,NA,771.7,1.5211906169919,1.5010698307722,11.621987951807,8.1060924369748,1.5010698307722,NA,53.2008,940.9,0.10333946884039,1.16,10.896551724138,0.31,0.1239,0.46755921730175,NA,NA,0.32921377859584,507.3,937.6,0.0035196245733788,0.0035072802635774,49.7,0.096673798871815,182.6,0.35518381637814,0,1.3927510398099,NA,0.12915775141023,1.8237696946119,-3.6,-0.072579474524605,514.1,0.097774098166765,0.073826500297088,150.7,12.64,3.3,1190823,514.1,49.7,18.865191146881,514.1,1.2,1.3908351810791
"6",2007-09-28,77.2,1.71,0.361,0.0059357541899441,569.4,637.3,18.7,107.7,0.061322097591528,0.24349988695456,0.16899419425702,0,0.62049861495845,178.86734693878,27,0,0,18.2,9.1,45.2,0.6,NA,1648.6,3.5446140614922,3.7273343884242,90.582417582418,36.473451327434,3.7273343884242,NA,17.4,1756.3,0.10795543699984,1.19,18.075630252101,0.195,0.1074,0.27659574468085,NA,NA,0.36466342381924,465.1,1752.9,0.0019396428775173,0.0019358879462506,9.8,0.022156907076645,160.3,0.36242369432512,0,3.0785036880927,NA,0.041148541713769,3.9631471851684,-8.3,-0.91208791208791,442.3,0.019565684798968,0.01721109940288,151,21.51,3.4,1114483,442.3,9.8,178.86734693878,442.3,1.4,3.0661662011173
"7",2006-09-28,71.6,2.75,0.5426,0.0087508203894115,453.1,510,13.9,165.4,0.11816817889548,0.44642375168691,0.3243137254902,0,0.47180243273129,30.607456140351,16.5,0,0,75.6,44.2767,92.1,0.41433,NA,1234.3,4.2314021254714,3.3314439946019,16.32671957672,13.401737242128,3.3314439946019,NA,46.8767,1399.7,0.12745098039216,1.14,17.236842105263,0.055,0.1051,0.32957628887497,NA,NA,0.18980392156863,291.7,1395.7,0.0028659454037401,0.0028577552332643,45.6,0.12307692307692,129,0.34817813765182,0,3.0803354667844,NA,0.20404858299595,3.7670715249663,-2.6,-0.058721693772149,370.5,0.1517883167638,0.10064003531229,85.4,19.65,4,1110878,370.5,45.6,30.607456140351,370.5,1.6,3.0621308247648
"8",2005-09-28,63.5,1.84,0.6517,0.012795657231485,NA,300.6,11.5,98.1,0.055264492141288,0.32985877605918,0.32634730538922,0,0.564676998619,60.678082191781,12,0,0,46.0525,31.4101,58.0525,0.31795,NA,1677,10.49436795995,5.6388702084734,36.414977000153,28.887654756524,5.6388702084734,NA,31.9101,1775.1,0.19427811044578,1.04,26.596153846154,0.055,0.1446,0.34549600912201,NA,0,0.025948103792415,159.8,1771.8,0.0018625126989502,0.0018590501943553,29.2,0.098184263618023,82.2,0.2763954270343,0,6.9591516103692,NA,0.15485030262273,5.9576328177539,-0.5,-0.015918449663178,297.4,0.19655878588235,0.114689709348,78.8,27.66,3.3,344476,297.4,29.2,60.678082191781,297.4,1.75,6.8829003489725
"9",2004-09-28,59.8,2.78,0.8085,0.020137784843667,NA,233,10.4,45.1,0.044782047463013,0.18423202614379,NA,0,0.68769325912183,137.43835616438,12.2,0,0,29.6208,19.9662,41.8208,0.32594,NA,962,6.6991643454039,3.9297385620915,32.477178199103,23.002907644043,3.9297385620915,NA,21.7662,1007.1,0.25364806866953,0.62,27.451612903226,-0.19,0.2066,0.3356790992259,NA,0.9435,0.037339055793991,143.6,1003.3,0.0037875012458886,0.0037732102075266,7.3,0.029820261437908,63.9,0.26102941176471,0,5.4261763115197,NA,0.121,4.0984477124183,-1.8,-0.090152373522314,244.8,0.13904036523677,0.039480800432666,58.9,17.02,3.8,207711,244.8,7.3,137.43835616438,244.8,1.6,5.3370429252782
"10",2003-09-28,28.9,2.79,0.9118,0.041375604513702,NA,216.8,19.8,23.1,0.032691763373903,0.10865475070555,NA,0.8,0.6739,NA,14,0,0,0.6,-0.2451,14.6,1.40854,NA,683.5,NA,NA,1139.1666666667,46.815068493151,3.2149576669802,0.2,-6.0451,706.6,0.30258302583026,0.14,171.71428571429,NA,-0.1459,0.6300505050505,NA,0.8684,0.15590405904059,163,698.9,0.011017312920303,0.010897254457968,-0.1,-0.00047036688617121,61.1,0.28739416745061,NA,3.917600896861,NA,0.0028222013170273,3.2873941674506,5.8,NA,212.6,-0.0015038282208589,-0.00056053811659193,61.4,24.04,7.7,206038,208.4,9.1,76.802197802198,208.4,1.45,4.1932515337423
