"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,318.8,NA,NA,0.2274,5214,13929,186,5091,0.3007,0.6206,0.3655,11.52,NA,17.34,366,0.0215,331.55,1373,913.96,1739,0.3343,0.3343,11837.8,7.14,1.38,8.62,6.81,1.44,1082.44,16928.8,0.0643,3.4,16.38,NA,NA,0.116,0.01,0.8431,0.1025,1658,15393.8,0.0997,0.0907,888,0.1083,267,0.0325,0.3346,2.95,0.1674,1.88,-168.48,-0.1843,8203,0.5512,0.1703,2799,55.68,1535,2124730,8557,991,15.53,8557,0.8,2.51
"2",2010-12-31,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0.019,286.9931,NA,NA,NA,0,NA,15104.9,NA,1.8220627261761,NA,NA,NA,NA,15104.9,NA,1.95,23.738461538462,NA,NA,0.13490465474357,0.01,0.8674,NA,NA,15104.9,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,46.29,0,0,8290,NA,NA,8290,NA,NA
"3",2006-12-31,16.4,-0.32,0.6259,0.22340425531915,14.6,22.3,0.3,0.1,0.0032467532467533,0.0015748031496063,0.0044843049327354,1.4564,0.10225275603132,15.647058823529,0.4,0,0,2.9,1.7563,3.3,0.39437,NA,30.7,1.6417112299465,0.54144620811288,10.586206896552,9.3030303030303,0.48346456692913,0.3999,30.8,0.040358744394619,NA,NA,NA,0.1783,0.43149284253579,NA,0.1781,0.022421524663677,18.7,26.6,0.15789473684211,0.13636363636364,1.7,0.026771653543307,13.6,0.21417322834646,0,1.8219178082192,0.045669291338583,0.41889763779528,1.3564,0.77228098910733,63.5,0.093921229946524,0.11643835616438,17.4,1.53,4.2,900,56.7,NA,NA,56.7,0.4,1.6382978723404
"4",2005-12-31,15.7,-0.09,0.4835,0.26595744680851,13.8,23.2,0.3,0.2,0.006993006993007,0.0038759689922481,0.0086206896551724,-1.3541,0.26473629782834,NA,0.3,0,0,-2.4259,-2.4259,-2.1259,0,NA,28.4,1.5268817204301,0.50088183421517,NA,NA,0.55038759689923,-1.0719,28.6,0.03448275862069,NA,NA,NA,-0.1234,0.54128440366972,NA,0.0362,0.025862068965517,18.6,23.6,0.21186440677966,0.17482517482518,-2.5,-0.048449612403101,13.7,0.26550387596899,NA,1.7101449275362,-0.047013953488372,0.45736434108527,-1.3541,NA,51.6,-0.13042580645161,-0.18115942028985,16.6,1.57,5,24600,56.7,-1.7,NA,56.7,0.8,1.5212765957447
"5",2004-12-31,15.6,1.08,0.6794,0.24615384615385,NA,24.9,0.2,0.2,0.014705882352941,0.0033726812816189,0.0080321285140562,0.2079,0.31792758316161,NA,0.4,0,0,-4.7875,-4.7875,-4.3875,0,NA,13.4,0.69430051813472,0.22596964586846,NA,NA,0.22905982905983,-4.7954,13.6,0.032128514056225,NA,NA,-0.415,0.0873,0.55555555555556,NA,0.0272,0.020080321285141,19.3,8.8,0.54545454545454,0.35294117647059,-3.1,-0.052991452991453,15.2,0.25982905982906,NA,0.59863945578231,-0.081837606837607,0.15042735042735,0.0079,-0.0016424538617748,58.5,-0.24805699481865,-0.2108843537415,19,0.54,4.8,16500,59.3,-3.3,NA,59.3,0.8,0.6974358974359
"6",2003-12-31,15.6,1.68,0.6824,0,NA,20.8,0.2,2.5,0.11848341232227,0.050301810865191,NA,-1.0503,0.49237983587339,211,0.4,0,0,0.6981,0.4025,1.0981,0.42342,NA,18.6,1.2236842105263,0.37424547283702,26.643747314138,16.938348055733,0.3463687150838,1.6528,21.1,0.048076923076923,NA,NA,-0.015,-0.1838,0.25951557093426,NA,0.0282,0,15.2,21.1,0,0,0.1,0.0018621973929236,14.1,0.26256983240224,0,1.1920903954802,0.013,0.39292364990689,-1.2503,-3.1062030327689,53.7,0.026480953815789,0.0056497175141243,15.8,1.34,0,7800,49.7,-1.1,NA,49.7,0.75,1.1920903954802
"7",2002-12-31,15.4,1.84,0.7583,0.11734693877551,NA,24.1,0.2,0.2,0.0079365079365079,0.0030816640986132,NA,1.1,0.5333,6.7352941176471,0.4,0,0,6,3.6754,6.4,0.38743,NA,25,NA,NA,4.1666666666667,3.90625,0.38520801232666,3.8754,25.2,0.049792531120332,NA,NA,NA,0.17,0.70807453416149,NA,0.0413,0,19.4,22.9,0.10043668122271,0.091269841269841,3.4,0.052388289676425,18.1,0.2788906009245,0,1.3236994219653,0.092449922958398,0.35285053929122,-0.2,-0.054415549787507,64.9,0.18945463917526,0.19653179190751,14.6,1.56,2.3,99686,65.9,3.6,6.3611111111111,65.9,0.75,1.2886597938144
"8",2001-12-31,NA,1.22,0.6274,0.2356,NA,22.4,0.2,0.2,0.013513513513514,0.0036764705882353,NA,0.2334,0.3414,21.2,0.4,0,0,1.8689,1.0494,2.2689,0.43849,NA,14.6,NA,NA,7.8120819733533,6.434836264269,0.26838235294118,1.016,14.8,0.0625,NA,NA,NA,-0.1408,0.98019801980198,0,0.0121,0,17.608,10.6,0.39622641509434,0.28378378378378,0.5,0.0091911764705882,13.483,0.24784926470588,0,0.77941176470588,0.0192905521875,0.19485294117647,0.0334,0.031827527914579,NA,0.059598253009996,0.036764705882353,13.7,0.77,4.2,67300,54.4,0.9,11.777777777778,55.3,0.9,0.84052703316674
"9",2000-12-31,NA,0.9,0.8104,0.30769230769231,NA,27.8,0.6,0.3,0.015706806282722,0.0047923322683706,NA,-0.2988,0.33316880552813,4.8333333333333,0.4,0,0,3.95006,3.9501,4.3501,0,NA,18.8,NA,NA,4.7594213758778,4.3217794697085,0.30031948881789,5.8998,19.1,0.079136690647482,NA,NA,NA,-0.1201,0.27272727272727,NA,0.0103,NA,23.1,8.7,1.1954022988506,0.54450261780105,1.8,0.028753993610224,17.9,0.28594249201278,0,0.66923076923077,0.0631,0.13897763578275,-1.9498,-0.49361022364217,NA,0.17099826839827,0.13846153846154,14.855,0.56,10.4,NA,62.6,1.8,4.8333333333333,62.6,NA,0.81623931623932
"10",1999-12-31,NA,1,0.826,0.5515873015873,NA,31.6,0.2,0.7,0.029045643153527,NA,NA,NA,0.18159806295399,3.9230769230769,0.6,0,0,4.9,4.8435,5.4435,0.01154,NA,23.4,NA,NA,4.7755102040816,4.2987412036549,0.33238636363636,5.3989,24.1,0.10443037974684,NA,2.7857142857143,NA,-0.0219,0.58632101489244,NA,0.011,NA,24.5,10.2,1.3627450980392,0.57676348547718,NA,0.044034090909091,NA,0.26136363636364,0,0.90265486725664,0.069602272727273,0.14488636363636,NA,-0.082585691946285,NA,0.197692,0.27433628318584,16.5,NA,NA,NA,NA,3.1,3.2903225806452,70.4,NA,0.95634920634921
