"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-28,10.5,1.38,0.3289,0.1475,161.8,1396.8,0,26.8,0.138,0.0192,NA,0.8,36.93,0,0,0,38,34.01,38,0.112,0.1,167.4,1.03,4.37,4.37,0.05,34.01,194.2,0,0.85,19.24,-0.185,NA,0.1721,NA,0.4,0.023,163,166.2,0.1685,0.1442,4.5,0,0,1.03,7.39,0,0,NA,0.2087,0.0278,4,16.35,28,5452,NA,9.3,17.87,NA,0.65,1.02
"2",2010-12-28,9.7,1.38,0.4301,0.10183968462549,136.7,1002.3,0,20.8,0.13978494623656,0.020752269779507,NA,0.34875610323181,22.98275862069,0,0,0,37.2,31.8637,37.2,0.14345,0.13432835820896,128,0.97412480974125,3.4408602150538,3.4408602150538,NA,31.8637,148.8,0,NA,NA,-0.11,NA,0.23652105470287,NA,0.4186,0.0093784296118927,131.4,133.3,0.11627906976744,0.10416666666667,5.8,0,0,0.97512801755669,NA,0,0,NA,0.24249360730594,0.042428675932699,5.5,13.01,15.5,14518,NA,5.1,26.137254901961,NA,0.6,0.97766097240473
"3",2009-12-28,9.3,0.97,0.4184,0.12419871794872,109.3,972.1,0,22.8,0.13677264547091,0.023454377121695,NA,0.3585086042065,32.869565217391,0,0,0,35.2,34.2686,35.2,0.02646,0.021276595744681,143.9,1.4107843137255,4.0880681818182,4.0880681818182,NA,34.2686,166.7,0,0.43,35.720930232558,-0.02,NA,0.18175487465181,NA,0.389,0.0097726571340397,102,151.2,0.10251322751323,0.092981403719256,4.6,0,0,1.3833485818847,NA,0,0,NA,0.33596674509804,0.042086001829826,8.1,15.36,15.5,10636,NA,5.1,29.647058823529,NA,0.6,1.3357371794872
"4",2008-12-28,6.6,0.9,0.4045,0.17514124293785,73,936.8,0,24.8,0.23005565862709,0.026473099914603,NA,0.23733003708282,16.781818181818,0,0,0,35.7,33.0221,35.7,0.07501,NA,83,1.3029827315542,2.3249299719888,2.3249299719888,NA,NA,107.8,0,0.52,26.730769230769,0.08,NA,0.40357273058695,NA,0.0902,0.010247651579846,63.7,92.3,0.16793066088841,0.14378478664193,5.5,0,0,1.2643835616438,NA,NA,NA,NA,0.51840098901099,0.075342465753425,13.9,13.9,15.5,8980,NA,3.9,23.666666666667,NA,0.6,1.2180790960452
"5",2007-12-28,6.6,0.72,0.2653,0.18452380952381,68.5,854.1,0,25.4,0.2507403751234,0.029738906451235,NA,0.30154542027893,9.75,0,0.021538461538461,1.848,33.3,26.4352,33.3,0.20615,NA,75.9,1.2952218430034,2.2792792792793,2.2792792792793,NA,NA,101.3,0,0.25,50,0.16,NA,0.33184855233853,NA,0.0746,0.011474066268587,58.6,85.8,0.18065268065268,0.15301085883514,8.8,0,0.21,1.2525547445256,NA,NA,NA,NA,0.45111271331058,0.12846715328467,18.1,12.5,15.5,2268,NA,6.4,13.40625,NA,0.5,1.2059523809524
"6",2006-12-28,6.5,0.77,0.2219,0.2061170212766,59.7,805,0,30.5,0.17650462962963,0.037888198757764,NA,0.28841820639928,19.182926829268,0,0.011570247933884,1.82,30.1,22.5997,30.1,0.24918,NA,142.3,3.1834451901566,4.7275747508306,4.7275747508306,NA,NA,172.8,0,1.41,16.489361702128,0.195,NA,0.21726903653827,NA,0.068,0.012422360248447,44.7,157.3,0.098537825810553,0.089699074074074,8.2,0,0.2219512195122,2.6348408710218,NA,NA,NA,NA,0.50558572706935,0.13735343383585,16.1,23.25,15.5,400,NA,8.6,18.290697674419,NA,0.4,2.2978723404255
"7",2005-12-28,6.2,1.25,0.2245,0.22561863173217,53.2,698.8,0,25.6,0.12035731076634,0.036634230108758,NA,0.28507795100223,27.013698630137,0,0.0075456389452333,1.488,27.5,20.5967,27.5,0.25103,NA,187.1,4.3410672853828,6.8036363636364,6.8036363636364,NA,NA,212.7,0,NA,NA,0.195,NA,0.21933085501859,NA,0.0579,0.014739553520321,43.1,197.2,0.078600405679513,0.072872590503056,7.3,0,0.20383561643836,3.7067669172932,NA,NA,NA,NA,0.47788109048724,0.13721804511278,9.5,31.16,15.5,1300,NA,7.2,27.388888888889,NA,0.4,3.0960698689956
"8",2004-12-28,4.9,0.43,0.2893,0.24180967238689,NA,610.1,0,17.4,0.11844792375766,0.028519914768071,0,0.2972692706533,18.771428571429,0,0.0088921822897369,1.176,NA,NA,NA,0.25921,NA,129.5,2.7730192719486,NA,NA,NA,NA,146.9,0,NA,NA,0.17,0,0.23355992971371,NA,0.0675,0.015079495164727,46.7,131.4,0.1179604261796,0.10551395507148,7,0,0.168,2.7037037037037,NA,0,NA,NA,NA,0.1440329218107,4.8,26.99,15.5,500,NA,7.4,17.756756756757,0,0.4,2.2917316692668
"9",2003-12-28,4,0.42,0.2697,0.31049250535332,NA,432.7,0,13.8,0.11174089068826,NA,0,0.31145717463849,17.301587301587,0,0.017777777777778,1.92,NA,NA,NA,0.26591,NA,109.7,3.3343465045593,NA,NA,NA,NA,123.5,0,1.74,15.51724137931,0.13,0,0.11649016641452,NA,0.0581,0.00092442801016871,32.9,109,0.13302752293578,0.11740890688259,6.3,0,0.30476190476191,3.3850931677019,NA,0,NA,NA,NA,0.19565217391304,3.9,27,14.5,900,NA,7.1,15.352112676056,0,0.4,2.644539614561
"10",2002-12-28,3.2,0.16,0.2364,0.21902017291066,NA,382.7,0,18.1,0.16790352504638,NA,0,0.1526,22.772727272727,0,0.020439121756487,2.048,17.1,12.9308,17.1,0.24381,NA,89.7,NA,5.2456140350877,5.2456140350877,NA,12.9308,107.8,0,1.94,16.211340206186,NA,0,0.3907621834839,NA,0.0667,0.0010452051215051,16.6,100.2,0.075848303393214,0.070500927643785,4.4,0,0.46545454545455,3.6974169741697,NA,0,0,0,0.77896680722892,0.16236162361624,5.9,31.45,7.6,3726,0,5.9,16.983050847458,0,0.4,5.4036144578313
