"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,10.8,1.28,0.3832,0,169,453.9,40.7,199.6,0.1893,0.355,0.4397,-3.76,0.8,67.16,10.6,0,0,15,14.83,26,0.0113,0.0126,854.8,NA,1.45,56.99,33.39,1.52,0.15,-11.51,1054.4,0.21,NA,NA,-0.12,0.165,0.3128,NA,0.9269,0,-30.6,1054.4,0,0,15.7,0.0279,-74.9,-0.1332,0,6.24,4.48,0.0267,1.88,26.34,1.7763,562.2,NA,0.0929,405.1,93.38,0,113115,590.4,19.2,54.92,590.4,1,NA
"2",2010-12-31,10.6,0.81,0.3624,0,149.2,381.6,16.3,174.1,0.15082734124578,0.38297404311483,0.45623689727463,-12.1397,0.68984547461369,26.353881278539,6.2,0,0,50.6,40.3181,56.8,0.2032,0.20363636363636,980.2,NA,1.8114951025688,19.371541501976,17.257042253521,2.156181258249,0.15,42.3578,1154.3,0.17033542976939,NA,NA,-0.045,0.3512,0.35318633022657,NA,0.9223,0,-24.9,1154.3,0,0,43.8,0.096348438187418,-63.8,-0.14034315882094,0,7.7365951742627,1.7569254185692,0.11130664320282,2.5391553013638,-2.0397,-0.050589790932788,454.6,NA,0.29356568364611,297.9,108.32,0,151445,541.1,26.8,43.070895522388,541.1,1,NA
"3",2009-12-31,11.9,1.24,0.4329,0,214.2,383.3,18.3,224.8,0.24055644729802,0.59502382212811,0.58648578137229,-8.294,0.51975051975052,15.446280991736,5,0,0,86.3,60.8596,91.3,0.29479,0.29487179487179,709.7,NA,1.6849477682811,8.2236384704519,7.7732749178532,1.8785071466384,0.17,55.8536,934.5,0.14322984607357,3.12,27.394230769231,0.01,0.0431,0.23637625824367,NA,0.8829,0,-10.6,934.5,0,0,60.5,0.16013763896241,-72.2,-0.19110640550556,0,4.3627450980392,0.90860476421974,0.22842773954473,2.4735309687665,5.006,0.082254568041914,377.8,NA,0.28244631185808,224.9,85.47,0,104861,421.2,46.4,20.140086206897,421.2,0.9,NA
"4",2008-12-31,11.9,1.4,0.4761,0,138,292.1,30.2,122.9,0.11011558104112,0.34100998890122,0.42074631975351,-0.9468,0.30245746691872,26.700956937799,5.3,0,0,67.8,40.0149,73.1,0.40981,NA,993.2,65.774834437086,2.7062670299728,14.648967551622,13.586867305062,2.7558268590455,0.1083,16.0617,1116.1,0.030811365970558,4.82,19.50622406639,NA,0.0333,0.4970551766894,NA,0.9007,0,15.1,1116.1,0,0,41.8,0.11598224195338,-51.7,-0.14345172031077,0,8.0876811594203,2.4654623211264,0.1881243063263,3.0968368479467,23.9532,0.5986077541338,360.4,2.6499921854305,0.30289855072464,229.2,94.02,0,115377,367,63,17.715873015873,367,0.9,8.0876811594203
"5",2007-12-31,12,1.94,0.4603,0,103.3,241.4,11,85.2,0.20569773056494,0.24294268605646,0.35294117647059,0.8412,0.38235933087117,7.0803418803419,7.6,0,0,88.2,56.553,95.8,0.35881,NA,329,18.176795580111,0.91211533130025,3.7301587301587,3.4342379958246,0.93812375249501,0.15,52.3118,414.2,0.039353769676885,3.2,11.603125,NA,0.1865,0.52399501402306,NA,0.6733,0,18.1,414.2,0,0,58.5,0.16680923866553,-29.5,-0.08411747932706,0,4.0096805421104,0.47202279202279,0.25149700598802,1.1810664385515,4.2412,0.074994747282195,350.7,3.1244728176796,0.56631171345595,201.9,37.13,0,76220,360.7,45.8,9.0436681222707,360.7,1.1,4.0096805421104
"6",2006-12-31,12.7,2.35,0.5047,0,133.2,248.8,4.5,79,0.07024095314306,0.25175270873168,0.31752411575563,1.6567,0.47553001783238,15.863187588152,7.6,0,0,99.8,69.7842,107.4,0.30076,NA,1045.7,19.293357933579,3.0266280752533,10.477955911824,9.7364990689013,3.3323773103888,0.1325,71.2274,1124.7,0.044614147909968,4.93,17.040567951319,NA,0.2748,0.37314972407035,NA,0.492,0,54.2,1124.7,0,0,70.9,0.22594008922881,-16.4,-0.052262587635437,0,8.4436936936937,1.1972217047662,0.31803696622052,3.5841300191205,-1.4433,-0.02068200201038,313.8,1.2875304797048,0.53228228228228,169.6,84.01,0,209093,345.5,63,17.852380952381,345.5,1.5,8.4436936936937
"7",2005-12-31,13.9,2.99,0.5583,0,180.7,277.8,1.9,96.1,0.065400843881857,0.35764793449944,0.34593232541397,1.6971,0.61615618842916,22.710973724884,8.5,0,0,93.9,61.927,102.4,0.3405,NA,1373.3,16.232860520095,4.5975895547372,14.625133120341,13.4111328125,5.1109043542985,0.1683,66.83,1469.4,0.043196544276458,5.15,22.13786407767,NA,0.3618,0.26786411557985,NA,0.8756,0,84.6,1469.4,0,0,64.7,0.24078898399702,-15.2,-0.056568663937477,0,8.1317100166021,1.3494339705814,0.34946036471902,5.4685522887979,-4.9029,-0.07917283451861,268.7,0.73199822695035,0.35805201992252,138.3,114.01,0,157122,298.7,67.5,21.768888888889,298.7,2.15,8.1317100166021
"8",2004-12-31,16.2,3.2,0.736,0,NA,337,5.6,106.1,0.11143787417288,0.40372907153729,0.31483679525223,-2.8156,0.8695652173913,5.6571598336304,8.3,0,0,68.4815,68.4815,76.7815,0,NA,846,6.2899628252788,3.2191780821918,12.353697756709,11.018276272728,3.659169550173,0.1333,73.9971,952.1,0.047774480712166,4.29,19.270396270396,NA,0.295,0.321608040201,NA,0,0,134.5,952.1,0,0,168.3,0.72794117647059,-20.6,-0.089100346020761,0,3.9571903574397,0.42439308579373,0.29620034602076,4.1180795847751,-5.5156,-0.080541012148329,231.2,0.50915628252788,0.69950124688279,129.8,82.67,0,178561,262.8,70.5,13.504964539007,262.8,2.3,3.9571903574397
"9",2003-12-31,16,3.3,0.9426,0,NA,114.8,4.2,52.6,0.052747693541917,0.24893516327497,NA,-5.0826,0.70019096117123,60.072289156627,8.8,0,0,38.5091,25.1025,47.3091,0.34814,NA,944.6,NA,4.4704212020823,24.529279847766,19.966568785527,5.379271070615,0.17,34.7851,997.2,0.14024390243902,3.03,20.023102310231,NA,0.0248,0.41265269639488,NA,0.7791,0.0052264808362369,-8.3,997.2,0,0,16.6,0.094533029612756,-25,-0.14236902050114,0,22.510158013544,3.5336640680368,0.2193,5.6788154897494,-9.6826,-0.38572105921212,175.6,-3.0244010709398,0.37471783295711,117.7,60.67,0,154479,211.3,58,17.193103448276,211.3,2,22.510158013544
"10",2002-12-31,13.8,5.07,1.4774,NA,NA,79.9,0.8,15.1,0.019172168613509,0.1021650879567,NA,10,0.7542,50.889655172414,13.1,0,0,10.4,9.6127,23.5,0.0757,NA,772.5,NA,NA,74.278846153846,32.872340425532,5.2266576454669,0.2525,21.9127,787.6,0.23153942428035,1.35,38.192592592593,NA,-0.4533,0.62562277580071,NA,0.7895,0.010012515644556,0.1,737.9,0.067353299905136,0.063103098019299,14.5,0.098105548037889,-17.3,-0.117050067659,0,NA,2.0154318880164,0.070365358592693,4.9925575101488,-12.3,-1.279554590168,147.8,96.1272,NA,106.3,51.56,49.7,220574,165.7,-18.9,NA,165.7,1.9,7725
