"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,201.2,3.55,0.8382,0.4181,1196.8,7216.2,0,995.8,0.7231,0.138,NA,0.8,NA,0,0,0,1124,1123.8,1124,0,381.3,0.36,0.34,0.34,NA,1123.8,1377.1,0.0039,NA,NA,NA,NA,0.7728,0.014,0.7324,0,1060.9,517.2,1.6626,0.6244,-628.6,0,NA,0.43,NA,0,0,NA,1.0593,-0.5252,0,2.66,859.9,6324890,NA,-780.8,NA,NA,2.45,0.67
"2",2010-12-31,200.4,3.46,1.0486,0.3832083071579,1669.1,9333.6,0,1304.2,0.72154910096819,0.1397317219508,NA,0.58411214953271,NA,0,0,0,1168.7,1168.7,1168.7,0,503.3,0.35901276838576,0.43064943954822,0.43064943954822,NA,1168.7,1807.5,0.0030641981657667,NA,NA,NA,NA,0.77293233082707,0.014,0.8512,0,1401.9,770.5,1.3458792991564,0.57372060857538,-466.3,0,NA,0.46162602600204,NA,0,0,NA,0.83365432627149,-0.2793721167096,0,3.73,1037,6491001,NA,-558.5,NA,NA,2.45,0.66793540519567
"3",2009-12-31,125.1,3.36,1.0953,0.33928480852143,1302.6,9404.4,0,1185.7,0.42842173724527,0.12607928203819,NA,0.52497032776408,NA,0,0,0,1302.3,1302.3,1302.3,0,1581.9,2.0131076609824,1.2146970744068,1.2146970744068,NA,1302.3,2767.6,0.0031474628897112,NA,NA,NA,NA,0.46419098143236,0.027,NA,0,785.8,2098.7,0.31872111307,0.24168955051308,-1374.2,0,NA,1.611162290803,NA,0,0,NA,1.6572919317893,-1.0549669890987,0,10.19,668.9,4418472,NA,-534.7,NA,NA,2.3,1.4038042099924
"4",2008-12-31,125.1,3.04,1.0415,0.30411264955757,2367.2,9182.8,0,1097.3,0.62520654093784,0.11949514309361,NA,0.36101776284206,NA,0,0,0,1393.2,1393.2,1393.2,0,657.8,0.285453914251,0.47215044501866,0.47215044501866,NA,NA,1755.1,0.003517445659276,NA,NA,NA,NA,0.89393939393939,0.022,0.8831,0,2304.4,720.6,1.4356092145434,0.58942510398268,-510.8,0,NA,0.30441027374113,NA,NA,NA,NA,0.60458253775386,-0.21578235890503,0,7.8,1034.5,4145078,NA,-1307.4,NA,NA,2.35,0.51594790839874
"5",2007-12-31,81.8,2.57,0.6279,0.23530625478984,2594.3,7716.4,0,288.9,0.24883720930233,0.037439738738272,NA,0.58608058608059,NA,0,0,0,1262.4,1262.4,1262.4,0,872.1,0.28098720881528,0.69082699619772,0.69082699619772,NA,NA,1161,0.004483956249028,NA,NA,NA,NA,NA,0.022,NA,0,3103.7,362.7,2.2009925558313,0.68759689922481,-1762.4,0,NA,0.13980649886289,NA,NA,NA,NA,0.40674034217225,-0.67933546621439,NA,3.48,798.3,1670197,NA,-1705.8,NA,NA,2.3,0.34221541001002
"6",2006-12-31,82.8,1.23,0.3904,0.15388403056803,4295.9,6621.7,0,293.7,0.1105964753728,0.044354168869021,NA,0.55327868852459,3.3004050008804,0,0.0044176492557221,8.28,1187.4,893.3166,1187.4,0.24767,2361.9,0.49375979931013,1.989135927236,1.989135927236,-0.075,NA,2655.6,0.004923207031427,-3.34,NA,0.04,NA,0.6241890639481,0.022,NA,0,4783.5,1874.3,0.41684895694393,0.29420846513029,567.9,0,0.014580031695721,0.43629972764729,NA,NA,NA,NA,0.18674958544998,0.13219581461393,NA,19.62,781.3,2291210,NA,-72.7,NA,NA,1.35,0.52304419758922
"7",2005-12-31,88,1.49,0.2307,0.14126961218894,4165.1,6357.6,0,195.3,0.032106396620033,0.030719139297848,NA,0.8,8.7454633830201,0,0.016303240269004,88,1238.7,907.1619,1238.7,0.26765,5887.6,1.2647905477981,4.7530475498506,4.7530475498506,0.07,NA,6082.9,0.0051434503586259,7.08,8.8333333333333,0.055,NA,0.14815691846239,0.019,NA,0,4655,5397.7,0.12694295718547,0.1126436403689,617.2,0,0.14257939079715,1.2959352716621,1.24935191186,NA,NA,NA,0.19487904296455,0.14818371707762,NA,62.54,685.2,347500,NA,572.7,9.4250043652872,NA,1.35,1.2541286106014
"8",2004-12-31,96.3,1.8,0.3566,0.13366367684877,NA,6380.7,0,166.5,0.02469703487251,0.026094315670694,0,1.0095344924285,11.292376017765,0,0.0091171554475004,57.78,NA,NA,NA,0.26952,6575.2,1.4243133177368,NA,NA,0.065,NA,6741.7,0.0057047032457254,6.57,10.016742770167,0.09,0,0.11191166105411,0.019,0,0,4616.4,6102.4,0.10476206082853,0.094827714078052,540.4,0,0.10692079940785,1.4727290278984,1.7372886181176,0,NA,NA,NA,0.13041799401487,0,65.81,639.3,411000,NA,540.4,11.292376017765,0,1.2,1.4095423278764
"9",2003-12-31,98.4,1.41,0.356,0.1364008552063,NA,5917.4,0,161.3,0.021617926930603,NA,0,0.79213483146067,14.602468610343,0,0.0043598314198518,29.52,NA,NA,NA,0.24701,7300.1,1.7236323282884,NA,NA,0.045,NA,7461.4,0.0062020481968432,5.59,12.309481216458,0.15,0,0.18383565751987,0.015,0,0,4235.3,6861.7,0.08739816663509,0.080373656418366,469.9,0,0.062821876995105,1.8071848086597,3.2449930245206,0,NA,NA,NA,0.12375885590877,0,68.81,599.7,149000,NA,462.4,14.839316608996,0,1.2,1.697084110449
"10",2002-12-31,100.3,0.82,0.3828,0.16629014831549,NA,5300.3,0,113.3,0.018199049087638,NA,0,0.4713,9.1572866809705,0,0.0027115925311802,15.045,1182.1,824.6566,1182.1,0.30238,6112.3,NA,5.1707131376364,5.1707131376364,0.05,824.6566,6225.6,0.0067920683734883,4.73,12.008456659619,NA,0,0.24949505687254,0.013,NA,0,3959.1,5548.4,0.12205320452743,0.10877666409663,605.9,0,0.024830830169995,1.6341894439208,1.8314573361941,0,0,0,0.20829395620217,0.17845782280867,0,56.8,677.2,935235,0,605.9,9.1572866809705,0,1.2,1.5438609785052
"11",2001-12-31,NA,0.76,0.4199,0.1352,NA,4567,0,186.4,0.035338502663659,NA,0,0.3188,7.5146299483649,0,0.0022,10.5657,NA,NA,NA,0.31416,5088.3,NA,NA,NA,0.08,NA,5274.7,0.0076198817604554,6.1,7.1229508196721,0.24,NA,0.37777777777778,0.011,0.9402,0,3305.937,4802.6,0.098300920334819,0.089502720533869,639.1,0,0.016532185886403,1.59015959208,0.93932874354561,0,NA,NA,NA,0.21160850274816,0,43.45,472.1,838600,0,652.7,7.3580511720545,0,1.2,1.595523447664
"12",2000-12-31,NA,1.1,0.4586,0.121913059484,NA,3857.8,0,157.2,0.022870777199057,NA,NA,0.71958133449629,11.626570915619,0,0.0016491661519456,10.68,NA,NA,NA,0.31404,6716.2,NA,NA,NA,0.11,NA,6873.4,0.0081134325263103,NA,9.9048387096774,NA,NA,0.20919684054117,0.012,0.9207,NA,2705.1,6476,0.06136504014824,0.057817091977769,557,0,0.019174147217235,2.627287111039,105.6960992329,0,NA,NA,NA,0.22597265609153,NA,61.41,397.4,NA,NA,612.8,10.567885117493,NA,NA,2.4013555532264
