"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-07-31,35.6,1.46,0.3057,0.3755,816.3,1927.6,132.6,60.3,0.0253,0.0589,0.0313,0,0.8,129.95,127.6,0.0141,26.7,61,34.29,188,0.4361,0.4363,2327.7,1.87,2.27,38.28,12.36,2.27,0.27,0.065,29.29,2388,0.5443,NA,NA,-0.085,0.045,0.2262,0.034,NA,0.1877,1246.8,1897.2,0.2587,0.2055,14.6,0.0143,-76.2,-0.0744,2.7526,2.32,4.81,0.0594,1.85,5,0.1458,1024.4,0.0275,0.0179,0,54.09,490.8,374172,1024.4,9.7,195.59,1024.4,1.25,1.83
"2",2011-07-31,36.1,1.73,0.4314,0.36820428336079,843.7,1946.2,95.6,82.6,0.039967097304882,0.070779777206512,0.042441681224951,8.0082,0.75336114974502,41.777188328913,118,0.0137,21.5775,97.5,62.6662,215.5,0.35727,0.35775127768314,1984.1,1.5837324393359,1.8914204003813,20.349743589744,9.2069605568445,1.7001713796058,0.2,0.06,77.0579,2066.7,0.52497173980064,NA,NA,0.02,0.3375,0.21414761742295,0.035,NA,0.18456479292981,1252.8,1575,0.31219047619048,0.23791551749165,37.7,0.032305055698372,-79.2,-0.067866323907455,0.5723474801061,1.8667772905061,2.0888594164456,0.083547557840617,1.3496143958869,-14.3918,-0.22965776639344,1167,0.050020893199234,0.044684129429892,0,42.36,491.7,266046,1049,25,63,1049,1.3,1.5476261794219
"3",2010-07-31,35.9,1.65,0.4916,0.39628319915732,802.4,1922.8,69,26.6,0.01087134216119,0.030623992631821,0.013833992094862,-25.4467,0.63567941415785,66.439446366782,110.6,0,0,63.9,38.1707,174.5,0.40265,0.40289256198347,2420.2,1.8581190019194,2.3676384269223,37.874804381847,13.869340974212,2.7863228183283,0.1,0.055,105.2174,2446.8,0.53432494279176,NA,NA,0.255,-0.1044,0.25069444444444,0.031,NA,0.14062825046807,1302.5,1920.1,0.27430862975887,0.21526074873304,28.9,0.033271931844347,-143.9,-0.16566889247064,0,2.3929461615155,6.6439446366782,0.073566658991481,2.2105687312917,-67.0467,-1.7564991829063,868.6,0.029305692898273,0.036016949152542,0,52.04,526.7,331033,1022.2,27.1,70.852398523985,1022.2,1.25,1.8409450003762
"4",2009-07-31,36.2,1.61,0.4605,0.39131472202338,765.3,1884.5,106.5,80.4,0.042175942926087,0.082292732855681,0.042663836561422,0,0.4343105320304,28.863265306122,107.2,0,0,107.2,65.928,214.4,0.385,NA,1825.9,1.5514487212168,1.8688843398158,17.032649253731,8.5163246268657,1.8688843398158,0.045,0.03,66.628,1906.3,0.56126293446538,NA,NA,0.405,-0.1344,0.48382584367896,0.031,NA,0.13128150703104,1176.9,1414.3,0.34787527398713,0.25809159104023,49,0.050153531218014,-102.4,-0.10481064483112,0,1.8480334509343,6.4140589569161,0.10972364380757,1.4475946775844,-0.7,-0.010617643489868,977,0.056018353301045,0.064027178884098,0,37.8,492,361976,977,49,28.863265306122,977,1.25,1.5161854768154
"5",2008-07-31,36.9,1.35,0.3541,0.43306106573318,728.8,1926,150.9,220.8,0.15070643642072,0.19163339697969,0.11464174454829,10.1776,0.47444224795256,8.8279883381924,93.8,0,0,176.8,109.6142,270.6,0.38001,NA,1244.3,1.1686860148399,1.0308176621655,7.0378959276018,4.5983000739098,1.0799340392293,0.13,0.085,42.3366,1465.1,0.54870197300104,2.55,10.43137254902,0.525,0.2893,0.57340640323046,0.014,NA,0.11152647975078,1064.7,908.4,0.61283575517393,0.37997406320388,102.9,0.089307411907655,-213.6,-0.18538448186079,0,1.2464324917673,0.6790760260148,0.15344558236417,0.78840479083492,67.2776,0.61376708869481,1152.2,0.10295316239316,0.1411909989023,NA,26.6,556.7,203176,1207.1,93,9.7677419354839,1207.1,1.05,1.1397121742513
"6",2007-07-31,38.8,0.66,0.2451,0.45247018739353,642.8,1687.6,218.6,191.8,0.075124358622851,0.22863273334128,0.11365252429486,11.697,0.5875152998776,44.146288209607,86.1,0,0,110.3,67.283,196.4,0.39,NA,2361.3,2.4040928527795,2.5530327602984,21.40797824116,12.022912423625,2.8147574204315,0.25,0.075,-76.914,2553.1,0.50432566958995,3.51,14.877492877493,0.16,-0.022,0.22080434882757,0.019,0.9819,0.1249703721261,982.2,2021.9,0.26272318116623,0.20806078884493,45.8,0.054595303373465,-114.1,-0.13601144355704,0,3.1454573739888,1.7658515283843,0.13148170222911,2.4101799976159,144.197,2.1431414197629,838.9,0.068502341681939,0.07125077784692,NA,52.22,531.2,506600,924.9,72.6,27.849862258953,924.9,0.9,2.1747018739353
"7",2006-07-31,38.8,0.88,0.2881,0.45247018739353,642.8,1687.6,218.6,191.8,0.08333695416033,0.22863273334128,0.11365252429486,3.8219,0.4998264491496,38.652838427948,86.1,0,0,110.3,67.283,196.4,0.39,NA,2109.7,2.1479332111586,2.4333333333333,19.126926563917,10.741853360489,2.5148408630349,0.145,0.04,-69.0389,2301.5,0.50432566958995,2.22,20.189189189189,0.16,-0.022,0.22462648119526,0.057,0.938,0.1249703721261,982.2,1770.3,0.30006213636107,0.23080599608951,45.8,0.054595303373465,-114.1,-0.13601144355704,0,2.7540448039826,2.6657129950309,0.13148170222911,2.1102634402193,136.3219,2.0260975515948,838.9,0.068502341681939,0.07125077784692,NA,44.82,531.2,291900,867,44.3,39.961625282167,867,0.9,1.9603918228279
"8",2005-07-31,36.6,1.07,0.3363,0.49110420785089,NA,1525.9,152.1,136.6,0.077710774832177,0.17128526645768,0.089520938462547,1.1744,0.63633660422242,43.678445229682,90,0,0,92.412,57.398,182.412,0.37889,NA,1621.2,1.7513233228908,2.0328526645768,17.543176210882,8.8875731859746,2.0014814814815,0.335,NA,-5.8764,1757.8,0.55246084278131,1,33.07,-0.05,0.0835,0.29116865869854,NA,0.7759,0.13926207484108,925.7,1236.1,0.42205323193916,0.29679144385027,28.3,0.034938271604938,-76.1,-0.093950617283951,0,2.2865334813171,1.3038341859607,0.11408888888889,1.526049382716,63.2744,1.1023792400927,810,0.062004987922653,0.052349241583426,0,33.07,521.7,106400,797.5,25.4,48.665354330709,797.5,1,1.6547114751012
"9",2004-07-31,35.3,1.17,0.3696,0.55845082991255,NA,1534,90.8,46.3,0.032348214909523,0.064646746718794,NA,0.7067,0.63311688311688,25.171875,86.4,0,0,174.9886,174.9886,261.3886,0,NA,1385,1.2892115796332,1.9338173694499,7.9148031162723,5.2986251578875,1.9185482753844,0.11,NA,169.8819,1431.3,0.63155149934811,0.6,36.983333333333,-0.145,0.0144,0.26242277733011,NA,0.5851,0.15013037809648,1074.3,805.5,0.77690875232775,0.43722490044016,32,0.044327469178557,-89.5,-0.12397839035878,0,1.6279304769604,2.2883522727273,0.2424,1.115805513229,5.1067,0.029182918157879,721.9,0.1628861211952,0.064672594987874,0,22.19,625.8,54200,716.2,27.2,29.613970588235,716.2,0.95,1.2772621809745
"10",2003-07-31,35.3,1.07,0.383,0.53973387543892,NA,1455.4,128.9,7.9,0.0066420043719523,0.011120495495495,NA,-10.8,0.6117,NA,82.2,0,0,40.2,40.2,122.4,0,NA,1181.5,NA,NA,29.390547263682,9.6527777777778,1.6631475225225,0.12,NA,-6.5,1189.4,0.64057990930328,0.25,68.04,NA,0.1507,0.26927214055217,NA,0.6484,0.16043699326646,1074.3,605.3,0.96497604493639,0.49108794350092,-5.3,-0.0074605855855856,-42.9,-0.060388513513514,NA,1.2152178277454,NA,0.056587837837838,0.85205518018018,46.7,1.1616915422886,710.4,0.037419715163362,-0.010640433647862,0,17.01,584.1,112065,698.6,-3.6,NA,698.6,0.85,1.0997859071023
