"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,27.9,1.67,0.5197,0.0506,103.3,156.9,14.5,29.3,0.1193,0.1863,0.1867,1.28,0.8,300.25,7.4,0,0,2,0.68,9,0.6,0.7037,216.4,2.72,1.3,127.29,23.78,1.38,NA,-7.7,245.7,0.1816,0.34,24.41,0.12,0.5704,NA,0.6886,0.1657,79.5,240.2,0.0229,0.0224,0.8,0.0051,22.2,0.1411,0,2.33,0.0108,1.53,8.38,12.3298,157.3,0.0086,0.0077,60.1,8.3,5.5,235781,166.4,10.2,23.55,166.4,1.4,2.26
"2",2010-12-31,27.2,1.06,0.5162,0.15465898174832,88,149.8,8.8,47.8,0.10042016806723,0.3921246923708,0.31909212283044,2.9231,0.65381635025184,NA,6,0,0,-6.5815,-6.5815,-0.5815,0,NA,428.2,7.6056838365897,2.8718980549967,NA,NA,3.512715340443,0.1,-12.3045,476,0.13417890520694,NA,NA,0.1649,0.21859937624043,NA,0.8308,0.17757009345794,56.3,459.9,0.035007610350076,0.033823529411765,-6.1,-0.050041017227235,13.1,0.10746513535685,NA,5.2261363636364,-0.053990894175554,3.7727645611157,5.7231,NA,121.9,-0.11690035523979,-0.069318181818182,53.2,16.24,16.1,181802,149.1,-3.1,NA,149.1,1.35,4.5725264169068
"3",2009-12-31,26.3,1.53,0.6677,0.17634635691658,78,128.8,5,29.6,0.056934025774187,0.29220138203356,0.22981366459627,1.1088,0.54290849183765,NA,5.6,0,0,-14.0788,-14.0788,-8.4788,0,NA,490.3,7.531490015361,4.23768366465,NA,NA,4.8400789733465,0.18,-14.5876,519.9,0.13276397515528,NA,NA,0.037,0.31188621740603,NA,0.7361,0.19953416149068,65.1,503.2,0.03318759936407,0.032121561838815,-22.9,-0.22606120434353,7.8,0.076999012833169,NA,6.451282051282,-0.13898134254689,4.9674234945706,0.5088,NA,101.3,-0.2162643625192,-0.29358974358974,49.1,18.89,16.7,156682,115.7,-13.8,NA,115.7,1.45,5.4899683210137
"4",2008-12-31,22.1,1.28,0.6455,0.23465703971119,63.6,102.3,7.1,12.6,0.028099910793934,0.15328467153285,0.12316715542522,4.2562,0.35941130906274,NA,5.5,0,0,-12.2322,-12.2322,-6.7322,0,NA,435.8,6.1815602836879,4.4974200206398,NA,NA,5.301703163017,0.35,-18.0884,448.4,0.17008797653959,NA,NA,0.3216,0.65792474344356,NA,0.6643,0.25610948191593,70.5,428.9,0.045465143390068,0.043487957181088,-14.8,-0.18004866180049,23.8,0.28953771289538,NA,6.7437106918239,-0.1488099756691,5.2177615571776,5.8562,NA,82.2,-0.17350609929078,-0.23270440251572,38.7,17.84,19.5,215991,96.9,-11.5,NA,96.9,1.45,5.395908543923
"5",2007-12-31,20.4,1.29,0.5293,0.32362459546926,62.7,108.3,4.7,22.2,0.13927227101631,0.38675958188153,0.20498614958449,-5.2976,0.4685433591536,NA,4.6,0,0,-16.0283,-16.0283,-11.4283,0,NA,137.2,1.9460992907801,1.8172185430464,NA,NA,2.390243902439,0.25,-10.8308,159.4,0.134810710988,-0.99,NA,-0.1001,0.57333333333333,NA,0.6865,0.22437673130194,70.5,129.4,0.23183925811437,0.18820577164366,-15.7,-0.27351916376307,16.8,0.29268292682927,NA,2.0637958532695,-0.2792393728223,2.2543554006969,-5.1976,NA,57.4,-0.22735234042553,-0.25039872408294,30.1,5.07,30,521437,75.5,-17.4,NA,75.5,1.55,1.7195253505933
"6",2006-12-31,17.3,1.51,0.4131,0.38056680161943,45.9,91.7,6.8,11.4,0.062091503267974,0.21150278293135,0.12431842966194,-0.4132,0.44541273299443,NA,7.6,0,0,-21.7434,-21.7434,-14.1434,0,NA,172.2,2.7464114832536,3.0971223021583,NA,NA,3.1948051948052,0.2,-20.5302,183.6,0.14830970556161,-1.03,NA,0.1407,0.37729549248748,NA,0.5788,0.23118865866957,62.7,155.4,0.18146718146718,0.15359477124183,-16.3,-0.30241187384044,13.1,0.2430426716141,NA,3.3856209150327,-0.40340185528757,2.8831168831169,-1.2132,NA,53.9,-0.34678405103668,-0.35511982570806,26.4,9,28.2,289362,55.6,-14.1,NA,55.6,1.15,2.4777327935223
"7",2005-12-31,16.6,1.46,0.4774,0.32428765264586,49.8,88.5,3.8,26.5,0.098917506532288,0.58370044052863,0.29943502824859,-0.8326,0.2681189777964,NA,4,0,0,-11.2549,-11.2549,-7.2549,0,NA,241.4,5.114406779661,4.6964980544747,NA,NA,5.3171806167401,0.4,-10.2223,267.9,0.11751412429378,-1.23,NA,0.334,0.29148230088496,NA,0.6905,0.2271186440678,47.2,244,0.097950819672131,0.089212392683837,-6.8,-0.14977973568282,6.3,0.13876651982379,NA,4.8995983935743,-0.24790572687225,5.3744493392071,-1.0326,NA,45.4,-0.23845169491525,-0.13654618473896,21.3,13.95,23.9,145080,51.4,-18.8,NA,51.4,0.8,3.6350067842605
"8",2004-12-31,15.7,1.16,0.5159,0.050359712230216,NA,67.7,3,12.8,0.053668763102725,0.30992736077482,0.1890694239291,1.3848,0.44969955417717,NA,3.8,0,0,-8.9456,-8.9456,-5.1456,0,NA,225.7,5.2733644859813,5.4648910411622,NA,NA,7.0093167701863,NA,-9.5303,238.5,0.16100443131462,-0.36,NA,-0.3464,0.36531049250535,NA,0.4892,0.3397341211226,42.8,235.7,0.011879507848961,0.011740041928721,-9.8,-0.30434782608696,4.9,0.15217391304348,NA,4.4640151515151,-0.27781242236025,7.3198757763975,0.5848,-0.065371268953051,32.2,-0.20900841121495,-0.18560606060606,15.7,14.17,2.8,58314,41.3,-10.1,NA,41.3,0.95,4.2895683453237
"9",2003-12-31,14.3,1.39,0.5407,0.038306451612903,NA,63,2.4,12.2,0.085553997194951,0.32189973614776,NA,-0.2051,0.51414832624376,NA,3.8,0,0,-7.767,-7.767,-3.967,0,NA,130.4,3.4866310160428,3.4406332453826,NA,NA,2.8977777777778,NA,-6.1619,142.6,0.17142857142857,NA,NA,-0.2565,0.44946589975349,NA,0.5247,0.34126984126984,37.4,140.7,0.013503909026297,0.013323983169706,-7.2,-0.16,1.3,0.028888888888889,NA,2.9496855345912,-0.1726,3.1266666666667,-1.6051,0.20665779723331,45,-0.20767379679144,-0.15094339622642,19.8,9.63,1.9,32281,37.9,-1.7,NA,37.9,0.8,2.875
"10",2002-12-31,13.7,1.88,0.6898,0.061913696060037,NA,71.4,1.8,11.1,0.110337972167,0.19137931034483,NA,-10.6,0.5996,NA,4.6,0,0,-20.1382,-20.1382,-15.5382,0,NA,89.5,NA,NA,NA,NA,1.5431034482759,NA,-17.3382,100.6,0.16386554621849,NA,NA,-0.4485,0.28667563930014,NA,0.5036,0.27450980392157,42.2,97.3,0.033915724563207,0.032803180914513,-26.5,-0.45689655172414,10.7,0.18448275862069,NA,1.946,-0.34721034482759,1.6775862068965,-2.8,NA,58,-0.47720853080569,-0.53,26.5,6.8,3.3,14090,47.4,-9.5,NA,47.4,0.8,2.1208530805687
"11",2001-12-31,NA,1.51,0.7236,0.0913,NA,85.7,6.2,25.6,0.25806451612903,0.32862644415918,NA,-3.8272,0.3647,NA,5.3,0,0,-18.645,-18.645,-13.345,0,NA,73.6,NA,NA,NA,NA,0.94480102695764,NA,-15.7178,99.2,0.25320886814469,-1.54,-4.3636363636364,-0.261,0.5633423180593,0,0.4627,0.079346557759627,40.172,93.2,0.064377682403434,0.060483870967742,-33.7,-0.43260590500642,16.233,0.20838254172015,NA,1.5611390284757,-0.23934531450578,1.196405648267,-2.9272,NA,NA,-0.46412924424973,-0.56448911222781,35.2,6.72,6,15900,77.9,-36.7,NA,59.5,0.85,2.4693816588669
"12",2000-12-31,NA,1.05,0.7898,0.19757365684575,NA,122.1,11.8,2.7,0.021686746987952,0.026392961876833,NA,-23.6522,0.39883514813877,NA,3.7,0,0,-8.40906,-8.4091,-4.7091,0,NA,121.8,NA,NA,NA,NA,1.1906158357771,NA,7.2826,124.5,0.18509418509418,NA,NA,-0.4489,0.59044849766499,NA,0.4772,NA,89.9,101.7,0.22418879056047,0.18313253012048,-10.3,-0.10068426197458,53,0.51808406647116,NA,1.4570200573066,-0.0822,0.9941348973607,-15.6917,NA,NA,-0.093537931034483,-0.14756446991404,34.9457,10,22.8,NA,102.3,-16.5,NA,89.9,NA,1.3444924406048
