"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,33.4,1.49,0.3608,0.2642,206.1,428.8,21.9,6.8,0.0121,0.009,0.0159,1.89,0.8,20.83,31.2,0.0219,10.69,43,26.33,74,0.389,0.389,554.6,2.03,0.72,12.87,7.46,0.73,0.18,0.05,33.74,561.4,0.3286,1.04,14.57,-0.065,-0.025,0.1903,0.033,0.8899,0.1444,273.3,487.4,0.1518,0.1318,23.4,0.031,101.3,0.134,0.3686,2.36,1.16,0.057,0.64,-7.41,-0.2814,755.7,0.0964,0.1135,155.2,15.15,74,102681,769.8,29,16.81,769.8,1.45,2
"2",2010-12-31,35.3,2.63,0.6971,0.28349120433018,211.8,432.4,20.5,4.7,0.0089592070148685,0.0063720173535792,0.010869565217391,1.5096,0.52001147611534,31.942028985507,33.6,0.0229,10.0943,24.4,16.0342,58,0.34286,0.34285714285714,519.9,1.7872121003781,0.69468198824158,21.30737704918,8.9637931034483,0.70485357917571,0.195,0.045,27.6246,524.6,0.35106382978723,0.78,15.820512820513,-0.055,0.0501,0.22237136465324,0.02,0.8249,0.13783533765032,290.9,440.8,0.19010889292196,0.15974075486085,13.8,0.018709327548807,103.1,0.13977765726681,0.73147246376812,2.081208687441,1.6380527684876,0.033080260303688,0.59761388286334,-11.5904,-0.72285425751521,737.6,0.055119339979374,0.065155807365439,140.1,12.34,83.8,138253,748.4,21.2,20.792452830189,748.4,1.45,1.7746955345061
"3",2009-12-31,35.3,2.59,0.8226,0.28788296991444,258,510,16,4.7,0.010266491917868,0.0066970646907951,0.0092156862745098,5.0093,0.44067590566497,16.995192307692,36.3,0.026,9.191,38.7,26.4704,75,0.31601,0.31578947368421,453.1,1.2670581655481,0.61428958785249,11.708010335917,6.0413333333333,0.64562553434027,0.115,0.01,41.7611,457.8,0.31058823529412,0.66,14.757575757576,-0.005,-0.1924,0.30140845070423,0.02,0.7758,0.25862745098039,357.6,353.5,0.29504950495049,0.22782874617737,20.8,0.029638073525221,98.2,0.13992590481619,0.441875,1.3701550387597,1.4778428093645,0.055143915645483,0.50370475919065,-15.2907,-0.57765070033401,701.8,0.074022407718121,0.08062015503876,148.3,9.74,104.3,124843,737.6,11.1,31.846846846847,737.6,1.45,1.2635937068728
"4",2008-12-31,35.2,2.61,0.7861,0.40419514494462,252.8,568.9,41,10.4,0.021164021164021,0.011984328186218,0.018280892951309,-21.8694,0.29512784632998,17.106951871658,40.3,0.0265,8.4774,42.7,25.6196,83,0.40001,NA,481,1.1621164532496,0.66935708321737,11.264637002342,5.7951807228916,0.55427517861258,0.13,0.035,46.7889,491.4,0.34962207769379,0.7,13,0.05,-0.057,0.60979020979021,0.009,0.7533,0.23237827386184,413.9,319.9,0.53610503282276,0.34900284900285,18.7,0.021548743950219,127.2,0.14657755243144,0.45333422459893,1.2654272151899,1.3159193747429,0.049204885918414,0.36863332565107,-21.1694,-0.82629678577275,867.8,0.061897977772409,0.073971518987342,159.9,9.1,171.5,142367,718.6,12.1,26.438016528926,718.6,1.45,1.158142823474
"5",2007-12-31,35.2,1.67,0.4996,0.35006145022532,317.3,697.6,19.8,7.6,0.017411225658648,0.0082716586852416,0.010894495412844,1.0173,0.40032025620496,9.2222222222222,37.7,0.031807228915663,8.448,60,38.8278,97.7,0.35287,NA,428.9,0.89242613399917,0.47095640715933,7.1483333333333,4.3899692937564,0.46680452764475,0.14,0.07,55.7105,436.5,0.30676605504587,0.69,11.536231884058,0.045,0.1742,0.51734539969834,0.009,0.7417,0.28641055045872,480.6,265.6,0.64344879518072,0.39152348224513,28.8,0.031345232912495,115.4,0.12559860687854,0.29333333333333,0.83706271667192,0.65873015873016,0.065302568567697,0.28907270352634,-16.8827,-0.43480834052622,918.8,0.080790262172285,0.090765836747558,185.2,7.96,170.9,61784,910.7,17.5,15.177142857143,910.7,1.25,0.89410077836952
"6",2006-12-31,35.1,2.09,0.3432,0.41787639983409,280.7,662,12.4,6.6,0.0093233507557565,0.0084615384615385,0.0099697885196375,-22.0003,0.46620046620047,17.644599303136,28.2,0,0,60.9,38.7903,89.1,0.36305,NA,701.3,1.4745584524811,0.79575626914785,11.515599343186,7.8709315375982,0.89910256410256,0.17,0.07,76.5905,707.9,0.2285498489426,1.13,12.079646017699,0.02,-0.1433,0.26102635228849,0.009,0.6487,0.25407854984894,475.6,506.4,0.39790679304897,0.28464472383105,28.7,0.036794871794872,169.4,0.21717948717949,0,1.804061275383,1.0379176060668,0.078076923076923,0.64923076923077,-37.8003,-0.97447882338701,780,0.081560670731707,0.10224438902743,146.6,13.65,201.5,243600,881.3,47.6,10.638655462185,881.3,1,1.4680630443799
"7",2005-12-31,34.8,1.73,0.3293,0.4267860158757,339.4,760,26.9,19.2,0.023665721681252,0.021245988713069,0.025263157894737,0.4645,0.41299726692985,21,36,0.013082706766917,7.308,54.9,36.0808,90.9,0.34279,NA,792.1,1.382614766975,0.87972012438916,14.428051001821,8.7139713971397,0.87650769060529,0.2,0.075,44.7163,811.3,0.2575,1.3,12.046153846154,-0.045,0.1201,0.14555996338114,0.017,0.6634,0.36263157894737,572.9,558.6,0.45238095238095,0.31147540983607,26.6,0.029434546862897,127.2,0.14075467522408,0.27473684210526,1.6458456098998,1.05,0.06075024897643,0.61812548412084,-8.6355,-0.23933789247915,903.7,0.062979279106301,0.07837360047142,191.2,15.66,252.7,133300,900.4,33.5,16.674626865672,900.4,0.85,1.3702077351799
"8",2004-12-31,34.6,0.61,0.3426,0.44497914661533,NA,785.6,25.9,8,0.010301313417461,0.0090702947845805,0.010183299389002,13.9409,0.35610040863981,19.424124513619,39.2,0.01372683596431,6.92,50.5063,33.5281,89.7063,0.33616,NA,768.6,1.2489437764056,0.87142857142857,15.217912548284,8.5679629751633,0.95704146432574,0.165,0.09,32.8872,776.6,0.26794806517312,0.79,18.443037974683,-0.04,0.1641,0.23307021188201,0.017,0.5898,0.36430753564155,615.4,499.2,0.5556891025641,0.35719804275045,25.7,0.032000996139958,141.9,0.17669032499066,0.2692607003891,1.442774566474,1.177219667492,0.062889142074462,0.62159133358237,0.6409,0.019114324418328,803.1,0.054481771655509,0.074277456647399,188.2,14.57,277.4,270300,882,12929.9,0.038608187224959,882,0.8,1.2457491177414
"9",2003-12-31,33.2,0.09,0.3176,0.42254901960784,NA,621.6,20,5.7,0.0087895142636854,0.0080146231721035,NA,8.5331,0.056675062972292,26.564417177914,34.8,0.015974440894569,6.64,69.4816,46.0239,104.2816,0.33761,NA,642.8,1.2746381122348,0.90382452193476,9.2513688154319,6.1640782109137,0.97231886250189,0.185,0.055,52.2908,648.5,0.29568854568855,0.79,15.848101265823,-0.045,0.0833,0.1492613346918,0.0229,0.5383,0.36454311454311,504.3,433,0.49769053117783,0.33230531996916,16.3,0.024655876569354,112.6,0.17032219028891,0.40736196319018,1.4702886247878,1.4359144420494,0.1051,0.65496899107548,-6.2669,-0.13616523255317,661.1,0.091262985619473,0.0553480475382,165.6,12.52,215.5,38500,711.2,16.3,26.564417177914,711.2,0.85,1.271568627451
"10",2002-12-31,30.1,0.5,0.4255,0.47666803110929,NA,602.5,28.4,1.7,0.0027445915402002,0.0027960526315789,NA,11.4,0.257,16.104166666667,35.7,0.015575679172057,6.02,52.2,30.988,87.9,0.40636,NA,617.7,NA,NA,11.833333333333,7.0273037542662,1.0159539473684,0.12,0.03,38.288,619.4,0.31668049792531,0.64,19.859375,NA,-0.0086,0.20361990950226,0.034,0.5306,0.34340248962656,486.9,386.5,0.6025873221216,0.37600904100743,24,0.039473684210526,102.7,0.16891447368421,0.25083333333333,1.5115369573719,1.3420138888889,0.085855263157895,0.63569078947368,-7.3,-0.23557500049697,608,0.063643475046211,0.093859992178334,149.2,12.71,232.9,42471,638.2,21.2,18.231132075472,638.2,0.9,1.2686383240912
