"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,426.7,1.26,0.2764,0.596,3504.8,11598.1,279.8,415.3,0.0255,0.0678,0.0358,103.55,0.8,20.75,510.7,0,0,759,622.72,1270,0.18,0.18,15896.3,1.92,2.4,20.93,12.52,2.59,0.12,0.02,750.07,16311.6,0.1119,1.37,20.04,-0.025,0.225,0.1702,0.017,0.8618,0.3102,8260.2,11140.9,0.4641,0.317,536.8,0.0876,1282,0.2091,0,3.18,1.73,0.1239,1.82,-127.35,-0.2045,6129.8,0.0754,0.1532,968.5,27.45,5170.7,3993984,6624.9,608.4,18.31,6624.9,1.05,1.88
"2",2010-12-31,328.9,0.68,0.2829,0.59313984762719,3615.4,11536.8,192.8,715.1,0.049419488597097,0.13119897257132,0.061984259066639,111.4084,0.8,26.656911040278,422.8,0,0,417.2,405.0094,840,0.02922,0.030345602697387,13754.9,1.6833802472158,2.2798680633826,32.969558964525,16.374880952381,2.5236033391432,NA,0.015,523.601,14470,0.10482109423757,1.12,19.160714285714,NA,-0.0025,0.24346764346764,0.018,0.8544,0.31198425906664,8171,9199.3,0.57294576761275,0.36425017277125,345.1,0.06331529217503,1042.1,0.19119346848913,0,2.5444764064834,NA,0.076543436381983,1.687790110999,-118.5916,-0.29281187356736,5450.5,0.049566689022151,0.095452785307297,1418.5,21.46,5270.7,6364724,6033.2,428.1,21.488670871292,6033.2,1.05,1.628385906078
"3",2009-12-31,306.6,0.72,0.3259,0.6136804855872,3144.1,10801.7,154.4,456,0.039230530988678,0.089538171536287,0.042215577177666,60.5153,0.76710647437864,28.5,401.2,0,0,319.4,299.8336,720.6,0.06126,0.060960839725474,11167.6,1.4536224715591,2.0804798986549,34.964308077646,15.497640854843,2.1928212378259,NA,0.055,486.1182,11623.6,0.10392808539397,1.2,17.608333333333,NA,-0.0146,0.17620706819313,0.02,NA,0.30839590064527,7682.6,6629.1,0.75342052465644,0.42968615575209,232.6,0.045672321709079,1120.7,0.22005576500157,0,2.1084253045387,NA,0.062715991203267,1.3016611687088,-186.2847,-0.62129358404624,5092.8,0.039027615130294,0.07397983524697,1382.9,21.13,4994.5,6358797,5367.8,299.7,22.119119119119,5367.8,1,1.4282063254122
"4",2008-12-31,304.7,NA,NA,0.65674656098769,2702.4,10409.9,165.1,597.5,0.055070139541743,0.11629943942697,0.057397285276516,-39.0632,NA,NA,425.3,0,0,274.2,274.2,699.5,0,NA,10252.3,1.4091733787833,2.0736013915295,37.389861415025,14.656611865618,1.9955426658362,NA,0.105,573.4632,10849.8,0.10221039587316,1.17,15.752136752137,NA,1.3553,0.33125433125433,0.037,NA,0.30371089059453,7275.4,5679.3,0.91041149437431,0.47655256318089,-181.2,-0.035269386483961,1037.7,0.20198146994706,NA,2.1015763765542,NA,0.053371223917783,1.1054383369667,-299.2632,-1.0914048734054,5137.6,0.037688649421338,-0.067051509769094,1370.7,18.43,5170.5,7604810,4944.2,101.8,55.788801571709,4944.2,1,1.3781198795869
"5",2007-12-31,304.4,0.97,0.3002,0.58769156217821,3402.4,11353.2,110.5,575.6,0.073959859173027,0.26418211859739,0.050699362294331,-832.4957,0.63957361758827,NA,157.8,0,0,-988.3586,-988.3586,-830.5586,0,NA,7207,0.93866812539887,1.4193434035095,NA,NA,3.3077841013402,NA,0.205,-108.5628,7782.6,0.09714441743297,0.89,11.112359550562,NA,0.1033,0.45856873822976,0.033,0.9815,0.3396399253074,7677.9,2931.5,1.6548183523793,0.6233263947781,-1154,-0.5296493482651,625.7,0.28717642739122,NA,0.86159769574418,NA,-0.45362518817698,1.3454653937948,-879.7957,NA,2178.8,-0.12872771981922,-0.33917234893017,1861.3,9.89,4851.1,4801037,5077.7,-1730.4,NA,5077.7,1.2,0.94294541709578
"6",2006-12-31,248.4,0.61,0.245,0.51907484104299,1648.9,4253.9,161.9,1426.6,0.27363050483351,0.88509740662613,0.33536284350831,-75.5192,0.48979591836735,15.802577082375,61.5,0,0,498.4,254.503,559.9,0.48936,NA,3787,1.8916083916084,1.983865053172,7.5983146067416,6.7637078049652,2.3495470902097,0.06,0.175,229.6222,5213.6,0.16142833635017,1.05,13.038095238095,0.06,0.0859,0.27825844264583,0.0409,0.5705,0.22696819389266,2002,3433.9,0.51827368298436,0.34135721957956,217.3,0.13481821565951,409.7,0.25418786449932,0,2.0825398750682,2.6337628470624,0.3092195061422,2.1304752450676,24.8808,0.097762257433299,1611.8,0.12712436363636,0.1317848262478,342.2,13.69,1779.7,6721320,1908.9,621.6,5.5242921492922,1908.9,0.75,1.5206206614945
"7",2005-12-31,210.4,0.72,0.2866,0.47472659375834,787.7,1870.5,103.7,518.1,0.1049784207647,0.41210626789691,0.27698476343224,-30.3723,0.39078855547802,22.891056910569,46.8,0.011956243784628,50.496,267,179.432,313.8,0.32797,NA,4417.2,4.5004584819154,3.2727272727273,16.543820224719,14.076481835564,3.5135221126312,0.09,0.08,152.9043,4935.3,0.21748195669607,1.35,14.785185185185,0.145,0.2839,0.1454753722795,0.048,0.6777,0.11168136861802,981.5,4223.4,0.16856087512431,0.14424655036168,184.5,0.1467546929685,412.8,0.32834871142221,0.27369105691057,5.3616859210359,2.543450767841,0.21237671014954,3.3593700286351,26.5277,0.14784287482175,1257.2,0.18281407030056,0.23422622825949,313.9,19.96,711.9,901800,1349.7,258.9,16.312862108922,1349.7,0.7,3.2910776206989
"8",2004-12-31,269.3,-0.08,0.302,0.011195628883651,NA,2135.7,90.7,808.3,0.18602991944764,0.65779622395833,0.37847075900173,-9.3482,-0.052980132450331,21.238212180747,45.1,0.012024048096192,64.632,303.4705,197.8689,348.5705,0.34798,NA,3536.7,3.3412376003779,2.878173828125,11.654179018497,10.146296356542,2.8216850167544,0.075,0.08,161.617,4345,0.15765322844969,0.99,20.161616161616,0.175,-0.0912,0.17560975609756,0.0509,0.5319,0.10441541414993,1058.5,4324.1,0.0048333757313661,0.0048101265822785,203.6,0.16243816818254,476.3,0.38000638263922,0.31744597249509,2.3425429329866,2.8317616240995,0.24211787138982,3.4498962821126,36.2518,0.18321145992322,1253.4,0.18693326546131,0.110298499377,275,19.96,20.9,669200,1228.8,203.6,21.238212180747,1228.8,0.7,2.3275123205485
"9",2003-12-31,268.4,0.07,0.3109,0.012317762570664,NA,1875.3,18.9,687.2,0.14478341479858,0.49717841122848,NA,2.5355,0.045030556449019,14.123430962343,44.3,0.0068065796937039,32.208,530.7331,346.4413,575.0331,0.34724,NA,4059.2,4.0865800865801,2.9367674721459,7.6482893302332,7.0590723948985,2.953004510403,0.065,0.085,369.3058,4746.4,0.14563003252813,1.05,16.790476190476,0.255,0.0966,0.29834934712984,0.053,0.6786,0.12648642883805,993.3,4725.7,0.0043803034471084,0.0043612000674195,334.6,0.24341626655027,458.6,0.33362432707697,0.096258218768679,2.8471502590674,2.1728355326682,0.3861,3.437872835734,-22.8645,-0.065998061738104,1374.6,0.34877812568771,0.20159055307868,276,17.63,20.7,409800,1382.2,333.2,14.182773109244,1382.2,0.65,2.8243975007438
"10",2002-12-31,271.8,-0.05,0.3021,0.014647772176046,NA,1745.2,21.7,686.8,0.10179188095626,0.54112826977624,NA,28.1,-0.0335,24.690161527166,40.6,0.0052536576662305,35.334,414,264.3638,454.6,0.36144,NA,6060.3,NA,NA,14.638405797102,13.331060272767,4.7748975732745,0.115,0.09,283.2638,6747.1,0.10216594086638,1.11,22.522522522523,NA,0.2031,0.32926462769032,0.058,0.6455,0.14485445794178,781,6725.6,0.0031967408112287,0.0031865542232959,272.4,0.21462338480933,277.2,0.21840529467381,0.12971365638766,4.6502108829427,2.1469705675796,0.32618972581153,5.2990860384494,-18.9,-0.071492379593215,1269.2,0.33849403329065,0.18834266749637,257.4,25,21.5,2255873,1325.1,272.4,24.690161527166,1325.1,0.75,7.7596670934699
