"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,70.5,1.79,0.4324,0.9953,23,12291,429,1357,0.2154,0.0972,0.1104,-177.93,0.8,3.55,290,0,0,730,730,1020,0,0,4943,1.4,0.38,6.77,4.85,0.35,0.035,0.05,768.93,6300,0.1277,-0.2,NA,0.045,0.015,0.4523,0.028,0.8355,0.045,3522,1444,3.3629,0.7708,406.5,0.0291,2459,0.1762,NA,62.78,1.01,0.0523,0.1,-38.93,-0.0533,13958,0.2073,17.6739,1966,21.77,4856,1770976,12948,-843.4,NA,12948,1.6,1.29
"2",2010-12-31,71.8,0.89,0.486,NA,-932,9730,234,1171,0.15480408228015,0.096418279127213,0.12034943473792,254.8202,0.8,11.659022068369,265,0,0,534,448.7542,799,0.15963636363636,0.15963636363636,6393.4,2.3105890856523,0.45804556526723,11.97265917603,8.0017521902378,0.52642239604776,0.16,0.055,224.934,7564.4,0.14820143884892,6.75,5.6118518518519,0.23,0.0337,0.40866995073892,0.0229,0.9621,0.060226104830421,2767,2694.4,1.8074524940618,0.64380519274496,231.1,0.01902840675175,1707,0.14055166735282,0,NA,0.72868887927304,0.04396871140387,0.22185261424454,223.8202,0.49875896867151,12145,0.16218076682985,NA,1870,37.88,4870,1401096,13958,400,6.736,13958,1.6,1.9208735398679
"3",2009-12-31,70.7,1.04,0.5267,NA,-1817,10027,151,1212,0.12751049436618,0.10476272797995,0.12087364116884,74.0351,0.73571292956142,19.995609756098,288,0,0,426,395.1584,714,0.072398190045249,0.072398190045249,8293.1,3.4888935633151,0.68284067517497,19.467370892019,11.614985994398,0.71683810182384,0.225,0.06,458.1233,9505.1,0.14630497656328,6,9.6516666666667,NA,-0.2076,0.25194805194805,0.0229,0.9589,0.058043283135534,2377,4099.1,1.3188260837745,0.56874730407886,205,0.017719768346443,1487,0.12853314893249,0,NA,0.88869376693767,0.036822543002853,0.35431757282393,-62.9649,-0.15934093980865,11569,0.16624247835117,NA,1777,57.91,5406,1186494,12145,223,18.381614349776,12145,1.55,2.6483978824185
"4",2008-12-31,71.3,1.29,0.564,NA,-1499,10390,176,861,0.096693769372445,0.058475957620212,0.082868142444658,-308.3309,0.46808510638298,5.9713080168776,329,0,0,961,789.4519,1290,0.17851,NA,8043.4,2.1656973613355,0.69202443431128,8.3698231009365,6.2351937984496,0.54627818527574,0.145,0.02,1250.7828,8904.4,0.14446583253128,3.5,11.042857142857,NA,0.2664,0.38797504254112,0.026,0.8091,0.050914340712223,3714,2830.4,2.145986433013,0.68213467499214,474,0.032192339038305,1464,0.099429502852486,0,NA,0.41181434599156,0.065267590328715,0.19223037218147,-461.3309,-0.58436859065035,14724,0.2125610904685,NA,1833,38.65,6074,1287596,11623,183.8,15.399347116431,11623,1.65,1.9463169398907
"5",2007-12-31,75.4,2.48,0.347,NA,-738,11448,312,783,0.094209088830869,0.06368442456283,0.068396226415094,-210.6423,0.8,NA,308,0,0,321,321,629,0,NA,7528.3,1.4045335820895,0.53551714326362,23.452647975078,11.968680445151,0.6123058153721,0.375,0.07,527.6423,8311.3,0.18221523410203,6.63,3.2247360482655,NA,-0.1342,0.67674196627426,0.027,0.9041,0.055817610062893,5360,1430.3,4.8108788366077,0.82790899137319,-120,-0.0097600650671005,1469,0.11947946319642,NA,NA,NA,0.026108174054494,0.11633184221228,-206.6423,-0.64374546297598,12295,0.059888059701493,NA,1843,21.38,6881,885209,14058,-120,NA,14058,1.8,1.3529708611428
"6",2005-12-31,70,2.48,0.2966,0.84477172312224,531,7592,230,787,0.15082985166162,0.080933772110243,0.10366174920969,9.0723,0.8,9.5133603238866,256,0,0,664,527.3554,920,0.20579,NA,4430.8,1.6963246554364,0.38193259201793,6.6728915662651,4.8160869565217,0.45565610859729,0.87,0.105,544.2831,5217.8,0.19020021074816,5.73,5.8342059336824,NA,0.3021,0.25453885257807,0.04,NA,0.0096153846153846,2612,2349.8,1.220529406758,0.54965694353942,247,0.025401069518717,-47,-0.0048334018922254,0,4.4252354048964,0.10934896924008,0.068284656519951,0.24164952694364,-16.9277,-0.03209923206309,9724,0.20189718223583,0.46516007532957,901,33.43,2868,914600,11601,247,9.5133603238866,11601,1.55,1.5350985583995
"7",2004-12-31,70,2.13,0.4107,0.84377758164166,NA,7592,230,787,0.16104278786143,0.067838979398328,0.10366174920969,-9.0723,1.0372534696859,8.1736842105263,256,0,0,663.8904,527.2684,919.8904,0.20579,NA,4099.9,1.5672400611621,0.35340918886303,6.1755675334362,4.4569440011549,0.42162690250925,NA,0.12,562.3407,4886.9,0.19020021074816,5.73,4.9930191972077,NA,0.3021,0.27052105638829,0.04,0.9712,0.0096153846153846,2616,2018.9,1.420575560949,0.58687511510364,247,0.025401069518717,-47,-0.0048334018922254,0,3.8309297912714,NA,0.068273385438091,0.20762032085561,-35.0723,-0.066516968799881,9724,0.20155519670642,0.46516007532957,901,28.61,2868,485900,11601,247,8.1736842105263,11601,1.5,1.4377463959988
"8",2003-12-31,68.8,1.93,0.418,0.89383561643836,NA,6900,206,525,0.092421441774492,0.061374795417349,NA,-50.4455,0.92344497607655,NA,191,0,0,275.984,275.984,466.984,0,NA,5155.5,2.1490204251772,0.60270049099836,18.680430749609,11.039992804893,0.70238419618529,NA,0.1,311.4295,5680.5,0.19565217391304,4.87,9.0082135523614,NA,-0.0486,0.23613867164702,0.042,0,0.0095652173913043,2399,3070.5,0.85002442598925,0.45946659625033,-46,-0.006267029972752,-305,-0.041553133514986,NA,10.03431372549,NA,0.0376,0.4183242506812,-35.4455,-0.12843318484837,7340,0.11504126719466,-0.14838709677419,729,43.87,2610,314900,8554,-46,NA,8554,1.45,1.9453767123288
"9",2002-12-31,60.5,1.79,0.4601,0.91774891774892,NA,6943,242,620,0.10276810873529,0.091391509433962,NA,-159,0.8545,NA,220,0,0,-241.0304,-241.0304,-21.0304,0,NA,5413,NA,NA,NA,NA,0.79790683962264,0.375,0.04,-263.0304,6033,0.21302030822411,2.25,21.226666666667,NA,-0.0091,0.39964891749561,0.04,NA,0.0090738873685727,2387,3277,0.84101312175771,0.45682081882977,-131,-0.019310141509434,-53,-0.0078125,NA,13.267206477733,NA,-0.035529245283019,0.4830483490566,22,NA,6784,-0.1009762882279,-0.53036437246964,781,47.76,2756,986768,7308,-151,NA,7308,1.35,2.2677000418936
"10",2001-12-31,NA,1.77,0.4842,0.7195,NA,7067,326,863,0.19271135724175,0.12838440940196,NA,0.1392,0.6408,NA,217,0,0,538.9699,538.9699,755.9699,0,NA,3615.2,NA,NA,6.7076102023508,4.7822009844572,0.53781612615293,0.075,NA,429.8307,4478.2,0.23616810527805,0.55,44.818181818182,0.245,-0.2448,0.52469831053902,0.043,0.8952,0.038488750530635,3144,1594.2,1.8065487391795,0.64311553749274,-23,-0.0034216007140732,12,0.0017851829812556,NA,1.4195903829029,NA,0.080179991074085,0.2371615590598,109.1392,0.20249590932629,NA,0.17142808524173,-0.020480854853072,583,24.65,2880,688500,6722,0,NA,6800,1.4,1.4243638676845
