"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,177,1.36,0.3035,0.3608,7265,16444,2594,1455,0.0661,0.3867,0.0885,-124.85,0.8,39.56,965,0.0099,177,981,621.53,1946,0.3664,0.3664,20567.8,2.08,4.99,20.97,10.57,5.47,0.17,0.115,-882.62,22022.8,0.7773,6.07,16.76,-0.03,0.045,0.1571,0.027,0.926,0.0423,9910,17922.8,0.2288,0.1862,453,0.1204,-1305,-0.3468,0.4184,2.47,2.33,0.2607,4.76,1504.15,2.4201,3763,0.0627,0.0624,835,101.74,4100,839154,4123,423,42.37,4123,1.2,1.94
"2",2010-12-31,176.6,1.08,0.3107,0.24912280701754,6848,13282,1885,1081,0.056735280842264,0.35771012574454,0.081388345128746,-118.3885,0.8,23.14675862069,883,0.0093,156.067,1047,736.2504,1930,0.2968,0.29679922405432,17972.4,2.2356512003981,5.0484269662921,17.165616045845,9.3121243523316,5.9471872931833,0.1,0.08,-147.3611,19053.4,0.77277518446017,5.22,18.082375478927,0.12,0.2904,0.21150855365474,0.026,0.9437,0.052401746724891,8039,16781.4,0.13538798908315,0.11924380950382,725,0.23990734612839,-665,-0.22005294506949,0.21526485517241,2.4505549065421,2.314675862069,0.34645929847783,5.5530774321641,883.6115,1.2001508122136,3022,0.091584823983083,0.1058703271028,522,94.39,2272,1593133,3560,798,21.029323308271,3560,1.2,2.0891885964912
"3",2009-12-31,174.4,0.83,0.3448,0.2485965340493,6157,11807,1268,1014,0.059817362372873,0.43839169909209,0.085881256881511,-96.6866,0.8,25.278983050848,816,0.0085,126.7741,688,487.8814,1504,0.29087,0.29086538461539,15937.6,2.219721448468,5.3143047682561,23.16511627907,10.596808510638,6.8904453091223,0.115,0.1,132.568,16951.6,0.75514525281613,4.97,17.319919517103,0.305,-0.4123,0.22564208496867,0.026,0.9226,0.064199203862116,7180,14914.6,0.13657758169847,0.12016564808042,590,0.25507998270644,-326,-0.14094249891915,0.2148713559322,2.4223810297223,2.1981724392041,0.29744920017294,6.4481625594466,355.3134,0.72827825904068,2313,0.067950061281337,0.095825889231769,237,86.08,2037,1494374,2999,739,20.182138024357,2999,1.25,2.0687820356358
"4",2008-12-31,172.9,0.81,0.3346,0.2621052631579,6309,12384,1971,1140,0.076584081259741,0.29223276083056,0.092054263565891,70.9818,0.59772863120144,10.043367752184,791,0.0099,125.1815,1991,1272.4282,2782,0.36091,NA,13745.6,1.8550067476383,6.465475070555,6.9038674033149,4.9409058231488,3.5236093309408,0.055,0.045,21.4464,14885.6,0.72706718346253,3.9,18.261538461538,0.465,0.1875,0.29505331235798,0.027,0.9305,0.061288759689922,7410,12644.6,0.17722980560872,0.15054818079217,1259,0.32273775954883,-156,-0.039989746218918,0.099429340746624,2.0042161990807,1.8260668640335,0.5103819533453,3.241374006665,1250.9818,0.98314530389222,3901,0.17171770445344,0.19955618957046,236,71.22,2241,1987682,2126,574.5,22.009747606614,2126,1.25,1.7410058479532
"5",2007-12-31,172.2,0.97,0.3414,0.28064742928092,4808.8,10830.9,1414.5,659.9,0.068049167818178,0.20168092909536,0.060927531414748,209.5112,0.63268892794376,8.4728631784205,728,0.015852096198842,123.984,1620.9,1110.9649,2348.9,0.3146,NA,9037.5,1.5,2.1267207906813,5.5756061447344,3.8475456596705,2.7620721271394,0.135,0.13,214.9536,9697.4,0.73350321764581,6.29,7.8251192368839,0.365,0.1129,0.54573529411765,0.03,0.9199,0.070215771542531,6025,7821.3,0.23987060974518,0.1934642275249,923.1,0.28212102689487,-701.3,-0.2143337408313,0.13431264218395,1.6264556646149,0.62761949469782,0.49538508557457,2.3903728606357,896.0112,0.80651626700649,3272,0.18439250788382,0.19196057228415,206.4,49.22,1876.1,1683623,4249.5,1304.5,5.9956305097739,4249.5,1.35,1.4506424927822
"6",2006-12-31,172.2,1.32,0.2707,0.3044669123863,4113.8,9588.6,1357,153.4,0.0098045481854555,0.052175096085167,0.015998164486995,11.4043,0.59106021425933,16.117578579744,622.6,0.0059700975081257,82.656,1685.4,1043.2626,2308,0.381,NA,15492.4,2.6890925501632,5.0551114301563,9.1921205648511,6.7124783362218,5.2693445801163,0.005,0.065,297.4583,15645.8,0.74784640093444,4.91,16.054989816701,0.295,0.371,0.27921722113503,0.066,0.9245,0.081482176751559,5761.2,13845,0.13006861682918,0.11509798156694,859,0.29216693309751,-269.1,-0.091527499064658,0.096223515715949,3.3655014828139,32.235157159488,0.57324580796572,4.7090235026019,745.8043,0.7148768932994,2940.1,0.18108425328057,0.2088093733288,164.5,78.83,1800.8,1382077,3064.7,828.8,16.704874517374,3064.7,1,2.6452845500964
"7",2005-12-31,175.6,1.35,0.2672,0.3965355622388,3090.1,8878,785.6,110.3,0.010259987907539,0.050441304248411,0.012423969362469,59.2377,0.62874251497006,13.806206459785,390.5,0.0060412844036697,52.68,1117.7,723.4872,1508.2,0.3527,NA,10640.2,2.1236652495859,3.6353138132495,9.5197280128836,7.0548998806524,4.8658709470892,0.005,0.065,269.1495,10750.5,0.69823158369002,5.39,9.1038961038961,0.35,0.0878,0.20378938092091,0.066,0.8937,0.097195314259968,5010.3,8720,0.23285550458716,0.18887493604949,631.6,0.28883706041066,-175,-0.080029267846527,0.083407219759341,2.8219151483771,27.612412919569,0.51113550098322,3.9877440892669,454.3377,0.62798299372839,2186.7,0.14439997804523,0.20439467978383,100.1,49.07,2030.5,607400,2926.9,721.2,12.090959511925,2926.9,1.05,2.099461000664
"8",2004-12-31,118,0.49,0.2193,0.37614835704824,NA,3443.2,660.9,179.8,0.022353731009275,0.09579115610016,0.052218866171004,-42.9995,0.4468764249886,21.912205567452,308.9,0.0049751243781095,23.6,575.4604,350.8122,884.3604,0.39038,NA,7863.6,3.6397130293913,4.1894512519979,13.664884673211,8.8918499742865,5.8197158081705,0.12,0.05,41.8117,8043.4,0.67753833643123,5.2,7.7307692307692,0.36,0.2951,0.27401019208154,0.066,0.8912,0,2160.5,7163.1,0.12289371919979,0.10944376756098,326.9,0.24193309650681,-110.5,-0.081779159265838,0.072193331293974,4.9062328767123,1.826017130621,0.4258883955003,5.3012877442274,309.0005,0.88081470747311,1351.2,0.16237545431521,0.22390410958904,59.1,40.2,880.3,756300,1877,326.9,21.912205567452,1877,1,3.4369097978892
"9",2003-12-31,57.2,0.61,0.2266,0.4640842609694,NA,2842.6,527.4,62.4,0.013794018170966,0.050407948945795,NA,-19.0767,0.53839364518976,25.598290598291,309.3,0.0033978933061502,11.44,577.3821,366.6376,886.6821,0.365,NA,4461.3,2.298572827039,3.603926003716,7.7267722709104,5.0314537758234,4.4127596439169,0.175,0.01,167.6143,4523.7,0.7386547526912,4.85,12.136082474227,0.135,-0.2924,0.21200750469043,0.066,0.8922,0,1940.9,3594,0.25868113522538,0.20551760726839,140.4,0.13887240356083,-85,-0.084075173095945,0.081481481481482,3.3476154992548,1.4627594627595,0.5711,3.5548961424332,199.0233,0.54283391839679,1011,0.18890083646762,0.13077496274218,52.5,58.86,929.7,396800,1237.9,0,NA,1237.9,0.9,2.2581240952429
"10",2002-12-31,57.4,0.43,0.2908,0.50236639716032,NA,2730,595.7,15.4,0.0043220790884342,0.010747435271128,NA,113.5,0.3239,143.73446327684,285.3,0.0045124012420895,11.48,79.5,32.9432,364.8,0.58562,NA,3547.7,NA,NA,44.625157232704,9.7250548245614,2.4758880591807,0.085,0.045,-277.4568,3563.1,0.78380952380952,1.57,29.171974522293,NA,-0.0969,0.16324156649864,NA,0.8705,0,2013,2544.1,0.40053457018199,0.28598692150094,17.7,0.012352571707726,-135,-0.094214529974178,0.64858757062147,2.5204081632653,16.909936856098,0.055481889873683,1.7754902644986,310.4,9.4222754856008,1432.9,0.01636523099851,0.017535169407569,47.7,45.8,1019,336116,1224.1,73.4,34.660762942779,1224.1,0.8,1.7623944361649
