"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,51.1,1.26,0.3684,0.2042,513.7,875.2,10.4,3,0.0044,0.0038,0.0034,2.48,0.8,13.46,22,0,0,76,44.37,98,0.4185,0.4187,682,1.06,0.84,8.94,6.94,0.87,0.145,0.075,53.49,685,0.047,1.06,10.53,-0.06,0.055,0.2138,0.031,0.9256,0.6708,642.5,553.2,0.2383,0.1924,41.1,0.0524,61.6,0.0785,0,1.08,0.93,0.0972,0.7,-9.12,-0.2055,784.7,0.0691,0.08,130.4,11.16,131.8,206424,816.3,45.3,12.21,816.3,0.85,1.06
"2",2010-12-31,50.1,0.8,0.3996,0.30586108181407,460.7,869,12,2,0.002550695064405,0.0028421202216854,0.0023014959723821,7.6454,0.53178178178178,18.866883116883,26.8,0,0,62.3,35.8661,89.1,0.4243,0.42429906542056,782.1,1.181955568989,1.0147917477618,12.553772070626,8.7777777777778,1.1114111126901,0.13,0.05,43.0207,784.1,0.044764096662831,0.9,12.677777777778,NA,-0.0345,0.21080056845097,0.03,0.8962,0.6722669735328,661.7,581.1,0.34933746343142,0.25889554903711,30.8,0.043768651413955,80.3,0.11411112690067,0,1.2613414369438,1.4512987012987,0.088532044905499,0.82577803041069,-7.1546,-0.19947952252573,703.7,0.054202977179991,0.066854786194921,121.7,11.41,203,293738,770.7,37.6,15.454787234043,770.7,0.85,1.1814072623173
"3",2009-12-31,48.7,0.27,0.443,0.34377937950486,418.8,820.2,17.6,49.1,0.070923010255669,0.069428733031674,0.059863447939527,-1.3879,0.45146726862302,13.991124260355,30.6,0,0,70.8,41.9575,101.4,0.40738,0.40805604203152,643.2,1.0918350025463,0.92600057587101,9.0847457627119,6.3431952662722,0.90950226244344,0.08,0.02,56.3454,692.3,0.052426237503048,0.74,12.432432432432,0.105,-0.1514,0.30514859773964,0.028,0.9313,0.62850524262375,589.1,472.9,0.4639458659336,0.3169146323848,33.8,0.047794117647059,77.9,0.11015271493213,0,1.1291786055396,1.7488905325444,0.10011312217195,0.66869343891403,-14.3879,-0.34291665565898,707.2,0.071223045323375,0.080706781279847,118.9,9.2,219.4,319824,694.6,32.4,14.595679012346,694.6,0.8,1.0847696646819
"4",2008-12-31,47.3,0.18,0.439,0.39276228419655,365.8,792.4,7.4,23.1,0.02342561606328,0.028497409326425,0.029151943462898,-8.3446,0.30979498861048,17.349537037037,33.7,0,0,93.9,53.9991,127.6,0.42493,NA,963,1.6623511134127,1.3238933186692,10.255591054313,7.5470219435737,1.1880088823094,0.085,0.045,88.6437,986.1,0.057041898031297,0.85,17.482352941177,0.265,0.0229,0.20970149253731,0.025,0.9488,0.63250883392226,579.3,749.5,0.31567711807872,0.23993509786026,43.2,0.053293856402665,81.3,0.10029607698001,0,2.0489338436304,2.0411220043573,0.11584011843079,0.92462373550456,-34.6446,-0.64157830273748,810.6,0.09321435007768,0.1180973209404,155.4,14.86,236.6,401810,727.4,32.6,22.990797546012,727.4,0.85,1.6369521912351
"5",2007-12-31,45.8,0.15,0.427,0.43904434626084,342.8,778.7,24.1,11.7,0.011812216052499,0.015252248728979,0.015025041736227,-6.8142,0.41217798594848,21.622754491018,33.7,0,0,85.1,48.5495,118.8,0.4295,NA,978.8,1.632966299633,1.193804122454,11.501762632197,8.2390572390572,1.2759744492244,0.105,0.09,64.9638,990.5,0.070245280595865,1.01,15.712871287129,0.34,0.3236,0.35192878338279,0.036,0.9322,0.62732759727751,599.4,722.2,0.37150373857657,0.27087329631499,33.4,0.043540607482727,99,0.12905748924521,0,2.1067677946324,2.0593099515255,0.11093729631078,0.94146786598879,-16.4142,-0.33809243200291,767.1,0.080996913580247,0.097432905484247,141.4,15.87,268.3,739762,819.9,34.6,20.872832369942,819.9,1.1,1.6208476517755
"6",2006-12-31,53.9,1.07,0.3613,0.076660341555977,486.6,652.4,23.8,11.7,0.017819067925678,0.017162974915652,0.017933782955242,-8.3624,0.46498754497647,10.735191637631,23.4,0,0,105,59.788,128.4,0.43059,NA,644.9,1.2515039782651,0.8682014001077,6.1419047619048,5.0225856697819,0.94601730966701,0.08,0.145,67.7504,656.6,0.078479460453709,0.78,16.679487179487,0.24,0.1125,0.30771453337186,0.013,0.9436,0.61020846106683,515.3,616.2,0.065563128854268,0.061529089247639,57.4,0.084201261552002,93.3,0.13686372304533,0,1.2663378545006,1.3418989547038,0.15402669796098,0.90391667889101,-7.9624,-0.1331766712256,681.7,0.11602571317679,0.11796136457049,127.6,13.01,40.4,468600,742.8,45,13.693333333333,742.8,1.05,1.2459203036053
"7",2005-12-31,50.6,1.37,0.3457,0,384.4,542.9,21.3,14.9,0.01378098409175,0.025890529973936,0.027445201694603,-2.8721,0.50911194677466,21.035019455253,18.8,0,0,118.3,69.4669,137.1,0.41279,NA,1066.3,2.8857916102842,1.6326749349257,9.0135249366019,7.7775346462436,1.8528236316247,0.15,0.11,69.839,1081.2,0.077914901455148,1.19,16.605042016807,0.055,0.2078,0.15239263803681,0.206,NA,0.58721679867379,369.5,1081.2,0,0,51.4,0.089313640312772,21.3,0.037011294526499,0,2.8126951092612,1.4023346303502,0.20556038227628,1.8787141615986,-0.3721,-0.0053561656694221,575.5,0.18800255209743,0.13371488033299,98.9,19.76,0,215700,653.1,49.5,21.842424242424,653.1,1.1,2.8126951092612
"8",2004-12-31,51.2,1.69,0.49,0,NA,418.8,14.7,36.9,0.032117677778745,0.066582461205341,0.08810888252149,1.7348,0.68979591836735,27.885922330097,11.9,0,0,71.7444,42.266,83.6444,0.41088,NA,1112,4.4162033359809,2.0064958498737,15.499478356135,13.294382704869,2.3065753992948,0.26,0.16,37.7312,1148.9,0.065425023877746,1.1,19.927272727273,-0.065,0.3311,0.2979797979798,0.02,0.931,0.53677172874881,251.8,1148.9,0,0,41.2,0.085459448247252,11.6,0.024061398050197,0,3.9795635607897,1.0725354742345,0.14881632441402,2.3831155361958,4.5348,0.10729246729548,482.1,0.16785556581414,0.14270869414617,84.7,21.92,0,233200,554.2,41.2,27.885922330097,554.2,1.1,3.9795635607897
"9",2003-12-31,44.9,1.57,0.5008,0,NA,255.3,9.3,38.4,0.029827559422091,0.088458880442294,NA,4.9038,0.62699680511182,68.844919786096,9.4,0,0,41.6636,24.2765,51.0636,0.41732,NA,1249,8.3045212765957,2.8772172310528,29.978220786596,24.459702982047,3.9301447451227,0.335,0.17,19.4728,1287.4,0.078339208773991,0.96,27.1875,-0.135,0.1538,0.27431539187913,0.022,0.9516,0.43909126517822,150.4,1287.4,0,0,18.7,0.05884203901825,13.4,0.042164883574575,0,6.8188559322034,2.0550722324208,0.1311,4.0509754562618,4.8038,0.19787733300517,317.8,0.16141313028192,0.099046610169491,63.3,26.1,0,177500,434.1,0,NA,434.1,0.95,6.8188559322034
"10",2002-12-31,42.1,1.31,0.5829,0.043103448275862,NA,201.2,5.2,8.1,0.009824135839903,0.031395348837209,NA,23.9,0.4948,91.910112359551,10,0,0,15.1,9.0595,25.1,0.40003,NA,816.4,NA,NA,54.066225165563,32.525896414343,3.1643410852713,0.29,0.065,13.8595,824.5,0.089960238568588,0.5,36.78,NA,0.0072,0.61290322580645,0.036,0.8383,0.48409542743539,142.7,818,0.0079462102689487,0.007883565797453,8.9,0.034496124031008,24.3,0.094186046511628,0,5.6687456687457,3.1693142192948,0.058527131782946,3.1705426356589,-4.8,-0.52982781589411,258,0.063486664330764,0.061677061677062,64.1,18.39,6.5,355803,306.4,NA,NA,306.4,0.9,5.7210932025228
