"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,30.7,2.61,0.7147,0.1489,32,82.8,2.5,17.4,0.1501,0.0965,0.2101,0.1,0.8,44.12,3.8,0,0,4,2.83,7,0.2153,0.2188,98.5,4.88,0.52,27.36,13.31,0.55,NA,0.1,4.03,115.9,0.0531,0.33,10.64,NA,-0.21,0.4363,0.013,0.278,0.2367,20.2,110.3,0.0508,0.0483,2.5,0.0139,2,0.0111,0,3.45,NA,0.02,0.61,-1.2,-0.4264,180.4,0.1399,0.0781,74.9,3.51,5.6,123214,189,6.9,15.99,189,1.5,3.08
"2",2010-12-31,30.7,3.7,1.0175,0.14206128133705,30.8,78.4,0.2,14.6,0.26449275362319,0.086698337292162,0.18622448979592,0.0237,0.38083538083538,NA,6.6,0,0,-9.6468,-9.6468,-3.0468,0,NA,40.6,1.906103286385,0.23319931074095,NA,NA,0.24109263657957,NA,0.03,-3.2704,55.2,0.048469387755102,0.16,10.9375,NA,-0.1099,0.44654088050314,0.018,0.3588,0.27678571428571,21.3,50.1,0.10179640718563,0.092391304347826,-9.8,-0.058194774346793,0.7,0.0041567695961996,NA,1.6266233766234,NA,-0.05728473871734,0.29750593824228,-6.3763,NA,168.4,-0.45289906103286,-0.31818181818182,86.3,1.75,5.1,141298,174.1,1.4,35.785714285714,174.1,1.55,1.5376044568245
"3",2009-12-31,30.7,3.14,1.1265,0,52.5,115.2,2,7.3,0.12762237762238,0.038563127311146,0.063368055555556,-1.5236,0.36617842876165,NA,10.7,0,0,-29.1757,-29.1757,-18.4757,0,NA,49.9,1.103982300885,0.29631828978622,NA,NA,0.26360274696249,NA,-0.055,-18.9521,57.2,0.069444444444444,NA,NA,NA,-0.5417,0.5575221238938,0.014,0.2749,0.20486111111111,45.2,57.2,0,0,-18.6,-0.098256735340729,13.8,0.072900158478605,NA,1.0895238095238,NA,-0.15412403592182,0.30216587427364,-10.2236,NA,189.3,-0.6454796460177,-0.35428571428571,125.7,1.78,0,164446,168.4,-10.7,NA,168.4,1.65,1.0895238095238
"4",2008-12-31,30.6,2.92,1.0478,0.14720394736842,103.7,197.5,4.5,5.5,0.071243523316062,0.013375486381323,0.027848101265823,-18.1453,0.22905134567666,NA,15.5,0,0,-83.4302,-83.4302,-67.9302,0,NA,71.7,0.61757105943152,0.26894223555889,NA,NA,0.17436770428016,NA,-0.125,-54.2849,77.2,0.16658227848101,NA,NA,NA,-0.1548,0.73607038123167,0.013,0.2905,0.18632911392405,116.1,59.3,0.30185497470489,0.23186528497409,-93,-0.2261673151751,51.6,0.12548638132296,NA,0.5718418514947,NA,-0.20289455252918,0.14421206225681,-29.1453,NA,411.2,-0.71860671834625,-0.89681774349084,234.1,2.03,17.9,183559,266.6,-77.3,NA,266.6,1.5,0.63486842105263
"5",2007-12-31,31.6,1.58,0.7033,0.28675136116152,196.5,390.8,10.7,7.9,0.058259587020649,0.015752741774676,0.02021494370522,12.055,0.34124840039812,NA,15.7,0,0,-86.913,-86.913,-71.213,0,NA,127.7,0.4772047832586,0.27426975945017,NA,NA,0.25463609172482,NA,0.02,-93.968,135.6,0.1082395087001,-0.11,NA,NA,-0.2646,0.60987074030552,0.011,0.5745,0.18372569089048,267.6,56.6,1.3957597173145,0.58259587020649,-45.8,-0.091326021934197,168.4,0.3357926221336,NA,0.28804071246819,NA,-0.17330608175474,0.11286141575274,7.055,NA,501.5,-0.3247869955157,-0.23307888040712,266.3,2.21,79,211643,465.6,-53.1,NA,465.6,1.5,0.49219600725953
"6",2006-12-31,31.5,0.65,0.3543,0.16850291639663,256.6,424.9,11.1,4.3,0.020018621973929,0.0063207408496252,0.010120028241939,15.612,0.63223257126729,6.2375478927203,17,0,0,41.1,26.41,58.1,0.35742,NA,210.5,0.69175156095958,0.34621710526316,5.1216545012166,3.6230636833046,0.30942231368514,0.04,0.03,16.698,214.8,0.12402918333726,-0.44,NA,-0.085,0.122,0.62423714036617,0.065,0.8387,0.26971052012238,304.3,162.8,0.31941031941032,0.24208566108007,26.1,0.038365427017492,146.9,0.21593414669999,0,0.6344505066251,1.5593869731801,0.060414523004557,0.23930618844627,9.712,0.36774043287666,680.3,0.08678947748932,0.10171473109899,257.5,4.34,52,451518,608,-7.5,NA,608,1.4,0.69604666234608
"7",2005-12-31,32.8,1.23,0.3669,0.13940013633265,252.5,413.3,31.8,8,0.016625103906899,0.012672263583083,0.019356399709654,-7.2908,0.56691196511311,19.14347826087,16.4,0.029797865091983,13.12,33.8,22.0271,50.2,0.34831,NA,473.2,1.6580238262088,0.71243601324902,14,9.4262948207171,0.74956439093933,0.11,0.105,13.918,481.2,0.14347931284781,1.02,13.725490196078,NA,0.2187,0.31290622098421,0.061,NA,0.15581901766271,285.4,440.3,0.092891210538269,0.084995843724023,23,0.036432757801362,139.9,0.22160620940916,0.5704347826087,1.7437623762376,1.7403162055336,0.053540313638524,0.6974497069539,8.1092,0.36814413205859,631.3,0.077179824807288,0.091089108910891,245,14,40.9,525500,664.2,15.3,28.777777777778,664.2,1.3,1.640081799591
"8",2004-12-31,33.1,1.1,0.4623,0,NA,359.6,9,104.6,0.16571609632446,0.16903684550743,0.2908787541713,11.7707,0.47588146225395,22.147368421053,12,0.021413276231263,13.24,42.6323,27.7174,54.6323,0.34985,NA,526.6,3.572591587517,0.85100193923723,12.352125170704,9.6389794030422,1.0053455517373,0.075,0.145,18.9467,631.2,0.12875417130145,1.26,14.825396825397,NA,0.033,0.27939590075512,0.069,0,0.082869855394883,147.4,631.2,0,0,28.5,0.054410080183276,64.9,0.12390225276823,0.46456140350877,2.5047619047619,2.9529824561403,0.08139049255441,1.205040091638,8.7707,0.31643332337079,523.8,0.18804216995251,0.11309523809524,202.1,18.68,0,255600,618.8,28.5,22.147368421053,618.8,1.4,2.5047619047619
"9",2003-12-31,32.6,0,0,0,NA,311.9,7,72.6,0.089519112207152,0.14316702819957,NA,1.0999,NA,23.575581395349,12.3,0.0169779286927,13.04,64.0958,41.0213,76.3958,0.36,NA,738.4,4.8104234527687,1.4561230526523,11.520255617373,9.665452812851,1.4803528468324,0.01,0.075,45.2214,811,0.16223148445014,1.08,21.814814814815,NA,-0.1502,0.32867883995704,0.069,0.8698,0.09554344341135,153.5,811,0,0,34.4,0.068965517241379,66.1,0.13251804330393,0.37906976744186,3.5869084475896,23.575581395349,0.1285,1.6259021651965,-4.2001,-0.10238824737194,498.8,0.26723981758958,0.15214506855374,194.3,23.56,0,329700,507.1,34.4,23.575581395349,507.1,1.25,3.5869084475896
"10",2002-12-31,32.5,0,0,0,NA,276.7,31.5,49.3,0.10919158361019,0.084316743629212,NA,20.2,0,4.611848825332,6.3,0.028792912513843,13,151.1,96.7055,157.4,0.35999,NA,402.2,NA,NA,2.6618133686301,2.5552731893266,0.68787412348213,-0.025,0.09,71.5055,451.5,0.2009396458258,0.99,13.828282828283,NA,0.7295,0.25233644859813,0.07,0.4732,0.10769786772678,153.1,451.5,0,0,97.9,0.16743629211562,59.7,0.10210364289379,0.13278855975485,2.2307312252964,NA,0.25842312296904,0.77219086711134,25.2,0.26058494225836,584.7,0.63164932070542,0.48369565217391,181.3,13.69,0,410696,501.5,NA,NA,501.5,1.2,2.6270411495754
