"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,970.2,0.1,0.1261,0.0331,15792.9,109630,0,994.2,0.0699,NA,0.0091,NA,0.2,6.04,0,0.1276,1746.36,3687,3593.22,3687,0.0254,0.0249,13234.7,0.86,NA,3.59,3.59,NA,-0.045,3593.22,14228.9,0,1.99,7.06,0.19,NA,0.1281,0.01,0.4068,5e-04,15338.6,13689,0.0394,0.0379,2266.2,NA,0,NA,0.9566,0.87,NA,NA,NA,0,0,NA,0.2343,0.1435,0,14.04,539.9,17828326,NA,1825.6,7.5,NA,0.65,0.87
"2",2010-12-31,631.6,0.34,0.1844,0.05711620291483,9904.9,83026.6,0,282.6,0.025080762540381,NA,0.0034037284436554,NA,0.8,6.7256793392598,0,0.1421,1515.866,2781.9,2721.0042,2781.9,0.02189,0.020079080687014,10985,1.0746113888264,NA,3.9487400697365,3.9487400697365,NA,-0.035,2721.0042,11267.6,0,2.44,6.5409836065574,0.11,NA,0.14433617539586,0.01,0.4708,0.00061787427161897,10222.3,10667.6,0.056245078555626,0.053250026625013,1586.1,NA,0,NA,0.95571903410882,1.077002291795,NA,NA,NA,0,0,NA,0.26618316905197,0.16013286353219,0,15.96,600,17984785,NA,2120.4,5.0309375589511,NA,0.65,1.0726042132719
"3",2009-12-31,553.1,0.34,0.2511,0,9367.1,69376.2,0,1504.6,0.14847928632048,NA,0.02168755279188,NA,0.74671445639188,6.6387578616352,0,0.1463,1482.5164,2858.6,2795.625,2858.6,0.02203,0.022039979497693,8628.8,1.0974626391097,NA,3.0185405443224,3.0185405443224,NA,-0.005,2795.625,10133.4,0,2.66,6.7368421052632,NA,NA,0.1445051608986,0.013,0.5396,0.00055350393939132,7862.5,10133.4,0,0,1526.4,NA,0,NA,0.97125027515723,1.081807603207,NA,NA,NA,0,0,NA,0.35556439325914,0.16295331532705,0,17.92,0,11130779,NA,1489.7,6.8023091897698,NA,0.75,1.081807603207
"4",2008-12-31,0,0.47,0.2715,NA,NA,NA,0,0,NA,NA,NA,NA,0.47145488029466,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,2.71,6.4022140221402,NA,NA,0.24111914492298,0.01,0.7072,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17.35,0,12077019,247050,1295.4,NA,247050,0.8,NA
"5",2007-12-31,0,0.38,0.2556,NA,0,0,0,0,NA,NA,NA,NA,0.50078247261346,NA,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,2.57,6.1750972762646,NA,NA,NA,0.011,0.8314,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.87,0,10240466,226226.9,1027.2,0,226226.9,0.8,NA
"6",2006-12-31,0,0.72,0.2232,NA,0,0,0,0,NA,NA,NA,NA,0.7168458781362,NA,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,1.45,12.48275862069,NA,NA,0.20105297795327,0.016,0.7105,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,0,9045624,152881.4,305.6,0,152881.4,1,NA
"7",2005-12-31,0,1.25,0.2251,NA,0,0,0,0,NA,NA,NA,NA,0.67525544202577,NA,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0.94,14.797872340425,NA,NA,0.13937007874016,0.029,0.724,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.91,0,788700,83928,NA,NA,83928,0.95,NA
"8",2004-12-31,84.6,0.6,0.1995,NA,NA,0,0,0,0,0,NA,0,0.6015037593985,NA,0,0.047445255474453,43.992,NA,NA,NA,0,NA,932,NA,0.012216862416107,NA,NA,NA,NA,NA,932,NA,0.88,12.454545454545,NA,0,0.30440331844288,0.029,0.4172,NA,0,932,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,10.96,0,1703800,76288,219.5,4.246013667426,76288,0.7,NA
"9",2003-12-31,84.6,0.39,0.2221,NA,NA,0,0,0,0,0,NA,0,0.35119315623593,NA,0,0.10277492291881,169.2,NA,NA,NA,0,NA,1692.4,NA,0.027806713438378,NA,NA,NA,NA,NA,1692.4,NA,1.95,9.9794871794872,NA,0,0.14208826695371,0.026,0.2732,NA,0,1692.4,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,19.46,0,598500,60863,219.5,7.7102505694761,60863,0.65,NA
"10",2002-12-31,84.6,0.22,0.2474,NA,NA,0,0,0,0,NA,NA,1912.2,0.1921,NA,0,0.060110385078982,94.752,0,0,0,0,NA,1576.3,NA,NA,NA,NA,NA,NA,0,1576.3,NA,1.75,10.605714285714,NA,0,0.15526601520087,NA,0.3509,NA,0,1576.3,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,18.56,0,1091858,0,219.5,7.1813211845103,0,0.65,NA
