"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,48.7,2.06,0.473,0.0825,415,761.2,3.3,11.7,0.0203,0.0843,0.0154,0.51,0.8,7.03,6.8,0.0451,24.35,7,5.49,14,0.2318,0.2419,565.3,1.28,3.94,79.14,40.54,4.07,NA,NA,8.48,577,0.0681,NA,NA,-0.135,-0.19,0.2343,NA,0.075,0.0625,440.6,539.7,0.0691,0.0646,76.8,0.5533,15.8,0.1138,0.3134,1.3,NA,0.0515,3.89,-2.99,-0.5445,138.8,0.0125,0.1851,49.3,11.45,37.3,27778,143.3,77.7,6.95,143.3,1.05,1.28
"2",2010-12-31,48.6,1.59,0.5584,0.22755039706781,252.9,553.7,2.1,15.5,0.020365260806727,0.11456023651146,0.027993498284269,0.6477,0.47009312320917,17.165,7.7,0.0354,24.3056,-5.4,-3.6521,2.3,0.32369,0.32998324958124,745.6,2.3905097787752,5.3989862418537,NA,324.17391304348,5.5107169253511,NA,NA,1.3002,761.1,0.10926494491602,NA,NA,-0.33,0.1643,0.30278232405892,NA,0.0696,0.080910240202276,311.9,686.6,0.10850568016312,0.097884640651688,40,0.29563932002956,31.3,0.23133776792313,0.607641,2.7149070778964,NA,-0.039911308203991,5.0746489283075,-4.9523,NA,135.3,-0.01170911830715,0.15816528272044,41.4,12.97,74.5,37854,138.1,63.5,10.812598425197,138.1,1.05,2.3246792913867
"3",2009-12-31,48.6,0.83,0.5421,0.19576232151083,174.6,403,2.3,29.8,0.050457162207924,0.25667527993109,0.07394540942928,0.6941,0.48422800221361,NA,8.3,0.0444,24.3356,-26.5161,-26.5161,-18.2161,0,NA,560.8,2.9941270688735,4.2517058377559,NA,NA,4.8303186907838,NA,NA,-21.2101,590.6,0.15980148883375,NA,NA,NA,-0.2984,0.34104683195592,NA,0.0597,0.10992555831266,187.3,548.1,0.077540594781974,0.071960717913986,-12,-0.10335917312661,5.1,0.043927648578811,NA,3.139175257732,NA,-0.22839009474591,4.7209302325581,-5.3059,NA,116.1,-0.14157015483182,-0.06872852233677,50.3,11.16,42.5,37940,131.9,12.8,42.8203125,131.9,1.05,2.7204053431598
"4",2008-12-31,48.6,0.23,0.4353,0.18582541054451,188.4,419.5,6.9,22,0.056891647271787,0.13293051359517,0.052443384982122,-5.3511,0.38594073053067,42.9625,9.4,0.0707,24.2996,-19.661,-19.661,-10.261,0,NA,364.7,1.7416427889207,2.9293172690763,NA,NA,2.2036253776435,NA,NA,-11.8099,386.7,0.16281287246722,NA,NA,-0.315,-0.0688,0.46095717884131,NA,0.0771,0.10536352800953,209.4,343.7,0.12510910677917,0.11119731057667,8,0.04833836858006,21.6,0.13051359516616,3.03744875,1.8243099787686,NA,-0.11879758308157,2.0767371601208,-7.8511,NA,165.5,-0.093892072588348,0.042462845010616,59.4,6.94,43,36317,124.5,1.7,202.17647058823,124.5,1.05,1.671132238548
"5",2007-12-31,48.6,-0.16,0.3656,0.16863406408094,246.5,524.8,14,47,0.069229636176167,0.26449071468768,0.089557926829268,0.4097,0.43763676148796,NA,11.4,0.038638893305772,24.3,-11.9686,-11.9686,-0.5686,0,NA,631.9,2.5326653306613,3.6717024985474,NA,NA,3.5559932470456,NA,NA,-14.9783,678.9,0.13948170731707,NA,NA,-0.255,-0.0655,0.38300901756051,NA,0.0969,0.10423018292683,249.5,628.9,0.079503895690889,0.073648549123582,-1.7,-0.0095666854248734,13,0.073157006190208,NA,2.5513184584179,NA,-0.067353066966798,3.5391108610017,3.0097,NA,177.7,-0.047970501002004,-0.0068965517241379,57.2,13.65,50,14324,172.1,8.1,77.641975308642,172.1,1,2.2897133220911
"6",2006-12-31,48.6,1.65,0.4092,0,248.5,529.3,12.1,62.7,0.11708683473389,0.32982640715413,0.11845834120537,0.6647,0.54740957966764,25.379146919431,12.2,0.045378151260504,24.3,-3.8,-3.0371,8.4,0.20077,NA,472.8,2.5446716899892,2.6369213608477,NA,56.285714285714,2.4871120462914,NA,NA,-3.6018,535.5,0.13357264311355,NA,NA,-0.09,0.0198,0.22725349132459,NA,0.1053,0.069714717551483,185.8,535.5,0,0,21.1,0.1109942135718,11.7,0.061546554445029,1.1516587677725,2.1549295774648,NA,-0.019989479221462,2.8169384534456,0.5647,NA,190.1,-0.016345931108719,0.084909456740443,50.3,9.55,0,154300,179.3,-3.1,NA,179.3,1.4,2.1549295774648
"7",2005-12-31,48.6,1.43,0.5082,0.0072300045187528,219.7,484.7,10.7,76.9,0.15206644255487,0.41255364806867,0.15865483804415,-0.5543,0.362062180244,16.105431309904,11.3,0.048204721285459,24.3,-0.2,-0.1399,11.1,0.30027,NA,428.8,2.9695290858726,2.2252205500778,NA,38.630630630631,2.3004291845494,NA,NA,1.0143,505.7,0.14214978337116,0.11,94,-0.055,-0.7494,0.24690338563171,NA,0.0803,0.063338147307613,144.4,504.1,0.0031739734179726,0.0031639311844967,31.3,0.16791845493562,16.4,0.087982832618026,0.77635782747604,2.2944924897588,NA,-0.0010729613733906,2.7043991416309,-1.1543,NA,186.4,-0.00096915512465374,0.14246700045517,44,10.34,1.6,126700,192.7,24.8,20.326612903226,192.7,1.15,2.2851333032083
"8",2004-12-31,48.4,0.67,0.419,0.00034270047978067,NA,551.6,16.2,99.2,0.13922807017544,0.532474503489,0.17984046410442,-3.5943,0.31980906921241,3.3747039317859,36.4,0.07097232079489,48.4,57.7217,57.7217,94.1217,0,NA,613.3,3.1843198338525,3.2920021470746,10.625114666522,6.5160298264811,0.82688418498045,NA,NA,81.5161,712.5,0.13633067440174,NA,NA,0.085,-0.2742,0.32831810854379,NA,0.0827,0.043509789702683,192.6,712.4,0.00014037057832678,0.00014035087719298,211.1,0.28461642173385,4.8,0.0064716192530673,0.22927522501184,2.4422351731231,NA,0.077823553997573,0.96049615747607,-23.7943,-0.41222495121254,741.7,0.29969745586708,0.723688721289,111.4,14.09,0.1,103200,186.3,39.9,17.854636591479,186.3,1.05,2.4417409184373
"9",2003-12-31,47.8,0.62,0.3702,0.63977048592433,NA,1264.1,35.4,67.8,0.047106232196207,0.078763940520446,NA,-37.9831,0.33495407887628,16.993720565149,40.1,0.036579789666209,38.24,127.134,127.134,167.234,0,NA,1371.5,2.799550928761,1.5932853159851,10.78782846637,8.2010825309348,1.3603451696092,NA,NA,169.8171,1439.3,0.34467209872637,NA,NA,0.22,0.1495,0.41194393662401,NA,0.1063,0.0065659362392216,489.9,1082.5,0.32960739030023,0.247898283888,63.7,0.063181908351518,259.8,0.25768696687165,0.60031397174254,5.3882528621205,NA,0.1261,1.0736956952985,-42.6831,-0.33573278747012,1008.2,0.25951014492754,0.31707317073171,181.9,21.87,356.8,10100,860.8,200.5,5.3990024937656,860.8,0.95,2.5807781961628
"10",2002-12-31,47.7,0.5,0.2913,0.55125169147497,NA,1111.5,32.6,58.1,0.067043618739903,0.066384826325411,NA,51.4,0.3784,17.441935483871,33.2,0.070575180321805,38.16,55.4,42.0918,88.6,0.24022,NA,808.5,NA,NA,14.593862815884,9.1252821670429,0.92378884826325,0.03,0.045,42.6918,866.6,0.34080071974809,NA,NA,NA,0.0776,0.31099476439791,0.015,0.0903,0,533.1,540.7,0.6027371925282,0.37606738979922,31,0.035420475319927,191.5,0.2188071297989,1.2309677419355,2.0380701093102,5.8139784946237,0.063299817184644,0.61780164533821,-0.6,-0.01425455383104,875.2,0.078956691052335,0.11684885035808,147.9,11.13,325.9,33535,973.6,31,17.441935483871,973.6,NA,1.5166010129432
