"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,16.9,3.3,0.8365,0.4519,99.7,259.5,20.3,4.5,0.0191,0.0106,0.0173,-4.84,0.8,8.22,17,0,0,29,23.03,46,0.2166,0.2152,230.6,1.3,0.6,7.84,4.97,0.54,0.495,0.075,24.57,235.1,0.4644,1.63,5.62,-0.235,0.02,0.326,0.076,0.6465,0.0343,177.4,152.9,0.5376,0.3496,18.6,0.0438,53.5,0.126,0,1.53,0.17,0.0692,0.36,-1.54,-0.0667,424.7,0.1298,0.1866,30.7,9.16,82.2,34465,386.3,19.6,7.8,386.3,1.6,1.29
"2",2011-09-30,16.6,3.33,1.0072,0.49153645833333,78.1,248.6,15.2,5.6,0.031818181818182,0.015325670498084,0.022526146419952,5.2906,0.39714058776807,6.8835616438356,19.2,0,0,31.8,18.5734,51,0.41593,0.416,170.4,1.1513513513514,0.40122439368966,5.3584905660377,3.3411764705882,0.46633825944171,0.945,0.085,17.2828,176,0.47666934835076,1.53,3.921568627451,-0.435,0.3788,0.62531433361274,0.067,0.68,0.037409493161706,148,100.5,0.75124378109453,0.42897727272727,14.6,0.039956212370006,32.6,0.089217296113848,0,1.2868117797695,0.072841922156991,0.087027914614122,0.27504105090312,1.2906,0.069485600532243,365.4,0.12549612162162,0.18693982074264,30.4,6,75.5,185210,424.7,19.6,5.1275510204082,424.7,1.6,1.1458333333333
"3",2010-09-30,16.3,2.9,0.9996,0.5370705244123,76.8,242.7,4.3,8.7,0.031160458452722,0.033538936006168,0.035846724351051,10.4369,0.36264505802321,NA,21.8,0,0,-25.1463,-25.1463,-3.3463,0,NA,270.5,1.720737913486,0.77886553412036,NA,NA,1.0427910562837,NA,0.05,-18.0831,279.2,0.53440461475072,0.98,12.612244897959,NA,-0.3895,0.59367088607595,0.076,0.5856,0.044499381953028,157.2,190.1,0.4687006838506,0.31912607449857,-23.3,-0.08982266769468,30.8,0.11873554356207,NA,2.4752604166667,NA,-0.096940092521203,0.73284502698535,-7.0631,NA,259.4,-0.15996348600509,-0.30338541666667,27.3,12.36,89.1,136035,347.3,7.6,25.013157894737,347.3,1.45,1.6829415310428
"4",2009-09-30,16.3,2.99,0.9216,0.47464114832536,109.8,284,18.5,11.1,0.066907775768535,0.026129943502825,0.039084507042253,-22.633,0.25173611111111,6.352380952381,28,0,0,16.1,10.6076,44.1,0.34114,NA,154.8,0.7822132390096,0.60163233579479,9.6149068322981,3.5102040816326,0.36440677966102,-0.035,0.005,42.7406,165.9,0.51302816901408,NA,NA,0.1,-0.0172,0.72920065252855,0.055,0.5316,0.038732394366197,197.9,66.7,1.4872563718141,0.59795057263412,10.5,0.024717514124294,57.4,0.13512241054614,0,0.60746812386157,NA,0.037900188323917,0.15701506591337,-32.133,-3.0292304029073,424.8,0.053601040929762,0.095628415300546,36.1,3.96,99.2,87698,257.3,-25.7,NA,257.3,1.45,0.79377990430622
"5",2008-09-30,15.9,2.46,0.6434,0.46743138058173,130,350.1,18.9,13,0.087778528021607,0.030856871587942,0.037132247929163,-4.3194,0.21137705937209,2.741935483871,23,0,0,24.8,16.3469,47.8,0.34085,NA,135.1,0.58459541324102,0.29646697388633,5.4475806451613,2.826359832636,0.32067410396392,0.035,0.065,24.7663,148.1,0.45986860896887,0.29,7.8965517241379,0.115,0.3548,0.90774299835255,0.068,0.9495,0.13938874607255,231.1,34,3.3558823529412,0.77042538825118,12.4,0.029432708283883,52.9,0.12556373130786,0,0.26153846153846,0.78341013824885,0.058865416567766,0.080702587230002,-8.4194,-0.51504456845634,421.3,0.070735266118563,0.095384615384615,36.5,2.29,114.1,113132,455.7,15.7,2.1656050955414,455.7,0.85,0.60671855796805
"6",2007-09-30,16.8,1.01,0.2641,0.44033613445378,133.2,342.7,19.3,11.7,0.045331266950794,0.035422343324251,0.034140647796907,-8.5163,0.57553956834532,10.645833333333,17.5,0.035068493150685,5.376,25.1,15.7824,42.6,0.37122,NA,246.4,1.088820150243,0.61584603849038,9.8167330677291,5.7840375586855,0.7459884953073,0.115,0.1,22.4987,258.1,0.45637583892618,0.9,10.044444444444,0.1,0.05,0.26404494382022,NA,0.8983,0.16428362999708,226.3,153.3,0.6836268754077,0.40604416892677,14.4,0.043596730245232,40.3,0.12201029367242,0.37333333333333,1.1509009009009,0.92572463768116,0.075991522858008,0.46412352406903,-6.7163,-0.42555808119251,330.3,0.069740954485197,0.10810810810811,30,9.04,104.8,44143,400.1,11.7,13.102564102564,400.1,0.95,1.0844537815126
"7",2006-09-30,17.2,1.15,0.2775,0.35714285714286,116.1,269.7,16.7,10.9,0.038928571428571,0.033914125700062,0.040415276232851,0.0328,0.4036036036036,14.366666666667,16.3,0.02554060324826,5.504,27.2,16.4886,43.5,0.3938,NA,269.1,1.5857395403654,0.83805668016194,9.8933823529412,6.1862068965517,0.83727442439328,0.151,NA,16.0559,280,0.44642195031517,0.22,56.5,0.025,0.0306,0.16296928327645,NA,0.9135,0.15609936967,169.7,215.5,0.29930394431555,0.23035714285714,15,0.046670815183572,35.1,0.10920970752956,0.36693333333333,1.8561584840655,0.9514348785872,0.08462974486621,0.67050404480398,0.4328,0.026246125348049,321.4,0.097163464938126,0.12919896640827,29.1,12.43,64.5,38748,321.1,16.5,13.060606060606,321.1,0.7,1.5503875968992
"8",2005-09-30,16.8,0.9,0.295,0.39357218124341,NA,289.9,12.2,10.8,0.042840142800476,0.033312769895126,0.037254225595033,2.0027,0.61016949152542,24.985915492958,16.1,0.030188679245283,5.376,17.6551,11.1962,33.7551,0.36584,NA,241.3,1.3480446927374,0.74429364589759,13.667438870355,7.1485494043863,0.79348898388688,0.2,NA,13.0934,252.1,0.45256985167299,NA,NA,0.005,0.1951,0.16709292412617,NA,0.8698,0.15350120731287,179,177.4,0.42108229988726,0.29631098770329,7.1,0.023347583031897,30.3,0.099638276882604,0.75718309859155,1.5412684622068,1.2492957746479,0.05805688918119,0.5833607365998,-1.8973,-0.16945729044346,304.1,0.062548369921788,0.061685490877498,29.8,10.6,74.7,60409,324.2,10,17.74,324.2,0.6,1.3282402528978
"9",2004-09-30,16.7,1.03,0.3951,0.44240837696335,NA,266.4,11.6,5,0.016528925619835,0.0170706725845,NA,5.5176,0.52138699063528,21.372549019608,13.8,0.024786986831913,5.344,36.0984,23.6307,49.8984,0.34538,NA,297.5,1.5994623655914,1.0157050187777,8.2413624980608,5.962115017716,1.1735700197239,0.135,NA,20.3132,302.5,0.48423423423423,NA,NA,-0.06,0.2085,0.17543859649123,NA,0.8331,0.16103603603604,186,218,0.38761467889908,0.27933884297521,10.2,0.040236686390533,35.5,0.14003944773176,0.52392156862745,2.0469483568075,1.5831517792302,0.1424,0.85996055226824,3.3176,0.14039149843052,253.5,0.12704696025807,0.095774647887324,21.7,12.91,84.5,18624,292.9,10.1,21.584158415842,292.9,0.6,1.5837696335078
"10",2002-09-30,NA,0.45,0.4462,0.4735,NA,188.1,6.3,3,0.014541929229278,0.016648168701443,NA,0.4786,0.1773,68.409090909091,13.3,0.0327,4.9214,26.1777,15.5247,39.4777,0.40695,NA,203.3,NA,NA,7.766152106564,5.1497427661693,1.1281908990011,0.12,NA,22.0461,206.3,0.44019138755981,NA,NA,-0.105,0.3572,0.30496453900709,0,0.6041,0.21158958001063,114.817,150.5,0.37076411960133,0.27047988366457,2.2,0.012208657047725,22.998,0.12762486126526,2.2369772727273,2.4274193548387,5.7007575757576,0.086152524889012,0.83518312985572,-6.5214,-0.42006649450865,NA,0.13521242485869,0.035483870967742,16.4,9.3,55.8,3600,180.2,5.3,28.396226415094,183.9,0.55,1.7967722549797
