"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,151.9,1.05,0.2443,0.4175,1180.7,8486.3,0,129.6,0.0581,0.0153,NA,0.8,15.81,0,0.0439,60.76,276,214.13,276,0.2233,0.2236,2100.2,1.11,7.62,7.62,0.05,214.13,2229.8,0,0.65,14.34,NA,NA,0.0926,NA,0.7568,0.0323,1897.5,1383.4,0.6118,0.3796,87.5,0,NA,1.17,3.16,0,0,NA,0.1128,0.0741,40.5,9.32,846.4,1001222,NA,NA,NA,NA,0.95,1.1
"2",2010-12-31,136.8,1.29,0.4151,0.42668481274258,1137.4,8844.6,0,90.3,0.041768814468754,0.010209619428804,NA,0.57215128884606,61.755868544601,0,0.0185,24.3349,297,202.1085,297,0.3195,0.32165605095541,2071.6,1.0940008449514,6.9750841750842,6.9750841750842,0.065,202.1085,2161.9,0,0.59,14.305084745763,NA,NA,0.18657718120805,NA,0.7752,0.031714266331999,1893.6,1315.4,0.64353048502357,0.39155372588926,21.3,0,1.1424835680751,1.1564972744857,9.5009028530155,0,0,NA,0.10673241444867,0.018726921048004,63.9,8.44,846.5,787097,NA,75.4,17.445623342175,NA,0.95,1.089722264227
"3",2009-12-31,125.7,0.6,0.4411,0.49108079748164,921.5,9483.9,0,106.7,0.05469831342595,0.011250645831356,NA,0.53842666062117,NA,0,0.0047,4.989,284.8,284.8,284.8,0,NA,1844,1.0821596244131,6.4747191011236,6.4747191011236,0.065,284.8,1950.7,0,NA,NA,-0.2,NA,0.22655122655123,NA,0.6325,0.032961123588397,1704,1061.5,0.83768252472916,0.45583636643256,-103.1,0,NA,1.1519262072707,NA,0,0,NA,0.16713615023474,-0.11188279978296,110.9,8.03,889.2,634883,NA,-27.6,NA,NA,0.95,1.0773181642459
"4",2008-12-31,80.7,0.44,0.4327,0.51277199621571,1030,9403.4,0,156.9,0.085775202274218,0.016685454197418,NA,0.35128264386411,7.4594594594595,0,0.0068,5.0674,317.7,243.2025,317.7,0.23449,NA,1672.3,0.85447856522406,5.263770853006,5.263770853006,0.08,NA,1829.2,0,NA,NA,0.06,NA,0.60243632336656,NA,0.6193,0.063349426803071,1957.1,745.2,1.454643048846,0.59260879072819,99.9,0,0.050724324324324,0.72349514563107,0.93243243243243,NA,NA,NA,0.12426678606101,0.096990291262136,142.9,5.79,1084,1445236,NA,-34.9,NA,NA,0.95,0.86527909176916
"5",2007-12-31,49.1,NA,0.3153,0.57315873136023,563.9,5824.4,0,104.3,0.054837013669821,0.017907423940663,NA,0.48208055819854,17.558282208589,0,0.029593815513627,33.879,197.9,156.2658,197.9,0.21038,NA,1797.7,1.4773997370151,9.0838807478525,9.0838807478525,0.055,NA,1902,0,1.22,11.893442622951,0.075,NA,0.29617627997408,NA,0.5516,0.047678730856397,1216.8,1144.8,0.66142557651992,0.39810725552051,65.2,0,0.51961656441718,2.030147189218,3.1924149470162,NA,NA,NA,0.12842356837607,0.11562333747118,123.9,14.51,757.2,1156740,NA,84.7,13.515938606848,NA,0.95,1.4397093331315
"6",2006-12-31,49.4,1.45,0.2473,0.52634793229803,542.9,5452.3,0,106.6,0.077527272727273,0.019551381985584,NA,0.71168621107966,12.487055016181,0,0.043529869120124,33.592,175.2,133.9912,175.2,0.23521,NA,1268.4,1.2200846479415,7.2397260273973,7.2397260273973,0.08,NA,1375,0,1.28,10.71875,0.085,NA,0.19770976595933,NA,0.3301,0.052051427837793,1039.6,771.7,0.78178048464429,0.43876363636364,61.8,0,0.54355987055016,1.421440412599,1.5608818770227,NA,NA,NA,0.1288872720277,0.11383311843802,107.7,13.72,603.3,396911,NA,63.1,12.229793977813,NA,1.1,1.1996161228407
"7",2005-12-31,44.7,1.33,0.2052,0.45770355923939,444.9,4600.6,0,116.5,0.085712183637434,0.025322783984698,NA,0.66276803118908,16.44983277592,0,0.030445257700519,29.949,164.8,125.4573,164.8,0.23873,NA,1242.7,1.7654496377326,7.5406553398058,7.5406553398058,0.095,NA,1359.2,0,1.31,15.458015267176,0.08,NA,0.12062741192581,NA,0.1948,0.044363778637569,703.9,983.7,0.38172206973671,0.27626545026486,59.8,0,0.50081939799331,2.2110586648685,1.7315613448337,NA,NA,NA,0.17823170336696,0.13441222746685,60.8,20.25,375.5,103001,NA,64.1,15.346333853354,NA,0.85,1.6567528035105
"8",2004-12-31,43.1,0.43,0.1928,0.45471914405808,NA,4478.8,0,85.1,0.06969696969697,0.019000625167456,0,0.44605809128631,16.520076481836,0,0.034645669291339,28.446,NA,NA,NA,0.24752,NA,1135.9,1.6227142857143,NA,NA,0.1,NA,1221,0,1.33,14.323308270677,0.08,0,0.13244514106583,NA,0.1814,0.045860498347772,700,864,0.41319444444444,0.29238329238329,52.3,0,0.54390057361377,2.0182200420462,1.6520076481836,0,NA,NA,NA,0.12216771782294,38.1,19.05,357,107071,NA,58.5,14.769230769231,0,0.7,1.5552158960642
"9",2003-12-31,30.4,0.23,0.1882,0.41698770867731,NA,3512.6,0,96.2,0.078884788847889,NA,0,0.24442082890542,25.246819338422,0,0.029304029304029,24.32,NA,NA,NA,0.22105,NA,1123.3,2.5023390510136,NA,NA,0.09,NA,1219.5,0,1.54,17.727272727273,0.075,0,0.15478733734706,NA,0.1566,0.031657461709275,448.9,992.2,0.22908687764564,0.18638786387864,39.3,0,0.61882951653944,3.1220893643801,2.8052021487136,0,NA,NA,NA,0.1236626809314,33.8,27.3,227.3,14581,NA,48.5,20.457731958763,0,0.65,2.2372041827188
"10",2002-12-31,21.7,-0.16,0.2238,0.51163812033377,NA,2858.3,0,83.8,0.082084435302184,NA,0,-0.1613,21.765193370166,0,0.026439903541059,20.832,118.7,94.3606,118.7,0.20505,NA,937.1,NA,7.8946925021061,7.8946925021061,0.0875,94.3606,1020.9,0,1.75,18.765714285714,NA,0,0.22226575020478,NA,0.1425,0,371.6,787.9,0.29572280746288,0.2282299931433,36.2,0,0.57546961325967,3.5427158273381,2.4874506708761,0,0,0,0.25393047631862,0.16276978417266,44.8,32.84,233,13892,0,41.3,19.077481840194,0,0.6,2.5217976318622
