"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,20.6,1.5,0.3309,0.4458,494.1,1252.1,31.5,30.7,0.025,0.0278,0.0245,9.52,0.8,18.84,48.4,0,0,104,70.72,152,0.32,0.32,1199.6,1.39,1.02,11.53,7.87,1.09,0.15,78.1,1230.3,0.1311,1.97,20.76,NA,0.015,0.1586,NA,NA,0.317,860.9,832.8,0.4773,0.3231,44.2,0.04,148.6,0.1344,0,1.69,1.26,0.0941,0.75,-7.38,-0.1044,1105.5,0.0821,0.0895,275,40.9,397.5,65772,1176.3,38,21.92,1176.3,1,1.38
"2",2010-12-31,20.4,1.2,0.3667,0.447011027278,476.4,1148.3,21.9,219.2,0.20270020343998,0.25341040462428,0.19089088217365,18.5479,0.68175620398146,26.576335877863,39.6,0,0,81.1,74.5552,120.7,0.0807,0.080701754385965,862.2,1.3423633815974,0.84067862714509,10.631319358816,7.1433305716653,0.99676300578035,0.15,73.7073,1081.4,0.12209352956545,2.34,14.094017094017,-0.46,0.0642,0.29445308449974,NA,NA,0.19785770269093,642.3,696.3,0.55306620709464,0.35611244682819,26.2,0.03028901734104,99.9,0.11549132947977,0,1.4615869017632,1.7717557251908,0.093757225433526,0.8049710982659,0.8479,0.01137287772368,865,0.116075400903,0.054995801847187,242.9,32.98,385.1,215646,1025.6,47.9,14.536534446764,1025.6,1,1.255252466628
"3",2009-12-31,20.2,1.4,0.4193,0.29502262443439,311.6,1221.2,22.1,76.8,0.079224262430369,0.095641344956413,0.062888961677039,17.0247,0.59623181492965,NA,40.3,0,0,54.9,54.9,95.2,0,NA,892.6,2.4441401971523,0.99542767926843,16.258652094718,9.3760504201681,1.1115815691158,NA,56.0753,969.4,0.15181788404848,3.08,13.493506493506,-0.34,-0.3244,0.28068303094984,NA,NA,0.1979200786112,365.2,839,0.1554231227652,0.1345161955849,-70.1,-0.087297633872976,145.9,0.18169364881694,NA,2.6925545571245,NA,0.068368617683686,1.0448318804483,-1.1753,-0.021408107574737,803,0.15032858707558,-0.22496790757381,224.3,41.56,130.4,141631,896.7,15.7,53.43949044586,896.7,1,2.1932126696833
"4",2008-12-31,19.8,1.39,0.4201,0.31451752114621,397.1,1352.5,49.1,76.3,0.1078445229682,0.065336530227779,0.05641404805915,-20.0751,0.38086169959534,9.818691588785,44.8,0,0,143.2,94.9344,188,0.33705,NA,631.2,1.2548707753479,0.6570209222442,4.4078212290503,3.3574468085106,0.54050351087515,NA,110.7096,707.5,0.15238447319778,1.82,14.510989010989,0.045,0.2259,0.33975784531752,NA,NA,0.23770794824399,503,525.3,0.3468494193794,0.25752650176678,53.5,0.045812639150539,113.2,0.096934406576469,0,1.3228405943087,NA,0.12262373694126,0.44982017468745,-15.7751,-0.16616852221372,1167.8,0.1887364612326,0.1347267690758,264.1,26.41,182.2,211333,960.7,-21.1,NA,960.7,1,1.2213015708614
"5",2007-12-31,21.4,1.92,0.3939,0.28102300242131,475.1,1470.3,46.8,129.2,0.23162423807816,0.12543689320388,0.087873223151738,-12.8197,0.38588474232039,9.8700265251989,40.2,0,0,131.6,85.54,171.8,0.35,NA,428.6,0.80624529721595,0.37137163157439,3.2568389057751,2.4947613504075,0.41611650485437,NA,91.7597,557.8,0.13160579473577,0.93,23.161290322581,0.025,0.0874,0.50413223140496,NA,NA,0.21580629803442,531.6,372.1,0.49905939263639,0.33291502330584,37.7,0.036601941747573,106.4,0.10330097087379,0,0.78320353609766,NA,0.12776699029126,0.36126213592233,-6.2197,-0.072710433544972,1030,0.16091045899172,0.079351715428331,228.4,21.54,185.7,281822,1154.1,46.7,7.9678800856531,1154.1,0.95,0.84412832929782
"6",2006-12-31,21,1.92,0.2963,0.31495929443691,403.9,1406.6,41.3,161,0.19286056540489,0.1734166307626,0.11446040096687,-6.5736,0.64799190010125,8.6894243641232,35.2,0,0,111,78.8189,146.2,0.28992,NA,673.8,1.5720951936538,0.67433947157726,6.0702702702703,4.608755129959,0.72576475657044,NA,79.2925,834.8,0.1182283520546,NA,NA,NA,0.0967,0.22086453816844,NA,NA,0.16472344660884,428.6,649.1,0.28608843013403,0.22244849065645,74.7,0.080461008186127,86.2,0.092847910383455,0,1.6070809606338,NA,0.11956053425248,0.69915984489444,-0.4736,-0.0060091193271036,928.4,0.18389846010266,0.18494676900223,196.3,28.64,185.7,306700,999.2,63.1,10.286846275753,999.2,1.2,1.4158751696065
"7",2005-12-31,20.8,3.11,0.4246,0.25541304647635,539.9,1276.2,32.2,109.5,0.12297843665768,0.13057476746959,0.085801598495534,-6.163,0.47103155911446,12.868613138686,31.3,0,0,89.1,56.6088,120.4,0.36466,NA,780.9,1.2685185185185,0.87672617042775,8.7643097643098,6.4858803986711,0.93119484855712,NA,61.8718,890.4,0.11573421093872,NA,NA,NA,0.0044,0.20759264838807,NA,NA,0.16235699733584,615.6,705.2,0.26262053318208,0.20799640610961,54.8,0.065347006916289,99.2,0.11829239208204,0,1.3061678088535,NA,0.10624850942046,0.84092535177677,-5.263,-0.092972014692176,838.6,0.091957105263158,0.10150027782923,183.8,33.21,185.2,149100,890.7,28.4,24.830985915493,890.7,1.25,1.2279685560612
"8",2004-12-31,20.6,2.17,0.5908,0.25697801341026,NA,1181,36.9,108,0.14758130636786,0.12924844423169,0.091447925486875,1.4136,0.7345971563981,16.775147928994,31.6,0,0,69.0433,45.8482,100.6433,0.33595,NA,623.8,1.1696981061316,0.74652943992341,9.0349047424415,6.1981249827361,0.75493162289725,0.07,39.1346,731.8,0.12421676545301,NA,NA,NA,0.1148,0.22065236350951,NA,0.8728,0.16342082980525,533.3,567,0.29065255731922,0.22519814156873,33.8,0.04090524022752,125.6,0.1520029045141,0,1.189926547744,2.396449704142,0.083557231029892,0.68619145588769,6.7136,0.1464315421265,826.3,0.085970804288393,0.07093389296957,185.2,26.92,164.8,100200,835.6,45,12.6,835.6,1.25,1.1411196008108
"9",2003-12-31,20.3,0,0,0.28048780487805,NA,1020.7,20.8,94.7,0.12068306359118,0.11819770344483,NA,8.1608,NA,15.837628865979,31.6,0,0,96.8113,63.1142,128.4113,0.34807,NA,690,1.3473930872876,0.86120818771842,7.1272701130013,5.3733605604368,0.94507601698398,0.07,65.7534,784.7,0.13177231311845,NA,NA,NA,0.0238,0.47099311701082,NA,0.7885,0.19702165180758,512.1,614.5,0.27697314890155,0.21689817764751,38.8,0.053143405013012,83.8,0.11477879742501,0,1.4074667888227,2.2625184094256,0.1326,0.84166552527051,-2.6392,-0.041816722352217,730.1,0.12324578155009,0.088868529546496,163.8,28.96,170.2,47200,801.2,39.4,15.596446700508,801.2,1.2,1.2931773236651
"10",2002-12-31,20.2,0,0,0.30605300859599,NA,955.3,18.7,81.8,0.17759444203213,0.11522749683054,NA,48.4,0,5.8762677484787,29.9,0,0,59.4,59.4,89.3,0,NA,378.8,NA,NA,6.3771043771044,4.2418812989922,0.53359628116636,NA,70.6,460.6,0.14236365539621,NA,NA,NA,0,0.61411245865491,NA,0.5845,0.1936564430022,476.6,289.7,0.58992060752503,0.37103777681285,49.3,0.069446400901535,73.3,0.10325397943372,0,0.74761290322581,NA,0.083673756867164,0.40808564586562,-11.2,-0.18855218855219,709.9,0.12463281577843,0.12722580645161,151.8,13.63,170.9,162470,734.1,79.7,3.6348808030113,734.1,NA,0.79479647503147
