"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,43.9,1.74,0.414,0.1634,596.8,1875.6,27.1,128.3,0.144,0.0243,0.0684,1.58,0.8,7.73,39.1,0,0,147,104.28,187,0.2926,0.2929,762.7,1.3,0.14,5.17,4.09,0.14,0.14,0.09,114.7,891,0.075,2.35,7.39,0.035,0.085,0.2421,0.017,0.9664,0.0455,585.1,774.4,0.1506,0.1309,100.2,0.019,299.2,0.0566,0,1.3,0.55,0.0279,0.15,-10.42,-0.0999,5287.2,0.1782,0.1679,561.8,17.37,116.6,132361,5315.1,106.8,7.25,5315.1,1.35,1.25
"2",2010-12-31,46.3,2.53,0.8288,0.14523212045169,545,1803.3,18,123.8,0.16140808344198,0.025738580843677,0.068651915931903,21.7577,0.39213320463321,8.9324503311258,38,0,0,124.1,81.3351,162.1,0.3446,0.34461805555556,643.2,1.2518489684702,0.12213972389434,5.1829170024174,3.9679210363973,0.13372419385018,0.165,0.095,79.5775,767,0.078411800587811,2.07,7.3864734299517,0.015,0.1534,0.20135052179251,0.016,NA,0.047468529917374,513.8,674.4,0.13730723606168,0.12073011734029,75.5,0.015696792033098,229.4,0.04769329923699,0,1.2374311926605,0.54136062612884,0.025800952202749,0.14021081519366,1.7577,0.021610377899578,4809.9,0.15830116776956,0.13853211009174,522,15.29,92.6,230823,5266.1,90.6,7.4437086092715,5266.1,1.3,1.2029485570891
"3",2009-12-31,46,2.67,0.9449,0.24312075105212,467.6,1603.3,14.7,68.1,0.084849239970097,0.016461601682419,0.042474895527974,30.1248,0.34395174092497,21.181818181818,41.2,0,0,52.9,38.9979,94.1,0.2628,0.26139088729017,734.5,1.3361833727488,0.15701825644534,13.884688090737,7.8055260361318,0.17754840581112,0.115,0.05,35.3731,802.6,0.093619409966943,1.5,8.7733333333333,0.02,-0.1494,0.20484503028144,0.018,0.9951,0.061311045967692,549.7,652.4,0.23022685469037,0.18714178918515,30.8,0.0074451884261162,230.4,0.0556938770577,0,1.3952095808383,1.8418972332016,0.012787352848751,0.15770262757137,3.6248,0.092949106477328,4136.9,0.070943933054393,0.065868263473054,515.7,13.16,150.2,209447,4677.8,67.9,9.6082474226804,4677.8,1.3,1.2991259307219
"4",2008-12-31,45.6,3,0.945,0.35076923076923,422,1607.6,26.6,49.2,0.064212999216915,0.010195834628536,0.03060462801692,-39.304,0.22010582010582,11.165975103734,41.2,0,0,101.6,61.405,142.8,0.39562,NA,717,1.1934087882823,0.17408828242607,7.0570866141732,5.0210084033613,0.14858563879391,0.01,0.025,115.309,766.2,0.097847723314257,0.85,13.435294117647,0.065,0.0683,0.74674115456238,0.044,0.9827,0.11395869619308,600.8,538.2,0.42363433667782,0.29757243539546,48.2,0.0099886022173868,268.3,0.055600455911304,0,1.275355450237,11.165975103734,0.021054812972749,0.11153248368045,-53.904,-0.87784309520326,4825.5,0.10220540612517,0.11421800947867,562,11.42,228,325122,4118.6,35.1,15.333333333333,4118.6,1.3,1.1787692307692
"5",2007-12-31,48.5,2,0.5445,0.20695652173913,775.2,1867.2,35.8,56.7,0.1265625,0.011811515707024,0.030366323907455,-13.4841,0.29384756657484,3.4125,34.5,0,0,128.7,79.0977,163.2,0.38541,NA,391.3,0.42495655951347,0.078927728583819,3.040404040404,2.3976715686274,0.081514040496625,0.11,0.09,91.2818,448,0.08488646101114,1.45,4.7586206896552,0.035,0.2683,0.71875,0.045,NA,0.20763710368466,920.8,245.7,0.82336182336182,0.4515625,72,0.014998750104158,411.5,0.085722023164736,0,0.31695046439628,0.31022727272727,0.026810265811182,0.051183234730439,-12.1841,-0.15403822311586,4800.4,0.085901100130321,0.092879256965944,532.4,6.9,202.3,414393,4957.7,67.9,3.6185567010309,4957.7,1,0.45831202046036
"6",2006-12-31,48.9,1.96,0.2897,0.25742254733219,690.3,1774.2,34.2,54.7,0.046676337571465,0.014330250713893,0.03083079697892,-92.1835,0.60752502588885,14.194824961948,25.4,0,0,104.5,67.5791,129.9,0.35331,NA,1117.2,1.2769459366785,0.23409114719749,10.690909090909,8.6004618937644,0.29268292682927,0.15,0.095,150.9627,1171.9,0.072877916807575,1.95,8.7384615384615,0.03,0.1434,0.24180148666375,0.058,NA,0,874.9,932.6,0.25659446708128,0.20419831043604,65.7,0.017212019596028,368.3,0.096486861753687,0,1.3510068086339,0.94632166412988,0.027376804380289,0.24432160540725,-83.3835,-1.2338658187242,3817.1,0.077242090524631,0.095176010430248,374.5,17.04,239.3,493601,4772.5,55.9,16.683363148479,4772.5,1.1,1.2606497418244
"7",2005-12-31,47.7,1.53,0.2495,0.073649754500818,566,922.3,38.8,35.1,0.036294075069796,0.010763239397749,0.038057031334707,-16.3544,0.8,14.385335413417,18.2,0,0,99.2,63.7658,117.4,0.3572,NA,932,1.6183365167564,0.27455370293996,9.3951612903226,7.93867120954,0.28579313728497,0.12,0.095,59.5201,967.1,0.14420470562724,1.57,12.019108280255,0.03,0.0948,0.17466016927417,0.058,NA,0.094437818497235,575.9,922.1,0.048801648411235,0.046530865474098,64.1,0.019655944313268,399.5,0.12250467633621,0,1.6291519434629,1.198777951118,0.030419183711018,0.28275735181381,4.2456,0.066581590325537,3261.1,0.11072366730335,0.11325088339223,301.6,18.87,45,171807,3394.6,75.3,12.245683930943,3394.6,1.3,1.5828150572831
"8",2004-12-31,49.4,1.32,0.4954,0.042764283270612,NA,887.6,20.7,38.4,0.040163162849074,0.011873840445269,0.043262730959892,17.5659,0.53290270488494,16.776576576577,20.4,0,0,89.3441,56.226,109.7441,0.37068,NA,917.7,1.6801537898206,0.28376623376623,10.271520946202,8.3621792219939,0.29769358030298,0.145,0.04,38.3602,956.1,0.12742226228031,1.48,13.25,0.115,0.0088,0.11940298507463,0.063,0.9268,0.09790446146913,546.2,931.1,0.026849962410053,0.026147892479866,55.5,0.018003698056898,357.9,0.11609952314529,0,1.6638670478913,1.1570052811432,0.028982424498005,0.30204041911312,17.8659,0.31775058929974,3082.7,0.10294039106261,0.099177984274482,281.2,19.61,25,344758,3234,55.5,16.776576576577,3234,1.5,1.6354772494013
"9",2003-12-31,47.1,1.73,0.615,0.12938379235189,NA,792.1,25.3,41.9,0.039016668218642,0.013744915365438,NA,11.6648,0.56260162601626,26.68253968254,30.4,0,0,93.2608,61.2024,123.6608,0.34375,NA,1032,2.2299049265341,0.33853824957355,11.065742519901,8.3454093779112,0.35410376063684,0.1,0.05,54.6376,1073.9,0.15174851660144,1.3,15.753846153846,0.38,-0.0142,0.24899057873486,0.076,0.9498,0.12687791945461,462.8,1008.6,0.064743208407694,0.060806406555545,37.8,0.012970079604721,253.7,0.087050507823223,0,2.29540282203,2.668253968254,0.032,0.34607466373868,6.5648,0.10726324536802,2914.4,0.1322437337943,0.086026399635867,286.4,20.48,65.3,123816,3048.4,0,NA,3048.4,1.6,2.1277986922924
"10",2002-12-31,46.1,2.26,0.7846,0.22298136645963,NA,773.7,18.5,30.9,0.031485632769513,0.010688343133864,NA,30.4,0.6345,19.160087719298,21.9,0,0,81.2,48.2799,103.1,0.40542,NA,950.5,NA,NA,11.705665024631,9.2192046556741,0.3287789692148,NA,0.055,51.6799,981.4,0.15600361897376,0.97,19.041237113402,NA,0.2877,0.52215799614644,0.0919,0.9085,0.12162336823058,452.1,873.7,0.12326885658693,0.10974118606073,45.6,0.015773088896576,245,0.084745762711864,0,2.3280042632561,NA,0.028087167070218,0.30221376686268,-3.4,-0.070422686908853,2891,0.1067903030303,0.12150279776179,254.4,18.47,107.7,375979,2938.2,41,21.309756097561,2938.2,1.55,2.1024109710241
