"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,62.3,1.24,0.3886,0.1921,574.2,991,41.8,273,0.1239,0.1565,0.2755,8.49,0.8,13.49,32.8,0.0271,56.07,234,158.08,267,0.3239,0.3241,1930.9,4.41,0.93,8.26,7.24,1.11,0.185,0.145,140.59,2203.9,0.1509,3.6,10.29,0.155,0.08,0.3143,0.127,0.8757,0.1976,437.7,2067.4,0.066,0.0619,153.3,0.0879,44.5,0.0255,0.2646,3.6,0.73,0.1341,1.19,17.49,0.1106,1744,0.3612,0.267,1187.6,37.05,136.5,2039030,2076.8,211.9,9.76,2076.8,1,3.1
"2",2010-12-31,62.1,1.16,0.3763,0.25454833096029,471.2,892.2,53.8,230.3,0.074381499903107,0.14980810511936,0.25812598072181,0.2634,0.63114536274249,21.567229977957,29.6,0.0145,42.5619,217.1,142.2678,246.7,0.34469,0.34441233140655,2865.9,7.1326530612245,1.7371196508668,13.200829111009,11.616943656263,1.8642425030898,0.175,0.115,117.8044,3096.2,0.14985429275947,2.74,17.726277372263,0.085,0.1679,0.30529240874068,0.142,0.9003,0.21374131360682,401.8,2935.3,0.054815521411781,0.051966927201085,136.1,0.088531841540363,3.6,0.0023417680348663,0.31272483468038,6.2294142614601,1.2324131415976,0.14122162232485,1.9093865868731,24.4634,0.17195351816763,1537.3,0.35407615978099,0.28883701188455,1047.8,48.57,160.9,744713,1649.8,161.7,18.152752009895,1649.8,0.95,4.8982755893055
"3",2009-12-31,62.8,1.31,0.3815,0.29406238256295,375.7,748.4,20.2,158,0.077005556097085,0.11869882052438,0.21111704970604,4.1404,0.65530799475754,21.10579064588,28.6,0.0177,33.5468,147.7,94.0317,176.3,0.36336,0.36357193479802,1893.8,5.0609299839658,1.2506934354775,12.821936357481,10.741917186614,1.4227330779055,0.195,0.105,98.2913,2051.8,0.10609299839658,2.21,13.692307692308,0.035,0.077,0.1957783641161,0.248,0.8259,0.25975414216996,374.2,1895.3,0.082572679786841,0.0762744906911,89.8,0.067463000525881,30.1,0.022612876568252,0.37357249443207,5.0447165291456,1.0823482382502,0.11096085943956,1.4238599654421,-4.2596,-0.045299415324507,1331.1,0.25128735435596,0.23902049507586,939.7,30.26,156.5,592572,1514.2,129,14.692248062015,1514.2,1,3.8553175497933
"4",2008-12-31,63.4,1.17,0.3415,0.37410926365796,316.2,709.8,16,114.6,0.060214375788146,0.091856364219301,0.1614539306847,0.7269,0.44509516837482,26.251148545176,30.4,0.0168,28.7986,125.4,81.4134,155.8,0.35077,NA,1788.6,4.57910906298,1.4077922077922,14.263157894737,11.480102695764,1.4336325745431,0.155,0.095,95.0866,1903.2,0.11594815440969,1.58,17.006329113924,0.03,0.0777,0.56924754634678,0.238,0.6383,0.28219216680755,390.6,1714.2,0.11025551277564,0.099306431273644,65.3,0.052340493747996,39.6,0.031740942609811,0.44101929555896,5.4212523719165,1.6936224867856,0.10051298493107,1.3739980763065,-13.6731,-0.16794686575511,1247.6,0.20843175115207,0.20651486401012,893.6,26.87,189,435624,1270.5,79.9,21.454317897372,1270.5,0.95,3.7672209026128
"5",2007-12-31,63.4,1.06,0.2805,0.42178301093356,275,683.2,22.7,92.6,0.11441986902261,0.079986179493824,0.13553864168618,-2.3387,0.51336898395722,10.73544973545,33,0.045828815508461,27.896,90.7,58.2367,123.7,0.35792,NA,716.7,1.8712793733682,0.57933877617008,7.9018743109151,5.7938561034762,0.61907229852293,0.14,0.08,70.8754,809.3,0.129537470726,1.21,8.6198347107438,0.05,0.0785,0.40725096796902,0.239,0.6834,0.29069086651054,383,608.7,0.32955478889437,0.24786852835784,56.7,0.048976418761337,34.1,0.029454953787683,0.49199294532628,2.2134545454546,0.76681783824641,0.078344994385419,0.52578388183467,-12.6387,-0.21702350716604,1157.7,0.15205393211488,0.20618181818182,857.7,10.43,200.6,411361,1237.1,67.8,8.9778761061947,1237.1,0.9,1.7016400336417
"6",2006-12-31,65.9,1.49,0.2536,0.33803693712388,319,664.8,35.7,121.4,0.098013886646213,0.10883987807065,0.18261131167268,-0.3334,0.63091482649842,20.489523809524,29.1,0.025730222180905,27.678,86.7,53.8095,115.8,0.37936,NA,1117.2,3.0990291262136,0.9793986148856,12.885813148789,9.6476683937824,1.0016137708445,0.1,0.065,47.5429,1238.6,0.12921179302046,1.05,15.609523809524,0.045,0.0062,0.16060606060606,0.254,0.6854,0.30655836341757,360.5,1075.7,0.1514362740541,0.13151945745196,52.5,0.047068316299085,14.7,0.013179128563744,0.5272,3.3721003134796,2.0489523809524,0.077729962345347,0.96440738748431,6.2666,0.11645842174408,1115.4,0.14926348959778,0.16457680250784,833.5,16.39,162.9,267970,1140.7,52.6,20.450570342205,1140.7,1,2.5702427889604
"7",2005-12-31,70.2,1,0.3245,0.29768270944741,354.6,678.9,30.9,155.4,0.10999433748584,0.13159454653231,0.22889969067609,1.111,0.3944530046225,17.060810810811,30.5,0.022241584158416,28.08,123.1,76.615,153.6,0.37762,NA,1257.4,3.5977110157368,1.1257946100815,10.21445978879,8.1861979166667,1.0647810991617,0.09,0.07,75.104,1412.8,0.12387685962587,0.88,20.715909090909,-0.01,0.0325,0.19057686499547,0.201,0.6067,0.28943879805568,349.5,1262.5,0.1190495049505,0.10638448471121,74,0.062664069777289,20.5,0.017359640951816,0.37945945945946,3.5603496897913,1.8956456456457,0.10424252688627,1.0690998391058,1.511,0.019722214381061,1180.9,0.21921309871245,0.20868584320361,851.6,18.23,150.3,141000,1116.9,51.8,24.372586872587,1116.9,0.8,2.7981778570014
"8",2004-12-31,69.8,0.19,0.3329,0.33795261510952,NA,609.7,35,109.9,0.079252902574457,0.092415068953919,0.18025258323766,1.1812,0.11414839291078,15.900900900901,27.9,0.020466173962479,25.128,125.7165,79.9482,153.6165,0.36406,NA,1276.8,3.7831111111111,1.0736629667003,10.156184749019,8.3116071515755,1.1220669654627,0.11,0.105,71.667,1386.7,0.12547154338199,1,17.59,-0.05,0.1682,0.25503518563456,0.195,0.6353,0.31408889617845,337.5,1235.5,0.12237960339943,0.1090358404846,77.7,0.068283680464013,26.2,0.023024870375253,0.32339768339768,4.1711681296421,1.4455364455365,0.1104811494859,1.085772036207,8.2812,0.10358183079449,1137.9,0.2368834104,0.26232275489534,820.9,17.59,151.2,285000,1189.2,77.7,15.900900900901,1189.2,0.65,3.0994635672776
"9",2003-12-31,70.7,0.08,0.5253,0.3630377524144,NA,623.7,23.5,122.6,0.063523316062176,0.11070977063392,NA,4.7796,0.03045878545593,24.67972027972,22.4,0.0128,22.624,135.2491,85.2989,157.6492,0.36932,NA,1807.4,5.4276276276276,1.6321112515803,13.363485093991,11.464698667896,1.8321338063862,0.14,0.1,79.4193,1930,0.09700176366843,1.13,22.12389380531,NA,0.1701,0.26773249268183,0.265,0.5751,0.2987012987013,333,1764.6,0.093732290604103,0.085699481865285,71.5,0.072478459199189,39,0.039533705017739,0.31641958041958,6.0806340454859,1.7628371628372,0.1371,1.7887480993411,5.8796,0.068929641512533,986.5,0.25615295472072,0.24638180565127,697,25,165.4,88800,1107.4,0,NA,1107.4,0.6,4.2361720807726
"10",2002-12-31,80.9,-0.39,0.5659,0.17449807774455,NA,611.8,19,120.3,0.082402904308514,0.12477958717975,NA,28.5,-0.1504,21.268518518519,21.6,0.016435930924394,22.652,105.8,66.654,127.4,0.37,NA,1339.6,NA,NA,12.661625708885,10.514913657771,1.3894824188362,0.135,0.085,69.254,1459.9,0.090389016018307,0.98,17.397959183673,NA,0.1103,0.34530490086046,NA,0.4076,0.307126511932,347.9,1378.2,0.059280220577565,0.055962737173779,64.8,0.067212944715278,60.3,0.062545379110051,0.34956790123457,3.5658473479948,1.5754458161866,0.10973965356291,1.4295197593611,-2.6,-0.039007411408168,964.1,0.19158953722334,0.16765847347995,667.4,17.05,81.7,233429,960.7,NA,NA,960.7,0.6,3.8505317620006
