"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,9.8,0.94,0.2538,0.2059,131.1,185.9,10,4.8,0.025,0.024,0.0258,0,0.8,9.71,8.8,0,0,27,17.28,35,0.3479,0.348,187.4,1.17,0.94,7.07,5.31,0.94,16.08,192.2,0.4061,1.8,9.19,0.06,0.07,0.2249,NA,0.7392,0.1861,160.3,158.2,0.2149,0.1769,16.3,0.0813,42.9,0.2141,0,1.21,0.1322,0.79,1.2,0.0694,200.4,0.1078,0.1243,71.4,16.54,34,41376,200.4,15.8,10.01,200.4,0.9,1.16
"2",2011-09-30,10.1,0.81,0.3396,0.21094264996704,119.7,171.7,12.4,2.4,0.016337644656229,0.012759170653907,0.013977868375073,-0.0213,0.66254416961131,7.3184713375796,8.1,0,0,25.3,16.4536,33.4,0.34966,0.35123966942149,144.5,0.96784996651038,0.7686170212766,5.7114624505929,4.3263473053892,0.76820839978735,12.1749,146.9,0.41991846243448,1.74,6.5057471264368,0.015,0.068,0.20045045045045,NA,0.7401,0.16598718695399,149.3,114.9,0.27850304612707,0.21783526208305,15.7,0.083466241360978,40,0.21265284423179,0,0.95989974937343,0.13450292397661,0.61084529505582,4.2787,0.26004851190498,188.1,0.11020496985934,0.13116123642439,68.2,11.32,32,22089,188,15.7,7.3184713375796,188,0.9,0.96835860250494
"3",2010-09-30,10.4,0.95,0.4038,0.2045288531775,108.9,156.3,11.5,3.7,0.01968085106383,0.020544142143254,0.023672424824056,-0.0205,0.55720653789004,9.7560975609756,7.4,0,0,26.9,16.7326,34.3,0.37797,0.37642585551331,184.3,1.3836336336336,1.0238888888889,6.8513011152416,5.3731778425656,1.023320377568,12.6531,188,0.39475367882278,1.63,8.7055214723926,0.015,0.1335,0.20539198297268,NA,0.7647,0.15866922584773,133.2,160,0.175,0.14893617021277,16.4,0.09106052193226,36.9,0.20488617434758,0,1.4692378328742,0.1493614658523,0.88839533592449,4.0795,0.24380608368829,180.1,0.12562017267267,0.1505968778696,65.7,14.19,28,28633,180,16.3,9.8159509202454,180,0.9,1.3732651570489
"4",2009-09-30,10.8,0.92,0.3944,0.19787985865724,113.5,161.7,17.9,5.2,0.031784841075795,0.031156381066507,0.032158317872604,-0.8599,0.3448275862069,11.394957983193,5.9,0,0,23.1,14.5509,29,0.37009,NA,158.4,1.1621423330888,0.97597042513863,6.8571428571429,5.4620689655172,0.94907130017975,3.4108,163.6,0.32405689548547,NA,NA,0.045,0.0953,0.46283783783784,NA,0.6407,0.31106988249845,136.3,135.6,0.20648967551622,0.17114914425428,11.9,0.071300179748352,31.2,0.18693828639904,0,1.1947136563877,0.13840623127621,0.8124625524266,11.1401,0.76559304270599,166.9,0.10675657373441,0.10484581497797,67,12.37,28,27823,162.3,10.3,13.165048543689,162.3,0.85,1.156183745583
"5",2008-09-30,10.8,1.03,0.312,0.19787985865724,113.5,161.7,17.9,5.2,0.049056603773585,0.031156381066507,0.032158317872604,0,0.46153846153846,6.5546218487395,5.9,0,0,23.1,14.5509,29,0.37009,NA,100.8,0.73954512105649,0.60395446375075,4.3636363636364,3.4758620689655,0.60395446375075,2.5509,106,0.32405689548547,NA,NA,0.045,0.0953,0.37795275590551,NA,0.7063,0.31106988249845,136.3,78,0.35897435897436,0.26415094339623,11.9,0.071300179748352,31.2,0.18693828639904,0,0.68722466960352,0.13840623127621,0.4673457159976,12,0.82469006601025,166.9,0.10675657373441,0.10484581497797,67,7.69,28,35168,166.9,12,6.5,166.9,0.9,0.74911660777385
"6",2007-09-30,11,1.47,0.2405,0.026795284030011,90.8,108,14.5,2.8,0.018252933507171,0.018617021276596,0.025925925925926,-1.0991,0.66528066528066,10.127516778523,4.5,0,0,23.6,14.5138,28.1,0.38501,NA,150.6,1.6640883977901,0.96230031948882,6.3813559322034,5.3594306049822,1.001329787234,5.6129,153.4,0.30277777777778,NA,NA,0.18,0.0573,0.25877040639111,NA,0.6867,0.23240740740741,90.5,150.9,0.016567263088138,0.016297262059974,14.9,0.09906914893617,27.1,0.18018617021277,0,1.6618942731277,0.15691489361702,1.0033244680851,8.9009,0.61327057279574,150.4,0.16037308287293,0.16409691629956,55.4,13.18,2.5,16600,156.5,13.1,11.519083969466,156.5,1,1.6441586280815
"7",2006-09-30,11,1.07,0.4341,0.026795284030011,90.8,108,14.5,2.8,0.016156953260242,0.018617021276596,0.025925925925926,0,0.38700760193504,11.463087248322,4.5,0,0,23.6,14.5138,28.1,0.38501,NA,170.5,1.8839779005525,1.1336436170213,7.2245762711864,6.067615658363,1.1336436170213,4.5138,173.3,0.30277777777778,NA,NA,0.18,0.0573,0.13187541418158,NA,0.6861,0.23240740740741,90.5,170.8,0.01463700234192,0.014425851125216,14.9,0.09906914893617,27.1,0.18018617021277,0,1.8810572687225,0.15691489361702,1.1356382978723,10,0.6890011440175,150.4,0.16037308287293,0.16409691629956,55.4,15.31,2.5,19481,150.4,15,11.386666666667,150.4,1.05,1.8574490889603
"8",2005-09-30,11.5,0.64,0.4924,0.023668639053254,NA,100.9,6.8,3.4,0.022077922077922,0.022941970310391,0.033696729435084,0,0.25995125913891,12.16,4.3,0,0,21.057,12.9499,25.357,0.38501,NA,150.6,1.8569667077682,1.0161943319838,7.1520091636898,5.9391837053408,1.0161943319838,10.4499,154,0.25569871159564,NA,NA,0.195,0.0539,0.18599717114569,NA,0.7183,0.25173439048563,81.1,152,0.013157894736842,0.012987012987013,12.5,0.084345479082321,23.5,0.15856950067476,0,1.8424242424242,0.14208515519568,1.025641025641,2.5,0.19305232885296,148.2,0.15967764155117,0.15151515151515,55.1,13.5,2,34364,148.2,12.5,12.16,148.2,1,1.8224852071006
"9",2004-09-30,11.5,0.67,0.5662,0.083226632522407,NA,93.4,5.4,2.1,0.01067615658363,0.014914772727273,NA,0,0.23666548922642,14.088888888889,4.3,0,0,27.104,16.6692,31.404,0.38499,NA,194.6,2.5605263157895,1.3821022727273,7.1797520661157,6.1966628454974,1.3821022727273,15.5692,196.7,0.24304068522484,NA,NA,0.2,0.0994,0.44720985066806,NA,0.6317,0.22698072805139,76,190.2,0.034174553101998,0.033045246568378,13.5,0.095880681818182,24.5,0.17400568181818,0,2.6564245810056,0.1925,1.3508522727273,1.1,0.06598984664382,140.8,0.21933198736842,0.18854748603352,50.8,15.201,6.5,11732,140.8,13.5,14.088888888889,140.8,0.95,2.5185659411012
"10",2003-09-30,11.2,1.08,0.5778,0.18491124260355,NA,81.8,3.2,2.2,0.016140865737344,0.017670682730924,NA,0,0.4116,9.748031496063,3.9,0,0,21.1,13.0824,25,0.37998,NA,134.1,NA,NA,6.3554502369668,5.364,1.0771084337349,13.7824,136.3,0.25794621026895,NA,NA,NA,0.1223,0.40499040307102,NA,0.2569,0.17726161369193,65.4,123.8,0.10096930533118,0.091709464416728,12.7,0.10200803212851,20.1,0.16144578313253,0,2.2468239564428,0.16947791164659,0.99437751004016,-0.7,-0.05350691179355,124.5,0.20003703363914,0.23049001814882,42.9,10.98,12.5,62195,124.5,12.6,9.8253968253968,124.5,0.95,2.0504587155963
