"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,288.3,1.38,0.2908,0.5407,1849.1,6160.9,222.9,170.2,0.02,0.029,0.0276,1.69,0.8,18.79,161.6,0.0274,172.98,684,477.68,845,0.3011,0.3011,8325.2,2.16,1.42,12.18,9.85,1.42,0.14,0.03,414.69,8495.4,0.0895,1.33,16.74,-0.075,-0.03,0.1732,0.016,0.8767,0.4922,3855.7,6318.6,0.3445,0.2562,336.3,0.0573,684.4,0.1167,0.4555,3.42,1.34,0.1165,1.08,62.99,0.1319,5864.6,0.1239,0.1819,1521.7,22.27,2176.8,2250866,5879.1,379.8,16.64,5879.1,1.25,2.11
"2",2010-12-31,290.5,2.24,0.5611,0.55420643833053,1905.5,6405.3,164.7,139.6,0.020056318602379,0.024239477705237,0.021794451469877,14.8577,0.55694172161825,15.681352459016,172.3,0.0202,92.7483,707.4,689.7291,879.7,0.02498,0.024975024975025,6820.8,1.6496082035407,1.1571072319202,9.6420695504665,7.7535523473911,1.1843311571052,0.16,0.025,682.4715,6960.4,0.082634693144739,1.42,11.37323943662,-0.09,-0.0126,0.30432,0.011,0.8344,0.53046695705119,4134.8,4591.5,0.51593161276271,0.34033963565312,292.8,0.050840394499236,631.5,0.10965064592305,0.31676331967213,2.4096037785358,0.98008452868853,0.12282955966106,0.79724614529796,7.2577,0.010522481967911,5759.2,0.16681076424495,0.15366045657308,1463.4,16.15,2368.9,3731215,5894.7,426.1,10.775639521239,5894.7,1.25,1.6283922889762
"3",2009-12-31,277.8,1.78,0.5582,0.58466557911909,1782.2,6423.9,153.3,278.3,0.035555953034968,0.049896012621916,0.043322592194773,15.1743,0.53744177714081,18.628021015762,175.1,0.0109,57.9695,674.9,449.9828,850,0.33326,0.33325548808968,7548.8,1.881227103945,1.3219620685428,11.185064453993,8.8809411764706,1.3534136546185,0.08,0.01,456.6085,7827.1,0.089992060897586,1.01,18,-0.05,-0.1402,0.16999050332384,0.012,0.9076,0.52935132863214,4012.7,5318.3,0.47172968805821,0.32052739839787,285.5,0.051186890418818,637.8,0.11435025817556,0.2030454290718,2.9841207496353,2.3285026269702,0.12100186460126,0.95351047045324,-6.6257,-0.014724385814901,5577.6,0.11213966306975,0.1601952642801,1374.6,18.18,2508.8,3590877,5710.3,277.7,19.151242347857,5710.3,1.2,1.8240736425076
"4",2008-12-31,277.1,1.87,0.5414,0.64077000111272,1614.2,6792.5,157.8,275.4,0.038665655799848,0.042561740796835,0.040544718439455,-89.7119,0.36941263391208,19.349293205654,183.3,0.0131,55.5872,621.5,288.8235,804.8,0.53528,NA,6847.2,1.6232901069202,1.2208176582809,11.017216411907,8.5079522862823,1.0582017123605,0.02,0.015,404.0354,7122.6,0.092852410747148,0.93,16.139784946237,NA,0.0084,0.56234837457545,0.01,0.9448,0.49163047478837,4218.1,4243.3,0.67855207032263,0.40424844860023,219.3,0.033891756560443,673.5,0.10408617438877,0.25347574099407,2.6287324990707,9.6746466028272,0.096049825363954,0.65578153494266,-115.2119,-0.39890064930207,6470.6,0.068472411749366,0.13585677115599,1502.7,15.01,2879.3,4877023,5608.7,238.8,17.769262981574,5608.7,1.25,1.5850895738289
"5",2007-12-31,276.7,1.03,0.2315,0.49296060647083,2247.3,6682.9,157.3,329.2,0.067163113332653,0.051378895946811,0.049260051773931,-29.616,0.69114470842333,5.6690317195326,177,0.0855584186115,232.428,472.3,359.8784,649.3,0.23803,NA,4572.3,1.1143797221545,0.68636663864537,9.6809231420707,7.0418912675189,0.71360791597085,0.03,0.035,409.1944,4901.5,0.10303909979201,0.86,11.372093023256,0.02,0.028,0.48461755574372,0.01,0.8751,0.46544164958327,4103,2716.6,0.8042774055805,0.44576150158115,479.2,0.074789693006415,746.2,0.11646091177251,0.48503338898164,1.208828371824,1.8896772398442,0.073712796341673,0.42398514194747,-49.316,-0.13703519193055,6407.3,0.087711048257373,0.21323365816758,1430.9,9.78,2184.9,4341369,6661.6,305.9,8.8806799607715,6661.6,1,1.1058842110013
"6",2006-12-31,275.3,1.35,0.17,0.54342995169082,1890.2,6310.5,138.3,201,0.021258143666977,0.032414126753749,0.031851675778464,-21.3955,0.8,15.307839388145,193.3,0.032094262636356,231.252,723,660.9377,916.3,0.08584,NA,9254.2,2.3493780147246,1.4452912697173,12.799723374827,10.099530721379,1.4923721980326,0.1,0.03,737.3332,9455.2,0.118358291736,1.95,12.261538461538,0.005,-0.0252,0.14128700585003,0.01,0.8511,0.45867997781475,3939,7205.4,0.31223804368946,0.23794314239783,470.7,0.075907111756168,656.8,0.10591840025802,0.49129381771829,3.8119775685113,1.5307839388145,0.11659409772617,1.1619738751814,-76.3955,-0.11558656612242,6201,0.16779326732673,0.24902126759073,1347,23.91,2249.8,2127200,6403,458.1,15.728880157171,6403,1.05,2.2838647342995
"7",2005-12-31,274.5,1.29,0.1696,0.61242540745808,1643.2,6445.8,92.2,115.5,0.010925601854042,0.018210484824596,0.017918644698874,-10.7572,0.8,18.835616438356,213.8,0.028912852664577,230.58,628.8,528.4498,842.6,0.15959,NA,10456,2.535279569371,1.6245105959853,16.628498727735,12.409209589366,1.6485612928656,0.075,0.005,660.807,10571.5,0.15065624127339,1.75,16.542857142857,-0.035,-0.0605,0.12643246289686,0.01,0.8262,0.43020261255391,4124.2,7975,0.32557993730407,0.24561320531618,423.4,0.066756011036658,726.6,0.11456050453291,0.54459140292867,4.8533349561831,2.5114155251142,0.099140717382735,1.2573906188412,-132.3572,-0.25046320269576,6342.5,0.12813389457349,0.25766796494645,1265.6,28.95,2596.5,815700,6436.4,506.6,15.742202921437,6436.4,0.95,2.4934547255702
"8",2004-12-31,274.4,0.9,0.2147,0.59862583610138,NA,6665.9,121.9,505.6,0.05487480599542,0.078492253236874,0.075848722603099,-38.3227,0.8383791336749,17.272369456835,249.1,0.035323801513877,230.496,638.3146,459.1588,887.4146,0.28067,NA,8708.1,2.2387012185716,1.3518955506567,13.64233247994,9.8128879105663,1.2903947602395,0.05,-0.015,624.6815,9213.7,0.19625256904544,1.45,16.4,-0.04,-0.1292,0.11236198311323,0.017,0.856,0.31935672602349,3889.8,6582.5,0.39972654766426,0.28557474196034,381.1,0.056472645367791,842.4,0.12482958923597,0.60481763316715,3.7311529305068,3.4544738913671,0.094587546677731,0.97541639499733,-165.5227,-0.36049111774993,6748.4,0.11804176081495,0.21601859199637,1268.1,23.78,2631.2,758800,6441.4,381.1,17.272369456835,6441.4,0.9,2.0962142239614
"9",2003-12-31,274.4,0.66,0.2541,0.59020791415158,NA,7480.7,300,144.4,0.015185933030456,0.02033545043586,NA,-72.7997,0.51948051948052,16.188235294118,278.2,0.034981051930205,230.496,1010.6,683.6709,1288.8,0.3235,NA,9364.4,1.9607613224733,1.3187624103987,9.2661785078171,7.2659838609559,1.2083096774194,0.075,-0.01,734.6706,9508.8,0.23541914526715,1.48,16.225,-0.045,0.0132,0.16190057193137,0.02,0.8058,0.32611921344259,4775.9,6604.8,0.43968023255814,0.30540131246845,408,0.052645161290323,869.2,0.11215483870968,0.56494117647059,3.2757030203839,2.158431372549,0.1304,0.85223225806452,-50.9997,-0.074596864963028,7750,0.14315017064846,0.20235084064871,1349.6,24.013,2904,881800,7100.9,408,16.188235294118,7100.9,0.85,1.9325650874947
"10",2002-12-31,267.4,0.46,0.3145,0.57622245497299,NA,7388.9,252.1,55.1,0.0061794161517153,0.0073921034626169,NA,499.6,0.3182,14.439744801512,280.7,0.036756615228526,224.616,797.3,530.4437,1078,0.3347,NA,8861.6,NA,NA,11.114511476232,8.2204081632653,1.1888541568843,0.115,0.045,559.0437,8916.7,0.24534098444965,1.76,12.556818181818,NA,0.0764,0.22441170843696,0.019,0.7272,0.29901609170512,4814.2,6110.9,0.4591467705248,0.3146679825496,423.2,0.05677564764754,859.7,0.11533559613088,0.5307561436673,2.9614247637509,1.2556299827402,0.10696413957794,0.81982586297106,-28.6,-0.053917127376895,7453.9,0.1101831436168,0.20508844196753,1276.2,22.1,2805.8,2807805,7670.1,429.7,14.221317198045,7670.1,0.85,1.840721199784
