"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-10-31,37.8,1.67,0.352,0.0039,437.2,584.9,25.3,89.6,0.1218,0.1056,0.1532,-1.17,0.8,42.44,33.9,0.0082,6.05,18,13.34,52,0.2708,0.2731,646.3,1.85,0.78,35.32,12.38,0.76,NA,0.085,23.11,735.9,0.2705,0.7,29.16,NA,-0.165,0.2163,0.0459,NA,0.2691,349.3,734.2,0.0023,0.0023,17.3,0.0204,51,0.0601,NA,1.68,NA,0.0216,0.87,-9.77,-0.7318,848.3,0.0382,0.0396,84,20.41,1.7,319509,828.9,-0.2,NA,828.9,1.3,1.68
"2",2010-10-31,37.9,1.71,0.4195,0.0042860365441011,441.4,591.3,14.7,187.2,0.33839479392625,0.23449830890643,0.31659056316591,2.3112,0.77473182359952,21.451361867704,28.3,0.0121,6.6707,39.7,24.3504,68,0.38664,0.38663484486874,366,1.4291292463881,0.43145113756926,9.2191435768262,5.3823529411765,0.45847425779782,NA,0.085,35.6392,553.2,0.22915609673601,0.65,23.107692307692,NA,0.357,0.36705659184319,0.032,0.9303,0.11821410451547,256.1,551.3,0.0034463994195538,0.0034345625451916,25.7,0.032193410998372,36.9,0.046223224351747,0.25956147859922,1.2489805165383,NA,0.049730677690091,0.6905925090818,-11.2888,-0.46359987890185,798.3,0.095081577508786,0.058223833257816,72,15.02,1.9,307808,848.3,12.3,44.821138211382,848.3,1.3,1.2479133769456
"3",2009-10-31,37.7,1.21,0.5664,0.0051801271485755,422.5,543.6,16.2,123.6,0.16901408450704,0.21128205128205,0.22737306843267,20.1632,0.5517302259887,NA,32.7,0.0082,5.9786,2.5,2.5,35.2,0,NA,607.7,2.0182663566921,0.7612426406113,243.08,17.264204545455,1.0388034188034,0.81,-0.015,-1.1632,731.3,0.26269315673289,0.6,31.616666666667,-0.48,-0.3266,0.18744746427571,0.027,0.9335,0.13337012509198,301.1,729.1,0.0030174187354272,0.0030083413099959,-137.1,-0.23435897435897,55.3,0.094529914529914,NA,1.7256804733728,NA,0.0042735042735043,1.2463247863248,3.6632,1.4652923076923,585,0.0083028894055131,-0.32449704142012,60.5,18.97,2.2,305913,798.3,24.1,30.253112033195,798.3,1.25,1.7219213562515
"4",2008-10-31,37.7,1.23,0.5792,0.0047238372093023,547.8,680.8,15.8,67.4,0.10386808445061,0.077569340545517,0.099001175088132,-21.0417,NA,40.647798742138,35.1,0.0069,4.4595,21,13.0011,56.1,0.3809,NA,581.5,1.203933747412,0.99401709401709,27.690476190476,10.365418894831,0.6692369662792,-0.055,-0.075,53.3428,648.9,0.23119858989424,0.55,30.854545454545,0.185,-0.5812,0.55832974601808,0.027,0.9079,0.38014101057579,483,646.3,0.0040228995822374,0.0040067807058098,15.9,0.018298998734031,64.4,0.074116699274945,0.28046981132075,1.1798101496897,NA,0.024168488894004,0.74381401772356,-40.3417,-3.1029475139917,868.9,0.026917391304348,0.029025191675794,95.5,16.97,2.6,251456,585,-137.1,NA,585,NA,1.178960755814
"5",2007-10-31,37.2,0.86,0.5659,0.12754396364355,883.1,1334.8,34.4,217.6,0.47552447552448,0.1061981454368,0.16302067725502,78.443,NA,2.4405646359584,77,0.01358904109589,4.464,203,131.9804,280,0.34985,NA,240,0.30203876164108,0.27621130164576,1.1822660098522,0.85714285714286,0.11713030746706,-0.11,-0.085,96.1375,457.6,0.31914893617021,0.25,37.48,0.295,0.0062,0.79230894045108,0.008,0.9361,0.21621216661672,794.6,328.5,0.39299847792998,0.28212412587413,134.6,0.065690580771108,136.2,0.066471449487555,0.033164933135215,0.37198505265542,NA,0.099072718399219,0.16032210834553,35.843,0.27157777943827,2049,0.16609671532847,0.15241761974861,98,9.37,129.1,237180,868.9,93.5,3.5133689839572,868.9,NA,0.45208456826714
"6",2006-10-31,37.1,1.18,0.3727,0.14956833725754,758.5,1202.2,72.3,105.7,0.050966777568832,0.052002361507429,0.087922142738313,-1.1231,0.55808961631339,12.112983770287,71.1,0.010706518938418,20.776,251.4,160.5566,322.5,0.36135,NA,1968.2,2.5034342406512,0.96056612981942,7.8289578361177,6.1029457364341,0.96831644199547,0.07,0.07,160.4797,2073.9,0.35942438862086,3.6,14.180555555556,0.265,0.0623,0.25558408070481,0.028,NA,0.22591914822825,786.2,1940.5,0.068745168770935,0.064323255701818,160.2,0.078815310439831,139.2,0.068483715438355,0.12968789013733,2.5583388266315,1.7304262528982,0.1236839515891,0.95468857620781,0.0769,0.00047875367330549,2032.6,0.20421853218011,0.2112063282795,92.7,51.05,133.4,417192,2049,135.9,14.278881530537,2049,1.3,2.3252606794484
"7",2005-10-31,38.2,2.73,0.3629,0.17156553551154,656.7,1100.2,50.8,49.7,0.034313725490196,0.02524123920772,0.045173604799127,-2.7972,0.46293744833287,7.4063205417607,65.4,0.016299908564462,21.392,292.8,182.9649,358.2,0.37512,NA,1398.7,1.8825033647375,0.68813342516973,4.7769808743169,3.9048017867113,0.71036058913154,0.13,0.105,200.3621,1448.4,0.38529358298491,3.5,9.8828571428571,0.175,0.3179,0.254189586798,0.032,NA,0.25331757862207,743,1312.4,0.10362694300518,0.093896713615023,177.2,0.089994921279838,86.6,0.043981716607415,0.1207223476298,1.9984772346581,0.56971696475083,0.14870492635856,0.666531234129,-17.3972,-0.095085126159696,1969,0.24625149932705,0.26983401857774,97.9,34.59,136,234600,2032.6,167.5,7.835223880597,2032.6,1.05,1.8271729531979
"8",2004-10-31,24.9,0.86,0.3253,0.20737691942378,NA,929.5,19.5,41.7,0.029711435696473,0.021549273939331,0.044862829478214,32.1562,0.52874269904703,22.092013888889,50.1,0.012402480496099,15.438,98.8506,60.801,148.9506,0.38492,NA,1361.8,2.3081355932203,0.70373624102114,13.776345313028,9.142628495622,0.93254810655345,0.185,0.135,59.2448,1403.5,0.37762237762238,5,9.998,0.06,0.4098,0.23265974877116,0.039,0,0.17450242065627,590,1272.5,0.10294695481336,0.093338083363021,57.6,0.039443949873314,98.9,0.067725809765117,0.26802083333333,2.5414419812263,1.1941629129129,0.067691981099774,0.87139628843388,1.5562,0.025595200476611,1460.3,0.10305258821695,0.11503894547633,65.6,49.99,131,509600,1935.1,57.6,22.092013888889,1935.1,1.05,2.2217824916891
"9",2003-10-31,16.5,0.68,0.3511,0.04258064516129,NA,665.9,28.7,22.1,0.018782933877273,0.01431718061674,NA,37.0685,0.38735403019083,26.965034965035,46.4,0.018169582772544,13.365,110.2353,71.8238,156.6353,0.34845,NA,1154.5,2.6066832242041,0.74792692407359,10.473053635823,7.3706255704334,1.1195694336695,0.155,0.135,52.4553,1176.6,0.5044300946088,4.477,9.9575608666518,0.03,0.0331,0.27687118242319,0.031,0.984,0.099714671872654,442.9,1156.8,0.017116182572614,0.016828148903621,42.9,0.041602017067494,74.6,0.072342901474011,0.31153846153846,2.5983827493261,1.7396796751635,0.1069,1.121799844841,19.3685,0.26966692947879,1031.2,0.16216707311809,0.096361185983827,53.6,44.58,19.8,81300,1543.6,42.9,26.965034965035,1543.6,1,2.5303225806452
"10",2002-10-31,16.5,0.58,0.3538,0.15194204065204,NA,689.1,34.3,18.3,0.022600963319748,0.018403057119871,NA,26.7,0.3582,15.789247311828,43.7,0.015281939526015,11.22,83.3,53.3145,127,0.35997,NA,791.4,NA,NA,9.500600240096,6.2314960629921,0.79585679806919,0.125,0.07,62.7145,809.7,0.51240748802786,3.1,14.648387096774,NA,-0.1206,0.24092947411333,NA,0.864,0.096357567842113,478.6,734.2,0.1028330155271,0.093244411510436,46.5,0.046761866452132,83.1,0.083567980691875,0.24129032258065,1.7422876127195,1.2631397849462,0.083769106999196,0.73833467417538,-9.4,-0.17631226357393,994.4,0.11139678019223,0.11034646416706,54.4,45.41,75.5,80831,1018.2,47.8,15.359832635983,1018.2,0.95,1.6535729210196
